Title,URL,Sentiment,PanicScore,Published At
XRP News: Can Ripple Sell to Institutional Investors As SEC Drops Case? Legal Issues Explained,https://cryptopanic.com/news/20887387/XRP-News-Can-Ripple-Sell-to-Institutional-Investors-As-SEC-Drops-Case-Legal-Issues-Explained?mtm_campaign=API-OFA,,,
Tether Deploys Crosschain Stablecoin USDT0 on Optimism Superchain,https://cryptopanic.com/news/20887351/Tether-Deploys-Crosschain-Stablecoin-USDT0-on-Optimism-Superchain?mtm_campaign=API-OFA,,,
South Carolina Considers Establishing Large Bitcoin Reserve,https://cryptopanic.com/news/20887354/South-Carolina-Considers-Establishing-Large-Bitcoin-Reserve?mtm_campaign=API-OFA,,,
"SEC Closes Crypto.com Probe, CEO Confirms",https://cryptopanic.com/news/20887350/SEC-Closes-Cryptocom-Probe-CEO-Confirms?mtm_campaign=API-OFA,,,
Google Play Removes 17 Crypto Exchanges in South Korea,https://cryptopanic.com/news/20887347/Google-Play-Removes-17-Crypto-Exchanges-in-South-Korea?mtm_campaign=API-OFA,,,
UAE announces new Dirham symbol and Digital Dirham CBDC,https://cryptopanic.com/news/20887384/UAE-announces-new-Dirham-symbol-and-Digital-Dirham-CBDC?mtm_campaign=API-OFA,,,
"Wyoming to launch first state-backed stablecoin, WYST, in July",https://cryptopanic.com/news/20887339/Wyoming-to-launch-first-state-backed-stablecoin-WYST-in-July?mtm_campaign=API-OFA,,,
"Trader Says Ethereum-Based Altcoin Primed for 240%+ Rally if Major Resistance Level Breaks, Updates XRP Outlook",https://cryptopanic.com/news/20887307/Trader-Says-Ethereum-Based-Altcoin-Primed-for-240-Rally-if-Major-Resistance-Level-Breaks-Updates-XRP-Outlook?mtm_campaign=API-OFA,,,
GameStop Hit with Short Sale Restriction After Short Interest Soars 234%,https://cryptopanic.com/news/20887258/GameStop-Hit-with-Short-Sale-Restriction-After-Short-Interest-Soars-234?mtm_campaign=API-OFA,,,
Galaxy Digital Settles for $200 Million with NY AG Over LUNA Promotion; Terraform Labs Opens Claims Portal,https://cryptopanic.com/news/20887254/Galaxy-Digital-Settles-for-200-Million-with-NY-AG-Over-LUNA-Promotion-Terraform-Labs-Opens-Claims-Portal?mtm_campaign=API-OFA,,,
Dark Web Hackers Allegedly Sell 100K Crypto Records,https://cryptopanic.com/news/20887256/Dark-Web-Hackers-Allegedly-Sell-100K-Crypto-Records?mtm_campaign=API-OFA,,,
"HashKey, Bosera partner to launch world’s first tokenized money market ETFs",https://cryptopanic.com/news/20887329/HashKey-Bosera-partner-to-launch-worlds-first-tokenized-money-market-ETFs?mtm_campaign=API-OFA,,,
GameStop Urged to Invest in Bitcoin with Cash Reserves,https://cryptopanic.com/news/20887295/GameStop-Urged-to-Invest-in-Bitcoin-with-Cash-Reserves?mtm_campaign=API-OFA,,,
Upbit parent company Dunamu triples shareholder dividends following 85% YoY profit growth,https://cryptopanic.com/news/20887246/Upbit-parent-company-Dunamu-triples-shareholder-dividends-following-85-YoY-profit-growth?mtm_campaign=API-OFA,,,
Crypto There's Just 5 Days Left,https://cryptopanic.com/news/20887333/Crypto-Theres-Just-5-Days-Left?mtm_campaign=API-OFA,,,
"Coinbase Ventures Eyes Next-Gen DeFi, Bullish On Stablecoin Growth",https://cryptopanic.com/news/20887195/Coinbase-Ventures-Eyes-Next-Gen-DeFi-Bullish-On-Stablecoin-Growth?mtm_campaign=API-OFA,,,
OTC Weekly Trading Insights (03/27/2025),https://cryptopanic.com/news/20887294/OTC-Weekly-Trading-Insights-03272025?mtm_campaign=API-OFA,,,
Sei Blockchain Eyes 23andMe Acquisition to Secure Genetic Data On-Chain,https://cryptopanic.com/news/20887183/Sei-Blockchain-Eyes-23andMe-Acquisition-to-Secure-Genetic-Data-On-Chain?mtm_campaign=API-OFA,,,
Weekly Market Highlights - BNB Chain Launches US$100M Liquidity Incentive for CEX Listings,https://cryptopanic.com/news/20887293/Weekly-Market-Highlights-BNB-Chain-Launches-US100M-LiquidityIncentive-for-CEX-Listings?mtm_campaign=API-OFA,,,
Lummis: “The strategic Bitcoin reserve could halve the US debt”,https://cryptopanic.com/news/20887142/Lummis-The-strategic-Bitcoin-reserve-could-halve-the-US-debt?mtm_campaign=API-OFA,,,
XRP News: Can Ripple Sell to Institutional Investors As SEC Drops Case? Legal Issues Explained,https://cryptopanic.com/news/20887387/XRP-News-Can-Ripple-Sell-to-Institutional-Investors-As-SEC-Drops-Case-Legal-Issues-Explained?mtm_campaign=API-OFA,,,
Tether Deploys Crosschain Stablecoin USDT0 on Optimism Superchain,https://cryptopanic.com/news/20887351/Tether-Deploys-Crosschain-Stablecoin-USDT0-on-Optimism-Superchain?mtm_campaign=API-OFA,,,
South Carolina Considers Establishing Large Bitcoin Reserve,https://cryptopanic.com/news/20887354/South-Carolina-Considers-Establishing-Large-Bitcoin-Reserve?mtm_campaign=API-OFA,,,
"SEC Closes Crypto.com Probe, CEO Confirms",https://cryptopanic.com/news/20887350/SEC-Closes-Cryptocom-Probe-CEO-Confirms?mtm_campaign=API-OFA,,,
Google Play Removes 17 Crypto Exchanges in South Korea,https://cryptopanic.com/news/20887347/Google-Play-Removes-17-Crypto-Exchanges-in-South-Korea?mtm_campaign=API-OFA,,,
UAE announces new Dirham symbol and Digital Dirham CBDC,https://cryptopanic.com/news/20887384/UAE-announces-new-Dirham-symbol-and-Digital-Dirham-CBDC?mtm_campaign=API-OFA,,,
"Wyoming to launch first state-backed stablecoin, WYST, in July",https://cryptopanic.com/news/20887339/Wyoming-to-launch-first-state-backed-stablecoin-WYST-in-July?mtm_campaign=API-OFA,,,
"Trader Says Ethereum-Based Altcoin Primed for 240%+ Rally if Major Resistance Level Breaks, Updates XRP Outlook",https://cryptopanic.com/news/20887307/Trader-Says-Ethereum-Based-Altcoin-Primed-for-240-Rally-if-Major-Resistance-Level-Breaks-Updates-XRP-Outlook?mtm_campaign=API-OFA,,,
GameStop Hit with Short Sale Restriction After Short Interest Soars 234%,https://cryptopanic.com/news/20887258/GameStop-Hit-with-Short-Sale-Restriction-After-Short-Interest-Soars-234?mtm_campaign=API-OFA,,,
Galaxy Digital Settles for $200 Million with NY AG Over LUNA Promotion; Terraform Labs Opens Claims Portal,https://cryptopanic.com/news/20887254/Galaxy-Digital-Settles-for-200-Million-with-NY-AG-Over-LUNA-Promotion-Terraform-Labs-Opens-Claims-Portal?mtm_campaign=API-OFA,,,
Dark Web Hackers Allegedly Sell 100K Crypto Records,https://cryptopanic.com/news/20887256/Dark-Web-Hackers-Allegedly-Sell-100K-Crypto-Records?mtm_campaign=API-OFA,,,
"HashKey, Bosera partner to launch world’s first tokenized money market ETFs",https://cryptopanic.com/news/20887329/HashKey-Bosera-partner-to-launch-worlds-first-tokenized-money-market-ETFs?mtm_campaign=API-OFA,,,
GameStop Urged to Invest in Bitcoin with Cash Reserves,https://cryptopanic.com/news/20887295/GameStop-Urged-to-Invest-in-Bitcoin-with-Cash-Reserves?mtm_campaign=API-OFA,,,
Upbit parent company Dunamu triples shareholder dividends following 85% YoY profit growth,https://cryptopanic.com/news/20887246/Upbit-parent-company-Dunamu-triples-shareholder-dividends-following-85-YoY-profit-growth?mtm_campaign=API-OFA,,,
Crypto There's Just 5 Days Left,https://cryptopanic.com/news/20887333/Crypto-Theres-Just-5-Days-Left?mtm_campaign=API-OFA,,,
"Coinbase Ventures Eyes Next-Gen DeFi, Bullish On Stablecoin Growth",https://cryptopanic.com/news/20887195/Coinbase-Ventures-Eyes-Next-Gen-DeFi-Bullish-On-Stablecoin-Growth?mtm_campaign=API-OFA,,,
OTC Weekly Trading Insights (03/27/2025),https://cryptopanic.com/news/20887294/OTC-Weekly-Trading-Insights-03272025?mtm_campaign=API-OFA,,,
Sei Blockchain Eyes 23andMe Acquisition to Secure Genetic Data On-Chain,https://cryptopanic.com/news/20887183/Sei-Blockchain-Eyes-23andMe-Acquisition-to-Secure-Genetic-Data-On-Chain?mtm_campaign=API-OFA,,,
Weekly Market Highlights - BNB Chain Launches US$100M Liquidity Incentive for CEX Listings,https://cryptopanic.com/news/20887293/Weekly-Market-Highlights-BNB-Chain-Launches-US100M-LiquidityIncentive-for-CEX-Listings?mtm_campaign=API-OFA,,,
Lummis: “The strategic Bitcoin reserve could halve the US debt”,https://cryptopanic.com/news/20887142/Lummis-The-strategic-Bitcoin-reserve-could-halve-the-US-debt?mtm_campaign=API-OFA,,,
XRP News: Can Ripple Sell to Institutional Investors As SEC Drops Case? Legal Issues Explained,https://cryptopanic.com/news/20887387/XRP-News-Can-Ripple-Sell-to-Institutional-Investors-As-SEC-Drops-Case-Legal-Issues-Explained?mtm_campaign=API-OFA,,,
Tether Deploys Crosschain Stablecoin USDT0 on Optimism Superchain,https://cryptopanic.com/news/20887351/Tether-Deploys-Crosschain-Stablecoin-USDT0-on-Optimism-Superchain?mtm_campaign=API-OFA,,,
South Carolina Considers Establishing Large Bitcoin Reserve,https://cryptopanic.com/news/20887354/South-Carolina-Considers-Establishing-Large-Bitcoin-Reserve?mtm_campaign=API-OFA,,,
"SEC Closes Crypto.com Probe, CEO Confirms",https://cryptopanic.com/news/20887350/SEC-Closes-Cryptocom-Probe-CEO-Confirms?mtm_campaign=API-OFA,,,
Google Play Removes 17 Crypto Exchanges in South Korea,https://cryptopanic.com/news/20887347/Google-Play-Removes-17-Crypto-Exchanges-in-South-Korea?mtm_campaign=API-OFA,,,
UAE announces new Dirham symbol and Digital Dirham CBDC,https://cryptopanic.com/news/20887384/UAE-announces-new-Dirham-symbol-and-Digital-Dirham-CBDC?mtm_campaign=API-OFA,,,
"Wyoming to launch first state-backed stablecoin, WYST, in July",https://cryptopanic.com/news/20887339/Wyoming-to-launch-first-state-backed-stablecoin-WYST-in-July?mtm_campaign=API-OFA,,,
"Trader Says Ethereum-Based Altcoin Primed for 240%+ Rally if Major Resistance Level Breaks, Updates XRP Outlook",https://cryptopanic.com/news/20887307/Trader-Says-Ethereum-Based-Altcoin-Primed-for-240-Rally-if-Major-Resistance-Level-Breaks-Updates-XRP-Outlook?mtm_campaign=API-OFA,,,
GameStop Hit with Short Sale Restriction After Short Interest Soars 234%,https://cryptopanic.com/news/20887258/GameStop-Hit-with-Short-Sale-Restriction-After-Short-Interest-Soars-234?mtm_campaign=API-OFA,,,
