Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2020-12-25 08:00:00,2.7,2.9562,1.7498,2.2801,71519996.0,1.2064,-0.3000307004078768,1,0,0,0,0,-1.0,0.0,0.0,2.2801
2020-12-26 08:00:00,2.2823,2.426,1.5595,1.596,72874458.0,1.0364499999999999,-0.3000307004078768,0,0,0,1,0,2.0,1.596,1.0,2.2801
2020-12-27 08:00:00,1.596,1.654,1.0415,1.0636,96158019.0,0.8951333333333332,-0.3335839598997493,0,0,0,0,0,2.0,1.0636,1.0,2.2801
2020-12-28 08:00:00,1.0615,1.28,1.0409,1.1175,52486917.0,0.7311249999999999,0.050676946220383545,0,0,0,0,0,1.0,1.1175,6.0,2.2801
2020-12-29 08:00:00,1.1172,1.1204,0.7563,0.8866,95372584.0,0.65772,-0.20662192393736012,0,1,0,0,0,2.0,0.8866,1.0,0.8866
2020-12-30 08:00:00,0.8872,1.2607,0.8681,1.0946,121819825.0,0.6135333333333333,0.23460410557184752,0,0,1,0,0,1.0,1.0946,6.0,0.8866
2020-12-31 08:00:00,1.0947,1.4063,1.06,1.3676,92288282.0,0.5753571428571428,0.24940617577197144,1,0,0,0,0,1.0,1.3676,6.0,1.3676
2021-01-01 08:00:00,1.3658,1.4033,1.082,1.1578,44448765.0,0.5436,-0.15340742907282834,0,0,0,1,0,2.0,1.1578,1.0,1.3676
2021-01-02 08:00:00,1.1578,1.1626,0.9988,1.0267,30850882.0,0.5014,-0.11323199170841247,0,0,0,0,0,2.0,1.0267,1.0,1.3676
2021-01-03 08:00:00,1.0281,1.16,0.95,1.1129,39832653.0,0.47226,0.08395831304178447,0,0,0,0,0,1.0,1.1129,6.0,1.3676
2021-01-04 08:00:00,1.1129,1.2434,0.975,1.035,36377444.0,0.4537272727272727,-0.06999730434001261,0,0,0,0,0,2.0,1.035,1.0,1.3676
2021-01-05 08:00:00,1.0355,1.3145,0.9896,1.2552,39148882.0,0.4429916666666666,0.21275362318840596,0,0,0,0,0,1.0,1.2552,6.0,1.3676
2021-01-06 08:00:00,1.2554,1.533,1.1947,1.5215,51284091.0,0.4349384615384615,0.2121574251115359,1,0,0,0,0,1.0,1.5215,6.0,1.5215
2021-01-07 08:00:00,1.5216,1.6204,1.25,1.2986,45744595.0,0.4303285714285714,-0.14650016431153468,0,0,0,1,0,2.0,1.2986,1.0,1.5215
2021-01-08 08:00:00,1.2983,1.3458,0.99,1.1874,46041240.0,0.42536,-0.08563067919297707,0,0,0,0,0,2.0,1.1874,1.0,1.5215
2021-01-09 08:00:00,1.188,1.3075,1.11,1.2496,36084666.0,0.41111875,0.05238335859861887,0,0,0,0,0,1.0,1.2496,6.0,1.5215
