Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2023-07-29 08:00:00,0.7,0.7794,0.6292,0.7505,59350177.0,0.1502,-0.08301132578281134,1,0,0,0,0,-1.0,0.0,0.0,0.7505
2023-07-30 08:00:00,0.7509,0.7537,0.6562,0.6882,70609896.0,0.12385000000000002,-0.08301132578281134,0,0,0,1,0,2.0,0.6882,1.0,0.7505
2023-07-31 08:00:00,0.688,0.6929,0.631,0.647,27573608.0,0.1032,-0.05986631793083408,0,0,0,0,0,2.0,0.647,1.0,0.7505
2023-08-01 08:00:00,0.6471,0.6535,0.5713,0.6453,22504641.0,0.09794999999999998,-0.00262751159196295,0,0,0,0,0,2.0,0.6453,1.0,0.7505
2023-08-02 08:00:00,0.645,0.6539,0.6114,0.6416,21997781.0,0.08685999999999998,-0.005733767240043486,0,0,0,0,0,2.0,0.6416,1.0,0.7505
2023-08-03 08:00:00,0.6416,0.6514,0.6063,0.6142,19543810.0,0.07989999999999998,-0.0427057356608479,0,1,0,0,0,2.0,0.6142,1.0,0.6142
2023-08-04 08:00:00,0.6142,0.6307,0.5939,0.6183,18521280.0,0.07374285714285714,0.00667535004884412,0,0,1,0,0,1.0,0.6183,6.0,0.6142
2023-08-05 08:00:00,0.6181,0.6541,0.5918,0.6226,37027663.0,0.0723125,0.00695455280608126,0,0,0,0,0,1.0,0.6226,6.0,0.6142
2023-08-06 08:00:00,0.6226,0.7177,0.6148,0.6765,101452359.0,0.07571111111111112,0.08657243816254412,1,0,0,0,0,1.0,0.6765,6.0,0.6765
2023-08-07 08:00:00,0.6765,0.6915,0.6262,0.6437,28356549.0,0.07467,-0.04848484848484835,0,0,0,1,0,2.0,0.6437,1.0,0.6765
2023-08-08 08:00:00,0.6435,0.6449,0.616,0.6237,19837963.0,0.07050909090909091,-0.031070374398011524,0,0,0,0,0,2.0,0.6237,1.0,0.6765
2023-08-09 08:00:00,0.6236,0.6408,0.6109,0.622,13658463.0,0.067125,-0.002725669392336094,0,0,0,0,0,2.0,0.622,1.0,0.6765
2023-08-10 08:00:00,0.622,0.6246,0.6019,0.6052,9944558.0,0.06370769230769233,-0.02700964630225089,0,1,0,0,0,2.0,0.6052,1.0,0.6052
2023-08-11 08:00:00,0.6053,0.6192,0.5971,0.6146,9093557.0,0.060735714285714296,0.015532055518836962,0,0,1,0,0,1.0,0.6146,6.0,0.6052
2023-08-12 08:00:00,0.6146,0.6226,0.6086,0.6136,8148408.0,0.05762000000000001,-0.0016270745200129832,0,0,0,0,0,1.0,0.6146,4.0,0.6052
2023-08-13 08:00:00,0.6135,0.6522,0.6099,0.6381,20072524.0,0.05666250000000001,0.039928292046936154,0,0,0,0,0,1.0,0.6381,6.0,0.6052
2023-08-14 08:00:00,0.638,0.6582,0.6268,0.6432,17301085.0,0.055176470588235306,0.007992477668077091,1,0,0,0,0,1.0,0.6432,6.0,0.6432
2023-08-15 08:00:00,0.6432,0.6474,0.5622,0.587,13654905.0,0.05684444444444445,-0.08737562189054726,0,0,0,1,0,2.0,0.587,1.0,0.6432
2023-08-16 08:00:00,0.5871,0.5889,0.5351,0.5523,13853501.0,0.05668421052631579,-0.059114139693355994,0,0,0,0,0,2.0,0.5523,1.0,0.6432
2023-08-17 08:00:00,0.5524,0.5549,0.4399,0.4797,19978533.0,0.0596,-0.13145029875067893,0,1,0,0,0,2.0,0.4797,1.0,0.4797
2023-08-18 08:00:00,0.4797,0.5009,0.4753,0.4908,20255346.0,0.05798095238095238,0.02313946216385232,0,0,1,0,0,1.0,0.4908,6.0,0.4797
2023-08-19 08:00:00,0.4907,0.5199,0.4859,0.5071,17682816.0,0.056890909090909096,0.03321108394458028,0,0,0,0,0,1.0,0.5071,6.0,0.4797
2023-08-20 08:00:00,0.507,0.5205,0.498,0.5127,8757793.0,0.05539565217391305,0.011043186748175948,0,0,0,0,0,1.0,0.5127,6.0,0.4797
2023-08-21 08:00:00,0.5124,0.5136,0.4868,0.5006,10530026.0,0.054204166666666664,-0.023600546128340172,0,0,0,0,0,2.0,0.5006,1.0,0.4797
2023-08-22 08:00:00,0.5007,0.5062,0.4798,0.5042,13206921.0,0.053092,0.007191370355573268,0,0,0,0,0,1.0,0.5042,6.0,0.4797
2023-08-23 08:00:00,0.5043,0.5265,0.4968,0.514,7548651.0,0.052192307692307684,0.019436731455771517,1,0,0,0,0,1.0,0.514,6.0,0.514
2023-08-24 08:00:00,0.5138,0.5194,0.4971,0.5008,4172737.0,0.05108518518518518,-0.025680933852140098,0,0,0,1,0,2.0,0.5008,1.0,0.514
2023-08-25 08:00:00,0.5007,0.5008,0.4831,0.4987,6277688.0,0.049892857142857135,-0.004193290734824329,0,0,0,0,0,2.0,0.4987,1.0,0.514
2023-08-26 08:00:00,0.4989,0.5022,0.483,0.489,4053935.0,0.048834482758620686,-0.019450571485863266,0,0,0,0,0,2.0,0.489,1.0,0.514
2023-08-27 08:00:00,0.489,0.4958,0.4845,0.4915,2895946.0,0.04758333333333333,0.005112474437627856,0,0,0,0,0,1.0,0.4915,6.0,0.514
2023-08-28 08:00:00,0.4915,0.492,0.4665,0.4798,6914536.0,0.04687096774193548,-0.02380467955239063,0,0,0,0,0,2.0,0.4798,1.0,0.514
2023-08-29 08:00:00,0.4797,0.5214,0.4493,0.5128,24378585.0,0.047659375,0.06877865777407255,0,0,0,0,0,1.0,0.5128,6.0,0.514
2023-08-30 08:00:00,0.5129,0.5182,0.4939,0.5034,19959937.0,0.04695151515151515,-0.01833073322932932,0,0,0,0,0,2.0,0.5034,1.0,0.514
2023-08-31 08:00:00,0.5035,0.5127,0.4717,0.4826,9085266.0,0.04677647058823529,-0.041319030591974504,0,0,0,0,0,2.0,0.4826,1.0,0.514
