Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2020-06-16 08:00:00,0.2525,0.289,0.2286,0.2355,18727197.1,0.06039999999999998,0.03864118895966051,0,0,0,0,0,-1.0,0.0,0.0,0.2355
2020-06-17 08:00:00,0.2353,0.2473,0.2301,0.2446,26630853.6,0.03879999999999999,0.03864118895966051,1,0,0,0,0,-1.0,0.0,0.0,0.2446
2020-06-18 08:00:00,0.2446,0.2514,0.2378,0.2406,61713908.0,0.030399999999999993,-0.01635322976287823,0,0,0,1,0,2.0,0.2406,1.0,0.2446
2020-06-19 08:00:00,0.2405,0.2405,0.2313,0.2321,53412828.2,0.025124999999999995,-0.035328345802161265,0,0,0,0,0,2.0,0.2321,1.0,0.2446
2020-06-20 08:00:00,0.2321,0.2351,0.2265,0.2312,33250099.0,0.021819999999999996,-0.0038776389487290563,0,1,0,0,0,2.0,0.2312,1.0,0.2312
2020-06-21 08:00:00,0.2312,0.2405,0.2312,0.2325,38937815.8,0.01973333333333333,0.005622837370242273,0,0,1,0,0,1.0,0.2325,6.0,0.2312
2020-06-22 08:00:00,0.2325,0.2416,0.2324,0.2414,49057922.1,0.018228571428571427,0.038279569892473164,0,0,0,0,0,1.0,0.2414,6.0,0.2312
2020-06-23 08:00:00,0.2414,0.2515,0.2357,0.2498,111031891.3,0.017925,0.0347970173985086,1,0,0,0,0,1.0,0.2498,6.0,0.2498
2020-06-24 08:00:00,0.2497,0.2571,0.2312,0.2387,389331738.0,0.018811111111111112,-0.04443554843875097,0,0,0,1,0,2.0,0.2387,1.0,0.2498
2020-06-25 08:00:00,0.2387,0.2398,0.2245,0.2353,22490797.0,0.01846,-0.014243820695433507,0,0,0,0,0,2.0,0.2353,1.0,0.2498
2020-06-26 08:00:00,0.2353,0.2353,0.221,0.2234,17346450.1,0.018081818181818185,-0.05057373565660872,0,0,0,0,0,2.0,0.2234,1.0,0.2498
2020-06-27 08:00:00,0.2234,0.2235,0.1948,0.2052,22725094.7,0.01896666666666667,-0.08146821844225605,0,1,0,0,0,2.0,0.2052,1.0,0.2052
2020-06-28 08:00:00,0.2052,0.2125,0.1982,0.2077,12535123.4,0.01860769230769231,0.012183235867446296,0,0,1,0,0,1.0,0.2077,6.0,0.2052
2020-06-29 08:00:00,0.2077,0.2152,0.2063,0.2135,13455775.9,0.017914285714285716,0.02792489167067891,0,0,0,0,0,1.0,0.2135,6.0,0.2052
2020-06-30 08:00:00,0.2132,0.2141,0.2068,0.2083,5947841.6,0.017206666666666665,-0.024355971896955375,0,0,0,0,0,2.0,0.2083,1.0,0.2052
2020-07-01 08:00:00,0.2082,0.2178,0.2073,0.2139,10467348.4,0.016787499999999997,0.02688430148823806,0,0,0,0,0,1.0,0.2139,6.0,0.2052
2020-07-02 08:00:00,0.2137,0.2184,0.2005,0.205,13607495.4,0.016852941176470588,-0.041608228143992565,0,0,0,0,1,2.0,0.205,1.0,0.2052
2020-07-03 08:00:00,0.2049,0.2081,0.2021,0.2038,8869347.8,0.01625,-0.00585365853658526,0,1,0,0,0,2.0,0.2038,1.0,0.2038
2020-07-04 08:00:00,0.2038,0.218,0.2031,0.2178,15172748.4,0.016178947368421053,0.06869479882237473,0,0,1,0,0,1.0,0.2178,6.0,0.2038
2020-07-05 08:00:00,0.2178,0.2195,0.209,0.2154,15765869.0,0.015895,-0.011019283746556363,0,0,0,0,0,2.0,0.2154,1.0,0.2038
2020-07-06 08:00:00,0.2154,0.2319,0.2153,0.2293,30841709.1,0.01592857142857143,0.06453110492107705,0,0,0,0,0,1.0,0.2293,6.0,0.2038
2020-07-07 08:00:00,0.2295,0.237,0.2235,0.2333,27746292.7,0.015818181818181818,0.01744439598778902,0,0,0,0,0,1.0,0.2333,6.0,0.2038
2020-07-08 08:00:00,0.2333,0.2533,0.229,0.2474,43526297.8,0.01618695652173913,0.06043720531504504,0,0,0,0,0,1.0,0.2474,6.0,0.2038
2020-07-09 08:00:00,0.2474,0.2555,0.2326,0.2418,51721542.5,0.016466666666666668,-0.02263540824575594,0,0,0,0,0,2.0,0.2418,1.0,0.2038
2020-07-10 08:00:00,0.2418,0.2536,0.2275,0.2501,36243710.5,0.016852,0.03432588916459878,0,0,0,0,0,1.0,0.2501,6.0,0.2038
