Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2020-11-23 08:00:00,0.20001,0.23436,0.17799,0.19268,33419944.0,0.05637,0.38774133277973855,0,1,0,0,0,-1.0,0.0,0.0,0.19268
2020-11-24 08:00:00,0.19257,0.288,0.18312,0.26739,101162652.0,0.08062499999999999,0.38774133277973855,1,0,1,0,0,1.0,0.26739,6.0,0.26739
2020-11-25 08:00:00,0.26793,0.282,0.22262,0.24533,46153790.0,0.07354333333333331,-0.08250121545308364,0,0,0,1,0,2.0,0.24533,1.0,0.26739
2020-11-26 08:00:00,0.2445,0.24863,0.1786,0.21294,64950755.0,0.07266499999999998,-0.1320262503566625,0,0,0,0,0,2.0,0.21294,1.0,0.26739
2020-11-27 08:00:00,0.21327,0.24564,0.2064,0.21975,35853989.0,0.06597999999999998,0.031980839673147354,0,0,0,0,0,1.0,0.21975,6.0,0.26739
2020-11-28 08:00:00,0.21975,0.23758,0.19461,0.2244,37567148.0,0.062144999999999985,0.02116040955631404,0,0,0,0,0,1.0,0.2244,6.0,0.26739
2020-11-29 08:00:00,0.22444,0.22706,0.20289,0.22248,24762678.0,0.05671999999999999,-0.0085561497326202,0,0,0,0,0,2.0,0.22248,1.0,0.26739
2020-11-30 08:00:00,0.22268,0.24996,0.2224,0.23061,33934997.0,0.053075,0.0365426105717368,0,0,0,0,0,1.0,0.23061,6.0,0.26739
2020-12-01 08:00:00,0.23059,0.24279,0.20583,0.22779,36375877.0,0.05128444444444444,-0.012228437621959243,0,0,0,0,0,2.0,0.22779,1.0,0.26739
2020-12-02 08:00:00,0.22743,0.2769,0.22346,0.26174,54894762.0,0.05149999999999999,0.14904078317748803,0,0,0,0,0,1.0,0.26174,6.0,0.26739
2020-12-03 08:00:00,0.26171,0.305,0.251,0.28286,71642243.0,0.051727272727272726,0.08069076182471169,1,0,0,0,0,1.0,0.28286,6.0,0.28286
2020-12-04 08:00:00,0.28333,0.2947,0.231,0.23265,65401348.0,0.052724999999999994,-0.17750830799688888,0,0,0,1,0,2.0,0.23265,1.0,0.28286
2020-12-05 08:00:00,0.23295,0.26734,0.22947,0.26135,31857366.0,0.051582307692307684,0.12336127229744265,0,0,0,0,0,1.0,0.26135,6.0,0.28286
2020-12-06 08:00:00,0.26106,0.26485,0.24,0.25433,20697831.0,0.04967285714285714,-0.026860531853835967,0,0,0,0,0,2.0,0.25433,1.0,0.28286
2020-12-07 08:00:00,0.25419,0.2565,0.237,0.23912,22729267.0,0.04766133333333333,-0.0598041914048677,0,0,0,0,0,2.0,0.23912,1.0,0.28286
2020-12-08 08:00:00,0.23922,0.2449,0.20332,0.20936,40920761.0,0.04728125,-0.12445633991301441,0,0,0,0,0,2.0,0.20936,1.0,0.28286
2020-12-09 08:00:00,0.20918,0.23638,0.189,0.22251,54299757.0,0.047287058823529404,0.06281047000382123,0,0,0,0,0,1.0,0.22251,6.0,0.28286
2020-12-10 08:00:00,0.22233,0.22333,0.20255,0.20744,17645074.0,0.04581444444444444,-0.06772729315536385,0,0,0,0,0,2.0,0.20744,1.0,0.28286
2020-12-11 08:00:00,0.20769,0.20865,0.17409,0.17456,43900426.0,0.0452221052631579,-0.15850366370998847,0,1,0,0,0,2.0,0.17456,1.0,0.17456
2020-12-12 08:00:00,0.1749,0.207,0.17347,0.20218,64734930.0,0.0446375,0.15822639780018344,0,0,1,0,0,1.0,0.20218,6.0,0.17456
2020-12-13 08:00:00,0.20264,0.21999,0.19647,0.20515,44188739.0,0.04363190476190476,0.014689880304679104,0,0,0,0,0,1.0,0.20515,6.0,0.17456
2020-12-14 08:00:00,0.20525,0.20912,0.19457,0.20741,26137675.0,0.04231,0.011016329514988987,0,0,0,0,0,1.0,0.20741,6.0,0.17456
2020-12-15 08:00:00,0.20758,0.21,0.191,0.19373,22825532.0,0.04129652173913043,-0.06595631840316285,0,0,0,0,0,2.0,0.19373,1.0,0.17456
2020-12-16 08:00:00,0.19359,0.2455,0.191,0.23708,96756202.0,0.041846666666666664,0.22376503380994173,0,0,0,0,0,1.0,0.23708,6.0,0.17456
2020-12-17 08:00:00,0.23703,0.25594,0.22565,0.22891,75791869.0,0.041384399999999995,-0.034460941454361405,0,0,0,0,0,2.0,0.22891,1.0,0.17456
2020-12-18 08:00:00,0.22886,0.24927,0.22316,0.24025,47804429.0,0.04079692307692307,0.04953912017823603,1,0,0,0,0,1.0,0.24025,6.0,0.24025
2020-12-19 08:00:00,0.24039,0.25211,0.22628,0.22826,27079310.0,0.04024259259259259,-0.04990634755463064,0,0,0,1,0,2.0,0.22826,1.0,0.24025
2020-12-20 08:00:00,0.2282,0.23697,0.20547,0.21156,28186702.0,0.039930357142857135,-0.0731621834749846,0,0,0,0,0,2.0,0.21156,1.0,0.24025
