Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2021-01-26 08:00:00,0.01095,0.01095,0.009765,0.010586,72802151.0,0.0011850000000000003,-0.06262988853202345,0,0,0,0,0,-1.0,0.0,0.0,0.010586
2021-01-27 08:00:00,0.010584,0.010587,0.009239,0.009923,128401419.0,0.0012664999999999994,-0.06262988853202345,0,1,0,0,0,-1.0,0.0,0.0,0.009923
2021-01-28 08:00:00,0.009925,0.014072,0.009679,0.011889,691831303.0,0.002308666666666666,0.1981255668648596,0,0,1,0,0,1.0,0.011889,6.0,0.009923
2021-01-29 08:00:00,0.011889,0.014966,0.011889,0.012541,604854416.0,0.0025007499999999995,0.05484060896627141,0,0,0,0,0,1.0,0.012541,6.0,0.009923
2021-01-30 08:00:00,0.012541,0.014065,0.0115,0.012056,388061322.0,0.0025135999999999995,-0.03867315206123911,0,0,0,0,0,2.0,0.012056,1.0,0.009923
2021-01-31 08:00:00,0.01205,0.013,0.011213,0.0116,266368364.0,0.0023924999999999992,-0.03782349037823507,0,0,0,0,0,2.0,0.0116,1.0,0.009923
2021-02-01 08:00:00,0.011589,0.012369,0.0111,0.011929,218040887.0,0.002231999999999999,0.028362068965517295,0,0,0,0,0,1.0,0.011929,6.0,0.009923
2021-02-02 08:00:00,0.011894,0.01345,0.011864,0.012842,220257524.0,0.0021512499999999995,0.07653617235308907,0,0,0,0,0,1.0,0.012842,6.0,0.009923
2021-02-03 08:00:00,0.012877,0.015501,0.012562,0.014401,963603434.0,0.002238777777777777,0.12139853605357431,0,0,0,0,0,1.0,0.014401,6.0,0.009923
2021-02-04 08:00:00,0.014377,0.0199,0.014216,0.016793,1652142286.0,0.0025832999999999993,0.1660995764183042,0,0,0,0,0,1.0,0.016793,6.0,0.009923
2021-02-05 08:00:00,0.016786,0.018722,0.016189,0.017311,1040505215.0,0.0025787272727272725,0.030846185910796242,0,0,0,0,0,1.0,0.017311,6.0,0.009923
2021-02-06 08:00:00,0.01731,0.017448,0.015,0.016112,963197026.0,0.002567833333333333,-0.06926231875685973,0,0,0,0,0,2.0,0.016112,1.0,0.009923
2021-02-07 08:00:00,0.016124,0.0184,0.014371,0.017367,1853454852.0,0.002680230769230769,0.07789225422045676,0,0,0,0,0,1.0,0.017367,6.0,0.009923
2021-02-08 08:00:00,0.017368,0.019623,0.016596,0.018162,1068822942.0,0.002705,0.04577647262048723,0,0,0,0,0,1.0,0.018162,6.0,0.009923
2021-02-09 08:00:00,0.018162,0.02052,0.018162,0.020044,1048141183.0,0.0026818666666666665,0.10362294901442559,0,0,0,0,0,1.0,0.020044,6.0,0.009923
2021-02-10 08:00:00,0.020074,0.021008,0.016699,0.018532,1212575798.0,0.0027835625,-0.07543404510077822,0,0,0,0,0,2.0,0.018532,1.0,0.009923
2021-02-11 08:00:00,0.018553,0.023431,0.017993,0.02168,1214049881.0,0.0029397058823529415,0.1698683358515003,0,0,0,0,0,1.0,0.02168,6.0,0.009923
2021-02-12 08:00:00,0.021734,0.023841,0.020257,0.022447,781381866.0,0.0029755000000000007,0.03537822878228791,0,0,0,0,0,1.0,0.022447,6.0,0.009923
2021-02-13 08:00:00,0.022466,0.027262,0.022447,0.024758,1546158074.0,0.0030723157894736847,0.10295362409230613,0,0,0,0,0,1.0,0.024758,6.0,0.009923
2021-02-14 08:00:00,0.024785,0.029554,0.022056,0.02705,1752221356.0,0.0032936000000000007,0.09257613700622036,0,0,0,0,0,1.0,0.02705,6.0,0.009923
2021-02-15 08:00:00,0.027069,0.030894,0.02289,0.026437,2666436768.0,0.0035179047619047625,-0.022661737523105407,0,0,0,0,0,2.0,0.026437,1.0,0.009923
2021-02-16 08:00:00,0.026453,0.028819,0.024768,0.026153,656336275.0,0.003542136363636364,-0.010742519953096052,0,0,0,0,0,2.0,0.026153,1.0,0.009923
2021-02-17 08:00:00,0.026132,0.027149,0.02348,0.025954,673299691.0,0.0035476521739130434,-0.007609069705196259,0,0,0,0,0,2.0,0.025954,1.0,0.009923
2021-02-18 08:00:00,0.025965,0.029187,0.025965,0.027776,691732583.0,0.0035345416666666667,0.07020112506742682,0,0,0,0,0,1.0,0.027776,6.0,0.009923
2021-02-19 08:00:00,0.027844,0.030844,0.02659,0.029095,753479973.0,0.00356332,0.047487039170506895,0,0,0,0,0,1.0,0.029095,6.0,0.009923
2021-02-20 08:00:00,0.029088,0.031496,0.024913,0.027271,807673662.0,0.0036794615384615386,-0.06269118405224261,0,0,0,0,0,2.0,0.027271,1.0,0.009923
2021-02-21 08:00:00,0.027226,0.028578,0.026398,0.028177,326878739.0,0.003623925925925926,0.033222104066590985,0,0,0,0,0,1.0,0.028177,6.0,0.009923
2021-02-22 08:00:00,0.02819,0.041475,0.024117,0.032443,3983395222.0,0.004114428571428572,0.15140007807786482,1,0,0,0,0,1.0,0.032443,6.0,0.032443
