Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2022-02-22 08:00:00,5.011,6.13,5.011,5.988,21567854.1,1.1189999999999998,0.059285237140948466,0,1,0,0,0,-1.0,0.0,0.0,5.988
2022-02-23 08:00:00,5.987,7.8,5.92,6.343,88186202.5,1.4994999999999998,0.059285237140948466,0,0,1,0,0,1.0,6.343,6.0,5.988
2022-02-24 08:00:00,6.338,7.266,5.308,7.051,48007895.5,1.6523333333333332,0.11161910767775507,0,0,0,0,0,1.0,7.051,6.0,5.988
2022-02-25 08:00:00,7.041,7.424,6.642,7.07,23994943.3,1.43475,0.0026946532406750823,0,0,0,0,0,1.0,7.07,6.0,5.988
2022-02-26 08:00:00,7.069,7.207,6.33,6.517,11419710.8,1.3232,-0.07821782178217818,0,0,0,0,0,2.0,6.517,1.0,5.988
2022-02-27 08:00:00,6.514,7.15,6.069,6.586,25117432.5,1.2828333333333333,0.010587693724106284,0,0,0,0,0,1.0,6.586,6.0,5.988
2022-02-28 08:00:00,6.591,7.77,6.283,7.532,30335890.9,1.3119999999999998,0.14363802004251447,0,0,0,0,0,1.0,7.532,6.0,5.988
2022-03-01 08:00:00,7.537,8.581,7.378,8.092,24190943.7,1.2983749999999998,0.07434944237918217,1,0,0,0,0,1.0,8.092,6.0,8.092
2022-03-02 08:00:00,8.093,8.114,7.21,7.288,9708406.9,1.2545555555555556,-0.09935739001482946,0,0,0,1,0,2.0,7.288,1.0,8.092
2022-03-03 08:00:00,7.289,7.833,7.033,7.3,10285170.8,1.2091,0.0016465422612512715,0,0,0,0,0,2.0,7.288,2.0,8.092
2022-03-04 08:00:00,7.299,7.379,6.103,6.308,11065732.6,1.2151818181818184,-0.13589041095890408,0,0,0,0,0,2.0,6.308,1.0,8.092
2022-03-05 08:00:00,6.308,6.67,6.105,6.502,8706593.8,1.161,0.030754597336715372,0,0,0,0,0,1.0,6.502,6.0,8.092
2022-03-06 08:00:00,6.502,6.502,5.505,5.56,9028111.7,1.1483846153846153,-0.1448784989234082,0,0,0,0,0,2.0,5.56,1.0,8.092
2022-03-07 08:00:00,5.56,5.926,5.181,5.297,9460747.6,1.1195714285714284,-0.047302158273381245,0,0,0,0,0,2.0,5.297,1.0,8.092
2022-03-08 08:00:00,5.296,5.747,5.1,5.241,8158222.4,1.0880666666666665,-0.010572021899188266,0,0,0,0,0,2.0,5.241,1.0,8.092
2022-03-09 08:00:00,5.24,5.796,5.215,5.439,8000597.7,1.0563749999999998,0.03777904979965663,0,0,0,0,0,1.0,5.439,6.0,8.092
2022-03-10 08:00:00,5.441,5.452,4.801,5.205,6895064.5,1.0325294117647057,-0.043022614451185826,0,0,0,0,0,2.0,5.205,1.0,8.092
2022-03-11 08:00:00,5.205,5.207,4.703,4.773,4539253.1,1.0031666666666663,-0.08299711815561972,0,0,0,0,0,2.0,4.773,1.0,8.092
2022-03-12 08:00:00,4.775,5.156,4.768,5.009,7184714.4,0.9707894736842102,0.0494447936308402,0,0,0,0,0,1.0,5.009,6.0,8.092
2022-03-13 08:00:00,5.006,5.418,4.801,4.829,19963906.4,0.9530999999999997,-0.03593531643042536,0,0,0,0,0,2.0,4.829,1.0,8.092
2022-03-14 08:00:00,4.829,5.049,4.565,4.765,7394285.9,0.9307619047619043,-0.013253261544833306,0,0,0,0,0,2.0,4.765,1.0,8.092
2022-03-15 08:00:00,4.763,4.77,4.567,4.681,3787620.3,0.8976818181818178,-0.0176285414480587,0,0,0,0,0,2.0,4.681,1.0,8.092
2022-03-16 08:00:00,4.682,4.821,4.421,4.74,6025338.0,0.8760434782608691,0.012604144413586926,0,0,0,0,0,1.0,4.74,6.0,8.092
2022-03-17 08:00:00,4.739,4.903,4.565,4.594,5621781.9,0.8536249999999995,-0.03080168776371306,0,1,0,0,0,2.0,4.594,1.0,4.594
2022-03-18 08:00:00,4.594,4.738,4.465,4.61,4189032.7,0.8303999999999995,0.003482803656943867,0,0,1,0,0,2.0,4.594,3.0,4.594
2022-03-19 08:00:00,4.61,5.535,4.607,5.017,16482371.7,0.8341538461538457,0.08828633405639907,0,0,0,0,0,1.0,5.017,6.0,4.594
2022-03-20 08:00:00,5.018,5.519,4.677,4.783,12257411.0,0.834444444444444,-0.04664141917480569,0,0,0,0,0,2.0,4.783,1.0,4.594
2022-03-21 08:00:00,4.782,4.971,4.621,4.909,7195730.8,0.8171428571428567,0.02634329918461198,0,0,0,0,0,1.0,4.909,6.0,4.594
2022-03-22 08:00:00,4.91,5.183,4.84,4.917,10057718.2,0.8007931034482755,0.0016296598085150382,0,0,0,0,0,1.0,4.917,6.0,4.594
2022-03-23 08:00:00,4.916,5.204,4.843,5.086,5834041.2,0.786133333333333,0.034370551149074835,0,0,0,0,0,1.0,5.086,6.0,4.594
2022-03-24 08:00:00,5.086,5.332,4.974,5.131,5993911.9,0.7723225806451609,0.00884781753834063,0,0,0,0,0,1.0,5.131,6.0,4.594
2022-03-25 08:00:00,5.132,5.658,5.076,5.399,16604319.9,0.7663749999999997,0.05223153381407131,0,0,0,0,0,1.0,5.399,6.0,4.594
2022-03-26 08:00:00,5.4,6.39,5.1,6.053,42922825.6,0.782242424242424,0.1211335432487497,1,0,0,0,0,1.0,6.053,6.0,6.053
2022-03-27 08:00:00,6.055,6.474,5.587,5.859,14065446.2,0.7853235294117644,-0.03205022302990257,0,0,0,1,0,2.0,5.859,1.0,6.053
2022-03-28 08:00:00,5.859,6.167,5.387,5.555,10737227.4,0.7851714285714283,-0.05188598736985839,0,0,0,0,0,2.0,5.555,1.0,6.053
2022-03-29 08:00:00,5.555,5.975,5.489,5.7,6631181.1,0.7768611111111109,0.026102610261026227,0,0,0,0,0,1.0,5.7,6.0,6.053
