Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2020-02-07 08:00:00,4.574,4.95,4.573,4.822,965941.88,0.3769999999999998,-0.03629199502281211,0,0,0,0,0,-1.0,0.0,0.0,4.822
2020-02-08 08:00:00,4.817,4.835,4.485,4.647,1234406.02,0.3634999999999997,-0.03629199502281211,0,1,0,0,0,-1.0,0.0,0.0,4.647
2020-02-09 08:00:00,4.642,4.81,4.626,4.76,985383.9,0.30366666666666625,0.024316763503335448,0,0,1,0,0,1.0,4.76,6.0,4.647
2020-02-10 08:00:00,4.76,4.81,4.547,4.782,1026402.54,0.29349999999999965,0.004621848739495782,0,0,0,0,0,1.0,4.782,6.0,4.647
2020-02-11 08:00:00,4.774,5.237,4.696,5.118,1946745.8,0.3429999999999998,0.07026348808030125,0,0,0,0,0,1.0,5.118,6.0,4.647
2020-02-12 08:00:00,5.119,5.346,5.05,5.117,1592273.17,0.33516666666666656,-0.00019538882375935707,0,0,0,0,0,1.0,5.118,6.0,4.647
2020-02-13 08:00:00,5.121,5.274,4.838,4.919,2061445.94,0.3495714285714285,-0.0386945475864765,0,0,0,0,0,2.0,4.919,1.0,4.647
2020-02-14 08:00:00,4.917,5.17,4.866,5.128,1221732.7,0.34387499999999993,0.042488310632242454,1,0,0,0,0,1.0,5.128,6.0,5.128
2020-02-15 08:00:00,5.13,5.159,4.384,4.608,1869691.28,0.39177777777777767,-0.10140405616224657,0,0,0,1,0,2.0,4.608,1.0,5.128
2020-02-16 08:00:00,4.605,4.778,4.0,4.384,2256837.69,0.43039999999999984,-0.04861111111111094,0,0,0,0,0,2.0,4.384,1.0,5.128
2020-02-17 08:00:00,4.386,4.431,3.904,4.274,1904662.63,0.43918181818181806,-0.025091240875912524,0,0,0,0,0,2.0,4.274,1.0,5.128
2020-02-18 08:00:00,4.277,4.505,3.968,4.441,1513693.03,0.4473333333333332,0.03907346747777263,0,0,0,0,0,1.0,4.441,6.0,5.128
2020-02-19 08:00:00,4.441,4.704,4.044,4.148,1778122.27,0.46369230769230757,-0.06597613150191406,0,1,0,0,0,2.0,4.148,1.0,4.148
2020-02-20 08:00:00,4.143,4.556,4.099,4.468,2241518.52,0.46321428571428563,0.07714561234329809,0,0,1,0,0,1.0,4.468,6.0,4.148
2020-02-21 08:00:00,4.464,4.989,4.412,4.962,4334831.35,0.4707999999999999,0.11056401074306166,0,0,0,0,0,1.0,4.962,6.0,4.148
2020-02-22 08:00:00,4.96,5.097,4.657,5.027,4089454.98,0.46887499999999993,0.013099556630391085,1,0,0,0,0,1.0,5.027,6.0,5.027
2020-02-23 08:00:00,5.02,5.1,4.739,4.808,3010097.42,0.4625294117647058,-0.04356475034812024,0,0,0,1,0,2.0,4.808,1.0,5.027
2020-02-24 08:00:00,4.808,4.94,4.201,4.399,4888439.01,0.4778888888888889,-0.08506655574043254,0,0,0,0,0,2.0,4.399,1.0,5.027
2020-02-25 08:00:00,4.397,4.42,3.993,4.051,3095092.65,0.47521052631578947,-0.07910888838372354,0,0,0,0,0,2.0,4.051,1.0,5.027
2020-02-26 08:00:00,4.051,4.082,3.45,3.642,3821641.65,0.48305,-0.10096272525302397,0,0,0,0,0,2.0,3.642,1.0,5.027
2020-02-27 08:00:00,3.643,3.862,3.348,3.697,4018400.46,0.4845238095238096,0.015101592531576058,0,0,0,0,0,1.0,3.697,6.0,5.027
2020-02-28 08:00:00,3.699,3.756,3.423,3.542,3971987.03,0.4776363636363637,-0.04192588585339474,0,0,0,0,0,2.0,3.542,1.0,5.027
2020-02-29 08:00:00,3.541,3.69,3.437,3.449,1945540.88,0.46786956521739137,-0.02625635234330881,0,0,0,0,0,2.0,3.449,1.0,5.027
2020-03-01 08:00:00,3.444,3.55,3.253,3.348,3230745.38,0.46075,-0.029283850391417787,0,1,0,0,0,2.0,3.348,1.0,3.348
2020-03-02 08:00:00,3.344,3.774,3.331,3.71,2769487.79,0.46004,0.10812425328554354,0,0,1,0,0,1.0,3.71,6.0,3.348
2020-03-03 08:00:00,3.709,3.711,3.516,3.623,2749977.07,0.44984615384615384,-0.02345013477088942,0,0,0,0,0,2.0,3.623,1.0,3.348
2020-03-04 08:00:00,3.625,3.898,3.623,3.746,3508114.08,0.44337037037037036,0.033949765387800035,0,0,0,0,0,1.0,3.746,6.0,3.348
2020-03-05 08:00:00,3.749,3.946,3.734,3.768,3435726.94,0.43510714285714286,0.005872931126534864,0,0,0,0,0,1.0,3.768,6.0,3.348
2020-03-06 08:00:00,3.766,3.885,3.705,3.862,2189424.78,0.4263103448275862,0.02494692144373678,1,0,0,0,0,1.0,3.862,6.0,3.862
