Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2020-09-23 08:00:00,3.93,4.6092,3.3778,3.5136,14289266.0,1.2314000000000003,0.31298383424408005,0,1,0,0,0,-1.0,0.0,0.0,3.5136
2020-09-24 08:00:00,3.5123,4.86,3.4171,4.6133,12968822.0,1.3371500000000003,0.31298383424408005,0,0,1,0,0,1.0,4.6133,6.0,3.5136
2020-09-25 08:00:00,4.6129,5.0295,4.189,4.6867,11945245.0,1.1716,0.01591051958467915,1,0,0,0,0,1.0,4.6867,6.0,4.6867
2020-09-26 08:00:00,4.6892,4.8025,4.3459,4.5203,6912586.0,0.99285,-0.035504726139927945,0,0,0,1,0,2.0,4.5203,1.0,4.6867
2020-09-27 08:00:00,4.5244,4.7,4.0976,4.6391,5967454.0,0.91476,0.026281441497245872,0,0,0,0,0,1.0,4.6391,6.0,4.6867
2020-09-28 08:00:00,4.6383,4.687,4.15,4.1955,5522693.0,0.8518,-0.09562199564570717,0,0,0,0,0,2.0,4.1955,1.0,4.6867
2020-09-29 08:00:00,4.195,4.2786,3.95,4.1314,5153781.0,0.7770571428571429,-0.015278274341556375,0,0,0,0,0,2.0,4.1314,1.0,4.6867
2020-09-30 08:00:00,4.1334,4.3976,3.99,4.321,5638476.0,0.7308749999999999,0.04589243355763162,0,0,0,0,0,1.0,4.321,6.0,4.6867
2020-10-01 08:00:00,4.3246,4.5269,4.0,4.1477,6333875.0,0.7082111111111111,-0.040106456838694626,0,0,0,0,0,2.0,4.1477,1.0,4.6867
2020-10-02 08:00:00,4.1471,4.2137,3.6414,3.8972,8854778.0,0.69462,-0.0603949176652121,0,0,0,0,0,2.0,3.8972,1.0,4.6867
2020-10-03 08:00:00,3.8952,4.1864,3.8554,4.0169,5275795.0,0.6615636363636365,0.0307143590269936,0,0,0,0,0,1.0,4.0169,6.0,4.6867
2020-10-04 08:00:00,4.0102,4.0691,3.8143,3.9608,5280970.0,0.6276666666666667,-0.013965993676715804,0,0,0,0,0,2.0,3.9608,1.0,4.6867
2020-10-05 08:00:00,3.956,4.0456,3.8675,3.976,4681565.0,0.5930846153846154,0.0038376085639264534,0,0,0,0,0,2.0,3.9608,4.0,4.6867
2020-10-06 08:00:00,3.978,3.9928,3.48,3.5338,6161670.0,0.58735,-0.11121730382293771,0,0,0,0,0,2.0,3.5338,1.0,4.6867
2020-10-07 08:00:00,3.536,3.5397,3.1893,3.4413,6660381.0,0.5715533333333335,-0.026175788103457998,0,1,0,0,0,2.0,3.4413,1.0,3.4413
2020-10-08 08:00:00,3.4445,3.9534,3.3088,3.9034,7083340.0,0.57611875,0.1342806497544533,0,0,1,0,0,1.0,3.9034,6.0,3.4413
2020-10-09 08:00:00,3.9024,4.3209,3.7964,4.2356,5565602.0,0.5730823529411765,0.0851052928216427,0,0,0,0,0,1.0,4.2356,6.0,3.4413
2020-10-10 08:00:00,4.2327,4.2689,3.9765,4.0142,4994696.0,0.5574888888888889,-0.05227122485598268,0,0,0,0,0,2.0,4.0142,1.0,3.4413
2020-10-11 08:00:00,4.0143,4.1896,3.9279,4.0924,4784523.0,0.5419210526315791,0.01948084300732389,0,0,0,0,0,1.0,4.0924,6.0,3.4413
2020-10-12 08:00:00,4.0917,4.6939,4.0503,4.4123,6133208.0,0.5470050000000001,0.07816928941452472,0,0,0,0,0,1.0,4.4123,6.0,3.4413
2020-10-13 08:00:00,4.4137,4.5481,4.3252,4.4774,4270352.0,0.5315714285714286,0.014754209822541497,1,0,0,0,0,1.0,4.4774,6.0,4.4774
2020-10-14 08:00:00,4.4785,4.4879,4.0105,4.1513,4583035.0,0.5291090909090909,-0.07283244740251049,0,0,0,1,0,2.0,4.1513,1.0,4.4774
2020-10-15 08:00:00,4.1517,4.2283,3.9922,4.1266,3671854.0,0.5163695652173913,-0.005949943391226897,0,0,0,0,0,2.0,4.1266,1.0,4.4774
2020-10-16 08:00:00,4.1262,4.1368,3.8578,4.0281,4534013.0,0.5064791666666667,-0.023869529394658917,0,0,0,0,0,2.0,4.0281,1.0,4.4774
2020-10-17 08:00:00,4.0324,4.2024,3.9559,4.189,3906457.0,0.49607999999999997,0.039944390655644035,0,0,0,0,0,1.0,4.189,6.0,4.4774
2020-10-18 08:00:00,4.1927,4.2464,4.072,4.1186,3384876.0,0.4837076923076923,-0.016805920267366936,0,0,0,0,0,2.0,4.1186,1.0,4.4774
