Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2020-09-01 08:00:00,35.0,39.153,30.724,34.689,497535.5,8.428999999999998,-0.07518233445760891,1,0,0,0,0,-1.0,0.0,0.0,34.689
2020-09-02 08:00:00,34.677,36.419,28.345,32.081,619768.2,8.251499999999998,-0.07518233445760891,0,0,0,1,0,2.0,32.081,1.0,34.689
2020-09-03 08:00:00,32.07,32.781,20.554,22.477,560301.2,9.576666666666666,-0.2993672267073969,0,0,0,0,0,2.0,22.477,1.0,34.689
2020-09-04 08:00:00,22.419,23.502,20.337,22.093,478893.0,7.973749999999999,-0.017084130444454337,0,0,0,0,0,2.0,22.093,1.0,34.689
2020-09-05 08:00:00,22.047,23.107,16.557,18.381,534261.5,7.688999999999998,-0.1680170189652831,0,1,0,0,0,2.0,18.381,1.0,18.381
2020-09-06 08:00:00,18.376,21.542,17.101,21.263,280775.0,7.147666666666666,0.15679233991621788,0,0,1,0,0,1.0,21.263,6.0,18.381
2020-09-07 08:00:00,21.209,21.841,19.294,21.823,283744.5,6.490428571428571,0.026336829233880366,0,0,0,0,0,1.0,21.823,6.0,18.381
2020-09-08 08:00:00,21.84,22.194,19.353,20.073,271729.4,6.034249999999998,-0.08019062457040738,0,0,0,0,0,2.0,20.073,1.0,18.381
2020-09-09 08:00:00,20.116,22.076,18.692,20.995,359478.2,5.7397777777777765,0.04593234693369208,0,0,0,0,0,1.0,20.995,6.0,18.381
2020-09-10 08:00:00,21.008,23.658,20.78,20.954,356447.3,5.453599999999999,-0.0019528459156942235,0,0,0,0,0,1.0,20.995,5.0,18.381
2020-09-11 08:00:00,20.964,21.25,19.997,20.652,241954.7,5.071727272727272,-0.014412522668702854,0,0,0,0,0,2.0,20.652,1.0,18.381
2020-09-12 08:00:00,20.649,24.073,20.151,23.711,530608.3,4.975916666666666,0.14812124733681964,0,0,0,0,0,1.0,23.711,6.0,18.381
2020-09-13 08:00:00,23.721,25.624,21.365,22.446,969546.8,4.9207692307692295,-0.05335076546750439,0,0,0,0,0,2.0,22.446,1.0,18.381
2020-09-14 08:00:00,22.456,24.66,21.488,24.581,375665.9,4.795857142857142,0.09511717009712184,1,0,0,0,0,1.0,24.581,6.0,24.581
2020-09-15 08:00:00,24.569,24.591,20.988,21.306,304775.2,4.716333333333332,-0.13323298482567836,0,0,0,1,0,2.0,21.306,1.0,24.581
2020-09-16 08:00:00,21.291,21.377,20.133,20.998,313283.1,4.4993124999999985,-0.01445602177790295,0,0,0,0,0,2.0,20.998,1.0,24.581
2020-09-17 08:00:00,20.996,23.344,20.059,22.643,424253.9,4.427882352941175,0.07834079436136765,0,0,0,0,0,1.0,22.643,6.0,24.581
2020-09-18 08:00:00,22.602,22.649,19.757,20.237,478607.6,4.3425555555555535,-0.1062580046813586,0,0,0,0,0,2.0,20.237,1.0,24.581
2020-09-19 08:00:00,20.237,20.352,17.914,18.432,662831.0,4.2423157894736825,-0.08919306221277856,0,0,0,0,0,2.0,18.432,1.0,24.581
2020-09-20 08:00:00,18.413,18.789,16.786,17.193,497056.2,4.130349999999998,-0.06722005208333315,0,0,0,0,0,2.0,17.193,1.0,24.581
2020-09-21 08:00:00,17.191,17.382,14.478,14.914,500163.0,4.071952380952379,-0.13255394637352425,0,0,0,0,0,2.0,14.914,1.0,24.581
2020-09-22 08:00:00,14.928,15.306,14.475,14.661,295972.1,3.9246363636363624,-0.01696392651200218,0,0,0,0,0,2.0,14.661,1.0,24.581
2020-09-23 08:00:00,14.66,14.804,12.961,13.031,547818.8,3.8341304347826077,-0.11117931928244995,0,1,0,0,0,2.0,13.031,1.0,13.031
2020-09-24 08:00:00,13.034,15.632,12.859,15.319,1107547.9,3.7899166666666653,0.1755813061161844,0,0,1,0,0,1.0,15.319,6.0,13.031
2020-09-25 08:00:00,15.317,15.834,14.549,15.307,423144.5,3.6897199999999986,-0.0007833409491481147,0,0,0,0,0,1.0,15.319,6.0,13.031
2020-09-26 08:00:00,15.333,15.808,14.755,15.501,358126.2,3.588307692307691,0.012673940027438269,0,0,0,0,0,1.0,15.501,6.0,13.031
2020-09-27 08:00:00,15.504,15.694,14.55,14.99,272478.6,3.4977777777777765,-0.03296561512160501,0,0,0,0,0,2.0,14.99,1.0,13.031
2020-09-28 08:00:00,14.987,16.2,14.911,15.164,309908.5,3.4188928571428563,0.011607738492328101,0,0,0,0,0,1.0,15.164,6.0,13.031
2020-09-29 08:00:00,15.162,15.684,14.631,15.684,266353.7,3.337310344827585,0.03429174360327081,0,0,0,0,0,1.0,15.684,6.0,13.031
2020-09-30 08:00:00,15.675,15.92,15.19,15.692,227920.6,3.250399999999999,0.0005100739607244442,0,0,0,0,0,1.0,15.692,6.0,13.031
2020-10-01 08:00:00,15.693,19.037,15.633,17.73,1707077.5,3.2553548387096765,0.12987509559010957,1,0,0,0,0,1.0,17.73,6.0,17.73
2020-10-02 08:00:00,17.726,18.644,14.702,15.76,1794833.2,3.276812499999999,-0.11111111111111116,0,0,0,1,0,2.0,15.76,1.0,17.73
2020-10-03 08:00:00,15.77,16.836,15.542,16.167,629707.0,3.2167272727272715,0.025824873096446765,0,0,0,0,0,1.0,16.167,6.0,17.73
