Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2020-02-13 08:00:00,0.3102,0.32,0.279,0.2955,8513031.6,0.04099999999999998,0.056852791878172715,0,0,0,0,0,-1.0,0.0,0.0,0.2955
2020-02-14 08:00:00,0.2954,0.3171,0.2942,0.3123,9222442.5,0.03194999999999998,0.056852791878172715,1,0,0,0,0,-1.0,0.0,0.0,0.3123
2020-02-15 08:00:00,0.3124,0.3228,0.2698,0.2795,15602021.4,0.03896666666666665,-0.10502721741914822,0,0,0,1,1,2.0,0.2795,1.0,0.3123
2020-02-16 08:00:00,0.2795,0.2906,0.2332,0.2635,9329665.1,0.043574999999999996,-0.057245080500894496,0,0,0,0,0,2.0,0.2635,1.0,0.3123
2020-02-17 08:00:00,0.2627,0.2685,0.2379,0.2666,6574451.0,0.04098,0.0117647058823529,0,0,0,0,0,1.0,0.2666,6.0,0.3123
2020-02-18 08:00:00,0.2668,0.29,0.2612,0.2818,8646696.9,0.03895,0.05701425356339085,0,0,0,0,0,1.0,0.2818,6.0,0.3123
2020-02-19 08:00:00,0.2823,0.285,0.242,0.2591,7855811.5,0.03952857142857142,-0.08055358410220015,0,0,0,0,0,2.0,0.2591,1.0,0.3123
2020-02-20 08:00:00,0.2584,0.2615,0.2451,0.2574,6338933.9,0.03663749999999999,-0.006561173292165101,0,0,0,0,0,2.0,0.2574,1.0,0.3123
2020-02-21 08:00:00,0.257,0.2731,0.2527,0.267,4971359.3,0.03483333333333333,0.037296037296037365,0,0,0,0,0,1.0,0.267,6.0,0.3123
2020-02-22 08:00:00,0.267,0.2756,0.2642,0.2723,6759234.1,0.03249,0.019850187265917585,0,0,0,0,0,1.0,0.2723,6.0,0.3123
2020-02-23 08:00:00,0.2726,0.2834,0.2693,0.277,7464662.4,0.030818181818181814,0.017260374586852922,1,0,0,0,0,1.0,0.277,6.0,0.277
2020-02-24 08:00:00,0.277,0.2784,0.25,0.2572,9849845.2,0.030616666666666664,-0.07148014440433226,0,0,0,1,0,2.0,0.2572,1.0,0.277
2020-02-25 08:00:00,0.2576,0.2585,0.2316,0.2342,8034144.2,0.03033076923076923,-0.08942457231726286,0,0,0,0,0,2.0,0.2342,1.0,0.277
2020-02-26 08:00:00,0.2341,0.2395,0.201,0.2188,13982818.9,0.03091428571428571,-0.06575576430401364,0,0,0,0,0,2.0,0.2188,1.0,0.277
2020-02-27 08:00:00,0.219,0.2314,0.2074,0.2219,8772257.0,0.030453333333333332,0.014168190127970659,0,0,0,0,0,1.0,0.2219,6.0,0.277
2020-02-28 08:00:00,0.2215,0.2269,0.2064,0.2154,6594576.3,0.029831249999999997,-0.029292474087426634,0,0,0,0,0,2.0,0.2154,1.0,0.277
2020-02-29 08:00:00,0.2154,0.2227,0.2109,0.211,3075524.3,0.028770588235294117,-0.020427112349117982,0,0,0,0,0,2.0,0.211,1.0,0.277
