Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2019-12-19 08:00:00,185.0,189.5,182.9,186.14,110800.434,6.599999999999994,0.006822821532180168,0,1,0,0,0,-1.0,0.0,0.0,186.14
2019-12-20 08:00:00,185.99,190.5,183.02,187.41,225130.546,7.039999999999992,0.006822821532180168,0,0,1,0,0,1.0,187.41,6.0,186.14
2019-12-21 08:00:00,187.43,188.49,185.02,186.21,167471.832,5.849999999999994,-0.0064030734752680285,0,0,0,0,0,2.0,186.21,1.0,186.14
2019-12-22 08:00:00,186.21,197.81,185.7,196.19,116332.603,7.414999999999999,0.05359540303957888,1,0,0,0,0,1.0,196.19,6.0,196.19
2019-12-23 08:00:00,196.19,198.66,187.77,189.61,88983.918,8.109999999999996,-0.03353891635659301,0,0,0,1,0,2.0,189.61,1.0,196.19
2019-12-24 08:00:00,189.61,192.11,184.3,188.34,95153.136,8.059999999999997,-0.006697958968408857,0,0,0,0,0,2.0,188.34,1.0,196.19
2019-12-25 08:00:00,188.34,188.8,182.65,185.26,79815.776,7.787142857142856,-0.0163534034193481,0,1,0,0,0,2.0,185.26,1.0,185.26
2019-12-26 08:00:00,185.27,194.76,184.07,187.62,99537.923,8.149999999999999,0.01273885350318471,0,0,1,0,0,1.0,187.62,6.0,185.26
2019-12-27 08:00:00,187.6,203.81,186.72,203.18,174701.046,9.143333333333333,0.08293358916959814,0,0,0,0,0,1.0,203.18,6.0,185.26
2019-12-28 08:00:00,203.2,210.0,202.44,206.08,212754.718,8.985,0.014273058371887082,0,0,0,0,0,1.0,206.08,6.0,185.26
2019-12-29 08:00:00,206.08,215.78,204.05,212.21,231217.018,9.234545454545453,0.029745729813664523,1,0,0,0,0,1.0,212.21,6.0,212.21
2019-12-30 08:00:00,212.2,214.78,205.7,208.45,234498.747,9.221666666666666,-0.01771829791244528,0,0,0,1,0,2.0,208.45,1.0,212.21
2019-12-31 08:00:00,208.45,214.0,201.73,204.72,320814.994,9.456153846153846,-0.017893979371551905,0,0,0,0,0,2.0,204.72,1.0,212.21
2020-01-01 08:00:00,204.72,208.95,202.95,204.44,235950.127,9.209285714285715,-0.0013677217663149444,0,0,0,0,0,2.0,204.44,1.0,212.21
2020-01-02 08:00:00,204.45,205.54,192.08,195.73,307659.505,9.492666666666667,-0.04260418704754454,0,1,0,0,0,2.0,195.73,1.0,195.73
2020-01-03 08:00:00,195.6,226.2,192.05,222.31,560968.042,11.033749999999998,0.13579931538343648,0,0,1,0,0,1.0,222.31,6.0,195.73
2020-01-04 08:00:00,222.31,227.19,219.3,224.37,478534.844,10.848823529411762,0.00926633979578062,0,0,0,0,0,1.0,224.37,6.0,195.73
2020-01-05 08:00:00,224.24,227.6,220.51,222.68,460171.541,10.639999999999997,-0.007532201274680239,0,0,0,0,0,2.0,222.68,1.0,195.73
