Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2020-11-18 08:00:00,1.0804,1.3368,1.05666,1.31765,8196768.0,0.28014000000000006,0.0157629112435016,0,0,0,0,0,-1.0,0.0,0.0,1.31765
2020-11-19 08:00:00,1.31908,1.46,1.2322,1.33842,12989739.0,0.25397000000000003,0.0157629112435016,0,0,0,0,0,-1.0,0.0,0.0,1.31765
2020-11-20 08:00:00,1.33796,1.51169,1.31737,1.41262,6564844.0,0.2340866666666667,0.05543850211443346,1,0,0,0,0,-1.0,0.0,0.0,1.41262
2020-11-21 08:00:00,1.41294,1.44,1.28372,1.32194,6494636.0,0.21463500000000002,-0.0641927765428778,0,0,0,1,0,2.0,1.32194,1.0,1.41262
2020-11-22 08:00:00,1.32363,1.36373,1.0864,1.18047,7046905.0,0.22717400000000004,-0.10701695992253812,0,0,0,0,0,2.0,1.18047,1.0,1.41262
2020-11-23 08:00:00,1.1817,1.28,1.1432,1.20292,6123110.0,0.2121116666666667,0.019017848822926453,0,0,0,0,0,1.0,1.20292,6.0,1.41262
2020-11-24 08:00:00,1.20347,1.27803,1.13,1.14506,6141010.0,0.2029571428571429,-0.04809962424766401,0,0,0,0,0,2.0,1.14506,1.0,1.41262
2020-11-25 08:00:00,1.14785,1.2504,1.02602,1.09446,6736691.0,0.20563500000000004,-0.04418982411402017,0,0,0,0,0,2.0,1.09446,1.0,1.41262
2020-11-26 08:00:00,1.09532,1.11408,0.77891,0.90084,9494938.0,0.22002777777777782,-0.17690916068198015,0,0,0,0,0,2.0,0.90084,1.0,1.41262
2020-11-27 08:00:00,0.90159,0.93857,0.8391,0.88572,4996203.0,0.20797200000000005,-0.016784334621020358,0,1,0,0,0,2.0,0.88572,1.0,0.88572
2020-11-28 08:00:00,0.88597,0.9413,0.86387,0.90481,4781543.0,0.1961045454545455,0.021553086754279027,0,0,1,0,0,1.0,0.90481,6.0,0.88572
2020-11-29 08:00:00,0.905,0.94,0.88041,0.92044,4539514.0,0.18472833333333338,0.01727434489008739,0,0,0,0,0,1.0,0.92044,6.0,0.88572
2020-11-30 08:00:00,0.92118,1.0657,0.91721,1.04019,7681200.0,0.1819407692307693,0.13010082134631262,0,0,0,0,0,1.0,1.04019,6.0,0.88572
2020-12-01 08:00:00,1.04031,1.1577,0.95788,1.04995,11128323.0,0.18321785714285718,0.009382901200742255,0,0,0,0,0,1.0,1.04995,6.0,0.88572
2020-12-02 08:00:00,1.05133,1.19681,1.02896,1.17665,6790473.0,0.18219333333333337,0.12067241297204623,0,0,0,0,0,1.0,1.17665,6.0,0.88572
2020-12-03 08:00:00,1.17449,1.18622,1.11808,1.13468,5366606.0,0.17506500000000005,-0.03566906046827867,0,0,0,0,0,2.0,1.13468,1.0,0.88572
2020-12-04 08:00:00,1.13377,1.22804,1.02,1.02653,7460731.0,0.17700470588235298,-0.0953132160609158,0,1,0,0,1,2.0,1.02653,1.0,1.02653
2020-12-05 08:00:00,1.02617,1.08781,1.0118,1.07286,4314302.0,0.17139388888888896,0.045132631291827874,0,0,1,0,0,1.0,1.07286,6.0,1.02653
2020-12-06 08:00:00,1.07271,1.2165,1.04374,1.20272,11297199.0,0.17146578947368427,0.12104095594951825,0,0,0,0,0,1.0,1.20272,6.0,1.02653
2020-12-07 08:00:00,1.20305,1.28618,1.17,1.21316,13760662.0,0.16870150000000006,0.008680324597578837,0,0,0,0,0,1.0,1.21316,6.0,1.02653
2020-12-08 08:00:00,1.21264,1.46914,1.17156,1.36608,20171725.0,0.17483857142857148,0.126050974315012,0,0,0,0,0,1.0,1.36608,6.0,1.02653
2020-12-09 08:00:00,1.36429,1.55752,1.34685,1.40231,29315487.0,0.17646727272727278,0.026521140782384656,1,0,0,0,0,1.0,1.40231,6.0,1.40231
2020-12-10 08:00:00,1.40366,1.41523,1.26,1.3044,13515791.0,0.1755439130434783,-0.06982051044348248,0,0,0,1,0,2.0,1.3044,1.0,1.40231
2020-12-11 08:00:00,1.30488,1.30935,1.11501,1.15405,14610066.0,0.17632708333333338,-0.11526372278442198,0,0,0,0,0,2.0,1.15405,1.0,1.40231
