Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2023-09-28 08:00:00,0.253,0.3047,0.2409,0.2572,269520768.0,0.06380000000000002,-0.04471228615863132,1,0,0,0,0,-1.0,0.0,0.0,0.2572
2023-09-29 08:00:00,0.257,0.2738,0.2377,0.2457,162647722.0,0.04995000000000001,-0.04471228615863132,0,0,0,1,0,2.0,0.2457,1.0,0.2572
2023-09-30 08:00:00,0.2456,0.2532,0.2316,0.2489,75567142.0,0.0405,0.013024013024013126,0,0,0,0,0,1.0,0.2489,6.0,0.2572
2023-10-01 08:00:00,0.2488,0.2531,0.238,0.2445,49346909.0,0.03415,-0.017677782241864226,0,0,0,0,0,2.0,0.2445,1.0,0.2572
2023-10-02 08:00:00,0.2445,0.2523,0.2298,0.2354,32249004.0,0.03182,-0.037218813905930404,0,0,0,0,0,2.0,0.2354,1.0,0.2572
2023-10-03 08:00:00,0.2356,0.2448,0.2305,0.2419,28827334.0,0.0289,0.027612574341546292,0,0,0,0,0,1.0,0.2419,6.0,0.2572
2023-10-04 08:00:00,0.2421,0.2421,0.223,0.2313,34067175.0,0.0275,-0.04381976023150058,0,0,0,0,0,2.0,0.2313,1.0,0.2572
2023-10-05 08:00:00,0.2314,0.2397,0.2263,0.2312,31395528.0,0.0257375,-0.00043233895373984144,0,0,0,0,0,2.0,0.2312,1.0,0.2572
2023-10-06 08:00:00,0.2313,0.2388,0.228,0.234,17034439.0,0.024077777777777778,0.01211072664359869,0,0,0,0,0,1.0,0.234,6.0,0.2572
2023-10-07 08:00:00,0.2341,0.2378,0.2307,0.2339,10732093.0,0.022380000000000004,-0.00042735042735053685,0,0,0,0,0,1.0,0.234,6.0,0.2572
2023-10-08 08:00:00,0.2339,0.2342,0.2203,0.2273,19069976.0,0.02160909090909091,-0.02821718683197949,0,0,0,0,0,2.0,0.2273,1.0,0.2572
2023-10-09 08:00:00,0.2272,0.2274,0.2066,0.2125,18713856.0,0.021541666666666667,-0.06511218653761552,0,0,0,0,0,2.0,0.2125,1.0,0.2572
