Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2023-08-10 08:00:00,0.572,0.6386,0.5439,0.6186,426444081.0,0.0946999999999999,-0.11057225994180409,1,0,0,0,0,-1.0,0.0,0.0,0.6186
2023-08-11 08:00:00,0.6184,0.6346,0.472,0.5502,468416046.0,0.12865,-0.11057225994180409,0,0,0,1,0,2.0,0.5502,1.0,0.6186
2023-08-12 08:00:00,0.5501,0.557,0.5152,0.5225,77057224.0,0.09970000000000001,-0.0503453289712833,0,0,0,0,0,2.0,0.5225,1.0,0.6186
2023-08-13 08:00:00,0.5225,0.5349,0.4844,0.4889,54982270.0,0.08740000000000002,-0.06430622009569376,0,0,0,0,0,2.0,0.4889,1.0,0.6186
2023-08-14 08:00:00,0.4889,0.5068,0.4686,0.4851,44911525.0,0.07756000000000002,-0.007772550623849517,0,0,0,0,0,2.0,0.4851,1.0,0.6186
2023-08-15 08:00:00,0.485,0.4871,0.4104,0.4345,40062663.0,0.07741666666666668,-0.10430839002267567,0,0,0,0,0,2.0,0.4345,1.0,0.6186
2023-08-16 08:00:00,0.4342,0.4708,0.4229,0.4533,92325330.0,0.07320000000000002,0.043268124280782416,0,0,0,0,0,1.0,0.4533,6.0,0.6186
2023-08-17 08:00:00,0.4534,0.4634,0.3451,0.3992,100068265.0,0.0788375,-0.11934701080961829,0,1,0,0,0,2.0,0.3992,1.0,0.3992
2023-08-18 08:00:00,0.3995,0.4205,0.3937,0.4136,39584438.0,0.07305555555555555,0.03607214428857719,0,0,1,0,0,1.0,0.4136,6.0,0.3992
2023-08-19 08:00:00,0.4134,0.4239,0.405,0.4068,16703133.0,0.06763999999999999,-0.01644100580270802,0,0,0,0,0,2.0,0.4068,1.0,0.3992
2023-08-20 08:00:00,0.4067,0.414,0.4026,0.4056,16223312.0,0.06252727272727271,-0.002949852507374562,0,0,0,0,0,2.0,0.4056,1.0,0.3992
2023-08-21 08:00:00,0.4053,0.4237,0.396,0.4179,28963484.0,0.059624999999999984,0.03032544378698221,0,0,0,0,0,1.0,0.4179,6.0,0.3992
2023-08-22 08:00:00,0.4179,0.4863,0.4003,0.4313,184197433.0,0.06165384615384614,0.0320650873414694,0,0,0,0,0,1.0,0.4313,6.0,0.3992
2023-08-23 08:00:00,0.4312,0.4415,0.4196,0.4367,28268569.0,0.05881428571428571,0.01252028750289802,1,0,0,0,0,1.0,0.4367,6.0,0.4367
2023-08-24 08:00:00,0.4367,0.4393,0.41,0.4162,12889629.0,0.05684666666666667,-0.04694298145179754,0,0,0,1,0,2.0,0.4162,1.0,0.4367
2023-08-25 08:00:00,0.4161,0.4164,0.403,0.4085,11868706.0,0.05413125,-0.01850072080730425,0,0,0,0,0,2.0,0.4085,1.0,0.4367
2023-08-26 08:00:00,0.4085,0.4148,0.4047,0.4064,5796360.0,0.051541176470588236,-0.005140758873928952,0,1,0,0,0,2.0,0.4064,1.0,0.4064
2023-08-27 08:00:00,0.4064,0.413,0.4015,0.4069,5413380.0,0.04931666666666666,0.0012303149606298636,0,0,1,0,0,2.0,0.4064,2.0,0.4064
2023-08-28 08:00:00,0.4068,0.4225,0.4011,0.4094,17243462.0,0.047847368421052625,0.0061440157286802854,0,0,0,0,0,1.0,0.4094,6.0,0.4064
2023-08-29 08:00:00,0.4093,0.446,0.409,0.4372,50879546.0,0.047305,0.06790425012212986,1,0,0,0,0,1.0,0.4372,6.0,0.4372
2023-08-30 08:00:00,0.4371,0.4378,0.4226,0.4283,8033056.0,0.04577619047619048,-0.0203568161024702,0,0,0,1,0,2.0,0.4283,1.0,0.4372
2023-08-31 08:00:00,0.4283,0.4326,0.4085,0.4172,7254576.0,0.044790909090909097,-0.025916413728694798,0,0,0,0,0,2.0,0.4172,1.0,0.4372
2023-09-01 08:00:00,0.4171,0.4247,0.406,0.4129,6516908.0,0.043656521739130434,-0.010306807286673103,0,0,0,0,0,2.0,0.4129,1.0,0.4372
2023-09-02 08:00:00,0.413,0.421,0.4091,0.4164,5508800.0,0.042333333333333334,0.00847662872366195,0,0,0,0,0,1.0,0.4164,6.0,0.4372
2023-09-03 08:00:00,0.4164,0.4675,0.4159,0.428,57943603.0,0.042704000000000006,0.02785782901056666,0,0,0,0,0,1.0,0.428,6.0,0.4372
2023-09-04 08:00:00,0.428,0.4389,0.413,0.423,16871743.0,0.04205769230769231,-0.011682242990654235,0,0,0,0,0,2.0,0.423,1.0,0.4372
2023-09-05 08:00:00,0.4227,0.4307,0.4172,0.4255,8194041.0,0.04100000000000001,0.005910165484633634,0,0,0,0,0,1.0,0.4255,6.0,0.4372
2023-09-06 08:00:00,0.4255,0.4477,0.4225,0.4397,29648691.0,0.04043571428571429,0.033372502937720316,1,0,0,0,0,1.0,0.4397,6.0,0.4397
2023-09-07 08:00:00,0.4396,0.4406,0.4209,0.4379,12065330.0,0.03972068965517242,-0.004093700250170529,0,0,0,1,0,2.0,0.4379,1.0,0.4397
2023-09-08 08:00:00,0.4377,0.4409,0.4201,0.4316,8611276.0,0.03909000000000001,-0.014386846311943424,0,0,0,0,0,2.0,0.4316,1.0,0.4397
2023-09-09 08:00:00,0.4317,0.4358,0.4167,0.4243,7602480.0,0.038445161290322584,-0.016913809082483744,0,0,0,0,0,2.0,0.4243,1.0,0.4397
2023-09-10 08:00:00,0.4243,0.4252,0.3936,0.4042,9765844.0,0.03823125000000001,-0.0473721423521094,0,0,0,0,0,2.0,0.4042,1.0,0.4397
2023-09-11 08:00:00,0.404,0.4063,0.3777,0.3889,9806746.0,0.037939393939393946,-0.03785254824344375,0,0,0,0,0,2.0,0.3889,1.0,0.4397
2023-09-12 08:00:00,0.3889,0.4011,0.3849,0.3878,6559154.0,0.03730000000000001,-0.0028284906145540356,0,1,0,0,0,2.0,0.3878,1.0,0.3878
2023-09-13 08:00:00,0.3879,0.4039,0.3839,0.3892,8019321.0,0.036805714285714296,0.0036101083032491488,0,0,1,0,0,1.0,0.3892,6.0,0.3878
