Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2023-02-22 08:00:00,1.411,1.663,1.4,1.585,36745914.1,0.2630000000000001,-0.1451104100946372,1,0,0,0,0,-1.0,0.0,0.0,1.585
2023-02-23 08:00:00,1.585,1.648,1.224,1.355,64014099.9,0.3435,-0.1451104100946372,0,0,0,1,0,2.0,1.355,1.0,1.585
2023-02-24 08:00:00,1.355,1.84,1.258,1.545,398748214.3,0.42300000000000004,0.14022140221402202,0,0,0,0,0,1.0,1.545,6.0,1.585
2023-02-25 08:00:00,1.545,1.755,1.267,1.342,339093267.7,0.43925000000000003,-0.13139158576051768,0,0,0,0,0,2.0,1.342,1.0,1.585
2023-02-26 08:00:00,1.342,1.4,1.29,1.323,139778830.0,0.3734,-0.014157973174366734,0,0,0,0,0,2.0,1.323,1.0,1.585
2023-02-27 08:00:00,1.323,1.352,1.04,1.106,196861932.0,0.3631666666666667,-0.16402116402116396,0,0,0,0,0,2.0,1.106,1.0,1.585
2023-02-28 08:00:00,1.107,1.168,0.969,1.001,318255720.3,0.33971428571428575,-0.09493670886075967,0,0,0,0,0,2.0,1.001,1.0,1.585
2023-03-01 08:00:00,1.001,1.057,0.971,1.027,128730634.3,0.308,0.025974025974025983,0,0,0,0,0,1.0,1.027,6.0,1.585
2023-03-02 08:00:00,1.027,1.094,0.988,1.021,146145620.7,0.28555555555555556,-0.0058422590068160085,0,0,0,0,0,1.0,1.027,3.0,1.585
2023-03-03 08:00:00,1.022,1.023,0.83,0.877,130131091.2,0.27630000000000005,-0.14103819784524962,0,0,0,0,0,2.0,0.877,1.0,1.585
2023-03-04 08:00:00,0.877,0.889,0.702,0.724,184745000.9,0.2681818181818182,-0.17445838084378562,0,0,0,0,0,2.0,0.724,1.0,1.585
2023-03-05 08:00:00,0.723,0.804,0.715,0.741,184515691.4,0.25325000000000003,0.023480662983425438,0,0,0,0,0,1.0,0.741,6.0,1.585
