Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2021-08-24 08:00:00,3.0612,5.946,3.0612,5.1177,373849366.0,2.8848,0.013091818590382331,0,0,0,0,0,-1.0,0.0,0.0,5.1177
2021-08-25 08:00:00,5.1177,6.4588,4.82,5.1847,575093359.0,2.2618,0.013091818590382331,0,0,0,0,0,-1.0,0.0,0.0,5.1177
2021-08-26 08:00:00,5.1816,5.6185,4.5803,4.8975,278426643.0,1.8539333333333332,-0.05539375470133279,0,0,0,0,0,-1.0,0.0,0.0,5.1177
2021-08-27 08:00:00,4.8995,5.5,4.3124,5.293,194174056.0,1.68735,0.08075548749361916,1,0,0,0,0,-1.0,0.0,0.0,5.293
2021-08-28 08:00:00,5.2944,5.39,4.8,4.9717,96297143.0,1.4678799999999999,-0.06070281503873043,0,0,0,1,0,2.0,4.9717,1.0,5.293
2021-08-29 08:00:00,4.9718,5.2,4.5998,4.8544,84624702.0,1.3232666666666666,-0.023593539433191868,0,0,0,0,0,2.0,4.8544,1.0,5.293
2021-08-30 08:00:00,4.8545,5.0161,4.5086,4.5873,79469569.0,1.2067285714285714,-0.05502224785761378,0,0,0,0,0,2.0,4.5873,1.0,5.293
2021-08-31 08:00:00,4.589,4.8129,4.0573,4.411,64434216.0,1.1503375,-0.038432193229132716,0,0,0,0,0,2.0,4.411,1.0,5.293
2021-09-01 08:00:00,4.4095,4.5,4.1005,4.2822,59440375.0,1.0669111111111111,-0.0291997279528452,0,1,0,0,0,2.0,4.2822,1.0,4.2822
2021-09-02 08:00:00,4.2812,5.3055,4.2157,4.6408,173818802.0,1.0692,0.08374200177478874,0,0,1,0,0,1.0,4.6408,6.0,4.2822
2021-09-03 08:00:00,4.6399,4.837,4.42,4.5764,70400628.0,1.0099090909090909,-0.013876917772797759,0,0,0,0,0,2.0,4.5764,1.0,4.2822
2021-09-04 08:00:00,4.5738,4.8128,4.43,4.4966,46674368.0,0.9576500000000001,-0.017437286950441333,0,0,0,0,0,2.0,4.4966,1.0,4.2822
2021-09-05 08:00:00,4.4976,4.69,4.4528,4.5991,32511945.0,0.9022307692307694,0.022795000667170662,0,0,0,0,0,1.0,4.5991,6.0,4.2822
2021-09-06 08:00:00,4.6,4.915,4.0,4.3839,69239261.0,0.9031428571428572,-0.046791763605922965,0,0,0,0,1,2.0,4.3839,1.0,4.2822
2021-09-07 08:00:00,4.3877,4.5436,2.67,3.3805,102782906.0,0.9678400000000001,-0.2288829580966718,0,1,0,0,0,2.0,3.3805,1.0,3.3805
2021-09-08 08:00:00,3.38,4.2705,3.0393,3.7246,96865414.0,0.9843000000000002,0.1017896760834196,0,0,1,0,0,1.0,3.7246,6.0,3.3805
2021-09-09 08:00:00,3.7242,4.4867,3.5386,4.135,116599487.0,0.9821705882352942,0.11018632873328671,0,0,0,0,0,1.0,4.135,6.0,3.3805
2021-09-10 08:00:00,4.135,4.2041,3.5265,3.7304,51161545.0,0.9652500000000003,-0.09784764207980645,0,0,0,0,0,2.0,3.7304,1.0,3.3805
2021-09-11 08:00:00,3.7313,4.013,3.6662,3.7512,33881406.0,0.9327000000000003,0.005575809564657863,0,0,0,0,0,2.0,3.7304,4.0,3.3805
2021-09-12 08:00:00,3.7513,3.9089,3.6,3.7331,28281021.0,0.9015100000000004,-0.0048251226274258485,0,0,0,0,0,2.0,3.7304,1.0,3.3805
2021-09-13 08:00:00,3.732,3.7709,3.2,3.4283,38402144.0,0.8857666666666671,-0.0816479601403658,0,1,0,0,0,2.0,3.4283,1.0,3.4283
2021-09-14 08:00:00,3.4286,4.1156,3.3829,3.7746,100335648.0,0.8788090909090914,0.10101216346294084,0,0,1,0,0,1.0,3.7746,6.0,3.4283
2021-09-15 08:00:00,3.7758,4.2,3.7033,4.0525,54809991.0,0.8621956521739136,0.07362369522598433,1,0,0,0,0,1.0,4.0525,6.0,4.0525
2021-09-16 08:00:00,4.053,4.1,3.7142,3.8265,49342589.0,0.8423458333333338,-0.05576804441702665,0,0,0,1,0,2.0,3.8265,1.0,4.0525
2021-09-17 08:00:00,3.8272,3.8752,3.5405,3.6546,37263922.0,0.8220400000000003,-0.04492355938847514,0,0,0,0,0,2.0,3.6546,1.0,4.0525
2021-09-18 08:00:00,3.6551,4.3219,3.605,4.0225,89898790.0,0.8179961538461542,0.1006676517265912,0,0,0,0,0,1.0,4.0225,6.0,4.0525
2021-09-19 08:00:00,4.0236,4.4031,3.86,3.9107,77278867.0,0.8078148148148151,-0.027793660658794295,0,0,0,0,0,2.0,3.9107,1.0,4.0525
2021-09-20 08:00:00,3.9108,3.9294,3.1,3.3351,73195673.0,0.8085857142857146,-0.14718592579333611,0,0,0,0,0,2.0,3.3351,1.0,4.0525
2021-09-21 08:00:00,3.3369,3.6491,2.9919,3.1785,58429170.0,0.8033655172413795,-0.04695511378969153,0,0,0,0,0,2.0,3.1785,1.0,4.0525
2021-09-22 08:00:00,3.179,3.5492,3.1603,3.5299,38583987.0,0.7895500000000002,0.11055529337737924,0,0,0,0,0,1.0,3.5299,6.0,4.0525
2021-09-23 08:00:00,3.5295,3.6,3.32,3.5745,35237504.0,0.7731129032258067,0.012634918836227582,0,0,0,0,0,1.0,3.5745,6.0,4.0525
2021-09-24 08:00:00,3.5755,3.5903,3.019,3.1788,41414013.0,0.7668062500000002,-0.1107007973143097,0,0,0,0,0,2.0,3.1788,1.0,4.0525
2021-09-25 08:00:00,3.178,3.28,3.0531,3.1204,28487494.0,0.7504454545454547,-0.018371712595948053,0,0,0,0,0,2.0,3.1204,1.0,4.0525
