Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2023-02-20 08:00:00,0.3213,0.3338,0.2579,0.3263,495219547.0,0.07589999999999997,0.009193993257738287,0,0,0,0,0,-1.0,0.0,0.0,0.3263
2023-02-21 08:00:00,0.3263,0.37,0.2909,0.3293,1256382600.0,0.07749999999999999,0.009193993257738287,1,0,0,0,0,-1.0,0.0,0.0,0.3293
2023-02-22 08:00:00,0.3294,0.33,0.2661,0.2829,850946306.0,0.07296666666666667,-0.14090494989371394,0,0,0,1,0,2.0,0.2829,1.0,0.3293
2023-02-23 08:00:00,0.2829,0.321,0.2746,0.3034,965234361.0,0.066325,0.07246376811594213,0,0,0,0,0,1.0,0.3034,6.0,0.3293
2023-02-24 08:00:00,0.3033,0.316,0.2225,0.2401,1347342427.0,0.07176,-0.20863546473302574,0,0,0,0,0,2.0,0.2401,1.0,0.3293
2023-02-25 08:00:00,0.2402,0.2486,0.206,0.2314,1450693925.0,0.0669,-0.036234902124114954,0,0,0,0,0,2.0,0.2314,1.0,0.3293
2023-02-26 08:00:00,0.2314,0.2485,0.212,0.236,1080845457.0,0.06255714285714285,0.019878997407087207,0,0,0,0,0,1.0,0.236,6.0,0.3293
2023-02-27 08:00:00,0.2361,0.245,0.2153,0.2255,961322320.0,0.058449999999999995,-0.044491525423728695,0,0,0,0,0,2.0,0.2255,1.0,0.3293
2023-02-28 08:00:00,0.2254,0.2264,0.1869,0.1954,1121086749.0,0.05634444444444443,-0.13348115299334817,0,0,0,0,0,2.0,0.1954,1.0,0.3293
2023-03-01 08:00:00,0.1954,0.2567,0.1925,0.2393,2755218891.0,0.05712999999999999,0.22466734902763585,1,0,0,0,0,1.0,0.2393,6.0,0.2393
2023-03-02 08:00:00,0.2393,0.2396,0.2122,0.2271,1752546849.0,0.05442727272727272,-0.050982030923527044,0,0,0,1,0,2.0,0.2271,1.0,0.2393
2023-03-03 08:00:00,0.2272,0.2272,0.185,0.1949,1528998577.0,0.05340833333333333,-0.14178775869660942,0,0,0,0,0,2.0,0.1949,1.0,0.2393
2023-03-04 08:00:00,0.195,0.1985,0.1712,0.1803,1296454547.0,0.051399999999999994,-0.07491021036428935,0,1,0,0,0,2.0,0.1803,1.0,0.1803
2023-03-05 08:00:00,0.1803,0.2141,0.1776,0.1993,2827753703.0,0.050335714285714275,0.10537992235163629,0,0,1,0,0,1.0,0.1993,6.0,0.1803
2023-03-06 08:00:00,0.1993,0.2082,0.1952,0.1992,2304486801.0,0.04784666666666666,-0.0005017561465129328,0,0,0,0,0,1.0,0.1993,6.0,0.1803
2023-03-07 08:00:00,0.1992,0.225,0.1904,0.2196,2353511581.0,0.04701874999999999,0.10240963855421681,1,0,0,0,0,1.0,0.2196,6.0,0.2196
2023-03-08 08:00:00,0.2196,0.2235,0.1832,0.1886,2842719741.0,0.046623529411764696,-0.14116575591985425,0,0,0,1,0,2.0,0.1886,1.0,0.2196
2023-03-09 08:00:00,0.1886,0.1996,0.155,0.167,2918508791.0,0.0465111111111111,-0.11452810180275708,0,0,0,0,0,2.0,0.167,1.0,0.2196
2023-03-10 08:00:00,0.167,0.1714,0.147,0.1599,3284703418.0,0.04534736842105262,-0.042514970059880364,0,0,0,0,0,2.0,0.1599,1.0,0.2196
2023-03-11 08:00:00,0.1599,0.164,0.1323,0.1467,2914315071.0,0.04466499999999999,-0.0825515947467167,0,1,0,0,0,2.0,0.1467,1.0,0.1467
2023-03-12 08:00:00,0.1466,0.1848,0.1408,0.1834,2615763011.0,0.044633333333333323,0.25017041581458765,0,0,1,0,0,1.0,0.1834,6.0,0.1467
2023-03-13 08:00:00,0.1833,0.2775,0.1827,0.2586,9176703587.0,0.04691363636363635,0.41003271537622665,0,0,0,0,0,1.0,0.2586,6.0,0.1467
2023-03-14 08:00:00,0.2585,0.3364,0.2401,0.3003,9554416146.0,0.04906086956521739,0.16125290023201866,0,0,0,0,0,1.0,0.3003,6.0,0.1467
2023-03-15 08:00:00,0.3003,0.3678,0.2468,0.2739,9207545736.0,0.052058333333333325,-0.08791208791208804,0,0,0,0,0,2.0,0.2739,1.0,0.1467
2023-03-16 08:00:00,0.2738,0.3088,0.2612,0.2922,5459452292.0,0.051879999999999996,0.0668127053669223,0,0,0,0,0,1.0,0.2922,6.0,0.1467
2023-03-17 08:00:00,0.2922,0.3995,0.2822,0.3955,7390642708.0,0.054396153846153844,0.3535249828884326,0,0,0,0,0,1.0,0.3955,6.0,0.1467
2023-03-18 08:00:00,0.3955,0.4355,0.3639,0.3766,6390632390.0,0.05503333333333333,-0.04778761061946912,0,0,0,0,0,2.0,0.3766,1.0,0.1467
2023-03-19 08:00:00,0.3765,0.4888,0.3724,0.4554,5633282118.0,0.057225000000000005,0.2092405735528413,1,0,0,0,0,1.0,0.4554,6.0,0.4554
2023-03-20 08:00:00,0.4554,0.464,0.39,0.3983,4804983612.0,0.05780344827586208,-0.1253842775581907,0,0,0,1,0,2.0,0.3983,1.0,0.4554
2023-03-21 08:00:00,0.3983,0.4484,0.3812,0.4082,4127948838.0,0.05811666666666667,0.024855636454933494,0,0,0,0,0,1.0,0.4082,6.0,0.4554
2023-03-22 08:00:00,0.4081,0.4256,0.3617,0.3748,3629138074.0,0.05830322580645161,-0.08182263596276329,0,0,0,0,0,2.0,0.3748,1.0,0.4554
2023-03-23 08:00:00,0.3748,0.3989,0.3575,0.3785,2810108161.0,0.05777499999999999,0.009871931696904923,0,0,0,0,0,1.0,0.3785,6.0,0.4554
2023-03-24 08:00:00,0.3784,0.3788,0.3204,0.3302,2364837856.0,0.05779393939393939,-0.12760898282694855,0,0,0,0,0,2.0,0.3302,1.0,0.4554
2023-03-25 08:00:00,0.3302,0.346,0.3068,0.3125,1840518108.0,0.0572470588235294,-0.05360387643852205,0,1,0,0,0,2.0,0.3125,1.0,0.3125
2023-03-26 08:00:00,0.3124,0.3585,0.3078,0.3518,2526787119.0,0.05705999999999999,0.1257600000000001,0,0,1,0,0,1.0,0.3518,6.0,0.3125
2023-03-27 08:00:00,0.3518,0.3518,0.3053,0.3197,2516146907.0,0.05676666666666666,-0.09124502558271752,0,0,0,0,0,2.0,0.3197,1.0,0.3125
2023-03-28 08:00:00,0.3198,0.358,0.308,0.3539,2437161677.0,0.05658378378378377,0.10697528933375033,0,0,0,0,0,1.0,0.3539,6.0,0.3125
2023-03-29 08:00:00,0.354,0.4427,0.349,0.4294,3461294659.0,0.057560526315789465,0.2133371008759537,1,0,0,0,0,1.0,0.4294,6.0,0.4294
2023-03-30 08:00:00,0.4294,0.4435,0.3854,0.4035,3497065959.0,0.05757435897435897,-0.060316721006054896,0,0,0,1,0,2.0,0.4035,1.0,0.4294
2023-03-31 08:00:00,0.4034,0.4281,0.3952,0.4127,2126129996.0,0.056957499999999994,0.02280049566294906,0,0,0,0,0,1.0,0.4127,6.0,0.4294
2023-04-01 08:00:00,0.4126,0.4279,0.39,0.3957,1292396223.0,0.05648106249999999,-0.04119214926096437,0,0,0,0,0,2.0,0.3957,1.0,0.4294
2023-04-02 08:00:00,0.3957,0.3996,0.361,0.3702,1223855947.0,0.05603403593749999,-0.064442759666414,0,0,0,0,0,2.0,0.3702,1.0,0.4294
2023-04-03 08:00:00,0.3702,0.3987,0.3463,0.3642,2455171418.0,0.05594318503906249,-0.01620745542949742,0,1,0,0,0,2.0,0.3642,1.0,0.3642
2023-04-04 08:00:00,0.3641,0.3813,0.3561,0.3686,1277573017.0,0.05517460541308593,0.012081274025260713,0,0,1,0,0,1.0,0.3686,6.0,0.3642
2023-04-05 08:00:00,0.3686,0.4066,0.3629,0.3872,1799562723.0,0.05488774027775878,0.05046120455778613,0,0,0,0,0,1.0,0.3872,6.0,0.3642
2023-04-06 08:00:00,0.3872,0.3959,0.3655,0.3728,1372769704.0,0.05427554677081481,-0.037190082644627975,0,0,0,0,0,2.0,0.3728,1.0,0.3642
2023-04-07 08:00:00,0.3728,0.3809,0.3598,0.3719,925688111.0,0.05344615810154444,-0.0024141630901287625,0,0,0,0,0,2.0,0.3719,1.0,0.3642
2023-04-08 08:00:00,0.3719,0.3841,0.3664,0.368,799518487.0,0.05255250414900583,-0.010486689970422236,0,1,0,0,0,2.0,0.368,1.0,0.368
2023-04-09 08:00:00,0.3681,0.3798,0.3605,0.3759,956630441.0,0.05172119154528068,0.021467391304347938,0,0,1,0,0,1.0,0.3759,6.0,0.368
2023-04-10 08:00:00,0.3758,0.44,0.367,0.4347,2593422678.0,0.05225316175664867,0.15642458100558643,1,0,0,0,0,1.0,0.4347,6.0,0.4347
2023-04-11 08:00:00,0.4346,0.448,0.4018,0.4043,2686302828.0,0.05210183271273245,-0.06993328732459159,0,0,0,1,0,2.0,0.4043,1.0,0.4347
2023-04-12 08:00:00,0.4043,0.4091,0.3735,0.3833,2318284319.0,0.05168928689491414,-0.051941627504328514,0,0,0,0,0,2.0,0.3833,1.0,0.4347
2023-04-13 08:00:00,0.3832,0.401,0.3736,0.389,1471299559.0,0.051082054722541285,0.014870858335507497,0,0,0,0,0,1.0,0.389,6.0,0.4347
2023-04-14 08:00:00,0.3891,0.4128,0.364,0.378,2140698927.0,0.05102500335447775,-0.028277634961439646,0,0,0,0,0,2.0,0.378,1.0,0.4347
2023-04-15 08:00:00,0.3779,0.3814,0.369,0.3752,891307097.0,0.05005937827061581,-0.007407407407407418,0,0,0,0,0,2.0,0.3752,1.0,0.4347
2023-04-16 08:00:00,0.3752,0.385,0.3706,0.3786,882161654.0,0.049167893813850415,0.009061833688699394,0,0,0,0,0,1.0,0.3786,6.0,0.4347
2023-04-17 08:00:00,0.3785,0.3796,0.3511,0.3587,1110197730.0,0.04865119646850415,-0.05256207078711028,0,0,0,0,0,2.0,0.3587,1.0,0.4347
2023-04-18 08:00:00,0.3588,0.376,0.353,0.3667,904287426.0,0.04800991655679155,0.02230275996654596,0,0,0,0,0,1.0,0.3667,6.0,0.4347
2023-04-19 08:00:00,0.3668,0.3692,0.3116,0.3209,1439963015.0,0.04824966864287176,-0.12489773656940284,0,0,0,0,0,2.0,0.3209,1.0,0.4347
2023-04-20 08:00:00,0.3208,0.3415,0.31,0.3268,1903338694.0,0.047830926926799966,0.018385789965721377,0,0,0,0,0,1.0,0.3268,6.0,0.4347
2023-04-21 08:00:00,0.3267,0.3333,0.2846,0.2894,1757358760.0,0.047852653753629966,-0.11444308445532436,0,0,0,0,0,2.0,0.2894,1.0,0.4347
2023-04-22 08:00:00,0.2893,0.3057,0.2813,0.2966,1080200499.0,0.047266337409789215,0.024879060124395336,0,0,0,0,0,1.0,0.2966,6.0,0.4347
2023-04-23 08:00:00,0.2966,0.2966,0.2721,0.2864,1124656094.0,0.046697178974544486,-0.034389750505731564,0,1,0,0,0,2.0,0.2864,1.0,0.2864
2023-04-24 08:00:00,0.2863,0.3022,0.2806,0.2951,1396606312.0,0.046069749500180876,0.030377094972066976,0,0,1,0,0,1.0,0.2951,6.0,0.2864
2023-04-25 08:00:00,0.2952,0.3193,0.2758,0.3153,1362571855.0,0.046005505762676355,0.0684513724161302,0,0,0,0,0,1.0,0.3153,6.0,0.2864
2023-04-26 08:00:00,0.3153,0.3474,0.2926,0.3198,2505666203.0,0.046225368118609445,0.014272121788772463,0,0,0,0,0,1.0,0.3198,6.0,0.2864
2023-04-27 08:00:00,0.3198,0.341,0.3102,0.3318,1536997917.0,0.04583973391564421,0.03752345215759845,0,0,0,0,0,1.0,0.3318,6.0,0.2864
2023-04-28 08:00:00,0.3319,0.348,0.3212,0.3362,1421650728.0,0.0453637405677531,0.01326100060277291,1,0,0,0,0,1.0,0.3362,6.0,0.3362
2023-04-29 08:00:00,0.3362,0.3362,0.3204,0.3272,630215159.0,0.04462464705355927,-0.026769779892920953,0,0,0,1,0,2.0,0.3272,1.0,0.3362
2023-04-30 08:00:00,0.3272,0.3343,0.3163,0.3189,739696062.0,0.043959030877220286,-0.025366748166259057,0,0,0,0,0,2.0,0.3189,1.0,0.3362
2023-05-01 08:00:00,0.3189,0.3216,0.2962,0.3052,858845765.0,0.043495055105289775,-0.04296017560363752,0,1,0,0,0,2.0,0.3052,1.0,0.3052
2023-05-02 08:00:00,0.3051,0.3144,0.302,0.3107,568747071.0,0.04271767872765753,0.018020969855832014,0,0,1,0,0,1.0,0.3107,6.0,0.3052
2023-05-03 08:00:00,0.3108,0.3318,0.299,0.3255,836679663.0,0.042469736759466095,0.04763437399420667,0,0,0,0,0,1.0,0.3255,6.0,0.3052
2023-05-04 08:00:00,0.3255,0.3368,0.3217,0.3238,841362090.0,0.04178549334047944,-0.005222734254992423,0,0,0,0,0,2.0,0.3238,1.0,0.3052
