Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2021-01-21 08:00:00,0.022,0.0244,0.01852,0.01892,133227029.0,0.005880000000000003,0.04492600422832971,0,0,0,0,0,-1.0,0.0,0.0,0.01892
2021-01-22 08:00:00,0.01891,0.0205,0.01703,0.01977,228358525.0,0.004675000000000002,0.04492600422832971,0,0,0,0,0,-1.0,0.0,0.0,0.01892
2021-01-23 08:00:00,0.01975,0.02092,0.0192,0.01984,214767247.0,0.0036900000000000023,0.0035407182599898057,0,0,0,0,0,-1.0,0.0,0.0,0.01892
2021-01-24 08:00:00,0.01985,0.0205,0.0193,0.01989,163003415.0,0.0030675000000000016,0.002520161290322731,0,0,0,0,0,-1.0,0.0,0.0,0.01892
2021-01-25 08:00:00,0.0199,0.02118,0.0187,0.01885,257618104.0,0.0029500000000000012,-0.05228758169934655,0,1,0,0,1,-1.0,0.0,0.0,0.01885
2021-01-26 08:00:00,0.01886,0.02069,0.01829,0.02068,335453946.0,0.0028583333333333343,0.09708222811671097,0,0,1,0,0,1.0,0.02068,6.0,0.01885
2021-01-27 08:00:00,0.02068,0.02089,0.01861,0.01902,336602499.0,0.0027757142857142863,-0.08027079303675055,0,0,0,0,0,2.0,0.01902,1.0,0.01885
2021-01-28 08:00:00,0.01903,0.02054,0.01856,0.0201,898768693.0,0.0026762500000000002,0.056782334384858135,0,0,0,0,0,1.0,0.0201,6.0,0.01885
2021-01-29 08:00:00,0.02008,0.02091,0.01952,0.02003,223127064.0,0.0025333333333333336,-0.0034825870646766344,0,0,0,0,0,1.0,0.0201,2.0,0.01885
2021-01-30 08:00:00,0.02002,0.02328,0.01955,0.02146,316845548.0,0.002653,0.07139291063404896,0,0,0,0,0,1.0,0.02146,6.0,0.01885
2021-01-31 08:00:00,0.02145,0.02265,0.02028,0.02169,233376357.0,0.0026272727272727277,0.01071761416589001,0,0,0,0,0,1.0,0.02169,6.0,0.01885
2021-02-01 08:00:00,0.02169,0.02388,0.0209,0.02257,465982954.0,0.002656666666666667,0.04057169202397404,0,0,0,0,0,1.0,0.02257,6.0,0.01885
2021-02-02 08:00:00,0.02257,0.02371,0.02199,0.02277,208970240.0,0.002584615384615385,0.008861320336730039,0,0,0,0,0,1.0,0.02277,6.0,0.01885
2021-02-03 08:00:00,0.02272,0.02463,0.0225,0.02418,262307434.0,0.0025521428571428574,0.06192358366271411,0,0,0,0,0,1.0,0.02418,6.0,0.01885
2021-02-04 08:00:00,0.02423,0.02502,0.02145,0.02323,517176066.0,0.00262,-0.03928866832092637,0,0,0,0,0,2.0,0.02323,1.0,0.01885
2021-02-05 08:00:00,0.02323,0.02597,0.02307,0.02575,399861055.0,0.0026375,0.10848041325871716,0,0,0,0,0,1.0,0.02575,6.0,0.01885
2021-02-06 08:00:00,0.02572,0.02621,0.0218,0.02371,346825149.0,0.002741764705882353,-0.07922330097087382,0,0,0,0,0,2.0,0.02371,1.0,0.01885
2021-02-07 08:00:00,0.02373,0.02417,0.02108,0.02297,244238702.0,0.002761111111111111,-0.031210459721636385,0,1,0,0,0,2.0,0.02297,1.0,0.02297
2021-02-08 08:00:00,0.02296,0.02487,0.02183,0.02448,420613886.0,0.00277578947368421,0.06573791902481485,0,0,1,0,0,1.0,0.02448,6.0,0.02297
2021-02-09 08:00:00,0.02451,0.02823,0.02428,0.02687,575837773.0,0.0028344999999999998,0.09763071895424846,0,0,0,0,0,1.0,0.02687,6.0,0.02297
2021-02-10 08:00:00,0.0269,0.03149,0.02413,0.0294,1354812337.0,0.0030499999999999998,0.09415705247487893,0,0,0,0,0,1.0,0.0294,6.0,0.02297
2021-02-11 08:00:00,0.0294,0.03298,0.02826,0.03052,686434989.0,0.0031259090909090907,0.03809523809523818,0,0,0,0,0,1.0,0.03052,6.0,0.02297
2021-02-12 08:00:00,0.03059,0.03811,0.02975,0.03602,1114903776.0,0.0033534782608695655,0.18020969855832258,0,0,0,0,0,1.0,0.03602,6.0,0.02297
2021-02-13 08:00:00,0.03601,0.0385,0.03291,0.03698,772571436.0,0.003446666666666667,0.026651860077734568,1,0,0,0,0,1.0,0.03698,6.0,0.03698
2021-02-14 08:00:00,0.03702,0.03886,0.03317,0.03473,488682219.0,0.0035364000000000003,-0.06084369929691735,0,0,0,1,0,2.0,0.03473,1.0,0.03698
2021-02-15 08:00:00,0.03474,0.03889,0.02629,0.03447,1483782842.0,0.003885,-0.007486323063633615,0,0,0,0,0,2.0,0.03447,1.0,0.03698
2021-02-16 08:00:00,0.03452,0.03757,0.03274,0.035,450517896.0,0.00392,0.015375689004931914,0,0,0,0,0,1.0,0.035,6.0,0.03698
2021-02-17 08:00:00,0.03504,0.0396,0.03306,0.03645,563528534.0,0.004013571428571429,0.04142857142857137,0,0,0,0,0,1.0,0.03645,6.0,0.03698
