Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2023-06-02 08:00:00,1.6005,1.98,1.5823,1.8095,107352043.7,0.39769999999999994,-0.13191489361702136,1,0,0,0,0,-1.0,0.0,0.0,1.8095
2023-06-03 08:00:00,1.8092,1.8592,1.4529,1.5708,75771619.9,0.4019999999999999,-0.13191489361702136,0,0,0,1,0,2.0,1.5708,1.0,1.8095
2023-06-04 08:00:00,1.57,1.5706,1.45,1.4738,34733805.0,0.30826666666666663,-0.06175197351667938,0,0,0,0,0,2.0,1.4738,1.0,1.8095
2023-06-05 08:00:00,1.4737,1.5197,1.1019,1.2423,46672207.8,0.33564999999999995,-0.15707694395440364,0,0,0,0,0,2.0,1.2423,1.0,1.8095
2023-06-06 08:00:00,1.2424,1.34,1.2138,1.306,26199751.7,0.29375999999999997,0.05127585929324652,0,0,0,0,0,1.0,1.306,6.0,1.8095
2023-06-07 08:00:00,1.3058,1.3118,1.1453,1.1993,17654877.3,0.27255,-0.08169984686064324,0,0,0,0,0,2.0,1.1993,1.0,1.8095
2023-06-08 08:00:00,1.1994,1.225,1.1456,1.1614,14002835.3,0.24495714285714287,-0.031601767697823746,0,0,0,0,0,2.0,1.1614,1.0,1.8095
2023-06-09 08:00:00,1.1613,1.2,1.1102,1.1388,18377940.5,0.2255625,-0.01945927329085584,0,0,0,0,0,2.0,1.1388,1.0,1.8095
2023-06-10 08:00:00,1.1382,1.14,0.7953,0.9401,35710045.0,0.2388,-0.17448191078328068,0,0,0,0,0,2.0,0.9401,1.0,1.8095
2023-06-11 08:00:00,0.9404,1.0485,0.9133,0.982,49619084.2,0.22843999999999998,0.044569726624827055,0,0,0,0,0,1.0,0.982,6.0,1.8095
2023-06-12 08:00:00,0.9819,0.9992,0.9261,0.9902,16650955.1,0.21431818181818182,0.008350305498981747,0,0,0,0,0,1.0,0.9902,6.0,1.8095
2023-06-13 08:00:00,0.9905,1.0333,0.9386,0.9778,14104100.4,0.20435,-0.01252272268228638,0,0,0,0,0,2.0,0.9778,1.0,1.8095
2023-06-14 08:00:00,0.9782,0.9871,0.8701,0.9061,12532771.8,0.19763076923076922,-0.07332787891184289,0,0,0,0,0,2.0,0.9061,1.0,1.8095
2023-06-15 08:00:00,0.9059,0.9213,0.8647,0.904,10259852.2,0.18755714285714284,-0.0023176249862045806,0,0,0,0,0,2.0,0.904,1.0,1.8095
2023-06-16 08:00:00,0.9042,0.9259,0.8657,0.9171,10504250.1,0.17906666666666665,0.01449115044247784,0,0,0,0,0,1.0,0.9171,6.0,1.8095
2023-06-17 08:00:00,0.9171,0.9928,0.894,0.9618,18017402.8,0.17404999999999998,0.048740595354923144,0,0,0,0,0,1.0,0.9618,6.0,1.8095
2023-06-18 08:00:00,0.9616,0.9653,0.8783,0.89,12340605.1,0.16892941176470588,-0.074651694739031,0,1,0,0,0,2.0,0.89,1.0,0.89
2023-06-19 08:00:00,0.89,0.9105,0.8731,0.903,9876582.4,0.16162222222222222,0.014606741573033766,0,0,1,0,0,1.0,0.903,6.0,0.89
2023-06-20 08:00:00,0.9031,0.9459,0.8708,0.9398,10165798.1,0.15706842105263155,0.04075304540420821,0,0,0,0,0,1.0,0.9398,6.0,0.89
2023-06-21 08:00:00,0.9398,0.9994,0.9335,0.9846,16663519.0,0.15250999999999998,0.0476697169610556,1,0,0,0,0,1.0,0.9846,6.0,0.9846
2023-06-22 08:00:00,0.9845,1.0684,0.9223,0.9415,22716574.7,0.1522047619047619,-0.043774121470647964,0,0,0,1,0,2.0,0.9415,1.0,0.9846
2023-06-23 08:00:00,0.9415,0.9957,0.9262,0.9828,12878348.1,0.14844545454545455,0.04386617100371737,0,0,0,0,0,1.0,0.9828,6.0,0.9846
2023-06-24 08:00:00,0.9828,1.0573,0.952,0.9737,17832570.3,0.1465695652173913,-0.0092592592592593,0,0,0,0,0,2.0,0.9737,1.0,0.9846
2023-06-25 08:00:00,0.9736,1.0562,0.9661,0.9816,14623073.9,0.1442166666666667,0.00811338194515776,0,0,0,0,0,1.0,0.9816,6.0,0.9846
2023-06-26 08:00:00,0.9815,0.9815,0.9023,0.9297,13005516.8,0.14162,-0.05287286063569685,0,0,0,0,0,2.0,0.9297,1.0,0.9846
2023-06-27 08:00:00,0.9297,0.9543,0.914,0.932,7912229.1,0.13772307692307692,0.0024739163170917067,0,0,0,0,0,2.0,0.9297,3.0,0.9846
2023-06-28 08:00:00,0.9322,0.9322,0.7655,0.8097,21044652.8,0.1387962962962963,-0.13122317596566535,0,1,0,0,0,2.0,0.8097,1.0,0.8097
2023-06-29 08:00:00,0.81,0.837,0.8033,0.8149,16973633.3,0.13504285714285716,0.006422131653698981,0,0,1,0,0,1.0,0.8149,6.0,0.8097
2023-06-30 08:00:00,0.8147,0.86,0.7577,0.8476,14797308.3,0.13391379310344828,0.04012762302122974,0,0,0,0,0,1.0,0.8476,6.0,0.8097
2023-07-01 08:00:00,0.8477,0.9178,0.8466,0.8744,15142055.6,0.13182333333333332,0.031618688060405686,0,0,0,0,0,1.0,0.8744,6.0,0.8097
2023-07-02 08:00:00,0.8749,0.8778,0.8183,0.8558,6848447.5,0.12949032258064516,-0.021271729185727284,0,0,0,0,0,2.0,0.8558,1.0,0.8097
2023-07-03 08:00:00,0.8558,0.8747,0.8493,0.8585,6244507.0,0.1262375,0.0031549427436317057,0,0,0,0,0,2.0,0.8558,4.0,0.8097
2023-07-04 08:00:00,0.8586,0.863,0.82,0.8314,8435317.5,0.12371515151515153,-0.03156668608037272,0,0,0,0,0,2.0,0.8314,1.0,0.8097
2023-07-05 08:00:00,0.8314,0.848,0.7625,0.783,10607335.6,0.12259117647058823,-0.05821505893673318,0,0,0,0,0,2.0,0.783,1.0,0.8097
2023-07-06 08:00:00,0.7833,0.7993,0.7433,0.7495,13612626.1,0.12068857142857142,-0.04278416347381864,0,0,0,0,0,2.0,0.7495,1.0,0.8097
2023-07-07 08:00:00,0.7494,0.7701,0.725,0.7642,10792210.2,0.11858888888888888,0.01961307538358903,0,0,0,0,0,1.0,0.7642,6.0,0.8097
2023-07-08 08:00:00,0.764,0.7741,0.738,0.7535,6037581.0,0.11635945945945946,-0.014001570269562946,0,0,0,0,0,2.0,0.7535,1.0,0.8097
2023-07-09 08:00:00,0.7537,0.7672,0.7359,0.7398,8034008.7,0.11412105263157894,-0.018181818181818077,0,0,0,0,0,2.0,0.7398,1.0,0.8097
2023-07-10 08:00:00,0.7398,0.7489,0.6919,0.7274,12593096.7,0.11265641025641027,-0.016761286834279465,0,0,0,0,0,2.0,0.7274,1.0,0.8097
2023-07-11 08:00:00,0.7276,0.7345,0.697,0.7118,10282097.9,0.11077750000000001,-0.021446246906791422,0,0,0,0,0,2.0,0.7118,1.0,0.8097
2023-07-12 08:00:00,0.7118,0.7253,0.6696,0.6824,12050372.9,0.10940056250000002,-0.04130373700477663,0,1,0,0,0,2.0,0.6824,1.0,0.6824
2023-07-13 08:00:00,0.6825,0.7814,0.672,0.7765,18072362.8,0.10940054843750002,0.13789566236811246,1,0,1,0,0,1.0,0.7765,6.0,0.7765
2023-07-14 08:00:00,0.7769,0.8033,0.715,0.742,13134491.1,0.10887303472656253,-0.04443013522215067,0,0,0,1,0,2.0,0.742,1.0,0.7765
2023-07-15 08:00:00,0.742,0.7533,0.7244,0.7277,6681426.0,0.10687370885839846,-0.019272237196765518,0,0,0,0,0,2.0,0.7277,1.0,0.7765
2023-07-16 08:00:00,0.7278,0.7309,0.6759,0.685,10234311.4,0.10557686613693851,-0.058678026659337634,0,0,0,0,0,2.0,0.685,1.0,0.7765
2023-07-17 08:00:00,0.6847,0.7137,0.6788,0.7036,11256659.1,0.10380994448351505,0.027153284671532774,0,0,0,0,0,1.0,0.7036,6.0,0.7765
2023-07-18 08:00:00,0.7039,0.7135,0.6523,0.6701,12216758.3,0.10274469587142718,-0.047612279704377425,0,0,0,0,0,2.0,0.6701,1.0,0.7765
2023-07-19 08:00:00,0.6699,0.6829,0.6583,0.6642,9042836.1,0.1007910784746415,-0.008804656021489388,0,1,0,0,0,2.0,0.6642,1.0,0.6642
2023-07-20 08:00:00,0.6641,0.6933,0.659,0.6714,16407692.2,0.09912880151277546,0.01084010840108407,0,0,1,0,0,1.0,0.6714,6.0,0.6642
2023-07-21 08:00:00,0.6712,0.685,0.6618,0.6677,8888984.3,0.09723058147495607,-0.0055108728030980325,0,0,0,0,0,2.0,0.6677,1.0,0.6642
2023-07-22 08:00:00,0.6677,0.675,0.6572,0.6647,7559732.3,0.09524481693808216,-0.004493035794518541,0,0,0,0,0,2.0,0.6647,1.0,0.6642
2023-07-23 08:00:00,0.6647,0.7132,0.6604,0.6813,38753151.8,0.09418369651463011,0.024973672333383545,1,0,0,0,0,1.0,0.6813,6.0,0.6813
2023-07-24 08:00:00,0.6813,0.6846,0.5998,0.6291,18890053.3,0.09394910410176437,-0.07661822985468958,0,0,0,1,0,2.0,0.6291,1.0,0.6813
2023-07-25 08:00:00,0.6292,0.6492,0.6192,0.6262,9825901.7,0.09235037649922026,-0.004609759974566918,0,0,0,0,0,2.0,0.6262,1.0,0.6813
2023-07-26 08:00:00,0.6262,0.6333,0.6026,0.6229,11567771.2,0.09080911708673975,-0.005269881826892364,0,1,0,0,0,2.0,0.6229,1.0,0.6229
2023-07-27 08:00:00,0.6228,0.6296,0.61,0.6255,6673585.6,0.08902888915957126,0.004174024723069492,0,0,1,0,0,2.0,0.6229,5.0,0.6229
2023-07-28 08:00:00,0.6255,0.6756,0.6211,0.6502,35483115.6,0.08816566693058198,0.039488409272582015,0,0,0,0,0,1.0,0.6502,6.0,0.6229
2023-07-29 08:00:00,0.6502,0.6618,0.6404,0.6508,8226245.5,0.08649652525731744,0.0009227929867734463,1,0,0,0,0,1.0,0.6508,6.0,0.6508
2023-07-30 08:00:00,0.6508,0.6541,0.605,0.6253,6826639.6,0.0855616121258845,-0.039182544560541044,0,0,0,1,0,2.0,0.6253,1.0,0.6508
2023-07-31 08:00:00,0.6253,0.633,0.6148,0.6238,5485798.7,0.08387757182273739,-0.0023988485526945658,0,0,0,0,0,2.0,0.6238,1.0,0.6508
2023-08-01 08:00:00,0.6238,0.6327,0.5814,0.6324,12759466.4,0.08306313252716896,0.013786470022443043,0,0,0,0,0,1.0,0.6324,6.0,0.6508
2023-08-02 08:00:00,0.6325,0.6358,0.606,0.6122,7326918.0,0.08173155421398974,-0.031941808981657216,0,0,0,0,0,2.0,0.6122,1.0,0.6508
2023-08-03 08:00:00,0.6121,0.6172,0.597,0.6048,7857765.5,0.08019326535863999,-0.01208755308722631,0,0,0,0,0,2.0,0.6048,1.0,0.6508
2023-08-04 08:00:00,0.6048,0.6166,0.5914,0.6062,10029147.7,0.078818433724674,0.0023148148148146586,0,0,0,0,0,2.0,0.6048,3.0,0.6508
2023-08-05 08:00:00,0.6061,0.6068,0.5762,0.5982,12656280.8,0.07761297288155715,-0.013196964698119484,0,1,0,0,0,2.0,0.5982,1.0,0.5982
2023-08-06 08:00:00,0.5982,0.6888,0.5964,0.6413,71249176.2,0.07798264855951823,0.07204948177866943,1,0,1,0,0,1.0,0.6413,6.0,0.6413
2023-08-07 08:00:00,0.6414,0.6718,0.6117,0.6404,31826009.3,0.07753558234553026,-0.0014033993450802695,0,0,0,1,0,1.0,0.6413,5.0,0.6413
2023-08-08 08:00:00,0.6405,0.6498,0.6267,0.6292,12013901.3,0.07617469278689201,-0.017489069331667717,0,0,0,0,0,2.0,0.6292,1.0,0.6413
2023-08-09 08:00:00,0.6292,0.6335,0.6121,0.6205,7814754.3,0.07480532546721971,-0.013827082008900038,0,0,0,0,0,2.0,0.6205,1.0,0.6413
2023-08-10 08:00:00,0.6206,0.6216,0.6059,0.6069,5779182.6,0.07332769233053922,-0.021917808219178214,0,1,0,0,0,2.0,0.6069,1.0,0.6069
2023-08-11 08:00:00,0.6068,0.6258,0.6039,0.6218,7169845.2,0.07204200002227575,0.02455099686933604,0,0,1,0,0,1.0,0.6218,6.0,0.6069
2023-08-12 08:00:00,0.6218,0.6466,0.6196,0.6357,15636060.7,0.07091595002171885,0.022354454808620083,0,0,0,0,0,1.0,0.6357,6.0,0.6069
2023-08-13 08:00:00,0.6357,0.6668,0.6307,0.6553,13542624.1,0.07004555127117588,0.030832153531539896,0,0,0,0,0,1.0,0.6553,6.0,0.6069
2023-08-14 08:00:00,0.6553,0.6709,0.6468,0.661,11219356.4,0.06889691248939649,0.008698306119334642,1,0,0,0,0,1.0,0.661,6.0,0.661
2023-08-15 08:00:00,0.6609,0.6615,0.5875,0.6101,10170206.8,0.06902448967716157,-0.07700453857791234,0,0,0,1,0,2.0,0.6101,1.0,0.661
2023-08-16 08:00:00,0.6097,0.6102,0.529,0.5505,21074604.8,0.06932887743523253,-0.09768890345844938,0,0,0,0,0,2.0,0.5505,1.0,0.661
2023-08-17 08:00:00,0.5504,0.5574,0.4073,0.4681,21500337.0,0.07134815549935171,-0.14968210717529518,0,1,0,0,0,2.0,0.4681,1.0,0.4681
2023-08-18 08:00:00,0.4684,0.4926,0.4653,0.4838,35868501.0,0.07024695161186792,0.03353984191412085,0,0,1,0,0,1.0,0.4838,6.0,0.4681
2023-08-19 08:00:00,0.4839,0.5162,0.4834,0.5019,15852303.8,0.06931077782157122,0.03741215378255469,0,0,0,0,0,1.0,0.5019,6.0,0.4681
2023-08-20 08:00:00,0.5019,0.5097,0.4967,0.5038,7496244.3,0.06790300837603194,0.0037856146642758493,0,0,0,0,0,1.0,0.5038,6.0,0.4681
2023-08-21 08:00:00,0.5036,0.5058,0.479,0.4961,10769220.0,0.06687543316663115,-0.015283842794759916,0,0,0,0,0,2.0,0.4961,1.0,0.4681
2023-08-22 08:00:00,0.4963,0.4972,0.4681,0.4885,8693454.8,0.06593104733746537,-0.015319492037895621,0,0,0,0,0,2.0,0.4885,1.0,0.4681
2023-08-23 08:00:00,0.4887,0.5044,0.4854,0.5,7691916.3,0.06475777115402873,0.023541453428863823,0,0,0,0,0,1.0,0.5,6.0,0.4681
2023-08-24 08:00:00,0.5,0.5,0.4825,0.4879,6618451.3,0.063576326875178,-0.0242,0,0,0,0,0,2.0,0.4879,1.0,0.4681
2023-08-25 08:00:00,0.4879,0.4881,0.4702,0.4849,5657006.9,0.06243441870329855,-0.006148800983808211,0,0,0,0,0,2.0,0.4849,1.0,0.4681
2023-08-26 08:00:00,0.4846,0.4862,0.4727,0.4762,3777918.4,0.061211058235716084,-0.017941843679109115,0,1,0,0,0,2.0,0.4762,1.0,0.4762
2023-08-27 08:00:00,0.476,0.4877,0.4728,0.4843,4502944.0,0.060053281779823185,0.017009659806803912,0,0,1,0,0,1.0,0.4843,6.0,0.4762
2023-08-28 08:00:00,0.4843,0.4888,0.4647,0.4817,9350991.1,0.05915444973532761,-0.005368573198430759,0,0,0,0,0,2.0,0.4817,1.0,0.4762
2023-08-29 08:00:00,0.4817,0.5356,0.4572,0.5164,21958839.9,0.05963558849194442,0.07203653726385717,0,0,0,0,0,1.0,0.5164,6.0,0.4762
2023-08-30 08:00:00,0.5162,0.5303,0.5035,0.5155,29653256.6,0.05881469877964581,-0.0017428350116188707,0,0,0,0,0,1.0,0.5164,4.0,0.4762
2023-08-31 08:00:00,0.5154,0.5312,0.4827,0.5046,16742363.3,0.05855683131015467,-0.021144519883607993,0,0,0,0,0,2.0,0.5046,1.0,0.4762
2023-09-01 08:00:00,0.5046,0.5485,0.5024,0.5354,33249160.8,0.0582454105274008,0.06103844629409427,0,0,0,0,0,1.0,0.5354,6.0,0.4762
2023-09-02 08:00:00,0.5354,0.5878,0.5207,0.5412,65729887.9,0.05846677526421578,0.010833022039596685,0,0,0,0,0,1.0,0.5412,6.0,0.4762
2023-09-03 08:00:00,0.5413,0.5586,0.5286,0.5432,18767949.9,0.05775510588261039,0.003695491500369519,1,0,0,0,0,1.0,0.5432,6.0,0.5432
2023-09-04 08:00:00,0.5431,0.5745,0.5318,0.5418,23627424.1,0.05737872823554513,-0.002577319587628968,0,0,0,1,0,1.0,0.5432,3.0,0.5432
2023-09-05 08:00:00,0.5417,0.5426,0.5164,0.5249,16695180.7,0.0565992600296565,-0.0311923218899961,0,0,0,0,0,2.0,0.5249,1.0,0.5432
2023-09-06 08:00:00,0.525,0.5365,0.5018,0.5214,18841868.9,0.05605177852891508,-0.006667936749857217,0,1,0,0,0,2.0,0.5214,1.0,0.5214
2023-09-07 08:00:00,0.5216,0.5314,0.5101,0.5301,9839921.2,0.055182984065692206,0.01668584579976984,0,0,1,0,0,1.0,0.5301,6.0,0.5214
2023-09-08 08:00:00,0.5304,0.593,0.5205,0.5797,77309504.7,0.0556159094640499,0.0935672514619883,1,0,0,0,0,1.0,0.5797,6.0,0.5797
