Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2022-09-22 08:00:00,4.515,4.837,4.515,4.746,544613.0,0.32200000000000006,0.015170670037926604,0,0,0,0,0,-1.0,0.0,0.0,4.746
2022-09-23 08:00:00,4.752,4.888,4.564,4.818,573006.0,0.32299999999999995,0.015170670037926604,0,0,0,0,0,-1.0,0.0,0.0,4.746
2022-09-24 08:00:00,4.82,4.97,4.689,4.727,484511.0,0.3089999999999999,-0.018887505188874942,0,0,0,0,0,-1.0,0.0,0.0,4.746
2022-09-25 08:00:00,4.724,4.782,4.575,4.595,324681.0,0.28349999999999986,-0.027924687962767147,0,1,0,0,0,-1.0,0.0,0.0,4.595
2022-09-26 08:00:00,4.595,4.79,4.574,4.768,536976.0,0.2699999999999999,0.03764961915125142,0,0,1,0,0,1.0,4.768,6.0,4.595
2022-09-27 08:00:00,4.76,5.086,4.756,4.873,696442.0,0.27999999999999997,0.022021812080537106,0,0,0,0,0,1.0,4.873,6.0,4.595
2022-09-28 08:00:00,4.874,4.977,4.668,4.875,520829.0,0.28414285714285714,0.0004104247896572488,0,0,0,0,0,1.0,4.875,6.0,4.595
2022-09-29 08:00:00,4.875,5.029,4.757,4.908,476956.0,0.282625,0.006769230769230861,0,0,0,0,0,1.0,4.908,6.0,4.595
2022-09-30 08:00:00,4.909,5.087,4.862,4.92,569054.0,0.2762222222222222,0.0024449877750609694,0,0,0,0,0,1.0,4.92,6.0,4.595
2022-10-01 08:00:00,4.921,4.931,4.771,4.783,286077.0,0.2646,-0.02784552845528443,0,0,0,0,0,2.0,4.783,1.0,4.595
2022-10-02 08:00:00,4.784,4.835,4.644,4.659,402321.0,0.25790909090909087,-0.025925151578507277,0,1,0,0,0,2.0,4.659,1.0,4.659
2022-10-03 08:00:00,4.659,4.944,4.616,4.911,392444.0,0.26375,0.05408886027044435,0,0,1,0,0,1.0,4.911,6.0,4.659
2022-10-04 08:00:00,4.914,5.49,4.872,5.366,5560240.0,0.29100000000000004,0.0926491549582571,0,0,0,0,0,1.0,5.366,6.0,4.659
2022-10-05 08:00:00,5.365,5.682,5.28,5.518,6333815.0,0.2989285714285715,0.028326500186358627,0,0,0,0,0,1.0,5.518,6.0,4.659
2022-10-06 08:00:00,5.518,5.585,5.443,5.49,2366523.0,0.2884666666666667,-0.005074302283435972,0,0,0,0,0,2.0,5.49,1.0,4.659
2022-10-07 08:00:00,5.49,5.73,5.365,5.562,2597300.0,0.29325000000000007,0.013114754098360715,0,0,0,0,0,1.0,5.562,6.0,4.659
2022-10-08 08:00:00,5.563,5.665,5.456,5.585,1306279.0,0.28829411764705887,0.00413520316432936,0,0,0,0,0,1.0,5.585,6.0,4.659
2022-10-09 08:00:00,5.585,5.626,5.44,5.511,1369439.0,0.28261111111111115,-0.013249776186213036,0,0,0,0,0,2.0,5.511,1.0,4.659
2022-10-10 08:00:00,5.511,5.699,5.402,5.593,2405075.0,0.2833684210526316,0.014879332244601695,0,0,0,0,0,1.0,5.593,6.0,4.659
2022-10-11 08:00:00,5.592,5.699,5.479,5.667,3421363.0,0.2802,0.013230824244591322,0,0,0,0,0,1.0,5.667,6.0,4.659
2022-10-12 08:00:00,5.666,6.488,5.649,5.915,6181303.0,0.3068095238095238,0.043762131639315305,1,0,0,0,0,1.0,5.915,6.0,5.915
2022-10-13 08:00:00,5.914,5.916,5.067,5.309,5751485.0,0.3314545454545455,-0.10245139475908704,0,1,0,1,0,2.0,5.309,1.0,5.309
2022-10-14 08:00:00,5.309,5.559,5.267,5.351,2825009.0,0.32973913043478265,0.007911094368054261,0,0,1,0,0,1.0,5.351,6.0,5.309
2022-10-15 08:00:00,5.348,5.502,5.314,5.368,1129391.0,0.32383333333333336,0.0031769762661184586,0,0,0,0,0,1.0,5.368,6.0,5.309
2022-10-16 08:00:00,5.37,5.451,5.284,5.417,929393.0,0.31756,0.009128166915052027,0,0,0,0,0,1.0,5.417,6.0,5.309
2022-10-17 08:00:00,5.416,5.665,5.342,5.624,1556769.0,0.3177692307692308,0.03821303304412038,1,0,0,0,0,1.0,5.624,6.0,5.624
2022-10-18 08:00:00,5.625,5.735,5.104,5.226,2346850.0,0.32937037037037037,-0.07076813655761016,0,0,0,1,1,2.0,5.226,1.0,5.624
2022-10-19 08:00:00,5.226,5.23,4.93,4.996,2162072.0,0.3283214285714286,-0.04401071565250658,0,0,0,0,0,2.0,4.996,1.0,5.624
2022-10-20 08:00:00,4.995,5.086,4.808,4.927,1548289.0,0.32658620689655177,-0.013811048839071471,0,1,0,0,0,2.0,4.927,1.0,4.927
2022-10-21 08:00:00,4.927,5.144,4.838,5.125,2473047.0,0.3259,0.04018672620255748,0,0,1,0,0,1.0,5.125,6.0,4.927
2022-10-22 08:00:00,5.124,5.143,4.825,5.056,681678.0,0.3256451612903226,-0.013463414634146353,0,0,0,0,0,2.0,5.056,1.0,4.927
2022-10-23 08:00:00,5.056,5.257,4.978,5.25,1120532.0,0.3241875,0.03837025316455689,0,0,0,0,0,1.0,5.25,6.0,4.927
2022-10-24 08:00:00,5.25,5.255,5.044,5.05,738928.0,0.3207575757575758,-0.03809523809523818,0,0,0,0,0,2.0,5.05,1.0,4.927
2022-10-25 08:00:00,5.05,5.554,4.969,5.455,1568578.0,0.32852941176470596,0.08019801980198027,0,0,0,0,0,1.0,5.455,6.0,4.927
2022-10-26 08:00:00,5.457,5.96,5.419,5.896,7719266.0,0.33460000000000006,0.08084326306141154,1,0,0,0,0,1.0,5.896,6.0,5.896
2022-10-27 08:00:00,5.895,5.975,5.562,5.625,4549905.0,0.33677777777777784,-0.04596336499321574,0,0,0,1,0,2.0,5.625,1.0,5.896
2022-10-28 08:00:00,5.626,5.857,5.49,5.686,1858331.0,0.3375945945945947,0.010844444444444434,0,0,0,0,0,1.0,5.686,6.0,5.896
2022-10-29 08:00:00,5.686,5.869,5.549,5.629,1599219.0,0.3371315789473685,-0.010024621878297668,0,0,0,0,0,2.0,5.629,1.0,5.896
2022-10-30 08:00:00,5.63,5.691,5.279,5.38,1459621.0,0.3390512820512821,-0.04423521051696566,0,0,0,0,0,2.0,5.38,1.0,5.896
2022-10-31 08:00:00,5.379,5.448,5.17,5.324,1560692.0,0.3375250000000001,-0.010408921933085513,0,0,0,0,0,2.0,5.324,1.0,5.896
2022-11-01 08:00:00,5.324,5.34,5.152,5.202,1010738.0,0.33378687500000004,-0.022915101427498086,0,0,0,0,0,2.0,5.202,1.0,5.896
2022-11-02 08:00:00,5.201,5.272,4.915,5.043,1633625.0,0.33436720312500007,-0.030565167243367886,0,1,0,0,0,2.0,5.043,1.0,5.043
2022-11-03 08:00:00,5.043,5.236,5.006,5.131,1445464.0,0.3317580230468751,0.017449930596866947,0,0,1,0,0,1.0,5.131,6.0,5.043
2022-11-04 08:00:00,5.13,5.595,5.063,5.487,1858151.0,0.33676407247070317,0.06938218670824403,1,0,0,0,0,1.0,5.487,6.0,5.487
2022-11-05 08:00:00,5.487,5.572,5.231,5.417,955574.0,0.3368699706589356,-0.012757426644796843,0,0,0,1,0,2.0,5.417,1.0,5.487
2022-11-06 08:00:00,5.417,5.472,5.162,5.236,953813.0,0.3361982213924622,-0.03341332841055933,0,0,0,0,0,2.0,5.236,1.0,5.487
2022-11-07 08:00:00,5.24,5.377,5.153,5.239,1241356.0,0.33339326585765067,0.0005729564553094146,0,0,0,0,0,2.0,5.236,2.0,5.487
2022-11-08 08:00:00,5.24,5.291,4.263,4.363,3663109.0,0.3507584342112094,-0.16720748234395866,0,0,0,0,0,2.0,4.363,1.0,5.487
2022-11-09 08:00:00,4.364,4.389,3.612,3.671,3151843.0,0.36141447335592913,-0.15860646344258555,0,1,0,0,0,2.0,3.671,1.0,3.671
2022-11-10 08:00:00,3.673,4.355,3.606,4.198,2019199.0,0.37110411152203093,0.14355761372922915,0,0,1,0,0,1.0,4.198,6.0,3.671
2022-11-11 08:00:00,4.193,4.235,3.832,4.046,1223642.0,0.37190150873398015,-0.036207717960933805,0,0,0,0,0,2.0,4.046,1.0,3.671
2022-11-12 08:00:00,4.044,4.052,3.731,3.826,665594.0,0.37062897101563064,-0.05437469105289183,0,0,0,0,0,2.0,3.826,1.0,3.671
2022-11-13 08:00:00,3.825,9.243,3.611,4.303,16898319.0,0.5021632467402399,0.12467328802927335,1,0,0,0,0,1.0,4.303,6.0,4.303
2022-11-14 08:00:00,4.303,4.305,3.842,3.909,11080041.0,0.501184165571734,-0.09156402509876838,0,0,0,1,0,2.0,3.909,1.0,4.303
2022-11-15 08:00:00,3.907,4.386,3.771,4.048,9112178.0,0.5040295614324406,0.035558966487592825,0,0,0,0,0,1.0,4.048,6.0,4.303
2022-11-16 08:00:00,4.051,4.123,3.865,4.018,2831784.0,0.49787882239662956,-0.007411067193675902,0,0,0,0,0,2.0,4.018,1.0,4.303
2022-11-17 08:00:00,4.017,4.062,3.838,3.92,1874985.0,0.49103185183671383,-0.024390243902439046,0,0,0,0,0,2.0,3.92,1.0,4.303
2022-11-18 08:00:00,3.92,3.999,3.745,3.9,1940392.0,0.485106055540796,-0.005102040816326481,0,0,0,0,0,2.0,3.9,1.0,4.303
2022-11-19 08:00:00,3.897,3.972,3.815,3.921,1705013.0,0.4769034041522761,0.005384615384615321,0,0,0,0,0,1.0,3.921,6.0,4.303
2022-11-20 08:00:00,3.921,3.949,3.604,3.671,1993960.0,0.4736058190484692,-0.0637592450905381,0,0,0,0,0,2.0,3.671,1.0,4.303
2022-11-21 08:00:00,3.67,3.707,3.442,3.601,2576241.0,0.4683906735722575,-0.019068373740125266,0,1,0,0,0,2.0,3.601,1.0,3.601
2022-11-22 08:00:00,3.595,4.195,3.479,3.941,3693081.0,0.47458090673295106,0.09441821716189946,0,0,1,0,0,1.0,3.941,6.0,3.601
2022-11-23 08:00:00,3.938,4.418,3.9,4.342,7762214.0,0.4756663840646273,0.10175082466379082,0,0,0,0,0,1.0,4.342,6.0,3.601
2022-11-24 08:00:00,4.345,4.452,4.23,4.315,3572077.0,0.4693247244630116,-0.006218332565637752,0,0,0,0,0,2.0,4.315,1.0,3.601
2022-11-25 08:00:00,4.314,4.37,4.166,4.363,1740744.0,0.4626916063514363,0.011123986095017413,1,0,0,0,0,1.0,4.363,6.0,4.363
2022-11-26 08:00:00,4.363,4.462,4.251,4.263,1505654.0,0.4563993161926504,-0.02292000916800374,0,0,0,1,0,2.0,4.263,1.0,4.363
2022-11-27 08:00:00,4.263,4.44,4.243,4.263,1365437.0,0.44991433328783415,0.0,0,0,0,0,0,2.0,4.263,1.0,4.363
2022-11-28 08:00:00,4.266,4.343,3.909,3.947,2452300.0,0.4495164749556383,-0.07412620220501986,0,1,0,0,0,2.0,3.947,1.0,3.947
2022-11-29 08:00:00,3.946,4.026,3.88,3.955,3177402.0,0.4419285630817473,0.002026855839878383,0,0,1,0,0,2.0,3.947,3.0,3.947
2022-11-30 08:00:00,3.951,4.204,3.941,4.185,2331518.0,0.4374553490047036,0.058154235145385424,0,0,0,0,0,1.0,4.185,6.0,3.947
2022-12-01 08:00:00,4.184,4.186,3.971,3.999,1587941.0,0.431893965279586,-0.04444444444444429,0,0,0,0,0,2.0,3.999,1.0,3.947
2022-12-02 08:00:00,3.998,4.018,3.898,4.004,1418145.0,0.42409661614759636,0.0012503125781444524,0,0,0,0,0,2.0,3.999,2.0,3.947
2022-12-03 08:00:00,3.999,4.027,3.83,3.854,1036290.0,0.4184192007439064,-0.03746253746253736,0,1,0,0,0,2.0,3.854,1.0,3.854
2022-12-04 08:00:00,3.854,3.974,3.848,3.948,817581.0,0.4111087207253088,0.024390243902439046,0,0,1,0,0,1.0,3.948,6.0,3.854
2022-12-05 08:00:00,3.945,4.044,3.835,3.928,1405384.0,0.40605600270717607,-0.005065856129685908,0,0,0,0,0,2.0,3.928,1.0,3.854
2022-12-06 08:00:00,3.927,3.979,3.878,3.93,1115293.0,0.39842960263949667,0.0005091649694501932,0,0,0,0,0,2.0,3.928,1.0,3.854
2022-12-07 08:00:00,3.93,3.96,3.76,3.859,1275001.0,0.39346886257350927,-0.018066157760814328,0,0,0,0,0,2.0,3.859,1.0,3.854
2022-12-08 08:00:00,3.86,4.011,3.826,3.924,1385662.0,0.3882571410091715,0.01684374190204707,0,0,0,0,0,1.0,3.924,6.0,3.854
