Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2023-08-21 08:00:00,4.1,5.119,4.1,4.892,49343135.0,1.0190000000000001,-0.11896974652493886,1,0,0,0,0,-1.0,0.0,0.0,4.892
2023-08-22 08:00:00,4.892,5.539,4.131,4.31,96640725.3,1.2134999999999998,-0.11896974652493886,0,0,0,1,0,2.0,4.31,1.0,4.892
2023-08-23 08:00:00,4.309,4.467,3.538,4.11,48553434.2,1.1186666666666665,-0.04640371229698359,0,0,0,0,0,2.0,4.11,1.0,4.892
2023-08-24 08:00:00,4.108,4.11,3.712,3.884,23531813.9,0.9384999999999999,-0.054987834549878434,0,0,0,0,0,2.0,3.884,1.0,4.892
2023-08-25 08:00:00,3.884,3.911,3.501,3.645,17682532.2,0.8328,-0.06153450051493303,0,1,0,0,0,2.0,3.645,1.0,3.645
2023-08-26 08:00:00,3.645,3.846,3.523,3.699,20072001.1,0.7478333333333333,0.014814814814814836,0,0,1,0,0,1.0,3.699,6.0,3.645
2023-08-27 08:00:00,3.699,3.899,3.664,3.808,29621067.5,0.6745714285714285,0.029467423628007472,0,0,0,0,0,1.0,3.808,6.0,3.645
2023-08-28 08:00:00,3.808,3.809,3.564,3.652,10663046.5,0.620875,-0.040966386554621814,0,0,0,0,0,2.0,3.652,1.0,3.645
2023-08-29 08:00:00,3.652,8.292,3.575,7.162,260529413.0,1.0759999999999998,0.9611171960569549,0,0,0,0,0,1.0,7.162,6.0,3.645
2023-08-30 08:00:00,7.165,8.87,6.6,8.547,362414827.2,1.1953999999999998,0.1933817369449875,0,0,0,0,0,1.0,8.547,6.0,3.645
2023-08-31 08:00:00,8.547,9.7,7.901,8.561,224638941.0,1.2502727272727272,0.0016380016380015405,0,0,0,0,0,1.0,8.561,6.0,3.645
2023-09-01 08:00:00,8.56,16.5,8.369,11.622,470640363.8,1.8236666666666668,0.35755168788692915,1,0,0,0,0,1.0,11.622,6.0,11.622
2023-09-02 08:00:00,11.63,14.02,6.525,7.174,417554069.3,2.259923076923077,-0.38272242299087933,0,0,0,1,0,2.0,7.174,1.0,11.622
2023-09-03 08:00:00,7.174,7.75,6.62,6.806,73443743.7,2.1792142857142855,-0.051296347923055485,0,0,0,0,0,2.0,6.806,1.0,11.622
2023-09-04 08:00:00,6.806,7.459,6.02,6.201,55956396.7,2.1298666666666666,-0.08889215398178085,0,0,0,0,0,2.0,6.201,1.0,11.622
2023-09-05 08:00:00,6.202,6.217,5.614,5.847,39902910.2,2.0344374999999997,-0.05708756652152869,0,0,0,0,0,2.0,5.847,1.0,11.622
2023-09-06 08:00:00,5.846,6.467,5.749,6.068,44040131.6,1.9569999999999994,0.03779716093723273,0,0,0,0,0,1.0,6.068,6.0,11.622
2023-09-07 08:00:00,6.068,6.235,5.817,5.92,17884442.8,1.8714999999999995,-0.024390243902438935,0,0,0,0,0,2.0,5.92,1.0,11.622
2023-09-08 08:00:00,5.92,6.133,5.2,5.459,21723690.6,1.8221052631578942,-0.07787162162162165,0,0,0,0,0,2.0,5.459,1.0,11.622
2023-09-09 08:00:00,5.458,5.545,5.206,5.247,10691391.6,1.7479499999999994,-0.03883495145631066,0,0,0,0,0,2.0,5.247,1.0,11.622
