Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2022-04-29 08:00:00,1.86,2.24,1.32,1.408,551427285.8,0.9200000000000002,-0.19673295454545447,0,0,0,0,0,-1.0,0.0,0.0,1.408
2022-04-30 08:00:00,1.407,1.579,1.098,1.131,247754258.6,0.7005,-0.19673295454545447,0,1,0,0,0,-1.0,0.0,0.0,1.131
2022-05-01 08:00:00,1.13,1.376,1.122,1.313,165624615.6,0.5516666666666666,0.16091954022988508,0,0,1,0,0,1.0,1.313,6.0,1.131
2022-05-02 08:00:00,1.312,1.378,1.15,1.187,109765504.2,0.47074999999999995,-0.09596344249809585,0,0,0,0,0,2.0,1.187,1.0,1.131
2022-05-03 08:00:00,1.186,1.53,1.176,1.421,369643469.1,0.4474,0.19713563605728734,0,0,0,0,0,1.0,1.421,6.0,1.131
2022-05-04 08:00:00,1.423,1.643,1.389,1.457,537098288.8,0.4151666666666667,0.025334271639690487,1,0,0,0,0,1.0,1.457,6.0,1.457
2022-05-05 08:00:00,1.456,1.5,1.151,1.224,199698514.4,0.4057142857142857,-0.15991763898421418,0,0,0,1,0,2.0,1.224,1.0,1.457
2022-05-06 08:00:00,1.224,1.228,1.033,1.157,131847770.5,0.379375,-0.054738562091503185,0,0,0,0,0,2.0,1.157,1.0,1.457
2022-05-07 08:00:00,1.158,1.182,1.001,1.046,108485970.8,0.35733333333333334,-0.09593777009507343,0,0,0,0,0,2.0,1.046,1.0,1.457
2022-05-08 08:00:00,1.046,1.057,0.95,0.965,89368017.9,0.33230000000000004,-0.0774378585086043,0,0,0,0,0,2.0,0.965,1.0,1.457
2022-05-09 08:00:00,0.965,1.006,0.697,0.709,170124160.8,0.33018181818181824,-0.26528497409326424,0,0,0,0,0,2.0,0.709,1.0,1.457
2022-05-10 08:00:00,0.709,0.831,0.661,0.703,140289865.1,0.31683333333333336,-0.008462623413258097,0,0,0,0,0,2.0,0.703,1.0,1.457
2022-05-11 08:00:00,0.704,0.737,0.282,0.373,331185408.6,0.3274615384615385,-0.46941678520625885,0,1,0,0,0,2.0,0.373,1.0,0.373
2022-05-12 08:00:00,0.373,0.502,0.296,0.434,289677576.8,0.31878571428571434,0.16353887399463796,0,0,1,0,0,1.0,0.434,6.0,0.373
2022-05-13 08:00:00,0.433,0.553,0.402,0.415,186767195.8,0.30760000000000004,-0.04377880184331806,0,0,0,0,0,2.0,0.415,1.0,0.373
2022-05-14 08:00:00,0.415,0.484,0.384,0.466,138370156.8,0.294625,0.12289156626506026,0,0,0,0,0,1.0,0.466,6.0,0.373
2022-05-15 08:00:00,0.467,0.475,0.424,0.472,83457277.0,0.28029411764705886,0.012875536480686511,0,0,0,0,0,1.0,0.472,6.0,0.373
2022-05-16 08:00:00,0.472,0.473,0.4,0.42,89601579.6,0.26877777777777784,-0.11016949152542377,0,0,0,0,0,2.0,0.42,1.0,0.373
2022-05-17 08:00:00,0.419,0.533,0.418,0.484,275987388.7,0.26068421052631585,0.15238095238095228,0,0,0,0,0,1.0,0.484,6.0,0.373
2022-05-18 08:00:00,0.485,0.502,0.417,0.422,127090804.5,0.25190000000000007,-0.12809917355371903,0,0,0,0,0,2.0,0.422,1.0,0.373
2022-05-19 08:00:00,0.422,0.4949,0.416,0.4692,148490351.9,0.2436619047619048,0.11184834123222753,0,0,0,0,0,1.0,0.4692,6.0,0.373
2022-05-20 08:00:00,0.4692,0.498,0.433,0.4702,154278044.5,0.23554090909090916,0.002131287297527651,0,0,0,0,0,1.0,0.4702,6.0,0.373
2022-05-21 08:00:00,0.4701,0.5901,0.466,0.5284,431815492.4,0.23069565217391313,0.12377711612079967,1,0,0,0,0,1.0,0.5284,6.0,0.5284
2022-05-22 08:00:00,0.5282,0.5599,0.4945,0.5129,136248522.6,0.22380833333333341,-0.0293338380015139,0,0,0,1,0,2.0,0.5129,1.0,0.5284
2022-05-23 08:00:00,0.513,0.532,0.461,0.4736,98006668.5,0.21769600000000008,-0.07662312341587052,0,0,0,0,0,2.0,0.4736,1.0,0.5284
2022-05-24 08:00:00,0.4735,0.5089,0.45,0.4859,72503737.9,0.21158846153846161,0.025971283783783772,0,0,0,0,0,1.0,0.4859,6.0,0.5284
2022-05-25 08:00:00,0.4855,0.4932,0.4653,0.4691,53716983.1,0.20478518518518526,-0.03457501543527475,0,0,0,0,0,2.0,0.4691,1.0,0.5284
2022-05-26 08:00:00,0.4692,0.485,0.394,0.4181,82049225.5,0.20072142857142866,-0.10871882327861859,0,0,0,0,0,2.0,0.4181,1.0,0.5284
2022-05-27 08:00:00,0.418,0.4349,0.3931,0.4088,59220171.5,0.1952413793103449,-0.022243482420473693,0,1,0,0,0,2.0,0.4088,1.0,0.4088
2022-05-28 08:00:00,0.4088,0.427,0.3995,0.4235,34659925.7,0.18965000000000007,0.03595890410958913,0,0,1,0,0,1.0,0.4235,6.0,0.4088
2022-05-29 08:00:00,0.4236,0.4692,0.4046,0.4537,63527532.8,0.18561612903225816,0.07131050767414404,0,0,0,0,0,1.0,0.4537,6.0,0.4088
2022-05-30 08:00:00,0.4537,0.5016,0.4426,0.4902,70246447.3,0.1816593750000001,0.08044963632356184,1,0,0,0,0,1.0,0.4902,6.0,0.4902
2022-05-31 08:00:00,0.4902,0.5057,0.4392,0.471,54881750.5,0.1781696969696971,-0.039167686658506784,0,0,0,1,0,2.0,0.471,1.0,0.4902
2022-06-01 08:00:00,0.471,0.4895,0.4116,0.4243,84713735.5,0.1752205882352942,-0.09915074309978766,0,0,0,0,0,2.0,0.4243,1.0,0.4902
2022-06-02 08:00:00,0.4242,0.4385,0.4085,0.4354,36887193.8,0.17107142857142868,0.02616073532877672,0,0,0,0,0,1.0,0.4354,6.0,0.4902
2022-06-03 08:00:00,0.4353,0.4399,0.4025,0.414,33955725.1,0.16735833333333341,-0.04915020670647685,0,1,0,0,0,2.0,0.414,1.0,0.414
2022-06-04 08:00:00,0.414,0.4558,0.4046,0.4288,98244454.5,0.164218918918919,0.035748792270531515,0,0,1,0,0,1.0,0.4288,6.0,0.414
2022-06-05 08:00:00,0.4286,0.4324,0.4166,0.4212,35260034.4,0.1603131578947369,-0.017723880597014907,0,0,0,0,0,2.0,0.4212,1.0,0.414
2022-06-06 08:00:00,0.4213,0.449,0.4196,0.4398,40327834.7,0.15695641025641033,0.04415954415954415,1,0,0,0,0,1.0,0.4398,6.0,0.4398
2022-06-07 08:00:00,0.4398,0.4721,0.393,0.4152,88653564.6,0.15501000000000006,-0.05593451568894958,0,0,0,1,1,2.0,0.4152,1.0,0.4398
2022-06-08 08:00:00,0.4152,0.4377,0.4104,0.4182,52950355.0,0.15181725000000007,0.007225433526011571,0,0,0,0,0,2.0,0.4152,3.0,0.4398
2022-06-09 08:00:00,0.4186,0.43,0.4142,0.4177,31439602.2,0.14841681875000007,-0.0011956001912960534,0,0,0,0,0,2.0,0.4152,3.0,0.4398
2022-06-10 08:00:00,0.4177,0.4233,0.3872,0.3954,43775049.3,0.14560889828125007,-0.05338759875508747,0,0,0,0,0,2.0,0.3954,1.0,0.4398
2022-06-11 08:00:00,0.3955,0.4217,0.3435,0.3546,65167647.8,0.1439236758242188,-0.10318664643399078,0,0,0,0,0,2.0,0.3546,1.0,0.4398
2022-06-12 08:00:00,0.3547,0.3605,0.3041,0.31,65354671.1,0.14173558392861332,-0.12577552171460804,0,0,0,0,0,2.0,0.31,1.0,0.4398
