Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2021-03-24 08:00:00,0.012,0.012,0.008392,0.009521,9876946545.0,0.003608,0.02804327276546581,0,1,0,0,0,-1.0,0.0,0.0,0.009521
2021-03-25 08:00:00,0.00952,0.011398,0.009381,0.009788,9877482766.0,0.0028125,0.02804327276546581,0,0,1,0,0,1.0,0.009788,6.0,0.009521
2021-03-26 08:00:00,0.009791,0.01155,0.009759,0.010579,6948709200.0,0.002472,0.08081324070290141,0,0,0,0,0,1.0,0.010579,6.0,0.009521
2021-03-27 08:00:00,0.010567,0.011349,0.01015,0.010276,4575916305.0,0.00215375,-0.02864164854901219,0,0,0,0,0,2.0,0.010276,1.0,0.009521
2021-03-28 08:00:00,0.010279,0.011293,0.009655,0.010103,6248928587.0,0.0020505999999999996,-0.0168353444920204,0,0,0,0,0,2.0,0.010103,1.0,0.009521
2021-03-29 08:00:00,0.010103,0.01265,0.010068,0.011946,10447805669.0,0.0021391666666666664,0.18242106305057915,0,0,0,0,0,1.0,0.011946,6.0,0.009521
2021-03-30 08:00:00,0.011944,0.014954,0.011929,0.013204,27736863457.0,0.0022657142857142854,0.10530721580445346,0,0,0,0,0,1.0,0.013204,6.0,0.009521
2021-03-31 08:00:00,0.013204,0.014254,0.01165,0.01236,11203293050.0,0.0023079999999999997,-0.06392002423508036,0,0,0,0,0,2.0,0.01236,1.0,0.009521
2021-04-01 08:00:00,0.012359,0.014773,0.012066,0.013835,9874183838.0,0.002352333333333333,0.11933656957928807,0,0,0,0,0,1.0,0.013835,6.0,0.009521
2021-04-02 08:00:00,0.01383,0.015744,0.013525,0.015053,11440040361.0,0.0023389999999999995,0.08803758583303223,0,0,0,0,0,1.0,0.015053,6.0,0.009521
2021-04-03 08:00:00,0.015054,0.018839,0.014057,0.016024,24058061979.0,0.0025610909090909087,0.06450541420314893,0,0,0,0,0,1.0,0.016024,6.0,0.009521
2021-04-04 08:00:00,0.016011,0.018878,0.015552,0.01743,14402805776.0,0.002624833333333333,0.08774338492261613,0,0,0,0,0,1.0,0.01743,6.0,0.009521
2021-04-05 08:00:00,0.017435,0.022747,0.017362,0.019374,20412859362.0,0.002837153846153846,0.11153184165232344,1,0,0,0,0,1.0,0.019374,6.0,0.019374
2021-04-06 08:00:00,0.019372,0.019968,0.013257,0.017148,23304800094.0,0.003113857142857143,-0.11489625270981718,0,0,0,1,0,2.0,0.017148,1.0,0.019374
2021-04-07 08:00:00,0.017148,0.017247,0.013083,0.014129,18338219788.0,0.003183866666666667,-0.17605551667832986,0,0,0,0,0,2.0,0.014129,1.0,0.019374
2021-04-08 08:00:00,0.014123,0.017496,0.014016,0.016569,11487584379.0,0.0032023750000000004,0.17269445820652574,0,0,0,0,0,1.0,0.016569,6.0,0.019374
2021-04-09 08:00:00,0.016566,0.016826,0.01453,0.014802,6791384096.0,0.003149058823529412,-0.10664493934455921,0,0,0,0,0,2.0,0.014802,1.0,0.019374
2021-04-10 08:00:00,0.014805,0.015699,0.013278,0.013948,9293813874.0,0.0031086111111111115,-0.05769490609377104,0,0,0,0,0,2.0,0.013948,1.0,0.019374
2021-04-11 08:00:00,0.013948,0.015693,0.012517,0.014084,14749287085.0,0.0031121578947368423,0.009750501864066452,0,0,0,0,0,1.0,0.014084,6.0,0.019374
2021-04-12 08:00:00,0.014096,0.01492,0.012731,0.013001,7951993396.0,0.003066,-0.07689576824765687,0,0,0,0,0,2.0,0.013001,1.0,0.019374
2021-04-13 08:00:00,0.01301,0.013268,0.011195,0.011983,13411573387.0,0.003018714285714286,-0.07830166910237668,0,0,0,0,0,2.0,0.011983,1.0,0.019374
2021-04-14 08:00:00,0.011983,0.012388,0.010306,0.011654,17743984690.0,0.002976136363636364,-0.02745556204623223,0,0,0,0,0,2.0,0.011654,1.0,0.019374
2021-04-15 08:00:00,0.011666,0.01302,0.011205,0.011679,17015903584.0,0.0029256521739130436,0.002145186202162419,0,0,0,0,0,2.0,0.011654,2.0,0.019374
2021-04-16 08:00:00,0.011681,0.012405,0.01059,0.01157,15805608376.0,0.002879375,-0.009332990838256672,0,0,0,0,0,2.0,0.01157,1.0,0.019374
2021-04-17 08:00:00,0.01157,0.0137,0.011567,0.011943,18854098641.0,0.00284952,0.032238547968885145,0,0,0,0,0,1.0,0.011943,6.0,0.019374
