Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2023-04-30 08:00:00,1.3321,1.625,1.3321,1.3595,133449061.0,0.29289999999999994,-0.08179477749172492,1,0,0,0,0,-1.0,0.0,0.0,1.3595
2023-05-01 08:00:00,1.3595,1.375,1.161,1.2483,239323146.0,0.25344999999999995,-0.08179477749172492,0,0,0,1,0,2.0,1.2483,1.0,1.3595
2023-05-02 08:00:00,1.2484,1.314,1.209,1.2415,166640112.0,0.20396666666666663,-0.005447408475526605,0,0,0,0,0,2.0,1.2415,1.0,1.3595
2023-05-03 08:00:00,1.2409,1.2533,1.0812,1.1759,185231328.0,0.196,-0.052839307289569204,0,0,0,0,0,2.0,1.1759,1.0,1.3595
2023-05-04 08:00:00,1.1762,1.2975,1.1532,1.2799,224081092.0,0.18566000000000002,0.08844289480397993,0,0,0,0,0,1.0,1.2799,6.0,1.3595
2023-05-05 08:00:00,1.2798,1.286,1.152,1.1854,169587821.0,0.17705000000000004,-0.07383389327291201,0,0,0,0,0,2.0,1.1854,1.0,1.3595
2023-05-06 08:00:00,1.1853,1.1977,1.01,1.0833,127763668.0,0.1785714285714286,-0.08613126370845292,0,0,0,0,0,2.0,1.0833,1.0,1.3595
2023-05-07 08:00:00,1.0833,1.123,1.041,1.0491,83727524.0,0.16650000000000004,-0.03157020216006645,0,0,0,0,0,2.0,1.0491,1.0,1.3595
2023-05-08 08:00:00,1.0492,1.0679,0.9233,1.0119,117070637.0,0.1640666666666667,-0.03545896482699451,0,1,0,0,0,2.0,1.0119,1.0,1.0119
2023-05-09 08:00:00,1.0117,1.0847,0.9818,1.0684,123356164.0,0.15795000000000003,0.055835556873208736,0,0,1,0,0,1.0,1.0684,6.0,1.0119
2023-05-10 08:00:00,1.0685,1.3,1.035,1.23,276814353.0,0.16768181818181824,0.15125421190565325,0,0,0,0,0,1.0,1.23,6.0,1.0119
2023-05-11 08:00:00,1.2303,1.245,1.0002,1.0435,266418695.0,0.1741083333333334,-0.15162601626016248,0,0,0,0,0,2.0,1.0435,1.0,1.0119
2023-05-12 08:00:00,1.0434,1.1446,0.9762,1.1418,191654700.0,0.17366923076923083,0.09420220412074731,0,0,0,0,0,1.0,1.1418,6.0,1.0119
2023-05-13 08:00:00,1.1417,1.1988,1.106,1.1253,215103615.0,0.1678928571428572,-0.014450867052023142,0,0,0,0,0,2.0,1.1253,1.0,1.0119
2023-05-14 08:00:00,1.1253,1.3218,1.0652,1.2692,336453579.0,0.17380666666666672,0.12787701057495782,1,0,0,0,0,1.0,1.2692,6.0,1.2692
2023-05-15 08:00:00,1.2691,1.3519,1.2239,1.2339,318029893.0,0.17094375000000006,-0.02781279546170823,0,0,0,1,0,2.0,1.2339,1.0,1.2692
2023-05-16 08:00:00,1.234,1.2417,1.1265,1.1631,204785673.0,0.167664705882353,-0.05737904206175537,0,0,0,0,0,2.0,1.1631,1.0,1.2692
2023-05-17 08:00:00,1.163,1.252,1.0772,1.2404,240730221.0,0.16806111111111116,0.06646032155446635,0,0,0,0,0,1.0,1.2404,6.0,1.2692
2023-05-18 08:00:00,1.2405,1.2405,1.1002,1.137,159975519.0,0.16660000000000005,-0.08336020638503705,0,0,0,0,0,2.0,1.137,1.0,1.2692
2023-05-19 08:00:00,1.1368,1.1775,1.11,1.1397,121589567.0,0.16164500000000004,0.0023746701846965035,0,0,0,0,0,2.0,1.137,3.0,1.2692
2023-05-20 08:00:00,1.1397,1.146,1.1055,1.1431,71029129.0,0.1558761904761905,0.0029832412038255374,0,0,0,0,0,1.0,1.1431,6.0,1.2692
2023-05-21 08:00:00,1.1431,1.2221,1.11,1.1225,181815715.0,0.15388636363636365,-0.01802117050126839,0,0,0,0,0,2.0,1.1225,1.0,1.2692
2023-05-22 08:00:00,1.1226,1.1305,1.05,1.0849,140224232.0,0.15069565217391306,-0.033496659242761795,0,1,0,0,0,2.0,1.0849,1.0,1.0849
2023-05-23 08:00:00,1.085,1.1437,1.0802,1.1371,88482368.0,0.1470625,0.04811503364365377,0,0,1,0,0,1.0,1.1371,6.0,1.0849
