Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2020-09-14 08:00:00,13.294,15.213,12.7,13.978,372653.0,2.513,-0.06524538560595217,1,0,0,0,0,-1.0,0.0,0.0,13.978
2020-09-15 08:00:00,13.997,15.039,12.837,13.066,590234.6,2.3575,-0.06524538560595217,0,0,0,1,0,2.0,13.066,1.0,13.978
2020-09-16 08:00:00,13.04,13.047,11.83,12.584,295253.6,1.983666666666667,-0.03688963722638916,0,0,0,0,0,2.0,12.584,1.0,13.978
2020-09-17 08:00:00,12.578,12.88,11.74,12.044,233613.2,1.7727500000000003,-0.042911633820724715,0,0,0,0,0,2.0,12.044,1.0,13.978
2020-09-18 08:00:00,12.061,12.308,10.874,11.233,224249.0,1.705,-0.0673364330787114,0,0,0,0,0,2.0,11.233,1.0,13.978
2020-09-19 08:00:00,11.231,12.241,11.182,11.95,254928.5,1.5973333333333333,0.06382978723404253,0,0,0,0,0,1.0,11.95,6.0,13.978
2020-09-20 08:00:00,11.932,12.098,10.038,10.7,334757.6,1.6634285714285715,-0.10460251046025104,0,0,0,0,0,2.0,10.7,1.0,13.978
2020-09-21 08:00:00,10.709,10.937,8.417,8.822,526027.3,1.7705,-0.17551401869158878,0,0,0,0,0,2.0,8.822,1.0,13.978
2020-09-22 08:00:00,8.824,9.083,8.43,8.715,368538.0,1.6463333333333334,-0.012128768986624294,0,1,0,0,0,2.0,8.715,1.0,8.715
2020-09-23 08:00:00,8.717,9.419,8.241,8.72,591995.8,1.5995000000000001,0.0005737234652898326,0,0,0,0,0,2.0,8.715,1.0,8.715
2020-09-24 08:00:00,8.718,9.25,8.647,9.195,411925.0,1.5089090909090908,0.054472477064220204,0,0,1,0,0,1.0,9.195,6.0,8.715
2020-09-25 08:00:00,9.208,10.1,9.084,9.923,394922.1,1.467833333333333,0.07917346383904289,0,0,0,0,0,1.0,9.923,6.0,8.715
2020-09-26 08:00:00,9.935,10.577,9.866,10.391,343473.4,1.4096153846153843,0.04716315630353729,1,0,0,0,0,1.0,10.391,6.0,10.391
2020-09-27 08:00:00,10.404,10.503,9.631,10.033,242198.4,1.3712142857142855,-0.034452891925705,0,0,0,1,0,2.0,10.033,1.0,10.391
