Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2021-11-30 08:00:00,70.85,78.342,66.045,70.009,558847.7,12.296999999999997,-0.073919067548458,1,0,0,0,0,-1.0,0.0,0.0,70.009
2021-12-01 08:00:00,70.0,75.055,63.292,64.834,662288.5,12.030000000000001,-0.073919067548458,0,0,0,1,0,2.0,64.834,1.0,70.009
2021-12-02 08:00:00,64.834,64.883,58.565,61.717,761347.8,10.126,-0.04807662646142463,0,0,0,0,0,2.0,61.717,1.0,70.009
2021-12-03 08:00:00,61.782,63.338,49.937,54.28,1064599.4,10.94475,-0.1205016446035938,0,0,0,0,0,2.0,54.28,1.0,70.009
2021-12-04 08:00:00,54.298,54.999,38.102,50.826,1424403.1,12.135200000000001,-0.06363301400147381,0,0,0,0,0,2.0,50.826,1.0,70.009
2021-12-05 08:00:00,50.801,54.779,45.439,49.252,1445367.4,11.669333333333336,-0.03096840199897688,0,0,0,0,0,2.0,49.252,1.0,70.009
2021-12-06 08:00:00,49.255,51.496,42.255,51.346,1150697.5,11.322428571428574,0.04251603995776798,0,0,0,0,0,1.0,51.346,6.0,70.009
2021-12-07 08:00:00,51.36,53.999,48.693,50.689,949158.8,10.570375000000002,-0.012795543956685917,0,0,0,0,0,2.0,50.689,1.0,70.009
2021-12-08 08:00:00,50.689,52.419,47.273,49.338,689957.7,9.967666666666666,-0.026652725443390035,0,0,0,0,0,2.0,49.338,1.0,70.009
2021-12-09 08:00:00,49.348,50.744,44.644,44.919,701314.4,9.5809,-0.08956585187887645,0,0,0,0,0,2.0,44.919,1.0,70.009
2021-12-10 08:00:00,44.947,46.8,42.419,42.597,610646.7,9.108181818181817,-0.051693047485473764,0,0,0,0,0,2.0,42.597,1.0,70.009
2021-12-11 08:00:00,42.576,49.174,41.575,47.472,1491242.7,8.982416666666666,0.11444467920276069,0,0,0,0,0,1.0,47.472,6.0,70.009
2021-12-12 08:00:00,47.482,47.624,44.067,46.988,1020299.1,8.565076923076923,-0.010195483653522075,0,0,0,0,0,2.0,46.988,1.0,70.009
2021-12-13 08:00:00,46.999,47.186,39.333,39.921,987957.7,8.514214285714285,-0.15040010215374133,0,0,0,0,0,2.0,39.921,1.0,70.009
2021-12-14 08:00:00,39.931,41.714,37.702,39.815,1137229.3,8.214066666666666,-0.0026552441071115984,0,1,0,0,0,2.0,39.815,1.0,39.815
2021-12-15 08:00:00,39.862,44.33,37.019,42.448,1372103.7,8.157625,0.0661308552053248,0,0,1,0,0,1.0,42.448,6.0,39.815
2021-12-16 08:00:00,42.455,47.9,42.264,44.36,1897299.2,8.009294117647059,0.045043347154165136,0,0,0,0,0,1.0,44.36,6.0,39.815
2021-12-17 08:00:00,44.342,46.675,40.1,42.17,1528978.3,7.92961111111111,-0.04936880072137051,0,0,0,0,0,2.0,42.17,1.0,39.815
2021-12-18 08:00:00,42.15,44.0,40.493,42.614,755030.8,7.696842105263157,0.01052881195162425,0,0,0,0,0,1.0,42.614,6.0,39.815
2021-12-19 08:00:00,42.629,43.758,40.549,40.843,620080.3,7.472449999999999,-0.041559112028910494,0,0,0,0,0,2.0,40.843,1.0,39.815
2021-12-20 08:00:00,40.827,41.644,37.3,40.416,958844.8,7.32347619047619,-0.010454667874544188,0,1,0,0,0,2.0,40.416,1.0,40.416
2021-12-21 08:00:00,40.419,42.13,39.67,40.945,776104.4,7.102409090909091,0.013088875692794932,0,0,1,0,0,1.0,40.945,6.0,40.416
2021-12-22 08:00:00,40.936,46.24,40.713,45.103,1460234.4,7.033913043478259,0.10155086091097809,0,0,0,0,0,1.0,45.103,6.0,40.416
2021-12-23 08:00:00,45.136,49.82,42.778,49.507,1928252.3,7.034249999999999,0.09764317229452568,1,0,0,0,0,1.0,49.507,6.0,49.507
2021-12-24 08:00:00,49.522,49.593,44.667,45.642,962457.6,6.94992,-0.07806976791160836,0,0,0,1,0,2.0,45.642,1.0,49.507
2021-12-25 08:00:00,45.643,48.18,44.862,46.454,1013395.7,6.810230769230769,0.01779063143595816,0,0,0,0,0,1.0,46.454,6.0,49.507
2021-12-26 08:00:00,46.454,46.851,43.882,45.718,912436.6,6.667962962962962,-0.015843630257889485,0,0,0,0,0,2.0,45.718,1.0,49.507
2021-12-27 08:00:00,45.73,48.2,44.1,44.458,1167887.7,6.576249999999999,-0.0275602607288159,0,0,0,0,0,2.0,44.458,1.0,49.507
2021-12-28 08:00:00,44.462,44.482,38.923,39.687,1739700.9,6.541172413793102,-0.10731476899545644,0,0,0,0,0,2.0,39.687,1.0,49.507
2021-12-29 08:00:00,39.682,40.88,37.802,38.599,1155337.0,6.425733333333332,-0.027414518608108507,0,1,0,0,0,2.0,38.599,1.0,38.599
2021-12-30 08:00:00,38.58,40.976,37.95,39.088,1181269.5,6.31606451612903,0.012668721987616482,0,0,1,0,0,1.0,39.088,6.0,38.599
2021-12-31 08:00:00,39.086,41.884,38.157,38.933,1124668.8,6.235156249999998,-0.0039654113794515,0,0,0,0,0,1.0,39.088,3.0,38.599
2022-01-01 08:00:00,38.946,40.415,38.693,40.169,834072.5,6.098393939393938,0.03174684714766385,0,0,0,0,0,1.0,40.169,6.0,38.599
2022-01-02 08:00:00,40.182,41.7,39.55,41.085,974072.9,5.9822647058823515,0.022803654559486297,1,0,0,0,0,1.0,41.085,6.0,41.085
2022-01-03 08:00:00,41.049,41.194,38.4,39.3,845290.1,5.891171428571428,-0.043446513326031444,0,0,0,1,0,2.0,39.3,1.0,41.085
2022-01-04 08:00:00,39.317,41.654,38.5,38.666,1269337.7,5.815138888888888,-0.016132315521628526,0,0,0,0,0,2.0,38.666,1.0,41.085
2022-01-05 08:00:00,38.667,39.95,31.255,33.78,2120910.7,5.892972972972972,-0.12636424765944232,0,0,0,0,0,2.0,33.78,1.0,41.085
2022-01-06 08:00:00,33.791,34.485,31.485,33.171,1549395.3,5.816842105263157,-0.018028419182948507,0,0,0,0,0,2.0,33.171,1.0,41.085
2022-01-07 08:00:00,33.158,33.266,28.212,30.057,2200904.2,5.797282051282051,-0.0938771818757349,0,0,0,0,0,2.0,30.057,1.0,41.085
2022-01-08 08:00:00,30.046,30.861,26.415,27.741,1696324.7,5.763499999999999,-0.07705359816348933,0,0,0,0,0,2.0,27.741,1.0,41.085
2022-01-09 08:00:00,27.749,29.488,26.878,28.024,1429658.8,5.684662499999999,0.01020150679499654,0,0,0,0,0,1.0,28.024,6.0,41.085
2022-01-10 08:00:00,28.022,28.74,24.383,25.373,2191658.1,5.651470937499999,-0.09459748786754207,0,1,0,0,0,2.0,25.373,1.0,25.373
2022-01-11 08:00:00,25.37,27.113,25.107,26.756,1423520.3,5.560334164062499,0.05450675915343073,0,0,1,0,0,1.0,26.756,6.0,25.373
2022-01-12 08:00:00,26.757,28.872,26.2,27.966,1420684.3,5.488125809960937,0.04522350127074315,0,0,0,0,0,1.0,27.966,6.0,25.373
2022-01-13 08:00:00,27.966,28.292,25.515,25.679,1487314.8,5.4203476647119135,-0.08177787313165996,0,0,0,0,0,2.0,25.679,1.0,25.373
2022-01-14 08:00:00,25.671,26.677,24.819,26.267,1434518.5,5.331288973094115,0.02289808793177306,0,0,0,0,0,1.0,26.267,6.0,25.373
2022-01-15 08:00:00,26.268,27.785,25.992,26.642,1726257.7,5.242831748766762,0.014276468572733902,0,0,0,0,0,1.0,26.642,6.0,25.373
2022-01-16 08:00:00,26.644,28.33,25.608,27.662,1912151.6,5.179810955047593,0.038285414007957375,0,0,0,0,0,1.0,27.662,6.0,25.373
2022-01-17 08:00:00,27.664,27.869,23.873,24.286,2075279.4,5.150215681171403,-0.12204468223555776,0,0,0,0,0,2.0,24.286,1.0,25.373
2022-01-18 08:00:00,24.284,24.634,22.377,23.38,2145167.0,5.0778852891421185,-0.037305443465371124,0,0,0,0,0,2.0,23.38,1.0,25.373
