Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2020-01-16 08:00:00,7.69,8.624,7.45,8.4,5587697.58,1.1740000000000004,0.09047619047619038,0,0,0,0,0,-1.0,0.0,0.0,8.4
2020-01-17 08:00:00,8.394,12.197,8.149,9.16,17038610.51,2.611,0.09047619047619038,1,0,0,0,0,-1.0,0.0,0.0,9.16
2020-01-18 08:00:00,9.16,9.738,8.022,8.303,11694212.59,2.3126666666666664,-0.09355895196506547,0,1,0,1,0,2.0,8.303,1.0,8.303
2020-01-19 08:00:00,8.299,9.456,7.778,8.528,13327184.18,2.154,0.02709863904612786,0,0,1,0,0,1.0,8.528,6.0,8.303
2020-01-20 08:00:00,8.526,9.094,8.051,8.626,9429386.38,1.9317999999999997,0.011491557223264337,0,0,0,0,0,1.0,8.626,6.0,8.303
2020-01-21 08:00:00,8.63,9.143,8.51,8.943,6974909.92,1.7153333333333334,0.03674936239276616,0,0,0,0,0,1.0,8.943,6.0,8.303
2020-01-22 08:00:00,8.942,9.544,8.925,9.348,6355301.58,1.5587142857142857,0.045286816504528815,1,0,0,0,0,1.0,9.348,6.0,9.348
2020-01-23 08:00:00,9.349,9.396,8.172,8.434,7817168.0,1.516875,-0.09777492511767238,0,0,0,1,0,2.0,8.434,1.0,9.348
2020-01-24 08:00:00,8.448,8.845,7.832,8.608,10186046.93,1.460888888888889,0.020630780175480368,0,0,0,0,0,1.0,8.608,6.0,9.348
2020-01-25 08:00:00,8.608,8.68,8.076,8.393,6175285.99,1.3752,-0.02497676579925645,0,1,0,0,0,2.0,8.393,1.0,8.393
2020-01-26 08:00:00,8.388,9.367,8.227,9.167,8158709.02,1.3538181818181818,0.09221970689860592,0,0,1,0,0,1.0,9.167,6.0,8.393
2020-01-27 08:00:00,9.166,11.152,9.151,10.411,16843143.66,1.40775,0.13570415621250143,0,0,0,0,0,1.0,10.411,6.0,8.393
2020-01-28 08:00:00,10.415,11.768,10.333,11.37,18736741.19,1.409846153846154,0.09211411007588133,0,0,0,0,0,1.0,11.37,6.0,8.393
2020-01-29 08:00:00,11.376,12.88,11.334,12.238,19452378.33,1.4195714285714287,0.07634124890061567,0,0,0,0,0,1.0,12.238,6.0,8.393
2020-01-30 08:00:00,12.222,12.71,11.653,12.299,14120701.13,1.3954000000000002,0.004984474587350851,1,0,0,0,0,1.0,12.299,6.0,12.299
2020-01-31 08:00:00,12.3,12.318,10.711,11.344,14565411.89,1.4086250000000002,-0.07764858931620455,0,0,0,1,0,2.0,11.344,1.0,12.299
2020-02-01 08:00:00,11.34,11.801,11.085,11.548,9632345.73,1.3678823529411768,0.01798307475317351,0,0,0,0,0,1.0,11.548,6.0,12.299
2020-02-02 08:00:00,11.547,11.759,11.11,11.386,9813015.08,1.3279444444444448,-0.014028403186699068,0,0,0,0,0,2.0,11.386,1.0,12.299
2020-02-03 08:00:00,11.383,12.247,11.312,11.777,11135329.25,1.3072631578947373,0.03434041805726329,0,0,0,0,0,1.0,11.777,6.0,12.299
2020-02-04 08:00:00,11.777,11.915,11.052,11.422,8197541.17,1.2850500000000005,-0.030143500042455473,0,0,0,0,0,2.0,11.422,1.0,12.299
2020-02-05 08:00:00,11.422,12.667,11.331,12.382,9547296.27,1.2874761904761907,0.08404832778847826,1,0,0,0,0,1.0,12.382,6.0,12.382
2020-02-06 08:00:00,12.382,13.251,10.865,12.128,15225195.42,1.3374090909090912,-0.020513648845097654,0,0,0,1,0,2.0,12.128,1.0,12.382
2020-02-07 08:00:00,12.126,12.288,11.275,11.707,7308810.38,1.3233043478260873,-0.03471306068601576,0,0,0,0,0,2.0,11.707,1.0,12.382
2020-02-08 08:00:00,11.707,11.963,11.114,11.72,5661356.76,1.3035416666666668,0.0011104467412659247,0,0,0,0,0,2.0,11.707,2.0,12.382
2020-02-09 08:00:00,11.72,12.186,11.293,11.719,6429119.9,1.2871200000000003,-8.532423208196249e-05,0,0,0,0,0,2.0,11.707,2.0,12.382
