Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2023-01-17 08:00:00,0.2255,0.2845,0.2238,0.2791,1264439423.0,0.060699999999999976,-0.10927982801863145,0,0,0,0,0,-1.0,0.0,0.0,0.2791
2023-01-18 08:00:00,0.2792,0.2986,0.231,0.2486,822124828.0,0.06414999999999997,-0.10927982801863145,0,1,0,0,0,-1.0,0.0,0.0,0.2486
2023-01-19 08:00:00,0.2487,0.2745,0.2439,0.2722,288226302.0,0.052966666666666655,0.09493161705551101,0,0,1,0,0,1.0,0.2722,6.0,0.2486
2023-01-20 08:00:00,0.2722,0.295,0.258,0.2831,300450380.0,0.048974999999999984,0.040044085231447646,0,0,0,0,0,1.0,0.2831,6.0,0.2486
2023-01-21 08:00:00,0.2832,0.3081,0.2654,0.2681,309200541.0,0.04771999999999998,-0.05298481102084074,0,0,0,0,0,2.0,0.2681,1.0,0.2486
2023-01-22 08:00:00,0.2682,0.2842,0.25,0.2656,146741499.0,0.045466666666666655,-0.009324878776575951,0,0,0,0,0,2.0,0.2656,1.0,0.2486
2023-01-23 08:00:00,0.2656,0.3079,0.263,0.285,400587151.0,0.04538571428571427,0.0730421686746987,1,0,0,0,0,1.0,0.285,6.0,0.285
2023-01-24 08:00:00,0.2851,0.2938,0.251,0.2661,199713950.0,0.04506249999999999,-0.0663157894736841,0,0,0,1,0,2.0,0.2661,1.0,0.285
2023-01-25 08:00:00,0.266,0.2799,0.252,0.2704,181541642.0,0.043155555555555544,0.01615933859451313,0,0,0,0,0,1.0,0.2704,6.0,0.285
2023-01-26 08:00:00,0.2705,0.2819,0.2597,0.2637,126314628.0,0.04105999999999999,-0.024778106508875686,0,1,0,0,0,2.0,0.2637,1.0,0.2637
2023-01-27 08:00:00,0.2638,0.3,0.2555,0.2812,230910010.0,0.04137272727272726,0.06636329161926446,0,0,1,0,0,1.0,0.2812,6.0,0.2637
2023-01-28 08:00:00,0.2813,0.3131,0.2791,0.2948,285648882.0,0.04075833333333332,0.04836415362731161,1,0,0,0,0,1.0,0.2948,6.0,0.2948
2023-01-29 08:00:00,0.2949,0.2974,0.2833,0.2898,118354672.0,0.0387076923076923,-0.016960651289009476,0,0,0,1,0,2.0,0.2898,1.0,0.2948
2023-01-30 08:00:00,0.2898,0.2898,0.2575,0.266,116132867.0,0.03824999999999999,-0.08212560386473422,0,0,0,0,0,2.0,0.266,1.0,0.2948
2023-01-31 08:00:00,0.266,0.2876,0.2583,0.2753,152997196.0,0.03765333333333333,0.03496240601503753,0,0,0,0,0,1.0,0.2753,6.0,0.2948
2023-02-01 08:00:00,0.2754,0.3005,0.2572,0.2892,210123694.0,0.03800625,0.05049037413730484,0,0,0,0,0,1.0,0.2892,6.0,0.2948
2023-02-02 08:00:00,0.2893,0.3037,0.2716,0.2751,205944663.0,0.037658823529411765,-0.04875518672199175,0,0,0,0,0,2.0,0.2751,1.0,0.2948
2023-02-03 08:00:00,0.275,0.3382,0.2682,0.3303,470781712.0,0.03945555555555555,0.2006543075245364,0,0,0,0,0,1.0,0.3303,6.0,0.2948
2023-02-04 08:00:00,0.3304,0.3513,0.315,0.332,557602557.0,0.03928947368421052,0.005146836209506622,0,0,0,0,0,1.0,0.332,6.0,0.2948
2023-02-05 08:00:00,0.3321,0.4646,0.3268,0.4495,1231779431.0,0.044215,0.35391566265060237,0,0,0,0,0,1.0,0.4495,6.0,0.2948
2023-02-06 08:00:00,0.4496,0.4764,0.4063,0.4329,971689519.0,0.04544761904761904,-0.03692992213570634,0,0,0,0,0,2.0,0.4329,1.0,0.2948
2023-02-07 08:00:00,0.433,0.6,0.4329,0.5414,1129780754.0,0.050977272727272725,0.2506352506352505,1,0,0,0,0,1.0,0.5414,6.0,0.5414
2023-02-08 08:00:00,0.5413,0.6092,0.4443,0.4776,926698980.0,0.055930434782608694,-0.11784263021795338,0,0,0,1,0,2.0,0.4776,1.0,0.5414
