Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2023-01-20 08:00:00,10.199,11.461,9.781,10.871,5263124.4,1.6799999999999997,-0.0565725324257198,1,0,0,0,0,-1.0,0.0,0.0,10.871
2023-01-21 08:00:00,10.875,11.436,10.142,10.256,2461632.5,1.487,-0.0565725324257198,0,0,0,1,0,2.0,10.256,1.0,10.871
2023-01-22 08:00:00,10.254,10.869,9.548,10.04,1889761.0,1.4316666666666666,-0.021060842433697435,0,0,0,0,0,2.0,10.04,1.0,10.871
2023-01-23 08:00:00,10.04,10.855,9.612,10.453,2142313.6,1.3845,0.04113545816733066,0,0,0,0,0,1.0,10.453,6.0,10.871
2023-01-24 08:00:00,10.452,11.29,9.6,9.897,2457852.1,1.4456,-0.053190471634937286,0,1,0,0,0,2.0,9.897,1.0,9.897
2023-01-25 08:00:00,9.88,10.86,9.487,10.35,1631891.8,1.4334999999999998,0.04577144589269477,0,0,1,0,0,1.0,10.35,6.0,9.897
2023-01-26 08:00:00,10.361,11.3,10.043,10.219,1311970.0,1.4082857142857144,-0.012657004830917917,0,0,0,0,0,2.0,10.219,1.0,9.897
2023-01-27 08:00:00,10.212,11.076,9.823,10.774,2072808.5,1.388875,0.05431059790586157,0,0,0,0,0,1.0,10.774,6.0,9.897
2023-01-28 08:00:00,10.773,11.906,10.591,11.003,5822735.7,1.380666666666667,0.021254872842027206,0,0,0,0,0,1.0,11.003,6.0,9.897
2023-01-29 08:00:00,11.002,11.362,10.82,11.208,1351682.3,1.2968000000000002,0.01863128237753342,1,0,0,0,0,1.0,11.208,6.0,11.208
2023-01-30 08:00:00,11.208,11.252,9.862,10.179,1468683.9,1.3052727272727276,-0.09180942184154173,0,1,0,1,0,2.0,10.179,1.0,10.179
2023-01-31 08:00:00,10.181,10.53,10.012,10.32,837552.2,1.2396666666666667,0.013852048334807021,0,0,1,0,0,1.0,10.32,6.0,10.179
2023-02-01 08:00:00,10.32,11.006,9.581,10.765,2818104.0,1.2539230769230771,0.043120155038759655,0,0,0,0,0,1.0,10.765,6.0,10.179
2023-02-02 08:00:00,10.783,11.767,10.582,10.691,3661963.2,1.249,-0.006874129122155126,0,0,0,0,0,2.0,10.691,1.0,10.179
2023-02-03 08:00:00,10.687,11.519,10.29,11.054,3238501.7,1.247666666666667,0.033953792909924285,0,0,0,0,0,1.0,11.054,6.0,10.179
2023-02-04 08:00:00,11.055,11.193,10.37,10.475,1497188.7,1.2211250000000002,-0.05237922923828486,0,0,0,0,0,2.0,10.475,1.0,10.179
2023-02-05 08:00:00,10.476,10.53,9.8,10.007,2164389.9,1.192235294117647,-0.0446778042959427,0,1,0,0,0,2.0,10.007,1.0,10.007
2023-02-06 08:00:00,10.0,12.9,9.9,12.117,21020040.0,1.2926666666666666,0.21085240331767774,0,0,1,0,0,1.0,12.117,6.0,10.007
2023-02-07 08:00:00,12.122,13.712,12.105,12.72,22450675.3,1.3092105263157894,0.049764793265659746,1,0,0,0,0,1.0,12.72,6.0,12.72
2023-02-08 08:00:00,12.72,13.155,11.342,12.55,8405869.0,1.3344,-0.013364779874213806,0,0,0,1,0,2.0,12.55,1.0,12.72
2023-02-09 08:00:00,12.547,14.298,11.432,12.524,28625692.9,1.4073333333333333,-0.0020717131474105033,0,0,0,0,0,2.0,12.524,1.0,12.72
2023-02-10 08:00:00,12.521,12.7,10.253,10.34,12554253.4,1.454590909090909,-0.17438518045352913,0,0,0,0,0,2.0,10.34,1.0,12.72
2023-02-11 08:00:00,10.335,10.673,10.05,10.657,4941499.7,1.4184347826086954,0.030657640232108374,0,0,0,0,0,1.0,10.657,6.0,12.72
2023-02-12 08:00:00,10.656,10.994,10.059,10.197,4614664.6,1.3982916666666665,-0.043164117481467645,0,0,0,0,0,2.0,10.197,1.0,12.72
2023-02-13 08:00:00,10.201,10.887,9.13,9.92,12854328.3,1.41264,-0.027164852407570828,0,1,0,0,0,2.0,9.92,1.0,9.92
2023-02-14 08:00:00,9.92,10.413,9.555,10.027,6816678.6,1.391307692307692,0.010786290322580605,0,0,1,0,0,1.0,10.027,6.0,9.92
2023-02-15 08:00:00,10.026,11.58,9.816,11.468,9854870.4,1.4051111111111108,0.1437119776603173,1,0,0,0,0,1.0,11.468,6.0,11.468
2023-02-16 08:00:00,11.468,11.703,10.055,10.099,6823628.3,1.4137857142857138,-0.11937565399372163,0,0,0,1,0,2.0,10.099,1.0,11.468
2023-02-17 08:00:00,10.099,11.514,10.036,11.055,9342667.9,1.4159999999999995,0.09466283790474295,0,0,0,0,0,1.0,11.055,6.0,11.468
2023-02-18 08:00:00,11.054,11.807,11.014,11.377,6367953.7,1.3952333333333329,0.029127091813659023,0,0,0,0,0,1.0,11.377,6.0,11.468
2023-02-19 08:00:00,11.377,11.487,10.5,10.634,3699929.4,1.382064516129032,-0.06530719873428847,0,0,0,0,0,2.0,10.634,1.0,11.468
2023-02-20 08:00:00,10.633,11.049,10.324,10.809,2962144.3,1.3615312499999996,0.016456648485988268,0,0,0,0,0,1.0,10.809,6.0,11.468
2023-02-21 08:00:00,10.81,11.177,10.064,10.213,3746630.6,1.3539999999999996,-0.0551392358220002,0,0,0,0,1,2.0,10.213,1.0,11.468
2023-02-22 08:00:00,10.216,10.689,9.728,10.49,5690152.6,1.342441176470588,0.027122295114070383,0,0,0,0,0,1.0,10.49,6.0,11.468
2023-02-23 08:00:00,10.49,11.474,10.486,10.927,9315381.7,1.3323142857142853,0.041658722592945674,0,0,0,0,0,1.0,10.927,6.0,11.468
2023-02-24 08:00:00,10.926,10.979,9.846,10.111,4073180.7,1.3267777777777772,-0.07467740459412453,0,1,0,0,0,2.0,10.111,1.0,10.111
2023-02-25 08:00:00,10.112,10.625,9.626,10.174,4499003.4,1.3179189189189184,0.006230837701513003,0,0,1,0,0,1.0,10.174,6.0,10.111
2023-02-26 08:00:00,10.174,10.566,10.066,10.502,2853073.1,1.296394736842105,0.03223904069195993,0,0,0,0,0,1.0,10.502,6.0,10.111
2023-02-27 08:00:00,10.497,11.259,10.137,11.093,6378307.8,1.2919230769230765,0.056274995239002035,0,0,0,0,0,1.0,11.093,6.0,10.111
2023-02-28 08:00:00,11.093,11.628,10.513,11.421,11089836.5,1.2874999999999996,0.029568196159740268,0,0,0,0,0,1.0,11.421,6.0,10.111
2023-03-01 08:00:00,11.423,12.364,11.312,11.977,9294563.1,1.2816124999999996,0.04868225199194476,1,0,0,0,0,1.0,11.977,6.0,11.977
2023-03-02 08:00:00,11.976,12.297,11.018,11.095,6434217.0,1.2815471874999995,-0.07364114552893042,0,0,0,1,0,2.0,11.095,1.0,11.977
2023-03-03 08:00:00,11.097,11.105,9.902,10.11,5983901.6,1.2795835078124995,-0.08877872915727814,0,0,0,0,0,2.0,10.11,1.0,11.977
2023-03-04 08:00:00,10.111,10.2,9.387,9.732,3359848.1,1.267918920117187,-0.037388724035608334,0,0,0,0,0,2.0,9.732,1.0,11.977
2023-03-05 08:00:00,9.731,10.05,9.537,9.625,2677624.3,1.2490459471142572,-0.010994656802301606,0,0,0,0,0,2.0,9.625,1.0,11.977
2023-03-06 08:00:00,9.624,9.903,9.392,9.779,3947375.3,1.2305947984364007,0.016000000000000014,0,0,0,0,0,1.0,9.779,6.0,11.977
2023-03-07 08:00:00,9.78,9.968,9.047,9.388,4153410.9,1.2228549284754906,-0.03998363840883523,0,0,0,0,1,2.0,9.388,1.0,11.977
2023-03-08 08:00:00,9.386,9.46,8.6,8.947,3751864.3,1.2137835552636034,-0.046974861525351574,0,0,0,0,0,2.0,8.947,1.0,11.977
2023-03-09 08:00:00,8.946,9.012,8.013,8.379,4988844.4,1.2084139663820133,-0.06348496702805406,0,0,0,0,0,2.0,8.379,1.0,11.977
2023-03-10 08:00:00,8.379,8.597,7.79,7.832,6423937.6,1.1983786172224629,-0.06528225325217807,0,0,0,0,0,2.0,7.832,1.0,11.977
2023-03-11 08:00:00,7.833,8.19,6.425,7.585,27572740.7,1.2125441517919013,-0.03153728294177727,0,1,0,0,0,2.0,7.585,1.0,7.585
2023-03-12 08:00:00,7.583,8.913,7.122,8.74,11168363.3,1.2270055479971038,0.15227422544495717,0,0,1,0,0,1.0,8.74,6.0,7.585
2023-03-13 08:00:00,8.741,9.19,8.153,8.993,8157386.8,1.2222554092971762,0.02894736842105261,1,0,0,0,0,1.0,8.993,6.0,8.993
2023-03-14 08:00:00,8.994,9.549,8.434,8.969,7414963.4,1.2195740240647468,-0.0026687423551652323,0,0,0,1,0,1.0,8.993,4.0,8.993
2023-03-15 08:00:00,8.965,9.446,7.911,8.156,6624157.6,1.2274596734631282,-0.09064555691827392,0,0,0,0,0,2.0,8.156,1.0,8.993
2023-03-16 08:00:00,8.156,8.422,7.945,8.292,3650382.6,1.20869818162655,0.016674840608141173,0,0,0,0,0,1.0,8.292,6.0,8.993
2023-03-17 08:00:00,8.292,8.877,8.201,8.871,3786727.8,1.1953807270858863,0.06982633863965271,0,0,0,0,0,1.0,8.871,6.0,8.993
2023-03-18 08:00:00,8.87,9.199,8.464,8.6,3598670.3,1.183871208908739,-0.030548979821891642,0,0,0,0,0,2.0,8.6,1.0,8.993
2023-03-19 08:00:00,8.602,8.865,8.273,8.421,3688196.7,1.1690744286860206,-0.020813953488372117,0,0,0,0,0,2.0,8.421,1.0,8.993
2023-03-20 08:00:00,8.422,8.581,7.809,7.865,3311011.3,1.15914756796887,-0.066025412658829,0,1,0,0,0,2.0,7.865,1.0,7.865
2023-03-21 08:00:00,7.865,8.39,7.724,8.129,3565306.4,1.1468188787696483,0.03356643356643341,0,0,1,0,0,1.0,8.129,6.0,7.865
2023-03-22 08:00:00,8.129,8.447,7.612,7.973,4422651.1,1.139023406800407,-0.019190552343461675,0,0,0,0,0,2.0,7.973,1.0,7.865
2023-03-23 08:00:00,7.976,8.257,7.8,8.158,2075098.0,1.1219728216303968,0.023203311175216346,0,0,0,0,0,1.0,8.158,6.0,7.865
2023-03-24 08:00:00,8.16,8.22,7.674,7.922,2010796.0,1.1075735010896368,-0.028928658985045375,0,0,0,0,0,2.0,7.922,1.0,7.865
2023-03-25 08:00:00,7.922,7.986,7.6,7.712,1398320.4,1.0895341635623959,-0.026508457460237334,0,0,0,0,0,2.0,7.712,1.0,7.865
2023-03-26 08:00:00,7.71,8.068,7.625,7.897,1976357.4,1.0733708094733359,0.023988589211618283,0,0,0,0,0,1.0,7.897,6.0,7.865
2023-03-27 08:00:00,7.899,7.945,7.318,7.474,2410606.0,1.0622115392365026,-0.053564644801823436,0,1,0,0,0,2.0,7.474,1.0,7.474
2023-03-28 08:00:00,7.474,8.15,7.318,8.081,3033559.7,1.0564562507555901,0.08121487824458118,0,0,1,0,0,1.0,8.081,6.0,7.474
2023-03-29 08:00:00,8.083,9.189,8.02,8.745,5657861.9,1.0592698444867004,0.08216804850884785,0,0,0,0,0,1.0,8.745,6.0,7.474
