Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2023-09-26 08:00:00,0.2364,0.2495,0.218,0.2368,393374161.0,0.0315,0.06925675675675658,0,0,0,0,0,-1.0,0.0,0.0,0.2368
2023-09-27 08:00:00,0.2368,0.2785,0.2252,0.2532,730599093.0,0.04240000000000001,0.06925675675675658,1,0,0,0,0,-1.0,0.0,0.0,0.2532
2023-09-28 08:00:00,0.2531,0.2578,0.2284,0.2476,208445044.0,0.038066666666666665,-0.02211690363349128,0,0,0,1,0,2.0,0.2476,1.0,0.2532
2023-09-29 08:00:00,0.2477,0.2622,0.2302,0.2336,133075433.0,0.03655,-0.05654281098546032,0,0,0,0,0,2.0,0.2336,1.0,0.2532
2023-09-30 08:00:00,0.2335,0.2367,0.226,0.234,65541405.0,0.03138,0.001712328767123239,0,0,0,0,0,2.0,0.2336,2.0,0.2532
2023-10-01 08:00:00,0.234,0.24,0.2294,0.2374,46805845.0,0.027916666666666663,0.014529914529914478,0,0,0,0,0,1.0,0.2374,6.0,0.2532
2023-10-02 08:00:00,0.2374,0.2384,0.2145,0.2224,59028354.0,0.02734285714285714,-0.06318449873631005,0,0,0,0,0,2.0,0.2224,1.0,0.2532
2023-10-03 08:00:00,0.2225,0.2229,0.2079,0.2081,36085904.0,0.025799999999999997,-0.06429856115107901,0,0,0,0,0,2.0,0.2081,1.0,0.2532
2023-10-04 08:00:00,0.2082,0.2088,0.19,0.1998,58775974.0,0.02502222222222222,-0.03988467083133107,0,0,0,0,0,2.0,0.1998,1.0,0.2532
2023-10-05 08:00:00,0.1999,0.2138,0.1951,0.1977,50469723.0,0.02439,-0.010510510510510551,0,0,0,0,0,2.0,0.1977,1.0,0.2532
2023-10-06 08:00:00,0.1977,0.2033,0.196,0.1989,27197346.0,0.022836363636363634,0.006069802731411222,0,0,0,0,0,1.0,0.1989,6.0,0.2532
2023-10-07 08:00:00,0.1989,0.2093,0.1963,0.2018,64187012.0,0.022016666666666667,0.014580191050779456,0,0,0,0,0,1.0,0.2018,6.0,0.2532
2023-10-08 08:00:00,0.2018,0.2195,0.1992,0.2109,221372606.0,0.021884615384615384,0.04509415262636263,1,0,0,0,0,1.0,0.2109,6.0,0.2109
2023-10-09 08:00:00,0.211,0.2111,0.1804,0.1925,105208670.0,0.022514285714285712,-0.08724513987671878,0,0,0,1,0,2.0,0.1925,1.0,0.2109
2023-10-10 08:00:00,0.1926,0.193,0.1829,0.1843,54575469.0,0.021686666666666667,-0.042597402597402634,0,0,0,0,0,2.0,0.1843,1.0,0.2109
2023-10-11 08:00:00,0.1844,0.1849,0.1771,0.1816,52358478.0,0.020818749999999997,-0.014650027129679777,0,0,0,0,0,2.0,0.1816,1.0,0.2109
2023-10-12 08:00:00,0.1816,0.1833,0.1775,0.1805,29056284.0,0.019935294117647058,-0.006057268722467035,0,1,0,0,0,2.0,0.1805,1.0,0.1805
2023-10-13 08:00:00,0.1806,0.1863,0.1786,0.1839,44365510.0,0.019255555555555554,0.018836565096953084,0,0,1,0,0,1.0,0.1839,6.0,0.1805
2023-10-14 08:00:00,0.1839,0.1887,0.1807,0.1849,31070872.0,0.01866315789473684,0.0054377379010330795,1,0,0,0,0,1.0,0.1849,6.0,0.1849
2023-10-15 08:00:00,0.185,0.1852,0.1798,0.1812,27050657.0,0.018,-0.020010816657652808,0,0,0,1,0,2.0,0.1812,1.0,0.1849
2023-10-16 08:00:00,0.1812,0.1859,0.1787,0.181,42835835.0,0.017485714285714285,-0.001103752759381904,0,0,0,0,0,2.0,0.181,1.0,0.1849
2023-10-17 08:00:00,0.181,0.1811,0.1671,0.1685,55857536.0,0.017327272727272726,-0.06906077348066286,0,0,0,0,0,2.0,0.1685,1.0,0.1849
2023-10-18 08:00:00,0.1685,0.1706,0.1631,0.1645,39895512.0,0.0169,-0.023738872403560873,0,1,0,0,0,2.0,0.1645,1.0,0.1645
2023-10-19 08:00:00,0.1645,0.171,0.1602,0.1679,40339235.0,0.016645833333333332,0.020668693009118444,0,0,1,0,0,1.0,0.1679,6.0,0.1645
2023-10-20 08:00:00,0.1679,0.1773,0.1661,0.1724,51920578.0,0.016427999999999998,0.026801667659321016,0,0,0,0,0,1.0,0.1724,6.0,0.1645
2023-10-21 08:00:00,0.1725,0.1819,0.1723,0.1774,18377910.0,0.016165384615384613,0.029002320185614883,0,0,0,0,0,1.0,0.1774,6.0,0.1645
2023-10-22 08:00:00,0.1774,0.1816,0.1729,0.1812,31338680.0,0.015888888888888886,0.021420518602029315,0,0,0,0,0,1.0,0.1812,6.0,0.1645
2023-10-23 08:00:00,0.1811,0.1902,0.1751,0.1873,50986470.0,0.015860714285714284,0.03366445916114791,0,0,0,0,0,1.0,0.1873,6.0,0.1645
2023-10-24 08:00:00,0.1873,0.2019,0.1834,0.194,70741277.0,0.01595172413793103,0.03577148958889498,0,0,0,0,0,1.0,0.194,6.0,0.1645
2023-10-25 08:00:00,0.194,0.2129,0.1912,0.2068,77794939.0,0.01614333333333333,0.06597938144329896,1,0,0,0,0,1.0,0.2068,6.0,0.2068
2023-10-26 08:00:00,0.2068,0.2115,0.1931,0.202,48580441.0,0.016216129032258064,-0.023210831721469982,0,0,0,1,0,2.0,0.202,1.0,0.2068
2023-10-27 08:00:00,0.202,0.2021,0.1923,0.1952,21897324.0,0.016015625,-0.03366336633663369,0,0,0,0,0,2.0,0.1952,1.0,0.2068
2023-10-28 08:00:00,0.1952,0.2047,0.1949,0.2016,16487809.0,0.015827272727272728,0.032786885245901676,0,0,0,0,0,1.0,0.2016,6.0,0.2068
2023-10-29 08:00:00,0.2016,0.2083,0.198,0.2055,14311643.0,0.01566470588235294,0.019345238095238138,0,0,0,0,0,1.0,0.2055,6.0,0.2068
2023-10-30 08:00:00,0.2054,0.2132,0.2039,0.2116,29276805.0,0.01548285714285714,0.029683698296837147,0,0,0,0,0,1.0,0.2116,6.0,0.2068
2023-10-31 08:00:00,0.2116,0.2148,0.1957,0.2051,31193727.0,0.015583333333333331,-0.030718336483931963,0,0,0,0,0,2.0,0.2051,1.0,0.2068
2023-11-01 08:00:00,0.2052,0.2133,0.1939,0.2119,34530571.0,0.015686486486486483,0.03315455875182849,0,0,0,0,0,1.0,0.2119,6.0,0.2068
2023-11-02 08:00:00,0.212,0.2196,0.2038,0.2112,47131069.0,0.01568947368421052,-0.003303445021236473,0,0,0,0,0,2.0,0.2112,1.0,0.2068
2023-11-03 08:00:00,0.2113,0.2116,0.2014,0.2106,20353645.0,0.015548717948717945,-0.0028409090909090606,0,0,0,0,0,2.0,0.2106,1.0,0.2068
2023-11-04 08:00:00,0.2107,0.2258,0.209,0.2198,23575589.0,0.015579999999999997,0.04368471035137689,0,0,0,0,0,1.0,0.2198,6.0,0.2068
2023-11-05 08:00:00,0.2197,0.23,0.2181,0.2261,26537960.0,0.015487999999999997,0.02866242038216571,0,0,0,0,0,1.0,0.2261,6.0,0.2068
2023-11-06 08:00:00,0.2261,0.2343,0.221,0.232,27569080.0,0.015433299999999997,0.026094648385670105,0,0,0,0,0,1.0,0.232,6.0,0.2068
2023-11-07 08:00:00,0.2319,0.2441,0.2232,0.2437,66700635.0,0.015569967499999997,0.05043103448275854,0,0,0,0,0,1.0,0.2437,6.0,0.2068
2023-11-08 08:00:00,0.2438,0.2678,0.2362,0.2608,206445660.0,0.015970718312499996,0.07016823963890029,0,0,0,0,0,1.0,0.2608,6.0,0.2068
2023-11-09 08:00:00,0.2609,0.2776,0.218,0.275,104735204.0,0.017061450354687497,0.05444785276073638,0,0,0,0,0,1.0,0.275,6.0,0.2068
2023-11-10 08:00:00,0.2751,0.293,0.2656,0.2833,59415020.0,0.01731991409582031,0.030181818181818088,1,0,0,0,0,1.0,0.2833,6.0,0.2833
2023-11-11 08:00:00,0.2834,0.2849,0.2657,0.277,32718140.0,0.0173669162434248,-0.022237910342393086,0,0,0,1,0,2.0,0.277,1.0,0.2833
2023-11-12 08:00:00,0.2771,0.298,0.262,0.28,36926535.0,0.01783274333733918,0.010830324909747224,0,0,0,0,0,1.0,0.28,6.0,0.2833
2023-11-13 08:00:00,0.28,0.2858,0.2526,0.2539,30362120.0,0.0182169247539057,-0.0932142857142857,0,0,0,0,0,2.0,0.2539,1.0,0.2833
2023-11-14 08:00:00,0.2539,0.2579,0.2304,0.2483,33998820.0,0.018449001635058058,-0.022055927530523878,0,0,0,0,0,2.0,0.2483,1.0,0.2833
2023-11-15 08:00:00,0.2484,0.268,0.2478,0.2619,26142202.0,0.018492776594181606,0.05477245267821185,0,0,0,0,0,1.0,0.2619,6.0,0.2833
2023-11-16 08:00:00,0.262,0.2728,0.2479,0.2533,37412054.0,0.018652957179327065,-0.03283696067201225,0,0,0,0,0,2.0,0.2533,1.0,0.2833
2023-11-17 08:00:00,0.2533,0.2621,0.2389,0.2503,30336897.0,0.018766633249843886,-0.011843663639952595,0,0,0,0,0,2.0,0.2503,1.0,0.2833
2023-11-18 08:00:00,0.2503,0.2507,0.233,0.2443,28608725.0,0.018739967418597788,-0.023971234518577855,0,0,0,0,0,2.0,0.2443,1.0,0.2833
2023-11-19 08:00:00,0.2442,0.2518,0.2376,0.2503,20710065.0,0.018626468233132843,0.02455996725337717,0,0,0,0,0,1.0,0.2503,6.0,0.2833
2023-11-20 08:00:00,0.2504,0.259,0.2479,0.2518,27791682.0,0.01843830652730452,0.005992808629644353,0,0,0,0,0,1.0,0.2518,6.0,0.2833
