Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2022-03-15 08:00:00,0.3223,0.35385,0.2746,0.33171,608418094.0,0.07924999999999999,0.67317837870429,0,1,0,0,0,-1.0,0.0,0.0,0.33171
2022-03-16 08:00:00,0.33111,0.558,0.315,0.55501,3448787796.0,0.16112500000000002,0.67317837870429,0,0,1,0,0,1.0,0.55501,6.0,0.33171
2022-03-17 08:00:00,0.55501,0.84421,0.53116,0.83013,4677686713.0,0.2117666666666667,0.49570278013008773,1,0,0,0,0,1.0,0.83013,6.0,0.83013
2022-03-18 08:00:00,0.83013,0.83038,0.652,0.69824,3032955909.0,0.20342000000000002,-0.1588787298374954,0,0,0,1,0,2.0,0.69824,1.0,0.83013
2022-03-19 08:00:00,0.69823,0.772,0.65025,0.67149,1152314559.0,0.18708600000000003,-0.03831060953253884,0,0,0,0,0,2.0,0.67149,1.0,0.83013
2022-03-20 08:00:00,0.67149,0.70266,0.574,0.57773,1015960793.0,0.17734833333333336,-0.13962977855217507,0,0,0,0,0,2.0,0.57773,1.0,0.83013
2022-03-21 08:00:00,0.57809,0.827,0.57607,0.79668,3326548314.0,0.18786,0.37898326207744115,0,0,0,0,0,1.0,0.79668,6.0,0.83013
2022-03-22 08:00:00,0.79703,0.894,0.75408,0.80518,2166046165.0,0.18186750000000002,0.010669277501631713,1,0,0,0,0,1.0,0.80518,6.0,0.80518
2022-03-23 08:00:00,0.80516,0.822,0.7323,0.76881,851671281.0,0.1716266666666667,-0.0451700240939914,0,0,0,1,0,2.0,0.76881,1.0,0.80518
2022-03-24 08:00:00,0.76894,0.789,0.68762,0.70072,534939987.0,0.16460200000000003,-0.08856544529857835,0,0,0,0,0,2.0,0.70072,1.0,0.80518
2022-03-25 08:00:00,0.70071,0.79797,0.67241,0.78047,1167919505.0,0.1610527272727273,0.1138115081630322,0,0,0,0,0,1.0,0.78047,6.0,0.80518
2022-03-26 08:00:00,0.7805,0.838,0.75,0.7644,922407288.0,0.15496500000000002,-0.020590157212961424,0,0,0,0,0,2.0,0.7644,1.0,0.80518
2022-03-27 08:00:00,0.7644,0.795,0.73543,0.77213,391234199.0,0.1476269230769231,0.010112506541078092,0,0,0,0,0,1.0,0.77213,6.0,0.80518
2022-03-28 08:00:00,0.77213,1.1495,0.76532,1.13112,2489516349.0,0.1645235714285714,0.46493466126170446,0,0,0,0,0,1.0,1.13112,6.0,0.80518
2022-03-29 08:00:00,1.13111,1.88076,1.03166,1.68207,3521377984.0,0.210162,0.4870835985571824,0,0,0,0,0,1.0,1.68207,6.0,0.80518
2022-03-30 08:00:00,1.68205,2.3198,1.6115,2.03446,3525809346.0,0.24129562499999999,0.2094978211370515,0,0,0,0,0,1.0,2.03446,6.0,0.80518
2022-03-31 08:00:00,2.03447,2.64561,1.78388,2.48608,3212078970.0,0.27779176470588235,0.2219851950886229,0,0,0,0,0,1.0,2.48608,6.0,0.80518
2022-04-01 08:00:00,2.48608,3.1295,2.3752,2.69271,2684350932.0,0.30426444444444445,0.08311478311236975,1,0,0,0,0,1.0,2.69271,6.0,2.69271
2022-04-02 08:00:00,2.69271,2.89506,2.26786,2.31666,1736912357.0,0.321261052631579,-0.13965484586160404,0,0,0,1,0,2.0,2.31666,1.0,2.69271
2022-04-03 08:00:00,2.31668,2.74,2.23966,2.4526,1676622107.0,0.33021500000000004,0.05867930555195833,0,0,0,0,0,1.0,2.4526,6.0,2.69271
2022-04-04 08:00:00,2.45267,2.56,2.05374,2.16666,1302060764.0,0.33859809523809525,-0.11658647965424451,0,0,0,0,0,2.0,2.16666,1.0,2.69271
2022-04-05 08:00:00,2.16609,2.32557,2.0852,2.13143,1282694742.0,0.3341331818181818,-0.016260050030923123,0,1,0,0,0,2.0,2.13143,1.0,2.13143
2022-04-06 08:00:00,2.13143,2.715,2.11704,2.32737,2596644338.0,0.34560391304347826,0.09192889280905314,0,0,1,0,0,1.0,2.32737,6.0,2.13143
2022-04-07 08:00:00,2.32855,2.36951,2.0112,2.18858,1291458833.0,0.34613333333333335,-0.059633835617027064,0,0,0,0,0,2.0,2.18858,1.0,2.13143
2022-04-08 08:00:00,2.18823,2.43999,2.08888,2.17636,1423465833.0,0.3463324,-0.0055835290462309395,0,0,0,0,0,2.0,2.17636,1.0,2.13143
2022-04-09 08:00:00,2.17623,2.327,2.1,2.3002,1024083441.0,0.34174269230769233,0.056902350714036265,0,0,0,0,0,1.0,2.3002,6.0,2.13143
2022-04-10 08:00:00,2.3002,2.39276,2.20271,2.25674,1228146229.0,0.33612444444444445,-0.01889400921658968,0,0,0,0,0,2.0,2.25674,1.0,2.13143
2022-04-11 08:00:00,2.25697,2.67794,2.23853,2.386,2031538416.0,0.3398132142857143,0.05727731152015747,1,0,0,0,0,1.0,2.386,6.0,2.386
2022-04-12 08:00:00,2.386,2.39995,2.12595,2.21524,1250055834.0,0.3375437931034483,-0.07156747694886845,0,0,0,1,0,2.0,2.21524,1.0,2.386
2022-04-13 08:00:00,2.2152,2.24863,2.053,2.17659,756307217.0,0.3328133333333333,-0.017447319477799317,0,1,0,0,0,2.0,2.17659,1.0,2.17659
2022-04-14 08:00:00,2.17658,2.3493,2.14192,2.22562,841786778.0,0.3287670967741935,0.0225260614079823,0,0,1,0,0,1.0,2.22562,6.0,2.17659
