Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2021-06-11 08:00:00,15.279,18.0,11.728,11.956,4758782.9,6.272,-0.06164268986283039,1,0,0,0,0,-1.0,0.0,0.0,11.956
2021-06-12 08:00:00,11.96,12.2,10.559,11.219,3729245.6,3.9565,-0.06164268986283039,0,0,0,1,0,2.0,11.219,1.0,11.956
2021-06-13 08:00:00,11.206,11.268,9.525,10.459,4542564.3,3.218666666666667,-0.06774222301452892,0,0,0,0,0,2.0,10.459,1.0,11.956
2021-06-14 08:00:00,10.461,12.083,9.971,10.395,3024666.3,2.942,-0.006119131848169035,0,0,0,0,0,2.0,10.395,1.0,11.956
2021-06-15 08:00:00,10.399,11.099,10.172,10.698,2212576.1,2.539,0.029148629148629146,0,0,0,0,0,1.0,10.698,6.0,11.956
2021-06-16 08:00:00,10.708,11.19,8.942,9.188,2544230.6,2.4905,-0.1411478781080575,0,0,0,0,1,2.0,9.188,1.0,11.956
2021-06-17 08:00:00,9.183,9.711,8.225,8.437,2375942.2,2.3470000000000004,-0.08173704832390083,0,0,0,0,0,2.0,8.437,1.0,11.956
2021-06-18 08:00:00,8.417,8.881,7.616,7.98,2977746.8,2.2117500000000003,-0.0541661728102405,0,0,0,0,0,2.0,7.98,1.0,11.956
2021-06-19 08:00:00,7.999,8.4,7.824,7.982,1577829.2,2.0300000000000002,0.0002506265664159457,0,0,0,0,0,2.0,7.98,1.0,11.956
2021-06-20 08:00:00,7.983,8.11,6.697,7.433,3105346.2,1.9683000000000004,-0.06877975444750695,0,0,0,0,0,2.0,7.433,1.0,11.956
2021-06-21 08:00:00,7.437,7.68,5.402,5.512,4365118.5,1.9964545454545457,-0.2584420826046011,0,0,0,0,0,2.0,5.512,1.0,11.956
2021-06-22 08:00:00,5.524,6.119,4.619,5.252,3574136.6,1.9550833333333335,-0.047169811320754707,0,1,0,0,0,2.0,5.252,1.0,5.252
2021-06-23 08:00:00,5.254,6.255,5.071,5.719,2462597.8,1.895769230769231,0.08891850723533912,0,0,1,0,0,1.0,5.719,6.0,5.252
2021-06-24 08:00:00,5.722,6.114,5.249,5.69,1995794.7,1.8221428571428575,-0.005070816576324466,0,0,0,0,0,1.0,5.719,4.0,5.252
2021-06-25 08:00:00,5.696,6.74,5.576,5.735,5217350.6,1.778266666666667,0.00790861159929701,0,0,0,0,0,1.0,5.735,6.0,5.252
2021-06-26 08:00:00,5.728,6.172,5.282,5.792,3136452.5,1.7227500000000004,0.009938971229293658,0,0,0,0,0,1.0,5.792,6.0,5.252
2021-06-27 08:00:00,5.792,7.271,5.575,7.183,6266028.4,1.7211764705882355,0.24015883977900554,0,0,0,0,0,1.0,7.183,6.0,5.252
2021-06-28 08:00:00,7.194,7.95,7.13,7.435,9147037.6,1.6711111111111114,0.035082834470276936,0,0,0,0,0,1.0,7.435,6.0,5.252
2021-06-29 08:00:00,7.444,8.956,7.343,8.468,4525410.7,1.6680526315789477,0.1389374579690652,1,0,0,0,0,1.0,8.468,6.0,8.468
