Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2023-04-06 08:00:00,0.6662,0.6818,0.6268,0.661,18347595.0,0.05499999999999994,-0.06656580937972778,1,0,0,0,0,-1.0,0.0,0.0,0.661
2023-04-07 08:00:00,0.661,0.6684,0.6071,0.617,24792256.0,0.05814999999999998,-0.06656580937972778,0,0,0,1,0,2.0,0.617,1.0,0.661
2023-04-08 08:00:00,0.6168,0.6279,0.5912,0.5944,18510399.0,0.05100000000000001,-0.036628849270664454,0,1,0,0,0,2.0,0.5944,1.0,0.5944
2023-04-09 08:00:00,0.5943,0.6131,0.5872,0.6043,9722452.0,0.04472499999999999,0.016655450874831557,0,0,1,0,0,1.0,0.6043,6.0,0.5944
2023-04-10 08:00:00,0.6045,0.6264,0.59,0.6211,18710357.0,0.04305999999999999,0.027800761211318914,0,0,0,0,0,1.0,0.6211,6.0,0.5944
2023-04-11 08:00:00,0.6208,0.6472,0.6112,0.6197,20620410.0,0.04188333333333333,-0.00225406536789563,0,0,0,0,0,2.0,0.6197,1.0,0.5944
2023-04-12 08:00:00,0.6195,0.6201,0.5811,0.6093,21427397.0,0.04147142857142857,-0.016782314022914413,0,0,0,0,0,2.0,0.6093,1.0,0.5944
2023-04-13 08:00:00,0.6094,0.6366,0.6042,0.6322,14207274.0,0.04033750000000001,0.037584112916461576,0,0,0,0,0,1.0,0.6322,6.0,0.5944
2023-04-14 08:00:00,0.6319,0.75,0.6297,0.7167,94503858.0,0.04922222222222223,0.13366023410313188,0,0,0,0,0,1.0,0.7167,6.0,0.5944
2023-04-15 08:00:00,0.7168,0.754,0.7,0.7113,58432786.0,0.04970000000000001,-0.00753453327752196,0,0,0,0,0,2.0,0.7113,1.0,0.5944
2023-04-16 08:00:00,0.7113,0.7755,0.69,0.7636,52620560.0,0.05295454545454547,0.0735273442991704,1,0,0,0,0,1.0,0.7636,6.0,0.7636
2023-04-17 08:00:00,0.7629,0.806,0.691,0.7231,72295709.0,0.05812500000000002,-0.0530382399161865,0,0,0,1,0,2.0,0.7231,1.0,0.7636
2023-04-18 08:00:00,0.723,0.742,0.697,0.7114,28198657.0,0.05711538461538464,-0.016180334670169993,0,0,0,0,0,2.0,0.7114,1.0,0.7636
2023-04-19 08:00:00,0.7115,0.713,0.5965,0.6429,35561633.0,0.061357142857142874,-0.09628900759066628,0,0,0,0,0,2.0,0.6429,1.0,0.7636
2023-04-20 08:00:00,0.6425,0.6501,0.605,0.6265,25537884.0,0.06027333333333335,-0.025509410483745665,0,0,0,0,0,2.0,0.6265,1.0,0.7636
2023-04-21 08:00:00,0.6264,0.6496,0.5707,0.589,28212102.0,0.06143750000000001,-0.059856344772545866,0,0,0,0,0,2.0,0.589,1.0,0.7636
2023-04-22 08:00:00,0.589,0.6056,0.5791,0.6037,13648658.0,0.05938235294117649,0.024957555178268365,0,0,0,0,0,1.0,0.6037,6.0,0.7636
2023-04-23 08:00:00,0.6036,0.6059,0.5649,0.5814,13753414.0,0.058361111111111134,-0.03693887692562525,0,0,0,0,0,2.0,0.5814,1.0,0.7636
2023-04-24 08:00:00,0.5813,0.5919,0.5572,0.5771,19839947.0,0.05711578947368423,-0.007395940832473524,0,1,0,0,0,2.0,0.5771,1.0,0.5771
2023-04-25 08:00:00,0.5771,0.608,0.5444,0.6047,36999281.0,0.057440000000000026,0.047825333564373684,0,0,1,0,0,1.0,0.6047,6.0,0.5771
2023-04-26 08:00:00,0.6046,0.6468,0.5555,0.599,48639475.0,0.059052380952380974,-0.009426161733090854,0,0,0,0,0,2.0,0.599,1.0,0.5771
2023-04-27 08:00:00,0.5989,0.6322,0.5948,0.6143,24710010.0,0.05806818181818183,0.025542570951585963,0,0,0,0,0,1.0,0.6143,6.0,0.5771
2023-04-28 08:00:00,0.6141,0.6216,0.591,0.6053,15130775.0,0.05687391304347828,-0.014650822073905223,0,0,0,0,0,2.0,0.6053,1.0,0.5771
