Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2023-09-16 08:00:00,1.943,2.642,1.3076,1.7965,587939177.0,1.3343999999999998,-0.4987475647091567,1,0,0,0,0,-1.0,0.0,0.0,1.7965
2023-09-17 08:00:00,1.7969,1.8321,0.85,0.9005,1243416753.0,1.15825,-0.4987475647091567,0,0,0,1,0,2.0,0.9005,1.0,1.7965
2023-09-18 08:00:00,0.9005,0.9353,0.7985,0.8678,614991616.0,0.8177666666666666,-0.03631315935591328,0,0,0,0,0,2.0,0.8678,1.0,1.7965
2023-09-19 08:00:00,0.8677,0.9305,0.835,0.8904,283613793.0,0.6372,0.026042867020050542,0,0,0,0,0,1.0,0.8904,6.0,1.7965
2023-09-20 08:00:00,0.8902,0.9066,0.7622,0.7967,241671203.0,0.53864,-0.1052336028751123,0,0,0,0,0,2.0,0.7967,1.0,1.7965
2023-09-21 08:00:00,0.7966,0.809,0.7121,0.7377,188859613.0,0.4650166666666667,-0.0740554788502572,0,0,0,0,0,2.0,0.7377,1.0,1.7965
2023-09-22 08:00:00,0.7375,0.7629,0.6842,0.7396,153842292.0,0.4098285714285715,0.002575572726040365,0,0,0,0,0,2.0,0.7377,1.0,1.7965
2023-09-23 08:00:00,0.7396,0.7415,0.7064,0.7195,69919393.0,0.3629875,-0.027176852352623015,0,0,0,0,0,2.0,0.7195,1.0,1.7965
2023-09-24 08:00:00,0.7195,0.8444,0.7194,0.7597,515172289.0,0.3365444444444445,0.05587213342599018,0,0,0,0,0,1.0,0.7597,6.0,1.7965
2023-09-25 08:00:00,0.7597,0.7674,0.7145,0.7267,113317839.0,0.30818,-0.043438199289193125,0,0,0,0,0,2.0,0.7267,1.0,1.7965
2023-09-26 08:00:00,0.7267,0.7358,0.7164,0.7249,67432197.0,0.28192727272727275,-0.002476950598596428,0,0,0,0,0,2.0,0.7249,1.0,1.7965
2023-09-27 08:00:00,0.7249,0.7316,0.66,0.6882,98783632.0,0.2644,-0.050627672782452726,0,0,0,0,0,2.0,0.6882,1.0,1.7965
2023-09-28 08:00:00,0.6882,0.6937,0.6715,0.6883,49345868.0,0.2457692307692308,0.00014530659691947,0,0,0,0,0,2.0,0.6882,1.0,1.7965
2023-09-29 08:00:00,0.6883,0.6938,0.64,0.6613,46945409.0,0.23205714285714288,-0.039227081214586734,0,0,0,0,0,2.0,0.6613,1.0,1.7965
2023-09-30 08:00:00,0.6613,0.7222,0.6607,0.6913,136467207.0,0.22068666666666667,0.045365189777710535,0,0,0,0,0,1.0,0.6913,6.0,1.7965
2023-10-01 08:00:00,0.6913,0.7487,0.6909,0.7327,111890170.0,0.21050625,0.05988716910169245,1,0,0,0,0,1.0,0.7327,6.0,0.7327
2023-10-02 08:00:00,0.7327,0.743,0.6744,0.6914,66418496.0,0.20215882352941178,-0.056366862290159636,0,0,0,1,0,2.0,0.6914,1.0,0.7327
2023-10-03 08:00:00,0.6913,0.6998,0.6538,0.6579,50212492.0,0.19348333333333334,-0.04845241538906564,0,0,0,0,0,2.0,0.6579,1.0,0.7327
2023-10-04 08:00:00,0.6579,0.6622,0.6164,0.6359,68228941.0,0.1857105263157895,-0.03343973248214016,0,1,0,0,0,2.0,0.6359,1.0,0.6359
2023-10-05 08:00:00,0.6359,0.67,0.6332,0.6643,93618518.0,0.178265,0.04466111023745878,0,0,1,0,0,1.0,0.6643,6.0,0.6359
2023-10-06 08:00:00,0.6642,0.6848,0.649,0.6692,81840483.0,0.1714809523809524,0.007376185458377371,0,0,0,0,0,1.0,0.6692,6.0,0.6359
2023-10-07 08:00:00,0.6693,0.7173,0.6693,0.6922,163974403.0,0.16587272727272728,0.03436939629408253,1,0,0,0,0,1.0,0.6922,6.0,0.6922
2023-10-08 08:00:00,0.6921,0.6937,0.6554,0.6621,49790895.0,0.16032608695652176,-0.04348454203987284,0,0,0,1,0,2.0,0.6621,1.0,0.6922
2023-10-09 08:00:00,0.662,0.6624,0.588,0.6239,78280525.0,0.15674583333333336,-0.05769521220359464,0,0,0,0,0,2.0,0.6239,1.0,0.6922
