Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2023-01-23 08:00:00,2.59,3.063,2.361,2.804,73683656.8,0.702,-0.09700427960057056,0,0,0,0,0,-1.0,0.0,0.0,2.804
2023-01-24 08:00:00,2.802,3.286,2.409,2.532,96089581.4,0.7895000000000001,-0.09700427960057056,0,1,0,0,0,-1.0,0.0,0.0,2.532
2023-01-25 08:00:00,2.533,3.39,2.35,3.058,97388908.9,0.8730000000000001,0.20774091627172186,0,0,1,0,0,1.0,3.058,6.0,2.532
2023-01-26 08:00:00,3.055,3.294,2.758,2.901,57544162.4,0.7887500000000001,-0.051340745585349956,0,0,0,0,0,2.0,2.901,1.0,2.532
2023-01-27 08:00:00,2.9,3.78,2.76,3.57,122541494.0,0.8350000000000002,0.23061013443640133,1,0,0,0,0,1.0,3.57,6.0,3.57
2023-01-28 08:00:00,3.569,3.888,3.311,3.432,60451784.8,0.7920000000000001,-0.03865546218487392,0,0,0,1,0,2.0,3.432,1.0,3.57
2023-01-29 08:00:00,3.432,3.656,3.19,3.419,36947530.1,0.7454285714285716,-0.0037878787878787845,0,0,0,0,0,2.0,3.419,1.0,3.57
2023-01-30 08:00:00,3.419,3.458,2.557,2.831,61788726.4,0.7648750000000002,-0.17198011114360923,0,1,0,0,0,2.0,2.831,1.0,2.831
2023-01-31 08:00:00,2.831,3.108,2.72,2.969,52546924.0,0.7230000000000002,0.04874602613917345,0,0,1,0,0,1.0,2.969,6.0,2.831
2023-02-01 08:00:00,2.968,3.41,2.686,3.391,67740174.9,0.7231000000000002,0.1421353991242844,0,0,0,0,0,1.0,3.391,6.0,2.831
2023-02-02 08:00:00,3.389,3.586,3.042,3.065,66661759.8,0.706818181818182,-0.09613683279268659,0,0,0,0,0,2.0,3.065,1.0,2.831
2023-02-03 08:00:00,3.064,3.421,2.89,3.29,63921203.2,0.6921666666666667,0.0734094616639478,0,0,0,0,0,1.0,3.29,6.0,2.831
2023-02-04 08:00:00,3.29,3.471,3.132,3.239,42744411.1,0.6650000000000001,-0.015501519756839,0,0,0,0,0,2.0,3.239,1.0,2.831
2023-02-05 08:00:00,3.239,3.726,2.72,3.722,70946993.1,0.689357142857143,0.1491200987959247,0,0,0,0,0,1.0,3.722,6.0,2.831
