Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2022-09-27 08:00:00,6.61,6.825,5.962,6.102,4916117.0,0.8630000000000004,-0.009177318911832155,0,0,0,0,0,-1.0,0.0,0.0,6.102
2022-09-28 08:00:00,6.108,6.154,5.866,6.046,1593341.0,0.5755000000000003,-0.009177318911832155,0,0,0,0,0,-1.0,0.0,0.0,6.102
2022-09-29 08:00:00,6.041,6.144,5.91,6.139,1265056.0,0.4616666666666669,0.015382070790605384,1,0,0,0,0,-1.0,0.0,0.0,6.139
2022-09-30 08:00:00,6.14,6.236,6.02,6.077,1068426.0,0.4002500000000002,-0.01009936471738071,0,0,0,1,0,2.0,6.077,1.0,6.139
2022-10-01 08:00:00,6.079,6.166,6.005,6.116,621646.0,0.35240000000000027,0.006417640283034265,0,0,0,0,0,1.0,6.116,6.0,6.139
2022-10-02 08:00:00,6.12,6.191,5.864,5.904,861177.0,0.3481666666666669,-0.03466317854807055,0,1,0,0,1,2.0,5.904,1.0,5.904
2022-10-03 08:00:00,5.904,6.099,5.834,6.028,1027894.0,0.3362857142857146,0.02100271002710019,0,0,1,0,0,1.0,6.028,6.0,5.904
2022-10-04 08:00:00,6.024,6.223,5.974,6.176,1338533.0,0.3253750000000002,0.024552090245520963,1,0,0,0,0,1.0,6.176,6.0,6.176
2022-10-05 08:00:00,6.177,6.183,5.89,6.022,1733307.0,0.32177777777777794,-0.02493523316062174,0,0,0,1,0,2.0,6.022,1.0,6.176
2022-10-06 08:00:00,6.022,6.15,5.951,5.973,1151763.0,0.3095000000000002,-0.008136831617402973,0,0,0,0,0,2.0,5.973,1.0,6.176
2022-10-07 08:00:00,5.972,6.011,5.891,5.946,872381.0,0.2922727272727275,-0.0045203415369161615,0,0,0,0,0,2.0,5.946,1.0,6.176
2022-10-08 08:00:00,5.948,5.978,5.781,5.812,704222.0,0.28433333333333355,-0.022536158762192948,0,0,0,0,0,2.0,5.812,1.0,6.176
2022-10-09 08:00:00,5.812,5.902,5.8,5.856,586731.0,0.2703076923076925,0.007570543702684063,0,0,0,0,0,1.0,5.856,6.0,6.176
2022-10-10 08:00:00,5.856,5.908,5.239,5.311,2256097.0,0.29878571428571454,-0.09306693989071035,0,0,0,0,1,2.0,5.311,1.0,6.176
2022-10-11 08:00:00,5.31,5.38,5.197,5.231,1688107.0,0.29106666666666686,-0.01506307663340234,0,0,0,0,0,2.0,5.231,1.0,6.176
2022-10-12 08:00:00,5.231,5.322,4.7,5.063,2974349.0,0.3117500000000002,-0.03211623016631626,0,0,0,0,0,2.0,5.063,1.0,6.176
2022-10-13 08:00:00,5.066,5.129,4.662,5.026,3490628.0,0.3208823529411766,-0.007307920205411822,0,0,0,0,0,2.0,5.026,1.0,6.176
2022-10-14 08:00:00,5.028,5.262,4.768,4.851,2129143.0,0.3305000000000001,-0.03481894150417819,0,1,0,0,0,2.0,4.851,1.0,4.851
2022-10-15 08:00:00,4.852,5.03,4.786,4.92,2005944.0,0.3259473684210528,0.014223871366728424,0,0,1,0,0,1.0,4.92,6.0,4.851
2022-10-16 08:00:00,4.92,5.14,4.914,4.98,2439768.0,0.3209500000000002,0.012195121951219523,0,0,0,0,0,1.0,4.98,6.0,4.851
2022-10-17 08:00:00,4.981,5.154,4.941,5.076,1714526.0,0.315809523809524,0.01927710843373487,1,0,0,0,0,1.0,5.076,6.0,5.076
2022-10-18 08:00:00,5.075,5.135,4.836,4.946,2602722.0,0.3150454545454547,-0.025610717100078784,0,0,0,1,0,2.0,4.946,1.0,5.076
2022-10-19 08:00:00,4.945,4.998,4.777,4.809,2344228.0,0.3109565217391306,-0.02769915082895258,0,1,0,0,0,2.0,4.809,1.0,4.809
