Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2020-02-12 08:00:00,0.338,0.3725,0.3218,0.3306,25630878.8,0.05070000000000002,-0.023895946763460407,1,0,0,0,0,-1.0,0.0,0.0,0.3306
2020-02-13 08:00:00,0.3315,0.3489,0.3033,0.3227,29301543.1,0.04815,-0.023895946763460407,0,0,0,1,0,2.0,0.3227,1.0,0.3306
2020-02-14 08:00:00,0.3226,0.3289,0.3109,0.3242,21486527.0,0.0381,0.004648280136349658,0,0,0,0,0,1.0,0.3242,6.0,0.3306
2020-02-15 08:00:00,0.3245,0.3269,0.2781,0.2875,18981443.4,0.040775000000000006,-0.1132017273288094,0,0,0,0,0,2.0,0.2875,1.0,0.3306
2020-02-16 08:00:00,0.2876,0.2976,0.1798,0.2775,14929658.1,0.05618000000000001,-0.03478260869565197,0,0,0,0,0,2.0,0.2775,1.0,0.3306
2020-02-17 08:00:00,0.2775,0.2863,0.2528,0.2831,10481882.6,0.0524,0.020180180180180196,0,0,0,0,0,1.0,0.2831,6.0,0.3306
2020-02-18 08:00:00,0.2833,0.2933,0.2653,0.2906,11115592.7,0.04891428571428572,0.026492405510420314,0,0,0,0,0,1.0,0.2906,6.0,0.3306
2020-02-19 08:00:00,0.2906,0.2946,0.2485,0.2666,8257363.5,0.0485625,-0.08258774948382663,0,0,0,0,0,2.0,0.2666,1.0,0.3306
2020-02-20 08:00:00,0.2665,0.2717,0.2526,0.2654,6719465.8,0.04528888888888889,-0.004501125281320295,0,0,0,0,0,2.0,0.2654,1.0,0.3306
2020-02-21 08:00:00,0.265,0.275,0.2629,0.2681,6929361.0,0.04197,0.010173323285606495,0,0,0,0,0,1.0,0.2681,6.0,0.3306
2020-02-22 08:00:00,0.2681,0.2737,0.26,0.2702,6285019.8,0.0394,0.007832898172323688,0,0,0,0,0,1.0,0.2702,6.0,0.3306
2020-02-23 08:00:00,0.2702,0.2855,0.27,0.2785,6109610.9,0.03740833333333333,0.030717986676535913,1,0,0,0,0,1.0,0.2785,6.0,0.2785
2020-02-24 08:00:00,0.2785,0.2808,0.2477,0.2622,8093321.5,0.03707692307692308,-0.05852782764811504,0,0,0,1,0,2.0,0.2622,1.0,0.2785
2020-02-25 08:00:00,0.2625,0.2634,0.2455,0.2482,7605390.3,0.03570714285714286,-0.05339435545385196,0,0,0,0,0,2.0,0.2482,1.0,0.2785
2020-02-26 08:00:00,0.2478,0.2502,0.2066,0.2159,13568333.1,0.03623333333333333,-0.13013698630136983,0,0,0,0,0,2.0,0.2159,1.0,0.2785
2020-02-27 08:00:00,0.216,0.2295,0.2025,0.215,8524737.3,0.03565625,-0.00416859657248736,0,0,0,0,0,2.0,0.215,1.0,0.2785
2020-02-28 08:00:00,0.2152,0.2207,0.2029,0.2155,4818995.3,0.03460588235294118,0.0023255813953488857,0,0,0,0,0,2.0,0.215,3.0,0.2785
2020-02-29 08:00:00,0.2155,0.2211,0.2115,0.2127,4515851.5,0.03321666666666667,-0.01299303944315544,0,0,0,0,0,2.0,0.2127,1.0,0.2785
2020-03-01 08:00:00,0.2127,0.2219,0.2057,0.2101,3799723.6,0.03232105263157895,-0.01222378937470614,0,1,0,0,0,2.0,0.2101,1.0,0.2101
2020-03-02 08:00:00,0.21,0.2266,0.2084,0.2244,4608701.6,0.031615000000000004,0.06806282722513068,0,0,1,0,0,1.0,0.2244,6.0,0.2101
2020-03-03 08:00:00,0.2245,0.2282,0.2181,0.2239,3925245.3,0.030590476190476196,-0.002228163992869847,0,0,0,0,0,1.0,0.2244,4.0,0.2101
2020-03-04 08:00:00,0.2238,0.2258,0.2168,0.2224,3214156.6,0.029609090909090915,-0.006699419383653371,0,0,0,0,0,2.0,0.2224,1.0,0.2101
2020-03-05 08:00:00,0.2227,0.2376,0.2224,0.2276,6797011.1,0.028982608695652178,0.023381294964028854,0,0,0,0,0,1.0,0.2276,6.0,0.2101
2020-03-06 08:00:00,0.2276,0.2341,0.2239,0.2328,3414170.3,0.028200000000000003,0.02284710017574687,1,0,0,0,0,1.0,0.2328,6.0,0.2328
2020-03-07 08:00:00,0.233,0.2376,0.2197,0.2234,5423214.1,0.027788000000000004,-0.04037800687285231,0,0,0,1,1,2.0,0.2234,1.0,0.2328
2020-03-08 08:00:00,0.2232,0.2234,0.188,0.1918,6854768.3,0.028080769230769236,-0.1414503133393017,0,0,0,0,0,2.0,0.1918,1.0,0.2328
2020-03-09 08:00:00,0.1917,0.1989,0.1779,0.1918,7393990.8,0.027818518518518524,0.0,0,0,0,0,0,2.0,0.1918,1.0,0.2328
2020-03-10 08:00:00,0.1921,0.1998,0.1866,0.198,8294932.5,0.027296428571428576,0.03232533889468203,0,0,0,0,0,1.0,0.198,6.0,0.2328
2020-03-11 08:00:00,0.1976,0.2017,0.1823,0.1949,7098789.6,0.027024137931034486,-0.015656565656565702,0,0,0,0,0,2.0,0.1949,1.0,0.2328
2020-03-12 08:00:00,0.195,0.196,0.1063,0.1085,16066767.6,0.029113333333333335,-0.4433042585941508,0,0,0,0,0,2.0,0.1085,1.0,0.2328
2020-03-13 08:00:00,0.1079,0.141,0.0733,0.1291,11933314.4,0.030358064516129032,0.1898617511520737,0,0,0,0,0,1.0,0.1291,6.0,0.2328
2020-03-14 08:00:00,0.1291,0.1302,0.1176,0.1235,7322536.1,0.029803125000000003,-0.043377226955848114,0,0,0,0,0,2.0,0.1235,1.0,0.2328
2020-03-15 08:00:00,0.124,0.1329,0.1178,0.1213,6311992.3,0.02935757575757576,-0.017813765182186136,0,0,0,0,0,2.0,0.1213,1.0,0.2328
2020-03-16 08:00:00,0.1215,0.1215,0.0898,0.1082,13544000.6,0.0294264705882353,-0.10799670239076664,0,1,0,0,0,2.0,0.1082,1.0,0.1082
2020-03-17 08:00:00,0.1081,0.1254,0.1066,0.1198,7355313.2,0.029122857142857145,0.10720887245841038,0,0,1,0,0,1.0,0.1198,6.0,0.1082
2020-03-18 08:00:00,0.1198,0.1285,0.1115,0.1258,7196853.7,0.02878611111111111,0.05008347245409017,0,0,0,0,0,1.0,0.1258,6.0,0.1082
2020-03-19 08:00:00,0.126,0.1595,0.1227,0.1483,11274459.7,0.0290027027027027,0.17885532591414943,1,0,0,0,0,1.0,0.1483,6.0,0.1483
2020-03-20 08:00:00,0.148,0.1637,0.125,0.1411,14282017.0,0.029257894736842104,-0.04855023600809161,0,0,0,1,0,2.0,0.1411,1.0,0.1483
2020-03-21 08:00:00,0.141,0.1476,0.1299,0.138,6816315.4,0.02896153846153846,-0.021970233876683176,0,0,0,0,0,2.0,0.138,1.0,0.1483
2020-03-22 08:00:00,0.1381,0.1427,0.125,0.1257,7784853.2,0.02868,-0.08913043478260874,0,1,0,0,0,2.0,0.1257,1.0,0.1257
2020-03-23 08:00:00,0.1254,0.1436,0.1221,0.1429,3540130.3,0.0285005,0.13683373110580743,0,0,1,0,0,1.0,0.1429,6.0,0.1257
2020-03-24 08:00:00,0.1432,0.1454,0.137,0.1442,2498592.2,0.0279979875,0.009097270818754444,0,0,0,0,0,1.0,0.1442,6.0,0.1257
