Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2022-04-20 08:00:00,0.022,0.0269,0.02174,0.02412,19808695076.0,0.005160000000000001,-0.043946932006633466,0,0,0,0,0,-1.0,0.0,0.0,0.02412
2022-04-21 08:00:00,0.02414,0.02846,0.0223,0.02306,21605489332.0,0.00566,-0.043946932006633466,0,0,0,0,0,-1.0,0.0,0.0,0.02412
2022-04-22 08:00:00,0.02305,0.02506,0.0223,0.02362,9764139600.0,0.004693333333333333,0.024284475281873386,0,0,0,0,0,-1.0,0.0,0.0,0.02412
2022-04-23 08:00:00,0.02362,0.02534,0.0226,0.02393,8740640214.0,0.004205,0.013124470787468256,0,0,0,0,0,-1.0,0.0,0.0,0.02412
2022-04-24 08:00:00,0.02394,0.02655,0.02387,0.02491,18112722573.0,0.0039000000000000007,0.040952778938570855,1,0,0,0,0,-1.0,0.0,0.0,0.02491
2022-04-25 08:00:00,0.02491,0.02502,0.02123,0.02297,17138703282.0,0.0038816666666666674,-0.07788036932958653,0,0,0,1,0,2.0,0.02297,1.0,0.02491
2022-04-26 08:00:00,0.02296,0.0243,0.02006,0.02074,12571621616.0,0.003932857142857143,-0.09708315193730954,0,0,0,0,0,2.0,0.02074,1.0,0.02491
2022-04-27 08:00:00,0.02072,0.02151,0.02017,0.02096,6713832882.0,0.0036087500000000004,0.01060752169720347,0,0,0,0,0,1.0,0.02096,6.0,0.02491
2022-04-28 08:00:00,0.02097,0.02149,0.0195,0.02003,7418314263.0,0.0034288888888888893,-0.044370229007633655,0,0,0,0,0,2.0,0.02003,1.0,0.02491
2022-04-29 08:00:00,0.02004,0.02025,0.01762,0.01826,7083332555.0,0.0033490000000000004,-0.08836744882675995,0,0,0,0,0,2.0,0.01826,1.0,0.02491
2022-04-30 08:00:00,0.01826,0.01989,0.01726,0.01814,9497006979.0,0.003283636363636364,-0.006571741511500417,0,0,0,0,0,2.0,0.01814,1.0,0.02491
2022-05-01 08:00:00,0.01815,0.0196,0.01788,0.01887,10921465985.0,0.003153333333333334,0.04024255788313136,0,0,0,0,0,1.0,0.01887,6.0,0.02491
2022-05-02 08:00:00,0.01887,0.01932,0.01722,0.01806,5369893263.0,0.0030723076923076928,-0.04292527821939596,0,0,0,0,0,2.0,0.01806,1.0,0.02491
2022-05-03 08:00:00,0.01805,0.01857,0.01756,0.01781,3054732668.0,0.002925,-0.013842746400885897,0,0,0,0,0,2.0,0.01781,1.0,0.02491
2022-05-04 08:00:00,0.01781,0.02058,0.0178,0.02056,8499509527.0,0.0029153333333333336,0.15440763615946085,1,0,0,0,0,1.0,0.02056,6.0,0.02056
2022-05-05 08:00:00,0.02055,0.02155,0.01564,0.01722,9664480454.0,0.0031025000000000002,-0.16245136186770426,0,0,0,1,1,2.0,0.01722,1.0,0.02056
2022-05-06 08:00:00,0.01721,0.01742,0.01623,0.01721,4821894077.0,0.00299,-0.0005807200929152101,0,0,0,0,0,2.0,0.01721,1.0,0.02056
2022-05-07 08:00:00,0.01721,0.0173,0.01578,0.01628,3234157430.0,0.0029083333333333335,-0.054038349796629914,0,0,0,0,0,2.0,0.01628,1.0,0.02056
2022-05-08 08:00:00,0.01627,0.01645,0.01529,0.01556,4915599817.0,0.002816315789473684,-0.04422604422604426,0,0,0,0,0,2.0,0.01556,1.0,0.02056
2022-05-09 08:00:00,0.01556,0.01593,0.01264,0.01451,9210733819.0,0.00284,-0.06748071979434445,0,0,0,0,0,2.0,0.01451,1.0,0.02056
2022-05-10 08:00:00,0.01451,0.01696,0.01418,0.01472,14681224037.0,0.002837142857142857,0.01447277739490005,0,0,0,0,0,1.0,0.01472,6.0,0.02056
2022-05-11 08:00:00,0.01471,0.01525,0.0085,0.00936,12903349062.0,0.003015,-0.36413043478260865,0,0,0,0,0,2.0,0.00936,1.0,0.02056
2022-05-12 08:00:00,0.00936,0.0107,0.0082,0.0089,9630124523.0,0.0029926086956521742,-0.04914529914529919,0,1,0,0,0,2.0,0.0089,1.0,0.0089
2022-05-13 08:00:00,0.0089,0.01179,0.00874,0.00992,10015578013.0,0.002995,0.11460674157303363,0,0,1,0,0,1.0,0.00992,6.0,0.0089
2022-05-14 08:00:00,0.00991,0.01058,0.00878,0.01012,6498284738.0,0.0029471999999999996,0.02016129032258074,0,0,0,0,0,1.0,0.01012,6.0,0.0089
2022-05-15 08:00:00,0.01011,0.01138,0.00942,0.01101,8029461913.0,0.002909230769230769,0.0879446640316206,0,0,0,0,0,1.0,0.01101,6.0,0.0089
2022-05-16 08:00:00,0.01101,0.01603,0.01035,0.01489,51524921560.0,0.003011851851851852,0.35240690281562204,1,0,0,0,0,1.0,0.01489,6.0,0.01489
2022-05-17 08:00:00,0.01488,0.0154,0.0134,0.01468,34830125306.0,0.002975714285714286,-0.0141034251175286,0,0,0,1,0,2.0,0.01468,1.0,0.01489
2022-05-18 08:00:00,0.01468,0.01525,0.01153,0.01165,18401457504.0,0.0030013793103448277,-0.20640326975476841,0,0,0,0,0,2.0,0.01165,1.0,0.01489
2022-05-19 08:00:00,0.01166,0.01282,0.01119,0.01253,13996337511.0,0.0029556666666666668,0.07553648068669516,0,0,0,0,0,1.0,0.01253,6.0,0.01489
2022-05-20 08:00:00,0.01253,0.01322,0.01082,0.01123,10357880213.0,0.0029377419354838707,-0.10375099760574613,0,1,0,0,0,2.0,0.01123,1.0,0.01123
2022-05-21 08:00:00,0.01124,0.01378,0.01123,0.01308,12873922888.0,0.002925625,0.16473731077471054,0,0,1,0,0,1.0,0.01308,6.0,0.01123
2022-05-22 08:00:00,0.01308,0.01328,0.01205,0.01274,10643249998.0,0.002874242424242424,-0.025993883792048922,0,0,0,0,0,2.0,0.01274,1.0,0.01123
2022-05-23 08:00:00,0.01274,0.01423,0.01223,0.01242,12937586036.0,0.0028485294117647055,-0.02511773940345363,0,0,0,0,0,2.0,0.01242,1.0,0.01123
2022-05-24 08:00:00,0.01242,0.01302,0.01175,0.0125,6560489282.0,0.002803428571428571,0.006441223832528209,0,0,0,0,0,2.0,0.01242,5.0,0.01123
2022-05-25 08:00:00,0.0125,0.01351,0.01227,0.01238,6913494793.0,0.00276,-0.009600000000000053,0,0,0,0,0,2.0,0.01238,1.0,0.01123
2022-05-26 08:00:00,0.01238,0.01305,0.01087,0.01117,6882133969.0,0.002744324324324324,-0.09773828756058167,0,1,0,0,0,2.0,0.01117,1.0,0.01117
2022-05-27 08:00:00,0.01117,0.01213,0.0107,0.01193,8626745131.0,0.002709736842105263,0.0680393912264996,0,0,1,0,0,1.0,0.01193,6.0,0.01117
2022-05-28 08:00:00,0.01193,0.01231,0.01148,0.01171,5818533624.0,0.0026615384615384613,-0.018440905280804665,0,0,0,0,0,2.0,0.01171,1.0,0.01117
2022-05-29 08:00:00,0.01171,0.01256,0.01142,0.01241,3814984248.0,0.0026235,0.05977796754910325,0,0,0,0,0,1.0,0.01241,6.0,0.01117
2022-05-30 08:00:00,0.01241,0.01344,0.01203,0.01317,7366044501.0,0.0025931625,0.06124093473005643,0,0,0,0,0,1.0,0.01317,6.0,0.01117
2022-05-31 08:00:00,0.01316,0.0143,0.01265,0.01352,11352549598.0,0.0025695834375,0.026575550493546096,1,0,0,0,0,1.0,0.01352,6.0,0.01352
2022-06-01 08:00:00,0.01351,0.01369,0.01124,0.0117,7121150159.0,0.0025665938515625,-0.1346153846153847,0,1,0,1,0,2.0,0.0117,1.0,0.0117
2022-06-02 08:00:00,0.0117,0.01223,0.01134,0.01193,4179408411.0,0.0025246790052734377,0.01965811965811959,0,0,1,0,0,1.0,0.01193,6.0,0.0117
