Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2023-03-29 08:00:00,0.5257,0.6043,0.5166,0.5765,74896985.0,0.0877,0.04579358196010408,0,1,0,0,0,-1.0,0.0,0.0,0.5765
2023-03-30 08:00:00,0.5769,0.6243,0.5557,0.6029,183336500.0,0.07815,0.04579358196010408,0,0,1,0,0,1.0,0.6029,6.0,0.5765
2023-03-31 08:00:00,0.6028,0.656,0.5729,0.6049,172177269.0,0.07980000000000002,0.0033172997180295205,0,0,0,0,0,1.0,0.6049,6.0,0.5765
2023-04-01 08:00:00,0.6049,0.6359,0.5814,0.6134,52363529.0,0.07347500000000001,0.014051909406513463,0,0,0,0,0,1.0,0.6134,6.0,0.5765
2023-04-02 08:00:00,0.6131,0.6434,0.591,0.606,78692935.0,0.06926000000000002,-0.012063906097163346,0,0,0,0,0,2.0,0.606,1.0,0.5765
2023-04-03 08:00:00,0.6061,0.6285,0.5531,0.5891,65190644.0,0.07028333333333332,-0.027887788778877987,0,0,0,0,0,2.0,0.5891,1.0,0.5765
2023-04-04 08:00:00,0.5891,0.6179,0.5741,0.6139,32341659.0,0.06649999999999999,0.04209811576981837,1,0,0,0,0,1.0,0.6139,6.0,0.6139
2023-04-05 08:00:00,0.6139,0.63,0.585,0.5933,26816418.0,0.0638125,-0.03355595373839382,0,0,0,1,0,2.0,0.5933,1.0,0.6139
2023-04-06 08:00:00,0.5934,0.5966,0.5751,0.588,16809410.0,0.059111111111111114,-0.008933086128434353,0,0,0,0,0,2.0,0.588,1.0,0.6139
2023-04-07 08:00:00,0.5879,0.5964,0.5664,0.5707,16484150.0,0.05620000000000001,-0.02942176870748292,0,0,0,0,0,2.0,0.5707,1.0,0.6139
2023-04-08 08:00:00,0.5707,0.5791,0.5519,0.567,33943803.0,0.05356363636363637,-0.006483266164359569,0,1,0,0,0,2.0,0.567,1.0,0.567
2023-04-09 08:00:00,0.5671,0.6015,0.56,0.5926,32298088.0,0.05255833333333334,0.04514991181657857,0,0,1,0,0,1.0,0.5926,6.0,0.567
2023-04-10 08:00:00,0.5927,0.6082,0.577,0.602,39351476.0,0.05091538461538462,0.01586230172122849,0,0,0,0,0,1.0,0.602,6.0,0.567
2023-04-11 08:00:00,0.6021,0.6448,0.5963,0.6046,53707644.0,0.050742857142857145,0.004318936877076407,0,0,0,0,0,1.0,0.6046,6.0,0.567
2023-04-12 08:00:00,0.6047,0.6213,0.582,0.6044,25796808.0,0.049980000000000004,-0.0003307972213033583,0,0,0,0,0,1.0,0.6046,6.0,0.567
2023-04-13 08:00:00,0.6045,0.6987,0.5966,0.6589,106351426.0,0.0532375,0.09017207147584383,0,0,0,0,0,1.0,0.6589,6.0,0.567
2023-04-14 08:00:00,0.6587,0.6886,0.6141,0.6453,77029790.0,0.05448823529411765,-0.02064046137501907,0,0,0,0,0,2.0,0.6453,1.0,0.567
2023-04-15 08:00:00,0.6451,0.6458,0.6171,0.6242,28871001.0,0.05305555555555556,-0.03269796993646368,0,0,0,0,0,2.0,0.6242,1.0,0.567
2023-04-16 08:00:00,0.6243,0.648,0.61,0.6452,26408369.0,0.052263157894736845,0.03364306312079468,0,0,0,0,0,1.0,0.6452,6.0,0.567
2023-04-17 08:00:00,0.6451,0.688,0.615,0.6744,109435817.0,0.0533,0.045257284562926214,0,0,0,0,0,1.0,0.6744,6.0,0.567
2023-04-18 08:00:00,0.6744,0.718,0.6523,0.6832,94128141.0,0.05389047619047619,0.013048635824436605,1,0,0,0,0,1.0,0.6832,6.0,0.6832
2023-04-19 08:00:00,0.6837,0.6841,0.5983,0.6132,42046917.0,0.05534090909090908,-0.10245901639344268,0,0,0,1,0,2.0,0.6132,1.0,0.6832
2023-04-20 08:00:00,0.6128,0.638,0.5704,0.5767,39579558.0,0.05587391304347826,-0.059523809523809534,0,0,0,0,0,2.0,0.5767,1.0,0.6832
2023-04-21 08:00:00,0.5768,0.5875,0.5149,0.5193,36664143.0,0.05657083333333333,-0.09953181897000174,0,0,0,0,0,2.0,0.5193,1.0,0.6832
2023-04-22 08:00:00,0.5193,0.5317,0.5052,0.5304,40464348.0,0.055367999999999994,0.021374927787406017,0,0,0,0,0,1.0,0.5304,6.0,0.6832
2023-04-23 08:00:00,0.5305,0.5306,0.4713,0.4873,43258590.0,0.05551923076923076,-0.08125942684766208,0,0,0,0,0,2.0,0.4873,1.0,0.6832
2023-04-24 08:00:00,0.4874,0.4974,0.4694,0.4789,36948982.0,0.05449999999999999,-0.01723784116560645,0,1,0,0,0,2.0,0.4789,1.0,0.4789
2023-04-25 08:00:00,0.4792,0.5036,0.4598,0.4981,41904747.0,0.05411785714285714,0.04009187721862606,0,0,1,0,0,1.0,0.4981,6.0,0.4789
2023-04-26 08:00:00,0.4981,0.5358,0.4621,0.4992,57588565.0,0.054793103448275864,0.0022083918891788734,0,0,0,0,0,1.0,0.4992,6.0,0.4789
2023-04-27 08:00:00,0.4993,0.5184,0.4933,0.511,34563593.0,0.05380333333333333,0.023637820512820484,1,0,0,0,0,1.0,0.511,6.0,0.511
2023-04-28 08:00:00,0.511,0.5148,0.4849,0.5025,16628114.0,0.05303225806451613,-0.016634050880626305,0,0,0,1,0,2.0,0.5025,1.0,0.511
2023-04-29 08:00:00,0.5024,0.5055,0.493,0.5001,12658191.0,0.051765624999999996,-0.004776119402984946,0,0,0,0,0,2.0,0.5001,1.0,0.511
2023-04-30 08:00:00,0.5002,0.5003,0.4708,0.472,15888488.0,0.05109090909090909,-0.05618876224755054,0,0,0,0,0,2.0,0.472,1.0,0.511
2023-05-01 08:00:00,0.472,0.4742,0.4311,0.4433,35830902.0,0.050855882352941174,-0.06080508474576263,0,0,0,0,0,2.0,0.4433,1.0,0.511
2023-05-02 08:00:00,0.4433,0.4446,0.4253,0.4327,31911906.0,0.04995428571428571,-0.023911572298669248,0,0,0,0,0,2.0,0.4327,1.0,0.511
2023-05-03 08:00:00,0.4328,0.4338,0.385,0.4139,92393471.0,0.049922222222222215,-0.04344811647792923,0,0,0,0,0,2.0,0.4139,1.0,0.511
2023-05-04 08:00:00,0.4139,0.414,0.3802,0.3869,43990033.0,0.04948648648648648,-0.06523314810340652,0,0,0,0,0,2.0,0.3869,1.0,0.511
2023-05-05 08:00:00,0.3869,0.4175,0.3851,0.4004,91444525.0,0.04903684210526315,0.03489273714138008,0,0,0,0,0,1.0,0.4004,6.0,0.511
2023-05-06 08:00:00,0.4006,0.4029,0.3566,0.3597,68067463.0,0.04896666666666666,-0.10164835164835151,0,0,0,0,0,2.0,0.3597,1.0,0.511
2023-05-07 08:00:00,0.3597,0.3801,0.3483,0.3596,59770580.0,0.0485375,-0.00027800945232148155,0,0,0,0,0,2.0,0.3596,1.0,0.511
2023-05-08 08:00:00,0.3596,0.3646,0.2998,0.3194,103394662.0,0.048944062499999996,-0.11179087875417115,0,1,0,0,0,2.0,0.3194,1.0,0.3194
2023-05-09 08:00:00,0.3193,0.3456,0.3151,0.3314,83654935.0,0.0484829609375,0.03757044458359404,0,0,1,0,0,1.0,0.3314,6.0,0.3194
2023-05-10 08:00:00,0.3315,0.3615,0.3257,0.3448,79478545.0,0.0481658869140625,0.04043452021726024,0,0,0,0,0,1.0,0.3448,6.0,0.3194
2023-05-11 08:00:00,0.3447,0.3454,0.3201,0.3243,47866545.0,0.047594239741210936,-0.059454756380510454,0,0,0,0,0,2.0,0.3243,1.0,0.3194
2023-05-12 08:00:00,0.3242,0.337,0.3118,0.3362,41574099.0,0.047034383747680666,0.03669441874807289,0,0,0,0,0,1.0,0.3362,6.0,0.3194
2023-05-13 08:00:00,0.3363,0.3378,0.3167,0.3193,29305695.0,0.04638602415398865,-0.050267697798929256,0,1,0,0,0,2.0,0.3193,1.0,0.3193
