Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2021-02-18 08:00:00,11.01,12.97,11.01,11.332,1388360.7,1.9600000000000009,-0.09565831274267578,1,0,0,0,0,-1.0,0.0,0.0,11.332
2021-02-19 08:00:00,11.335,11.561,10.001,10.248,2502227.3,1.7600000000000007,-0.09565831274267578,0,0,0,1,0,2.0,10.248,1.0,11.332
2021-02-20 08:00:00,10.255,12.5,9.404,10.335,5072291.3,2.205333333333334,0.008489461358313966,0,0,0,0,0,1.0,10.335,6.0,11.332
2021-02-21 08:00:00,10.323,11.595,10.05,10.652,2514061.8,2.0402500000000003,0.030672472181906052,0,0,0,0,0,1.0,10.652,6.0,11.332
2021-02-22 08:00:00,10.654,11.164,7.173,9.167,4715959.8,2.4304,-0.1394104393541119,0,0,0,0,0,2.0,9.167,1.0,11.332
2021-02-23 08:00:00,9.204,9.275,6.139,7.64,3808502.2,2.548,-0.16657576088142256,0,1,0,0,0,2.0,7.64,1.0,7.64
2021-02-24 08:00:00,7.639,9.093,7.053,8.525,3275622.8,2.4754285714285715,0.11583769633507868,0,0,1,0,0,1.0,8.525,6.0,7.64
2021-02-25 08:00:00,8.511,10.0,8.01,8.183,4007002.7,2.4147499999999997,-0.040117302052785964,0,0,0,0,0,2.0,8.183,1.0,7.64
2021-02-26 08:00:00,8.18,8.888,7.281,8.014,3439857.9,2.3249999999999997,-0.020652572406208103,0,0,0,0,0,2.0,8.014,1.0,7.64
2021-02-27 08:00:00,8.011,8.67,7.469,7.764,1761545.6,2.2125999999999997,-0.03119540803593701,0,0,0,0,0,2.0,7.764,1.0,7.64
2021-02-28 08:00:00,7.757,7.874,6.357,6.911,2446823.9,2.149363636363636,-0.10986604842864511,0,1,0,0,0,2.0,6.911,1.0,6.911
2021-03-01 08:00:00,6.916,7.833,6.823,7.623,1603108.0,2.0544166666666666,0.10302416437563311,0,0,1,0,0,1.0,7.623,6.0,6.911
2021-03-02 08:00:00,7.621,8.549,7.186,8.321,3352920.5,2.001230769230769,0.09156500065590967,0,0,0,0,0,1.0,8.321,6.0,6.911
2021-03-03 08:00:00,8.312,8.966,8.05,8.206,3155168.1,1.9237142857142853,-0.013820454272323035,0,0,0,0,0,2.0,8.206,1.0,6.911
2021-03-04 08:00:00,8.2,8.493,7.519,7.798,2122576.9,1.8603999999999996,-0.04971971728003899,0,0,0,0,0,2.0,7.798,1.0,6.911
2021-03-05 08:00:00,7.801,7.927,7.113,7.693,1614290.6,1.7949999999999997,-0.013464991023339423,0,0,0,0,0,2.0,7.693,1.0,6.911
2021-03-06 08:00:00,7.702,8.521,7.628,8.332,3121448.8,1.741941176470588,0.0830625243728067,0,0,0,0,0,1.0,8.332,6.0,6.911
2021-03-07 08:00:00,8.334,9.51,8.156,9.213,4601924.9,1.7203888888888885,0.10573691790686501,0,0,0,0,0,1.0,9.213,6.0,6.911
2021-03-08 08:00:00,9.231,9.813,8.914,9.244,3035369.0,1.677157894736842,0.003364810593726286,0,0,0,0,0,1.0,9.244,6.0,6.911
2021-03-09 08:00:00,9.248,10.326,8.92,9.906,5349493.3,1.6636,0.0716140199048032,0,0,0,0,0,1.0,9.906,6.0,6.911
2021-03-10 08:00:00,9.916,10.018,8.68,8.859,4507197.8,1.648095238095238,-0.10569351907934588,0,0,0,0,0,2.0,8.859,1.0,6.911
