Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2021-11-11 08:00:00,68.955,73.408,61.253,63.55,678017.3,12.155000000000001,-0.07334382376081816,0,0,0,0,0,-1.0,0.0,0.0,63.55
2021-11-12 08:00:00,63.55,64.805,57.2,58.889,455525.3,9.880000000000003,-0.07334382376081816,0,1,0,0,0,-1.0,0.0,0.0,58.889
2021-11-13 08:00:00,58.911,75.785,58.911,68.096,2638218.4,12.218666666666666,0.15634498802832453,1,0,1,0,0,1.0,68.096,6.0,68.096
2021-11-14 08:00:00,68.082,69.699,63.065,64.796,835479.2,10.8225,-0.048460996240601406,0,0,0,1,0,2.0,64.796,1.0,68.096
2021-11-15 08:00:00,64.803,73.308,63.5,65.616,1348123.7,10.619600000000002,0.012655102166800214,0,0,0,0,0,1.0,65.616,6.0,68.096
2021-11-16 08:00:00,65.604,68.778,58.614,61.142,1358423.1,10.543666666666669,-0.06818458912460368,0,0,0,0,0,2.0,61.142,1.0,68.096
2021-11-17 08:00:00,61.132,62.496,53.885,55.872,859277.0,10.267571428571431,-0.08619279709528638,0,0,0,0,0,2.0,55.872,1.0,68.096
2021-11-18 08:00:00,55.882,57.795,45.75,47.033,802788.9,10.489750000000003,-0.15820088774341345,0,1,0,0,0,2.0,47.033,1.0,47.033
2021-11-19 08:00:00,47.028,57.108,46.717,53.735,953561.0,10.47877777777778,0.14249569451236366,0,0,1,0,0,1.0,53.735,6.0,47.033
2021-11-20 08:00:00,53.74,54.901,50.551,52.377,477764.1,9.865900000000002,-0.02527216897738893,0,0,0,0,0,2.0,52.377,1.0,47.033
2021-11-21 08:00:00,52.361,54.992,49.725,50.08,422603.3,9.447818181818183,-0.04385512725051077,0,0,0,0,0,2.0,50.08,1.0,47.033
2021-11-22 08:00:00,50.064,52.312,47.25,47.501,412130.5,9.082333333333334,-0.05149760383386581,0,0,0,0,0,2.0,47.501,1.0,47.033
2021-11-23 08:00:00,47.496,54.208,47.13,50.42,411541.6,8.928153846153846,0.06145133786657131,0,0,0,0,0,1.0,50.42,6.0,47.033
2021-11-24 08:00:00,50.431,50.633,45.119,46.072,371879.0,8.684285714285716,-0.08623562078540259,0,1,0,0,0,2.0,46.072,1.0,46.072
2021-11-25 08:00:00,46.063,65.0,46.063,60.476,2538196.0,9.367799999999999,0.3126410835214446,1,0,1,0,0,1.0,60.476,6.0,60.476
2021-11-26 08:00:00,60.476,70.56,53.245,54.928,2432962.3,9.8645,-0.09173887161849337,0,0,0,1,0,2.0,54.928,1.0,60.476
2021-11-27 08:00:00,55.057,68.802,54.236,59.256,1401395.7,10.141058823529411,0.07879405767550263,0,0,0,0,0,1.0,59.256,6.0,60.476
2021-11-28 08:00:00,59.301,59.467,51.0,58.081,715986.6,10.048055555555557,-0.019829215606858352,0,0,0,0,0,2.0,58.081,1.0,60.476
2021-11-29 08:00:00,58.101,58.391,54.0,55.051,474511.3,9.750315789473683,-0.052168523269227496,0,0,0,0,0,2.0,55.051,1.0,60.476
2021-11-30 08:00:00,55.061,56.199,51.042,52.142,480019.1,9.52065,-0.052841910228697,0,0,0,0,0,2.0,52.142,1.0,60.476
2021-12-01 08:00:00,52.162,57.45,51.942,55.896,686997.8,9.32957142857143,0.07199570403897049,0,0,0,0,0,1.0,55.896,6.0,60.476
2021-12-02 08:00:00,55.89,60.1,52.364,53.307,1048419.4,9.257136363636365,-0.04631816230141694,0,0,0,0,0,2.0,53.307,1.0,60.476
2021-12-03 08:00:00,53.294,53.661,44.074,47.194,505468.2,9.271478260869566,-0.11467537096441371,0,0,0,0,0,2.0,47.194,1.0,60.476
2021-12-04 08:00:00,47.186,47.381,31.297,42.41,898443.1,9.555333333333335,-0.10136881807009379,0,0,0,0,0,2.0,42.41,1.0,60.476
2021-12-05 08:00:00,42.427,48.711,39.714,41.461,1680121.0,9.533000000000001,-0.022376797925017677,0,0,0,0,0,2.0,41.461,1.0,60.476
2021-12-06 08:00:00,41.471,43.917,37.551,43.188,653141.0,9.411192307692309,0.041653602180362403,0,0,0,0,0,1.0,43.188,6.0,60.476
2021-12-07 08:00:00,43.214,44.046,40.708,41.281,457839.4,9.186259259259261,-0.04415578401407805,0,0,0,0,0,2.0,41.281,1.0,60.476
2021-12-08 08:00:00,41.282,41.639,39.041,41.498,490597.7,8.950964285714287,0.0052566556042730195,0,0,0,0,0,2.0,41.281,4.0,60.476
2021-12-09 08:00:00,41.499,42.206,37.201,37.715,471653.1,8.81489655172414,-0.09116101980818336,0,0,0,0,0,2.0,37.715,1.0,60.476
2021-12-10 08:00:00,37.69,39.647,35.368,35.56,309023.4,8.663700000000002,-0.057139069335808035,0,0,0,0,0,2.0,35.56,1.0,60.476
2021-12-11 08:00:00,35.583,38.6,34.954,38.304,569124.2,8.501838709677422,0.0771653543307087,0,0,0,0,0,1.0,38.304,6.0,60.476
2021-12-12 08:00:00,38.367,39.382,37.13,38.667,432118.5,8.306531250000003,0.0094768170426065,0,0,0,0,0,1.0,38.667,6.0,60.476
2021-12-13 08:00:00,38.673,39.7,32.006,32.582,611320.9,8.2879696969697,-0.15736933302299116,0,1,0,0,1,2.0,32.582,1.0,32.582
2021-12-14 08:00:00,32.575,33.932,31.555,33.284,672434.1,8.114117647058826,0.02154563869621251,0,0,1,0,0,1.0,33.284,6.0,32.582
2021-12-15 08:00:00,33.249,35.582,31.027,35.243,529536.0,8.012428571428575,0.05885710852061066,0,0,0,0,0,1.0,35.243,6.0,32.582
2021-12-16 08:00:00,35.239,39.891,35.006,36.77,1465420.1,7.925555555555558,0.043327753028970406,0,0,0,0,0,1.0,36.77,6.0,32.582
2021-12-17 08:00:00,36.749,38.391,34.297,36.095,560544.2,7.822000000000003,-0.018357356540658287,0,0,0,0,0,2.0,36.095,1.0,32.582
2021-12-18 08:00:00,36.075,37.206,35.309,36.365,215033.9,7.666078947368423,0.007480260423881502,0,0,0,0,0,1.0,36.365,6.0,32.582
2021-12-19 08:00:00,36.374,37.862,34.98,35.062,385864.7,7.543410256410259,-0.03583115633163769,0,0,0,0,1,2.0,35.062,1.0,32.582
2021-12-20 08:00:00,35.062,35.221,32.324,34.036,413307.6,7.427250000000003,-0.02926244937539202,0,1,0,0,0,2.0,34.036,1.0,34.036
2021-12-21 08:00:00,34.055,37.452,33.702,36.538,351752.0,7.3353187500000026,0.07351040075214454,0,0,1,0,0,1.0,36.538,6.0,34.036
2021-12-22 08:00:00,36.537,41.934,36.537,41.312,645367.4,7.286860781250002,0.13065849252832673,0,0,0,0,0,1.0,41.312,6.0,34.036
2021-12-23 08:00:00,41.306,46.25,40.081,44.475,1889885.3,7.258914261718752,0.07656371030209153,0,0,0,0,0,1.0,44.475,6.0,34.036
2021-12-24 08:00:00,44.476,46.867,43.72,44.199,772692.0,7.1561164051757835,-0.006205733558178772,0,0,0,0,0,2.0,44.199,1.0,34.036
2021-12-25 08:00:00,44.206,48.044,44.02,44.552,505996.6,7.077813495046389,0.007986606031810783,1,0,0,0,0,1.0,44.552,6.0,44.552
2021-12-26 08:00:00,44.522,45.017,42.659,43.501,391895.4,6.959818157670229,-0.023590411204884254,0,0,0,1,0,2.0,43.501,1.0,44.552
2021-12-27 08:00:00,43.505,46.789,43.113,43.654,639844.7,6.877722703728473,0.0035171605250454707,0,0,0,0,0,2.0,43.501,4.0,44.552
2021-12-28 08:00:00,43.667,43.67,38.001,38.44,494276.6,6.847504636135262,-0.11943922664589746,0,1,0,0,0,2.0,38.44,1.0,38.44
2021-12-29 08:00:00,38.422,54.5,38.395,42.508,6601061.5,7.07894202023188,0.10582726326742997,0,0,1,0,0,1.0,42.508,6.0,38.44
2021-12-30 08:00:00,42.496,42.587,39.351,40.178,1757620.2,6.982868469726083,-0.054813211630752035,0,0,0,0,0,2.0,40.178,1.0,38.44
2021-12-31 08:00:00,40.173,42.772,38.61,39.641,1078546.9,6.912346757982931,-0.01336552342077757,0,0,0,0,0,2.0,39.641,1.0,38.44
2022-01-01 08:00:00,39.634,41.87,39.607,41.086,745100.5,6.796113089033358,0.03645215811911906,0,0,0,0,0,1.0,41.086,6.0,38.44
2022-01-02 08:00:00,41.094,41.263,39.791,40.646,696306.1,6.663010261807524,-0.010709244024728615,0,0,0,0,0,2.0,40.646,1.0,38.44
2022-01-03 08:00:00,40.635,42.8,40.0,41.903,683008.6,6.566435005262336,0.030925552329872597,0,0,0,0,0,1.0,41.903,6.0,38.44
2022-01-04 08:00:00,41.893,46.021,40.7,42.845,746716.1,6.5352991301307775,0.022480490656993535,1,0,0,0,0,1.0,42.845,6.0,42.845
2022-01-05 08:00:00,42.823,51.65,39.63,42.455,4103727.6,6.672416651877508,-0.009102579064068195,0,0,0,1,0,2.0,42.455,1.0,42.845
2022-01-06 08:00:00,42.459,46.723,40.309,41.814,2298534.2,6.66595623558057,-0.015098339418207485,0,0,0,0,0,2.0,41.814,1.0,42.845
2022-01-07 08:00:00,41.814,41.919,36.303,37.149,1132260.7,6.639707329691055,-0.11156550437652457,0,0,0,0,0,2.0,37.149,1.0,42.845
2022-01-08 08:00:00,37.185,38.564,33.754,34.986,710204.3,6.593964646448779,-0.05822498586772196,0,0,0,0,0,2.0,34.986,1.0,42.845
2022-01-09 08:00:00,34.991,38.124,34.649,37.044,515978.5,6.515990530287559,0.05882352941176472,0,0,0,0,0,1.0,37.044,6.0,42.845
2022-01-10 08:00:00,37.05,37.43,32.164,33.339,675144.8,6.48474076703037,-0.10001619695497244,0,1,0,0,0,2.0,33.339,1.0,33.339
2022-01-11 08:00:00,33.34,37.161,33.008,36.853,586307.9,6.426447247854611,0.1054020816461203,0,0,1,0,0,1.0,36.853,6.0,33.339
2022-01-12 08:00:00,36.857,39.395,36.262,39.168,393367.1,6.344111066658246,0.06281713836051339,1,0,0,0,0,1.0,39.168,6.0,39.168
2022-01-13 08:00:00,39.165,39.29,35.539,35.703,359470.2,6.27928328999179,-0.08846507352941169,0,0,0,1,0,2.0,35.703,1.0,39.168
2022-01-14 08:00:00,35.709,37.297,34.61,36.175,536375.7,6.189476207741995,0.013220177576113823,0,0,0,0,0,1.0,36.175,6.0,39.168
2022-01-15 08:00:00,36.175,36.98,35.562,36.151,454074.8,6.070189302548445,-0.0006634416033169943,0,0,0,0,0,1.0,36.175,6.0,39.168
2022-01-16 08:00:00,36.156,36.838,35.228,36.313,304269.1,5.958684569984734,0.004481203839451053,0,0,0,0,0,1.0,36.313,6.0,39.168
2022-01-17 08:00:00,36.319,36.508,33.681,34.42,402126.6,5.880392455735116,-0.052130091151929125,0,0,0,0,0,2.0,34.42,1.0,39.168
2022-01-18 08:00:00,34.428,35.22,33.012,34.09,294831.8,5.788582644341738,-0.009587449157466565,0,0,0,0,0,2.0,34.09,1.0,39.168
2022-01-19 08:00:00,34.084,34.434,32.009,32.44,396388.9,5.704493078233194,-0.048401290701085564,0,0,0,0,0,2.0,32.44,1.0,39.168
2022-01-20 08:00:00,32.433,34.372,30.006,30.162,472758.4,5.671030751277365,-0.07022194821208383,0,0,0,0,0,2.0,30.162,1.0,39.168
2022-01-21 08:00:00,30.156,30.73,24.352,24.827,985653.3,5.68870498249543,-0.1768781911013858,0,0,0,0,0,2.0,24.827,1.0,39.168
2022-01-22 08:00:00,24.817,25.493,20.665,23.83,879774.9,5.667187357933044,-0.04015789261690916,0,0,0,0,0,2.0,23.83,1.0,39.168
2022-01-23 08:00:00,23.834,26.212,23.166,24.372,906880.4,5.601657673984718,0.02274443978178775,0,0,0,0,0,1.0,24.372,6.0,39.168
2022-01-24 08:00:00,24.354,24.372,20.325,23.4,755055.7,5.5627912321351,-0.03988183161004433,0,1,0,0,0,2.0,23.4,1.0,23.4
2022-01-25 08:00:00,23.389,24.241,22.585,23.694,601107.2,5.465121451331723,0.012564102564102564,0,0,1,0,0,1.0,23.694,6.0,23.4
2022-01-26 08:00:00,23.707,26.655,23.454,24.037,523245.8,5.40851841504843,0.014476238710221967,0,0,0,0,0,1.0,24.037,6.0,23.4
2022-01-27 08:00:00,24.053,25.633,22.65,24.335,461214.4,5.34788045467222,0.012397553771269276,0,0,0,0,0,1.0,24.335,6.0,23.4
2022-01-28 08:00:00,24.341,25.96,24.07,25.779,581204.4,5.261433443305414,0.059338401479350766,0,0,0,0,0,1.0,25.779,6.0,23.4
2022-01-29 08:00:00,25.778,27.408,25.656,27.044,428414.3,5.1736976072227785,0.049070949222235205,1,0,0,0,0,1.0,27.044,6.0,27.044
2022-01-30 08:00:00,27.059,27.543,25.502,26.251,333380.8,5.095380167042209,-0.02932258541635846,0,0,0,1,0,2.0,26.251,1.0,27.044
2022-01-31 08:00:00,26.253,27.848,24.863,26.963,518381.3,5.042620662866153,0.027122776275189553,0,0,0,0,0,1.0,26.963,6.0,27.044
2022-02-01 08:00:00,26.97,27.613,26.34,26.613,395453.8,4.948380146294499,-0.012980751400066826,0,0,0,0,0,2.0,26.613,1.0,27.044
2022-02-02 08:00:00,26.599,28.419,26.094,26.531,728685.3,4.882795642637137,-0.0030812009168451615,0,0,0,0,0,2.0,26.531,1.0,27.044
2022-02-03 08:00:00,26.525,27.306,24.91,25.456,648805.3,4.8206257515712085,-0.04051863857374394,0,1,0,0,0,2.0,25.456,1.0,25.456
