Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2023-03-10 08:00:00,1.73,2.2655,1.6301,2.1186,56540081.7,0.6353999999999997,-0.002690455961483984,0,0,0,0,0,-1.0,0.0,0.0,2.1186
2023-03-11 08:00:00,2.12,2.38,1.7518,2.1129,232783028.3,0.6317999999999998,-0.002690455961483984,0,1,0,0,0,-1.0,0.0,0.0,2.1129
2023-03-12 08:00:00,2.1128,2.223,1.9477,2.1549,147805521.2,0.5129666666666665,0.019877892943348074,0,0,1,0,0,1.0,2.1549,6.0,2.1129
2023-03-13 08:00:00,2.1561,2.977,2.023,2.7041,206468266.2,0.6232249999999998,0.2548610144322241,0,0,0,0,0,1.0,2.7041,6.0,2.1129
2023-03-14 08:00:00,2.7043,3.8659,2.6277,2.9679,254998695.2,0.7462199999999999,0.09755556377352925,1,0,0,0,0,1.0,2.9679,6.0,2.9679
2023-03-15 08:00:00,2.9679,3.33,2.502,2.7503,137080475.9,0.7598499999999998,-0.07331783415883286,0,0,0,1,0,2.0,2.7503,1.0,2.9679
2023-03-16 08:00:00,2.7503,3.055,2.5434,2.7345,117871712.5,0.7243857142857141,-0.005744827836963284,0,0,0,0,0,2.0,2.7345,1.0,2.9679
2023-03-17 08:00:00,2.7344,2.944,2.5606,2.8617,78253095.9,0.6817624999999998,0.04651673066374107,0,0,0,0,0,1.0,2.8617,6.0,2.9679
2023-03-18 08:00:00,2.8616,3.0,2.4594,2.4918,75728007.9,0.6660777777777775,-0.1292588321627005,0,0,0,0,0,2.0,2.4918,1.0,2.9679
2023-03-19 08:00:00,2.4914,2.6417,2.3535,2.3892,67954928.0,0.6282899999999998,-0.04117505417770284,0,0,0,0,0,2.0,2.3892,1.0,2.9679
2023-03-20 08:00:00,2.389,2.4287,2.1303,2.213,62598947.8,0.5982999999999998,-0.07374853507450196,0,0,0,0,0,2.0,2.213,1.0,2.9679
2023-03-21 08:00:00,2.2131,2.4899,2.19,2.3721,82368458.9,0.5734333333333331,0.07189335743334846,0,0,0,0,0,1.0,2.3721,6.0,2.9679
