Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2020-01-09 08:00:00,45.32,45.77,43.87,44.73,212861.927,1.9000000000000057,0.09635591325732173,0,1,0,0,0,-1.0,0.0,0.0,44.73
2020-01-10 08:00:00,44.73,49.63,43.8,49.04,384284.072,3.8650000000000055,0.09635591325732173,0,0,1,0,0,1.0,49.04,6.0,44.73
2020-01-11 08:00:00,49.03,51.99,47.76,49.25,545784.433,3.9866666666666717,0.004282218597063681,0,0,0,0,0,1.0,49.25,6.0,44.73
2020-01-12 08:00:00,49.3,51.75,48.78,51.33,528807.006,3.7325000000000035,0.04223350253807112,0,0,0,0,0,1.0,51.33,6.0,44.73
2020-01-13 08:00:00,51.33,51.42,48.9,49.58,481361.43,3.4900000000000033,-0.03409312293006039,0,0,0,0,0,2.0,49.58,1.0,44.73
2020-01-14 08:00:00,49.6,61.21,49.58,58.55,1387911.639,4.84666666666667,0.18091972569584502,0,0,0,0,0,1.0,58.55,6.0,44.73
2020-01-15 08:00:00,58.55,60.37,55.36,58.2,677280.386,4.870000000000003,-0.005977796754910281,0,0,0,0,0,2.0,58.2,1.0,44.73
2020-01-16 08:00:00,58.27,58.56,54.68,57.6,387334.981,4.7462500000000025,-0.010309278350515538,0,0,0,0,0,2.0,57.6,1.0,44.73
2020-01-17 08:00:00,57.64,63.39,56.83,61.15,699042.16,4.94777777777778,0.06163194444444442,1,0,0,0,0,1.0,61.15,6.0,61.15
2020-01-18 08:00:00,61.18,62.76,57.96,59.33,400679.659,4.933000000000002,-0.029762878168438256,0,0,0,1,0,2.0,59.33,1.0,61.15
2020-01-19 08:00:00,59.38,62.7,55.35,57.64,439816.278,5.152727272727275,-0.028484746334063726,0,0,0,0,0,2.0,57.64,1.0,61.15
2020-01-20 08:00:00,57.63,58.32,55.85,57.23,221200.071,4.929166666666668,-0.007113115891741906,0,0,0,0,0,2.0,57.23,1.0,61.15
2020-01-21 08:00:00,57.26,58.15,56.0,57.59,176966.937,4.715384615384616,0.006290407129128095,0,0,0,0,0,1.0,57.59,6.0,61.15
2020-01-22 08:00:00,57.61,59.49,57.23,58.36,240476.89,4.540000000000002,0.013370376801528083,0,0,0,0,0,1.0,58.36,6.0,61.15
2020-01-23 08:00:00,58.36,58.46,52.14,54.5,390128.497,4.658666666666668,-0.0661411925976696,0,0,0,0,0,2.0,54.5,1.0,61.15
2020-01-24 08:00:00,54.53,55.48,50.68,54.4,380824.766,4.667500000000001,-0.0018348623853211565,0,0,0,0,0,2.0,54.4,1.0,61.15
2020-01-25 08:00:00,54.38,54.43,52.18,53.28,214348.899,4.52529411764706,-0.020588235294117574,0,1,0,0,0,2.0,53.28,1.0,53.28
2020-01-26 08:00:00,53.23,56.63,52.82,56.27,278686.132,4.485555555555557,0.056118618618618665,0,0,1,0,0,1.0,56.27,6.0,53.28
2020-01-27 08:00:00,56.32,59.68,55.92,58.6,361503.218,4.447368421052633,0.041407499555713434,0,0,0,0,0,1.0,58.6,6.0,53.28
2020-01-28 08:00:00,58.59,61.65,57.3,60.57,490260.107,4.442500000000001,0.033617747440273016,0,0,0,0,0,1.0,60.57,6.0,53.28
2020-01-29 08:00:00,60.58,62.78,59.48,59.86,514719.82,4.388095238095239,-0.011721974574872118,0,0,0,0,0,2.0,59.86,1.0,53.28
2020-01-30 08:00:00,59.89,70.3,58.2,68.03,1130298.782,4.738636363636365,0.13648513197460743,0,0,0,0,0,1.0,68.03,6.0,53.28
2020-01-31 08:00:00,68.01,70.1,65.41,68.01,1316496.14,4.736521739130436,-0.0002939879464941564,0,0,0,0,0,1.0,68.03,6.0,53.28
2020-02-01 08:00:00,68.08,73.0,67.67,70.73,1214559.486,4.761250000000001,0.03999411851198342,0,0,0,0,0,1.0,70.73,6.0,53.28
2020-02-02 08:00:00,70.74,73.61,67.45,70.01,1067588.624,4.817200000000001,-0.010179556058249717,0,0,0,0,0,2.0,70.01,1.0,53.28
2020-02-03 08:00:00,69.99,73.1,68.57,69.69,908404.842,4.806153846153847,-0.004570775603485289,0,0,0,0,0,2.0,69.69,1.0,53.28
2020-02-04 08:00:00,69.7,70.55,66.74,68.15,864721.179,4.769259259259261,-0.02209786196010899,0,0,0,0,0,2.0,68.15,1.0,53.28
2020-02-05 08:00:00,68.14,73.54,67.74,72.7,938936.749,4.80607142857143,0.06676449009537788,0,0,0,0,0,1.0,72.7,6.0,53.28
2020-02-06 08:00:00,72.7,75.2,71.02,73.68,885328.176,4.784482758620691,0.013480055020632875,0,0,0,0,0,1.0,73.68,6.0,53.28
2020-02-07 08:00:00,73.72,75.56,72.97,74.4,753271.791,4.711333333333335,0.009771986970684043,0,0,0,0,0,1.0,74.4,6.0,53.28
2020-02-08 08:00:00,74.39,77.99,71.59,76.66,907541.871,4.765806451612906,0.030376344086021412,0,0,0,0,0,1.0,76.66,6.0,53.28
2020-02-09 08:00:00,76.66,78.52,75.0,77.09,867779.427,4.7268750000000015,0.005609183407252916,0,0,0,0,0,1.0,77.09,6.0,53.28
2020-02-10 08:00:00,77.1,77.65,72.54,74.09,1160040.655,4.73848484848485,-0.03891555324944873,0,0,0,0,0,2.0,74.09,1.0,53.28
2020-02-11 08:00:00,74.07,77.6,72.77,76.6,936902.251,4.741176470588236,0.03387771629099734,0,0,0,0,0,1.0,76.6,6.0,53.28
2020-02-12 08:00:00,76.6,83.1,76.6,81.31,1370117.76,4.791428571428573,0.06148825065274166,0,0,0,0,0,1.0,81.31,6.0,53.28
2020-02-13 08:00:00,81.31,84.78,75.24,80.68,1628544.558,4.923333333333336,-0.007748124461935735,0,0,0,0,0,2.0,80.68,1.0,53.28
2020-02-14 08:00:00,80.69,83.92,78.72,83.14,894633.684,4.930810810810812,0.030490827962320166,1,0,0,0,0,1.0,83.14,6.0,83.14
2020-02-15 08:00:00,83.15,83.64,74.81,76.8,922664.131,5.03342105263158,-0.076256916045225,0,0,0,1,0,2.0,76.8,1.0,83.14
2020-02-16 08:00:00,76.78,80.85,67.34,74.9,1179931.913,5.250769230769231,-0.02473958333333326,0,0,0,0,0,2.0,74.9,1.0,83.14
2020-02-17 08:00:00,74.74,75.66,68.58,73.6,1027609.908,5.2965,-0.01735647530040063,0,0,0,0,0,2.0,73.6,1.0,83.14
2020-02-18 08:00:00,73.54,79.2,70.04,77.39,759448.8,5.3930875,0.051494565217391486,0,0,0,0,0,1.0,77.39,6.0,83.14
2020-02-19 08:00:00,77.39,79.73,64.31,70.56,1082076.133,5.6437603125,-0.08825429642072613,0,0,0,0,0,2.0,70.56,1.0,83.14
2020-02-20 08:00:00,70.65,72.52,66.15,69.44,791753.105,5.6619163046875,-0.015873015873015928,0,1,0,0,0,2.0,69.44,1.0,69.44
2020-02-21 08:00:00,69.44,75.48,68.57,73.33,1146695.16,5.693118397070313,0.05601958525345618,0,0,1,0,0,1.0,73.33,6.0,69.44
2020-02-22 08:00:00,73.33,76.85,72.43,74.79,1153653.768,5.661290437143554,0.019909995908905076,0,0,0,0,0,1.0,74.79,6.0,69.44
2020-02-23 08:00:00,74.8,80.08,74.71,79.66,1309914.943,5.654008176214965,0.06511565717341883,1,0,0,0,0,1.0,79.66,6.0,79.66
2020-02-24 08:00:00,79.62,79.84,71.69,75.64,1871316.693,5.716407971809591,-0.05046447401456189,0,0,0,1,0,2.0,75.64,1.0,79.66
2020-02-25 08:00:00,75.64,76.19,69.46,71.03,1637648.766,5.741747772514351,-0.060946589106292914,0,0,0,0,0,2.0,71.03,1.0,79.66
2020-02-26 08:00:00,71.05,72.18,57.4,60.52,2240594.829,5.967704078201493,-0.14796564831761227,0,0,0,0,0,2.0,60.52,1.0,79.66
2020-02-27 08:00:00,60.57,65.2,57.09,61.78,1630138.399,6.021261476246456,0.020819563780568373,0,0,0,0,0,1.0,61.78,6.0,79.66
2020-02-28 08:00:00,61.79,63.44,56.56,59.95,1676427.006,6.042729939340294,-0.029621236646163784,0,0,0,0,0,2.0,59.95,1.0,79.66
2020-02-29 08:00:00,59.92,61.72,57.87,58.12,966106.269,5.987911690856786,-0.030525437864887484,0,0,0,0,0,2.0,58.12,1.0,79.66
2020-03-01 08:00:00,58.11,60.34,56.24,57.78,1010214.686,5.940713898585367,-0.0058499655884376445,0,1,0,0,0,2.0,57.78,1.0,57.78
2020-03-02 08:00:00,57.77,62.39,57.25,61.52,943139.957,5.920696051120733,0.0647282796815507,0,0,1,0,0,1.0,61.52,6.0,57.78
2020-03-03 08:00:00,61.52,62.54,59.41,61.09,909566.311,5.850928649842714,-0.006989596879063753,0,0,0,0,0,2.0,61.09,1.0,57.78
2020-03-04 08:00:00,61.09,61.87,58.79,60.4,662911.146,5.781655433596646,-0.01129481093468665,0,0,0,0,0,2.0,60.4,1.0,57.78
