Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2021-08-27 08:00:00,13.4,14.9798,12.9218,14.0,6097107.0,2.058,0.048457142857142754,0,0,0,0,0,-1.0,0.0,0.0,14.0
2021-08-28 08:00:00,14.0,16.7233,13.8,14.6784,7890791.0,2.4906499999999987,0.048457142857142754,1,0,0,0,0,-1.0,0.0,0.0,14.6784
2021-08-29 08:00:00,14.6783,15.5,13.65,13.9638,4250480.0,2.277099999999999,-0.048683780248528374,0,0,0,1,0,2.0,13.9638,1.0,14.6784
2021-08-30 08:00:00,13.968,14.0128,11.8284,11.9523,3713647.0,2.2539249999999993,-0.14405104627680154,0,0,0,0,0,2.0,11.9523,1.0,14.6784
2021-08-31 08:00:00,11.9587,12.95,10.8568,11.2629,4003094.0,2.2217799999999994,-0.057679275118596385,0,1,0,0,0,2.0,11.2629,1.0,11.2629
2021-09-01 08:00:00,11.2636,12.59,10.9287,11.9812,4694179.0,2.128366666666666,0.06377575935149915,0,0,1,0,0,1.0,11.9812,6.0,11.2629
2021-09-02 08:00:00,11.9833,13.5879,11.83,12.3783,6590134.0,2.0754428571428565,0.033143591626882074,0,0,0,0,0,1.0,12.3783,6.0,11.2629
2021-09-03 08:00:00,12.3865,12.9348,11.4104,11.9654,5414360.0,2.0065624999999994,-0.03335676142927535,0,0,0,0,0,2.0,11.9654,1.0,11.2629
2021-09-04 08:00:00,11.9704,12.9449,11.8281,11.981,4687698.0,1.9076999999999995,0.0013037591722799835,0,0,0,0,0,2.0,11.9654,2.0,11.2629
2021-09-05 08:00:00,11.9839,12.8677,11.812,12.325,4106007.0,1.8224999999999993,0.028712127535264198,0,0,0,0,0,1.0,12.325,6.0,11.2629
2021-09-06 08:00:00,12.325,12.8428,10.6675,11.9964,4954603.0,1.8545727272727268,-0.02666125760649085,0,0,0,0,0,2.0,11.9964,1.0,11.2629
2021-09-07 08:00:00,12.0071,12.8,7.1244,9.0489,8770996.0,2.1729916666666664,-0.24569870961288387,0,0,0,0,0,2.0,9.0489,1.0,11.2629
2021-09-08 08:00:00,9.0349,9.8371,7.9378,9.0199,5521599.0,2.151938461538461,-0.0032048094243498637,0,0,0,0,0,2.0,9.0199,1.0,11.2629
2021-09-09 08:00:00,9.019,9.761,8.503,9.1545,3093971.0,2.088085714285714,0.014922560117074601,0,0,0,0,0,1.0,9.1545,6.0,11.2629
2021-09-10 08:00:00,9.1591,9.4927,8.2233,8.5735,2881839.0,2.0335066666666664,-0.06346605494565527,0,0,0,0,0,2.0,8.5735,1.0,11.2629
2021-09-11 08:00:00,8.585,9.0756,8.2333,8.5377,2296555.0,1.9590562499999997,-0.004175657549425615,0,1,0,0,0,2.0,8.5377,1.0,8.5377
2021-09-12 08:00:00,8.5361,13.9791,8.31,12.9822,33333561.0,2.1772941176470586,0.5205734565515305,1,0,1,0,0,1.0,12.9822,6.0,12.9822
2021-09-13 08:00:00,12.9821,13.2226,9.7221,11.3888,29904293.0,2.2508055555555555,-0.12273728643835413,0,0,0,1,0,2.0,11.3888,1.0,12.9822
2021-09-14 08:00:00,11.3845,11.5984,10.2133,10.5903,7372423.0,2.205242105263158,-0.07011274234335496,0,0,0,0,0,2.0,10.5903,1.0,12.9822
2021-09-15 08:00:00,10.5858,11.38,10.2591,10.9634,5901325.0,2.1510249999999997,0.035230352303523116,0,0,0,0,0,1.0,10.9634,6.0,12.9822
2021-09-16 08:00:00,10.9646,13.25,10.55,12.3254,16857269.0,2.177166666666667,0.124231534013171,0,0,0,0,0,1.0,12.3254,6.0,12.9822
2021-09-17 08:00:00,12.3248,12.6591,10.9022,11.1865,5399691.0,2.1580636363636363,-0.09240268064322454,0,0,0,0,0,2.0,11.1865,1.0,12.9822
2021-09-18 08:00:00,11.1845,11.7011,10.7001,10.9592,3251154.0,2.1077565217391303,-0.02031913467125568,0,0,0,0,0,2.0,10.9592,1.0,12.9822
2021-09-19 08:00:00,10.9629,12.5204,10.6078,11.1902,9052489.0,2.099625,0.02107818088911606,0,0,0,0,0,1.0,11.1902,6.0,12.9822
