Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2023-06-29 08:00:00,0.491,0.5061,0.4108,0.4191,156987219.0,0.0953,-0.024337866857551904,0,0,0,0,0,-1.0,0.0,0.0,0.4191
2023-06-30 08:00:00,0.4187,0.4511,0.3826,0.4089,364382485.0,0.0819,-0.024337866857551904,0,1,0,0,0,-1.0,0.0,0.0,0.4089
2023-07-01 08:00:00,0.4089,0.4536,0.3906,0.4325,201752798.0,0.0756,0.057715822939593986,0,0,1,0,0,1.0,0.4325,6.0,0.4089
2023-07-02 08:00:00,0.4326,0.433,0.388,0.4106,128606210.0,0.06795,-0.05063583815028894,0,0,0,0,0,2.0,0.4106,1.0,0.4089
2023-07-03 08:00:00,0.4106,0.452,0.4094,0.4317,167106272.0,0.06288,0.05138821237213831,0,0,0,0,0,1.0,0.4317,6.0,0.4089
2023-07-04 08:00:00,0.4317,0.5645,0.4262,0.5086,609490143.0,0.07545,0.17813296270558276,1,0,0,0,0,1.0,0.5086,6.0,0.5086
2023-07-05 08:00:00,0.5082,0.5102,0.4063,0.4182,342087836.0,0.07951428571428572,-0.17774282343688563,0,0,0,1,0,2.0,0.4182,1.0,0.5086
2023-07-06 08:00:00,0.4182,0.4382,0.39,0.4013,180071717.0,0.0756,-0.04041128646580594,0,0,0,0,0,2.0,0.4013,1.0,0.5086
2023-07-07 08:00:00,0.4013,0.4208,0.3931,0.4136,115781335.0,0.07027777777777779,0.03065038624470473,0,0,0,0,0,1.0,0.4136,6.0,0.5086
2023-07-08 08:00:00,0.4136,0.4368,0.4061,0.422,151089494.0,0.06632,0.02030947775628622,0,0,0,0,0,1.0,0.422,6.0,0.5086
2023-07-09 08:00:00,0.4221,0.4384,0.4051,0.4098,107817410.0,0.06331818181818182,-0.028909952606635092,0,0,0,0,0,2.0,0.4098,1.0,0.5086
2023-07-10 08:00:00,0.4099,0.4112,0.3556,0.3697,265424290.0,0.062675,-0.09785261102977072,0,0,0,0,0,2.0,0.3697,1.0,0.5086
2023-07-11 08:00:00,0.3697,0.3697,0.3483,0.3588,168026970.0,0.0595,-0.02948336489045167,0,0,0,0,0,2.0,0.3588,1.0,0.5086
2023-07-12 08:00:00,0.3588,0.3651,0.3283,0.3433,177624639.0,0.05787857142857143,-0.04319955406911935,0,1,0,0,0,2.0,0.3433,1.0,0.3433
2023-07-13 08:00:00,0.3434,0.3767,0.3363,0.3695,190190482.0,0.05671333333333333,0.07631808913486737,0,0,1,0,0,1.0,0.3695,6.0,0.3433
2023-07-14 08:00:00,0.3695,0.389,0.3439,0.3643,123117266.0,0.0559875,-0.014073071718538555,0,0,0,0,0,2.0,0.3643,1.0,0.3433
2023-07-15 08:00:00,0.3641,0.3876,0.3548,0.3669,131755813.0,0.05462352941176471,0.0071369750205874105,0,0,0,0,0,1.0,0.3669,6.0,0.3433
2023-07-16 08:00:00,0.367,0.3755,0.342,0.3474,69512781.0,0.053450000000000004,-0.05314799672935411,0,0,0,0,0,2.0,0.3474,1.0,0.3433
2023-07-17 08:00:00,0.3473,0.3601,0.336,0.3563,77653850.0,0.05190526315789473,0.025618883131836467,0,0,0,0,0,1.0,0.3563,6.0,0.3433
2023-07-18 08:00:00,0.3564,0.3831,0.3266,0.3369,214681150.0,0.052135,-0.05444849845635713,0,0,0,0,0,2.0,0.3369,1.0,0.3433
2023-07-19 08:00:00,0.337,0.3432,0.3204,0.326,105410509.0,0.050738095238095235,-0.03235381418818628,0,1,0,0,0,2.0,0.326,1.0,0.326
2023-07-20 08:00:00,0.326,0.3372,0.3199,0.3298,72360899.0,0.04921818181818181,0.011656441717791344,0,0,1,0,0,1.0,0.3298,6.0,0.326
2023-07-21 08:00:00,0.3299,0.3388,0.3272,0.3352,71426401.0,0.047582608695652166,0.01637355973317156,0,0,0,0,0,1.0,0.3352,6.0,0.326
2023-07-22 08:00:00,0.3351,0.3434,0.3288,0.3382,42727813.0,0.046208333333333323,0.008949880668257748,1,0,0,0,0,1.0,0.3382,6.0,0.3382
2023-07-23 08:00:00,0.3382,0.3449,0.3249,0.3274,51858127.0,0.04515999999999999,-0.03193376700177408,0,0,0,1,1,2.0,0.3274,1.0,0.3382
2023-07-24 08:00:00,0.3275,0.3307,0.2835,0.2898,102667628.0,0.045238461538461526,-0.11484422724496035,0,1,0,0,0,2.0,0.2898,1.0,0.2898
2023-07-25 08:00:00,0.2899,0.3087,0.2851,0.2945,73173678.0,0.044437037037037025,0.016218081435472653,0,0,1,0,0,1.0,0.2945,6.0,0.2898
2023-07-26 08:00:00,0.2946,0.317,0.2942,0.3088,100906799.0,0.043664285714285704,0.04855687606112058,0,0,0,0,0,1.0,0.3088,6.0,0.2898
2023-07-27 08:00:00,0.3089,0.3173,0.2985,0.3065,59431649.0,0.04280689655172412,-0.007448186528497436,0,0,0,0,0,2.0,0.3065,1.0,0.2898
2023-07-28 08:00:00,0.3066,0.3127,0.3006,0.3049,32577544.0,0.04178333333333332,-0.00522022838499181,0,0,0,0,0,2.0,0.3049,1.0,0.2898
2023-07-29 08:00:00,0.3049,0.309,0.3005,0.3067,20511105.0,0.04070967741935482,0.005903574942603962,0,0,0,0,0,1.0,0.3067,6.0,0.2898
2023-07-30 08:00:00,0.3068,0.3116,0.29,0.2963,32970691.0,0.04011249999999999,-0.03390935767851311,0,0,0,0,1,2.0,0.2963,1.0,0.2898
2023-07-31 08:00:00,0.2962,0.3261,0.2946,0.3071,185072299.0,0.039851515151515145,0.03644954438069514,1,0,0,0,0,1.0,0.3071,6.0,0.3071
2023-08-01 08:00:00,0.3072,0.3072,0.2858,0.3048,79017212.0,0.03930882352941175,-0.007489417127971243,0,0,0,1,0,2.0,0.3048,1.0,0.3071
2023-08-02 08:00:00,0.3048,0.3097,0.2916,0.2961,49215399.0,0.03870285714285713,-0.028543307086614345,0,0,0,0,0,2.0,0.2961,1.0,0.3071
2023-08-03 08:00:00,0.2961,0.2993,0.29,0.2944,30248392.0,0.0378861111111111,-0.005741303613644,0,0,0,0,0,2.0,0.2944,1.0,0.3071
2023-08-04 08:00:00,0.2943,0.2982,0.2891,0.2921,24572010.0,0.0371081081081081,-0.007812499999999889,0,0,0,0,0,2.0,0.2921,1.0,0.3071
2023-08-05 08:00:00,0.2921,0.2931,0.2621,0.2664,83575251.0,0.03694736842105263,-0.08798356727148238,0,1,0,0,0,2.0,0.2664,1.0,0.2664
2023-08-06 08:00:00,0.2664,0.3097,0.2644,0.3069,143348546.0,0.037161538461538454,0.15202702702702697,1,0,1,0,0,1.0,0.3069,6.0,0.3069
2023-08-07 08:00:00,0.307,0.3187,0.2827,0.2933,156397202.0,0.0371325,-0.0443141088302379,0,0,0,1,0,2.0,0.2933,1.0,0.3069
2023-08-08 08:00:00,0.2934,0.3295,0.2836,0.302,264888795.0,0.0373516875,0.0296624616433685,0,0,0,0,0,1.0,0.302,6.0,0.3069
2023-08-09 08:00:00,0.302,0.3037,0.284,0.2849,97195424.0,0.036910395312500004,-0.05662251655629136,0,0,0,0,0,2.0,0.2849,1.0,0.3069
2023-08-10 08:00:00,0.2848,0.2931,0.278,0.2821,95120597.0,0.0363651354296875,-0.009828009828009687,0,0,0,0,0,2.0,0.2821,1.0,0.3069
2023-08-11 08:00:00,0.2821,0.2835,0.2763,0.2807,43764531.0,0.03563600704394531,-0.00496277915632759,0,0,0,0,0,2.0,0.2807,1.0,0.3069
2023-08-12 08:00:00,0.2807,0.2861,0.2797,0.2842,38110245.0,0.034905106867846675,0.012468827930174564,0,0,0,0,0,1.0,0.2842,6.0,0.3069
2023-08-13 08:00:00,0.2842,0.2952,0.2823,0.2896,35314489.0,0.034354979196150506,0.01900070372976792,1,0,0,0,0,1.0,0.2896,6.0,0.2896
2023-08-14 08:00:00,0.2896,0.2961,0.284,0.2886,29407300.0,0.033798604716246745,-0.0034530386740331265,0,0,0,1,0,1.0,0.2896,2.0,0.2896
2023-08-15 08:00:00,0.2886,0.2891,0.24,0.2547,53385688.0,0.03418113959834058,-0.11746361746361755,0,0,0,0,0,2.0,0.2547,1.0,0.2896
2023-08-16 08:00:00,0.2548,0.2549,0.213,0.2355,101887284.0,0.034374111108382066,-0.07538280329799762,0,0,0,0,0,2.0,0.2355,1.0,0.2896
2023-08-17 08:00:00,0.2355,0.2361,0.1868,0.2055,86739100.0,0.03474725833067251,-0.1273885350318471,0,1,0,0,0,2.0,0.2055,1.0,0.2055
2023-08-18 08:00:00,0.2054,0.2207,0.2042,0.2181,68854516.0,0.0342910768724057,0.0613138686131387,0,0,1,0,0,1.0,0.2181,6.0,0.2055
2023-08-19 08:00:00,0.2181,0.2242,0.2129,0.2192,33365159.0,0.03371629995059556,0.005043558000917159,0,0,0,0,0,1.0,0.2192,6.0,0.2055
