Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2020-10-15 08:00:00,1.0625,1.2231,1.0625,1.122,16485482.0,0.16060000000000008,-0.273083778966132,1,0,0,0,0,-1.0,0.0,0.0,1.122
2020-10-16 08:00:00,1.121,1.1585,0.8112,0.8156,30730886.0,0.25395000000000006,-0.273083778966132,0,0,0,1,0,2.0,0.8156,1.0,1.122
2020-10-17 08:00:00,0.8175,0.866,0.7195,0.8079,31125587.0,0.21813333333333337,-0.009440902403138884,0,0,0,0,0,2.0,0.8079,1.0,1.122
2020-10-18 08:00:00,0.8079,0.874,0.7988,0.8702,14539580.0,0.18240000000000003,0.07711350414655271,0,0,0,0,0,1.0,0.8702,6.0,1.122
2020-10-19 08:00:00,0.8702,0.8718,0.7704,0.8014,13018718.0,0.16620000000000004,-0.07906228453229136,0,0,0,0,0,2.0,0.8014,1.0,1.122
2020-10-20 08:00:00,0.8013,0.8114,0.6695,0.6769,14388068.0,0.16215000000000004,-0.15535313201896683,0,1,0,0,0,2.0,0.6769,1.0,0.6769
2020-10-21 08:00:00,0.6769,0.75,0.6727,0.706,19065607.0,0.15002857142857146,0.04299010193529318,0,0,1,0,0,1.0,0.706,6.0,0.6769
2020-10-22 08:00:00,0.7058,0.789,0.7036,0.7495,17870686.0,0.14195000000000002,0.06161473087818714,0,0,0,0,0,1.0,0.7495,6.0,0.6769
2020-10-23 08:00:00,0.749,0.7557,0.6882,0.7289,11171339.0,0.13367777777777778,-0.027484989993328934,0,0,0,0,0,2.0,0.7289,1.0,0.6769
2020-10-24 08:00:00,0.7281,0.76,0.7057,0.7407,9673111.0,0.12574000000000002,0.016188777610097516,0,0,0,0,0,1.0,0.7407,6.0,0.6769
2020-10-25 08:00:00,0.7407,0.8586,0.7292,0.845,36973244.0,0.12607272727272728,0.1408127447009584,1,0,0,0,0,1.0,0.845,6.0,0.845
2020-10-26 08:00:00,0.8454,0.8547,0.7403,0.7796,24297500.0,0.12510000000000002,-0.07739644970414206,0,0,0,1,0,2.0,0.7796,1.0,0.845
2020-10-27 08:00:00,0.7798,0.8091,0.7454,0.7618,14518909.0,0.12037692307692309,-0.02283222165212917,0,0,0,0,0,2.0,0.7618,1.0,0.845
2020-10-28 08:00:00,0.7612,0.7808,0.6807,0.7015,15840356.0,0.11892857142857145,-0.07915463376214227,0,0,0,0,0,2.0,0.7015,1.0,0.845
2020-10-29 08:00:00,0.7017,0.726,0.671,0.6908,14042372.0,0.11466666666666668,-0.015253029223093462,0,0,0,0,0,2.0,0.6908,1.0,0.845
2020-10-30 08:00:00,0.6905,0.7058,0.6117,0.6308,18959525.0,0.11338125000000002,-0.08685581933989572,0,0,0,0,0,2.0,0.6308,1.0,0.845
2020-10-31 08:00:00,0.6311,0.6573,0.6174,0.6395,13347997.0,0.10905882352941178,0.013792010145846412,0,0,0,0,0,1.0,0.6395,6.0,0.845
2020-11-01 08:00:00,0.6395,0.6576,0.6003,0.6363,14991880.0,0.10618333333333335,-0.00500390930414385,0,0,0,0,0,1.0,0.6395,2.0,0.845
2020-11-02 08:00:00,0.636,0.652,0.598,0.6059,20899718.0,0.10343684210526317,-0.0477762061920477,0,0,0,0,0,2.0,0.6059,1.0,0.845
2020-11-03 08:00:00,0.6058,0.6124,0.5563,0.5626,8741653.0,0.10107000000000002,-0.0714639379435551,0,0,0,0,0,2.0,0.5626,1.0,0.845
2020-11-04 08:00:00,0.5627,0.5644,0.5249,0.5339,12733792.0,0.09813809523809525,-0.05101315321720579,0,1,0,0,0,2.0,0.5339,1.0,0.5339
2020-11-05 08:00:00,0.534,0.717,0.5327,0.692,36309260.0,0.10205454545454545,0.2961228694512079,0,0,1,0,0,1.0,0.692,6.0,0.5339
2020-11-06 08:00:00,0.692,0.7635,0.6852,0.7196,29378439.0,0.10102173913043479,0.039884393063583934,0,0,0,0,0,1.0,0.7196,6.0,0.5339
2020-11-07 08:00:00,0.7197,0.7938,0.6678,0.6965,24562003.0,0.1020625,-0.032101167315175094,0,0,0,0,0,2.0,0.6965,1.0,0.5339
2020-11-08 08:00:00,0.6963,0.8281,0.6805,0.8157,18380187.0,0.103884,0.17114142139267763,0,0,0,0,0,1.0,0.8157,6.0,0.5339
2020-11-09 08:00:00,0.8151,0.9288,0.7972,0.9273,28751849.0,0.10495,0.1368150055167341,0,0,0,0,0,1.0,0.9273,6.0,0.5339
2020-11-10 08:00:00,0.9268,0.975,0.8781,0.9443,23227408.0,0.10465185185185184,0.01833279413350586,1,0,0,0,0,1.0,0.9443,6.0,0.9443
2020-11-11 08:00:00,0.9457,0.9929,0.8523,0.8579,15473582.0,0.10593571428571427,-0.091496346500053,0,0,0,1,0,2.0,0.8579,1.0,0.9443
2020-11-12 08:00:00,0.8576,0.8797,0.7569,0.7892,14558119.0,0.10651724137931033,-0.0800792633174029,0,1,0,0,0,2.0,0.7892,1.0,0.7892
2020-11-13 08:00:00,0.7891,0.9177,0.7789,0.8987,19993943.0,0.1075933333333333,0.138748099341105,0,0,1,0,0,1.0,0.8987,6.0,0.7892
2020-11-14 08:00:00,0.8996,0.9041,0.8216,0.8684,15233703.0,0.10678387096774192,-0.033715366640703404,0,0,0,0,0,2.0,0.8684,1.0,0.7892
2020-11-15 08:00:00,0.8685,0.8869,0.7975,0.8307,14395683.0,0.10624062499999998,-0.04341317365269459,0,0,0,0,0,2.0,0.8307,1.0,0.7892
2020-11-16 08:00:00,0.8297,0.9007,0.817,0.8674,13291644.0,0.10555757575757574,0.044179607559889256,0,0,0,0,0,1.0,0.8674,6.0,0.7892
2020-11-17 08:00:00,0.8666,0.9844,0.865,0.9329,16592553.0,0.10596470588235292,0.07551302743832133,0,0,0,0,0,1.0,0.9329,6.0,0.7892
2020-11-18 08:00:00,0.933,0.9486,0.8016,0.8332,15224773.0,0.10713714285714285,-0.10687104727194763,0,0,0,0,0,2.0,0.8332,1.0,0.7892
2020-11-19 08:00:00,0.8337,0.8783,0.8085,0.8455,10232314.0,0.10609999999999999,0.014762361977916472,0,0,0,0,0,1.0,0.8455,6.0,0.7892
2020-11-20 08:00:00,0.8455,0.9497,0.8362,0.948,11567501.0,0.10629999999999999,0.12123004139562377,0,0,0,0,0,1.0,0.948,6.0,0.7892
2020-11-21 08:00:00,0.9476,1.2175,0.9445,1.1876,39120520.0,0.11068684210526314,0.25274261603375536,0,0,0,0,0,1.0,1.1876,6.0,0.7892
