Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2023-06-22 08:00:00,13.9,14.53,13.41,13.51,275341.7,1.1199999999999992,0.011843079200592133,0,0,0,0,0,-1.0,0.0,0.0,13.51
2023-06-23 08:00:00,13.51,14.08,12.95,13.67,529339.7,1.125,0.011843079200592133,1,0,0,0,0,-1.0,0.0,0.0,13.67
2023-06-24 08:00:00,13.67,13.7,12.71,13.15,274636.6,1.0799999999999994,-0.03803950256035116,0,0,0,1,0,2.0,13.15,1.0,13.67
2023-06-25 08:00:00,13.15,13.89,13.12,13.54,198763.3,1.0025,0.02965779467680596,0,0,0,0,0,1.0,13.54,6.0,13.67
2023-06-26 08:00:00,13.54,13.59,12.8,13.1,228099.3,0.9599999999999997,-0.032496307237813826,0,0,0,0,0,2.0,13.1,1.0,13.67
2023-06-27 08:00:00,13.1,13.63,13.0,13.45,126752.8,0.9049999999999999,0.026717557251908275,0,0,0,0,0,1.0,13.45,6.0,13.67
2023-06-28 08:00:00,13.46,13.5,11.79,12.37,293962.3,1.02,-0.08029739776951672,0,1,0,0,0,2.0,12.37,1.0,12.37
2023-06-29 08:00:00,12.37,13.04,12.36,12.66,155820.9,0.9775,0.023443815683104274,0,0,1,0,0,1.0,12.66,6.0,12.37
2023-06-30 08:00:00,12.67,13.52,11.95,13.36,260432.7,1.0433333333333334,0.055292259083728146,0,0,0,0,0,1.0,13.36,6.0,12.37
2023-07-01 08:00:00,13.36,13.8,13.12,13.53,186432.0,1.0070000000000001,0.01272455089820368,0,0,0,0,0,1.0,13.53,6.0,12.37
2023-07-02 08:00:00,13.53,13.68,13.19,13.46,169523.8,0.9600000000000002,-0.005173688100517215,0,0,0,0,0,2.0,13.46,1.0,12.37
2023-07-03 08:00:00,13.46,14.09,13.26,13.66,171501.6,0.9491666666666668,0.014858841010401136,0,0,0,0,0,1.0,13.66,6.0,12.37
2023-07-04 08:00:00,13.67,14.15,13.41,13.97,307638.5,0.9330769230769232,0.022693997071742356,1,0,0,0,0,1.0,13.97,6.0,13.97
2023-07-05 08:00:00,13.97,14.57,12.93,13.67,377857.2,0.9835714285714288,-0.021474588403722294,0,0,0,1,0,2.0,13.67,1.0,13.97
2023-07-06 08:00:00,13.68,13.87,12.96,13.05,219597.0,0.9786666666666668,-0.0453547915142648,0,0,0,0,0,2.0,13.05,1.0,13.97
2023-07-07 08:00:00,13.06,13.6,12.91,13.29,148744.8,0.9606250000000001,0.018390804597701038,0,0,0,0,0,1.0,13.29,6.0,13.97
2023-07-08 08:00:00,13.3,13.41,12.82,13.04,153773.9,0.9388235294117647,-0.018811136192626088,0,0,0,0,0,2.0,13.04,1.0,13.97
2023-07-09 08:00:00,13.04,13.32,12.83,13.13,189775.0,0.9138888888888891,0.006901840490797673,0,0,0,0,0,1.0,13.13,6.0,13.97
2023-07-10 08:00:00,13.13,13.16,12.68,12.86,151245.6,0.8910526315789475,-0.02056359482102066,0,1,0,0,0,2.0,12.86,1.0,12.86
2023-07-11 08:00:00,12.86,13.19,12.73,12.91,179828.9,0.8695,0.0038880248833592645,0,0,1,0,0,1.0,12.91,6.0,12.86
2023-07-12 08:00:00,12.91,13.08,12.7,12.86,127443.0,0.8461904761904764,-0.0038729666924864903,0,0,0,0,0,2.0,12.86,1.0,12.86
2023-07-13 08:00:00,12.86,13.67,12.61,13.59,322777.0,0.8559090909090912,0.056765163297045174,1,0,0,0,0,1.0,13.59,6.0,13.59
2023-07-14 08:00:00,13.6,14.0,13.0,13.52,234113.3,0.8621739130434785,-0.005150846210448923,0,0,0,1,0,2.0,13.52,1.0,13.59
2023-07-15 08:00:00,13.53,13.63,13.29,13.36,102206.5,0.840416666666667,-0.01183431952662728,0,0,0,0,0,2.0,13.36,1.0,13.59
2023-07-16 08:00:00,13.36,13.42,12.83,12.91,105232.7,0.8304000000000004,-0.033682634730538896,0,0,0,0,0,2.0,12.91,1.0,13.59
2023-07-17 08:00:00,12.91,13.29,12.71,13.23,181092.5,0.820769230769231,0.02478698683191327,0,0,0,0,0,1.0,13.23,6.0,13.59
2023-07-18 08:00:00,13.23,13.52,12.91,13.07,278673.6,0.8129629629629632,-0.012093726379440728,0,0,0,0,0,2.0,13.07,1.0,13.59
2023-07-19 08:00:00,13.07,13.38,12.95,13.03,172735.3,0.7992857142857146,-0.003060443764345888,0,0,0,0,0,2.0,13.03,1.0,13.59
2023-07-20 08:00:00,13.04,13.47,12.78,12.93,176922.6,0.7955172413793107,-0.007674597083653034,0,0,0,0,1,2.0,12.93,1.0,13.59
2023-07-21 08:00:00,12.93,13.04,12.77,12.84,146250.7,0.7780000000000004,-0.00696055684454755,0,0,0,0,0,2.0,12.84,1.0,13.59
2023-07-22 08:00:00,12.84,13.17,12.6,12.81,208649.8,0.7712903225806456,-0.002336448598130758,0,0,0,0,0,2.0,12.81,1.0,13.59
2023-07-23 08:00:00,12.8,13.22,12.71,13.21,135763.7,0.7631250000000003,0.031225604996096834,0,0,0,0,0,1.0,13.21,6.0,13.59
2023-07-24 08:00:00,13.21,14.64,12.36,12.8,3485413.1,0.8090909090909094,-0.031037093111279335,0,1,0,0,0,2.0,12.8,1.0,12.8
2023-07-25 08:00:00,12.79,13.39,12.76,13.21,624005.3,0.803823529411765,0.032031249999999956,0,0,1,0,0,1.0,13.21,6.0,12.8
2023-07-26 08:00:00,13.22,13.73,13.07,13.6,479568.7,0.799714285714286,0.029523088569265665,0,0,0,0,0,1.0,13.6,6.0,12.8
2023-07-27 08:00:00,13.59,15.0,13.47,14.13,2138674.4,0.8200000000000003,0.0389705882352942,0,0,0,0,0,1.0,14.13,6.0,12.8
2023-07-28 08:00:00,14.13,14.63,14.04,14.27,502278.1,0.8137837837837841,0.00990799716914359,1,0,0,0,0,1.0,14.27,6.0,14.27
2023-07-29 08:00:00,14.27,14.42,13.42,13.52,508490.0,0.8186842105263161,-0.05255781359495448,0,0,0,1,0,2.0,13.52,1.0,14.27
2023-07-30 08:00:00,13.51,13.65,13.0,13.39,470086.9,0.8143589743589746,-0.009615384615384581,0,0,0,0,0,2.0,13.39,1.0,14.27
2023-07-31 08:00:00,13.4,13.81,13.29,13.49,304923.4,0.8070000000000004,0.007468259895444307,0,0,0,0,0,1.0,13.49,6.0,14.27
2023-08-01 08:00:00,13.5,13.66,13.01,13.66,189460.7,0.8030750000000004,0.012601927353595332,0,0,0,0,0,1.0,13.66,6.0,14.27
2023-08-02 08:00:00,13.66,13.72,13.15,13.26,166705.2,0.7972481250000004,-0.029282576866764276,0,0,0,0,0,2.0,13.26,1.0,14.27
2023-08-03 08:00:00,13.26,13.52,13.17,13.24,146017.2,0.7860669218750004,-0.0015082956259426794,0,0,0,0,0,2.0,13.24,1.0,14.27
2023-08-04 08:00:00,13.24,13.35,12.94,13.15,114814.8,0.7766652488281254,-0.006797583081570968,0,0,0,0,0,2.0,13.15,1.0,14.27
2023-08-05 08:00:00,13.16,13.16,12.9,12.95,75033.3,0.7637486176074222,-0.015209125475285301,0,1,0,0,0,2.0,12.95,1.0,12.95
2023-08-06 08:00:00,12.94,13.31,12.86,13.23,134585.4,0.7559049021672366,0.021621621621621623,0,0,1,0,0,1.0,13.23,6.0,12.95
2023-08-07 08:00:00,13.22,13.9,13.15,13.46,285792.4,0.7557572796130557,0.017384731670446074,0,0,0,0,0,1.0,13.46,6.0,12.95
2023-08-08 08:00:00,13.45,13.82,13.42,13.71,140825.6,0.7468633476227293,0.01857355126300142,1,0,0,0,0,1.0,13.71,6.0,13.71
2023-08-09 08:00:00,13.72,13.74,13.4,13.55,87821.9,0.7366917639321611,-0.011670313639679075,0,0,0,1,0,2.0,13.55,1.0,13.71
2023-08-10 08:00:00,13.54,13.56,13.06,13.08,87513.6,0.7307744698338571,-0.03468634686346872,0,0,0,0,0,2.0,13.08,1.0,13.71
2023-08-11 08:00:00,13.08,13.21,12.61,12.72,166033.1,0.7275051080880107,-0.02752293577981646,0,1,0,0,0,2.0,12.72,1.0,12.72
2023-08-12 08:00:00,12.72,12.86,12.54,12.83,220693.0,0.7173174803858104,0.00864779874213828,0,0,1,0,0,1.0,12.83,6.0,12.72
2023-08-13 08:00:00,12.84,13.17,12.79,13.05,206724.7,0.7088845433761652,0.017147310989867437,0,0,0,0,0,1.0,13.05,6.0,12.72
2023-08-14 08:00:00,13.06,13.51,12.98,13.47,197891.4,0.7044124297917611,0.03218390804597693,1,0,0,0,0,1.0,13.47,6.0,13.47
2023-08-15 08:00:00,13.48,13.52,12.26,12.83,272381.1,0.7183021190469671,-0.04751299183370461,0,0,0,1,1,2.0,12.83,1.0,13.47
2023-08-16 08:00:00,12.83,12.92,11.75,11.97,295404.6,0.7295945660707929,-0.06703039750584561,0,0,0,0,0,2.0,11.97,1.0,13.47
2023-08-17 08:00:00,11.99,12.34,9.83,11.05,370062.2,0.774104701919023,-0.07685881370091896,0,1,0,0,0,2.0,11.05,1.0,11.05
2023-08-18 08:00:00,11.05,11.46,11.02,11.36,223798.3,0.7657520843710475,0.028054298642533837,0,0,1,0,0,1.0,11.36,6.0,11.05
2023-08-19 08:00:00,11.37,11.58,11.25,11.46,181384.5,0.7548582822617713,0.008802816901408494,0,0,0,0,0,1.0,11.46,6.0,11.05
2023-08-20 08:00:00,11.45,11.48,11.11,11.19,176376.8,0.745236825205227,-0.023560209424083878,0,0,0,0,0,2.0,11.19,1.0,11.05
2023-08-21 08:00:00,11.18,11.59,10.91,11.32,411789.2,0.7436059045750963,0.011617515638963516,0,0,0,0,0,1.0,11.32,6.0,11.05
2023-08-22 08:00:00,11.32,11.61,10.78,11.21,405936.2,0.7457657569607189,-0.009717314487632467,0,0,0,0,0,2.0,11.21,1.0,11.05
2023-08-23 08:00:00,11.22,11.5,11.12,11.36,208584.4,0.7366216130367009,0.013380909901873128,0,0,0,0,0,1.0,11.36,6.0,11.05
