Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2021-03-18 08:00:00,0.08193,0.103,0.0771,0.0954,766315637.0,0.025899999999999992,0.2222222222222221,0,1,0,0,0,-1.0,0.0,0.0,0.0954
2021-03-19 08:00:00,0.09531,0.12768,0.09001,0.1166,2695900240.0,0.03178499999999999,0.2222222222222221,0,0,1,0,0,1.0,0.1166,6.0,0.0954
2021-03-20 08:00:00,0.11652,0.12528,0.1075,0.11369,1005372520.0,0.02711666666666666,-0.024957118353344687,0,0,0,0,0,2.0,0.11369,1.0,0.0954
2021-03-21 08:00:00,0.11377,0.1824,0.11096,0.17638,3705072939.0,0.038197499999999995,0.5514117336617117,0,0,0,0,0,1.0,0.17638,6.0,0.0954
2021-03-22 08:00:00,0.17632,0.19267,0.14847,0.15522,3580416864.0,0.039398,-0.11996825036852254,0,0,0,0,0,2.0,0.15522,1.0,0.0954
2021-03-23 08:00:00,0.15521,0.18773,0.1389,0.15807,2412104157.0,0.04097,0.018361035948975646,0,0,0,0,0,1.0,0.15807,6.0,0.0954
2021-03-24 08:00:00,0.15807,0.22067,0.15737,0.19889,2938344277.0,0.04416,0.2582400202441957,0,0,0,0,0,1.0,0.19889,6.0,0.0954
2021-03-25 08:00:00,0.19847,0.20222,0.16608,0.17892,1957089065.0,0.0431575,-0.10040726029463531,0,0,0,0,0,2.0,0.17892,1.0,0.0954
2021-03-26 08:00:00,0.17912,0.19555,0.17515,0.18116,962394960.0,0.04062888888888889,0.012519561815336422,0,0,0,0,0,1.0,0.18116,6.0,0.0954
2021-03-27 08:00:00,0.18116,0.189,0.16347,0.16459,859785644.0,0.039119,-0.09146610730845661,0,0,0,0,0,2.0,0.16459,1.0,0.0954
2021-03-28 08:00:00,0.16457,0.21117,0.16056,0.20399,1354422491.0,0.04016363636363636,0.2393827085485145,1,0,0,0,0,1.0,0.20399,6.0,0.20399
2021-03-29 08:00:00,0.20396,0.2245,0.19375,0.2004,1414948572.0,0.039379166666666666,-0.017598901906956232,0,0,0,1,0,2.0,0.2004,1.0,0.20399
2021-03-30 08:00:00,0.2004,0.205,0.186,0.19046,793256630.0,0.03781153846153846,-0.04960079840319365,0,0,0,0,0,2.0,0.19046,1.0,0.20399
2021-03-31 08:00:00,0.19046,0.19131,0.1681,0.17693,626745225.0,0.03676857142857142,-0.07103853827575335,0,0,0,0,0,2.0,0.17693,1.0,0.20399
2021-04-01 08:00:00,0.17693,0.19679,0.17262,0.17768,535170674.0,0.03592866666666666,0.004238964562256253,0,0,0,0,0,2.0,0.17693,4.0,0.20399
2021-04-02 08:00:00,0.17776,0.1795,0.16651,0.16969,330132125.0,0.034495,-0.044968482665465936,0,0,0,0,0,2.0,0.16969,1.0,0.20399
2021-04-03 08:00:00,0.16972,0.18125,0.14461,0.15193,736157223.0,0.03462117647058823,-0.10466144145205958,0,0,0,0,1,2.0,0.15193,1.0,0.20399
2021-04-04 08:00:00,0.15184,0.17073,0.14862,0.15915,491337114.0,0.03392611111111111,0.047521885078654735,0,0,0,0,0,1.0,0.15915,6.0,0.20399
2021-04-05 08:00:00,0.15916,0.1698,0.15043,0.15495,570216276.0,0.033159999999999995,-0.02639019792648456,0,0,0,0,0,2.0,0.15495,1.0,0.20399
2021-04-06 08:00:00,0.15495,0.16,0.13219,0.1452,632166844.0,0.0328925,-0.06292352371732823,0,1,0,0,0,2.0,0.1452,1.0,0.1452
2021-04-07 08:00:00,0.14532,0.16931,0.11811,0.15563,1591144067.0,0.03376428571428571,0.07183195592286507,0,0,1,0,0,1.0,0.15563,6.0,0.1452
2021-04-08 08:00:00,0.15563,0.17707,0.1535,0.16099,750109136.0,0.03330090909090909,0.03444066054102679,1,0,0,0,0,1.0,0.16099,6.0,0.16099
2021-04-09 08:00:00,0.161,0.16879,0.15455,0.15776,384376279.0,0.032472173913043474,-0.02006335797254477,0,0,0,1,0,2.0,0.15776,1.0,0.16099
2021-04-10 08:00:00,0.15778,0.16083,0.14737,0.15063,309632811.0,0.03168,-0.04519523326572028,0,0,0,0,0,2.0,0.15063,1.0,0.16099
2021-04-11 08:00:00,0.15076,0.15598,0.14255,0.14279,264594406.0,0.03095,-0.0520480647945295,0,1,0,0,0,2.0,0.14279,1.0,0.14279
2021-04-12 08:00:00,0.14292,0.15,0.13665,0.14957,380266955.0,0.03027307692307692,0.04748231668884384,0,0,1,0,0,1.0,0.14957,6.0,0.14279
