Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2022-06-01 08:00:00,1.36,1.3889,1.0353,1.2336,129815300.9,0.3535999999999999,0.253242542153048,0,0,0,0,0,-1.0,0.0,0.0,1.2336
2022-06-02 08:00:00,1.2327,1.62,1.05,1.546,733757543.4,0.4618,0.253242542153048,1,0,0,0,0,-1.0,0.0,0.0,1.546
2022-06-03 08:00:00,1.5455,1.65,1.2881,1.3615,595709962.3,0.42849999999999994,-0.11934023285899098,0,0,0,1,0,2.0,1.3615,1.0,1.546
2022-06-04 08:00:00,1.3614,1.4848,1.293,1.3921,373837319.6,0.36932499999999996,0.022475211164157072,0,0,0,0,0,1.0,1.3921,6.0,1.546
2022-06-05 08:00:00,1.3916,1.4333,1.1493,1.1654,352066079.6,0.35225999999999996,-0.16284749658788877,0,0,0,0,0,2.0,1.1654,1.0,1.546
2022-06-06 08:00:00,1.1644,1.369,1.1395,1.3201,330943517.4,0.3318,0.13274412218980602,0,0,0,0,0,1.0,1.3201,6.0,1.546
2022-06-07 08:00:00,1.3204,1.3219,1.0457,1.1067,287665744.2,0.32385714285714284,-0.1616544201196879,0,0,0,0,0,2.0,1.1067,1.0,1.546
2022-06-08 08:00:00,1.107,1.1186,0.6968,0.7295,387187569.5,0.3361,-0.34083310743652295,0,0,0,0,0,2.0,0.7295,1.0,1.546
2022-06-09 08:00:00,0.7287,0.91,0.721,0.8232,481840217.3,0.31975555555555557,0.1284441398217957,0,0,0,0,0,1.0,0.8232,6.0,1.546
2022-06-10 08:00:00,0.8235,0.968,0.794,0.8794,655957130.2,0.30518,0.06827016520894058,0,0,0,0,0,1.0,0.8794,6.0,1.546
2022-06-11 08:00:00,0.8794,0.9277,0.7258,0.7619,395442897.0,0.2957909090909091,-0.13361382760973384,0,0,0,0,0,2.0,0.7619,1.0,1.546
2022-06-12 08:00:00,0.762,0.7758,0.6222,0.6451,522437129.5,0.2839416666666667,-0.15330095813098832,0,0,0,0,0,2.0,0.6451,1.0,1.546
2022-06-13 08:00:00,0.6444,0.6687,0.4967,0.544,583984319.7,0.27533076923076927,-0.156719888389397,0,0,0,0,0,2.0,0.544,1.0,1.546
2022-06-14 08:00:00,0.5444,0.6261,0.5111,0.5645,343635211.2,0.26387857142857146,0.037683823529411686,0,0,0,0,0,1.0,0.5645,6.0,1.546
2022-06-15 08:00:00,0.5646,0.6031,0.4699,0.5925,353776325.2,0.25516666666666665,0.049601417183348095,0,0,0,0,0,1.0,0.5925,6.0,1.546
2022-06-16 08:00:00,0.5925,0.6279,0.4796,0.4897,282140506.6,0.2484875,-0.1735021097046413,0,0,0,0,0,2.0,0.4897,1.0,1.546
2022-06-17 08:00:00,0.4898,0.5281,0.4848,0.5182,239706437.3,0.2364176470588235,0.058198897284051476,0,0,0,0,0,1.0,0.5182,6.0,1.546
2022-06-18 08:00:00,0.518,0.5281,0.3945,0.4489,320876835.7,0.23070555555555558,-0.1337321497491316,0,1,0,0,0,2.0,0.4489,1.0,0.4489
2022-06-19 08:00:00,0.4489,0.528,0.4351,0.5079,232157152.0,0.2234526315789474,0.13143239028736908,0,0,1,0,0,1.0,0.5079,6.0,0.4489
2022-06-20 08:00:00,0.5079,0.5461,0.4696,0.5013,235523687.1,0.21610500000000005,-0.012994683992912037,0,0,0,0,0,1.0,0.5079,2.0,0.4489
2022-06-21 08:00:00,0.5013,0.5746,0.4904,0.5136,214513240.8,0.20982380952380955,0.02453620586475158,0,0,0,0,0,1.0,0.5136,6.0,0.4489
2022-06-22 08:00:00,0.5138,0.5153,0.4577,0.4618,172328770.9,0.20290454545454548,-0.10085669781931461,0,0,0,0,0,2.0,0.4618,1.0,0.4489
2022-06-23 08:00:00,0.4618,0.5318,0.4599,0.5225,158102744.8,0.19720869565217394,0.13144218276310093,0,0,0,0,0,1.0,0.5225,6.0,0.4489
2022-06-24 08:00:00,0.5225,0.644,0.5108,0.5895,416969940.0,0.1945416666666667,0.12822966507177047,1,0,0,0,0,1.0,0.5895,6.0,0.5895
2022-06-25 08:00:00,0.5895,0.6556,0.5493,0.5813,397969813.3,0.19101200000000002,-0.01391009329940629,0,0,0,1,0,2.0,0.5813,1.0,0.5895
2022-06-26 08:00:00,0.5813,0.6379,0.5273,0.5389,248387399.4,0.18791923076923078,-0.07293996215379317,0,0,0,0,0,2.0,0.5389,1.0,0.5895
2022-06-27 08:00:00,0.539,0.5826,0.5131,0.5367,154478571.7,0.18353333333333333,-0.0040823900538135005,0,0,0,0,0,2.0,0.5367,1.0,0.5895
2022-06-28 08:00:00,0.5367,0.5668,0.5062,0.5288,217969816.9,0.17914285714285713,-0.01471958263461881,0,0,0,0,0,2.0,0.5288,1.0,0.5895
2022-06-29 08:00:00,0.5288,0.6135,0.52,0.5816,399848198.1,0.17618965517241378,0.0998487140695914,1,0,0,0,0,1.0,0.5816,6.0,0.5816
2022-06-30 08:00:00,0.5816,0.609,0.5044,0.5461,279252184.5,0.17380333333333334,-0.06103851444291608,0,0,0,1,0,2.0,0.5461,1.0,0.5816
2022-07-01 08:00:00,0.546,0.5727,0.5173,0.5299,144507062.1,0.16998387096774192,-0.02966489653909543,0,0,0,0,0,2.0,0.5299,1.0,0.5816
2022-07-02 08:00:00,0.5298,0.5476,0.5081,0.5245,96913208.5,0.16590625,-0.01019060200037758,0,0,0,0,0,2.0,0.5245,1.0,0.5816
2022-07-03 08:00:00,0.5246,0.5342,0.51,0.5225,64645516.7,0.1616121212121212,-0.0038131553860819567,0,1,0,0,0,2.0,0.5225,1.0,0.5225
2022-07-04 08:00:00,0.5224,0.5699,0.512,0.5601,110636413.2,0.15856176470588235,0.07196172248803845,0,0,1,0,0,1.0,0.5601,6.0,0.5225
2022-07-05 08:00:00,0.5603,0.5682,0.5138,0.5237,114930480.3,0.1555857142857143,-0.06498839492947683,0,0,0,0,0,2.0,0.5237,1.0,0.5225
2022-07-06 08:00:00,0.5237,0.557,0.5166,0.5426,119116563.9,0.1523861111111111,0.03608936413977459,0,0,0,0,0,1.0,0.5426,6.0,0.5225
2022-07-07 08:00:00,0.5424,0.5889,0.5423,0.5763,169883518.1,0.14952702702702703,0.062108367121268104,1,0,0,0,0,1.0,0.5763,6.0,0.5763
2022-07-08 08:00:00,0.5765,0.6265,0.5555,0.5656,132782720.4,0.14746052631578946,-0.01856671872288751,0,0,0,1,0,2.0,0.5656,1.0,0.5763
2022-07-09 08:00:00,0.5658,0.5853,0.5566,0.5717,61964858.6,0.14441538461538458,0.01078500707213581,0,0,0,0,0,1.0,0.5717,6.0,0.5763
2022-07-10 08:00:00,0.5717,0.5742,0.5233,0.5331,58187391.7,0.1420775,-0.06751792898373266,0,0,0,0,0,2.0,0.5331,1.0,0.5763
2022-07-11 08:00:00,0.5332,0.535,0.4716,0.4806,71275692.3,0.1401105625,-0.09848058525604952,0,0,0,0,0,2.0,0.4806,1.0,0.5763
2022-07-12 08:00:00,0.4806,0.49,0.4431,0.4493,94147085.3,0.1377802984375,-0.0651269246774866,0,1,0,0,0,2.0,0.4493,1.0,0.4493
2022-07-13 08:00:00,0.4491,0.4754,0.4012,0.4737,116326429.5,0.1361907909765625,0.05430669931003784,0,0,1,0,0,1.0,0.4737,6.0,0.4493
2022-07-14 08:00:00,0.4736,0.5023,0.4401,0.4921,99142554.0,0.13434102120214844,0.03884314967278857,0,0,0,0,0,1.0,0.4921,6.0,0.4493
2022-07-15 08:00:00,0.4919,0.5121,0.472,0.4826,95113657.3,0.13198499567209473,-0.019305019305019377,0,0,0,0,0,2.0,0.4826,1.0,0.4493
2022-07-16 08:00:00,0.4825,0.5346,0.4697,0.5204,89909668.8,0.13030787078029238,0.0783257355988396,0,0,0,0,0,1.0,0.5204,6.0,0.4493
2022-07-17 08:00:00,0.5204,0.6144,0.5137,0.5806,456253853.9,0.12956767401078506,0.11568024596464266,0,0,0,0,0,1.0,0.5806,6.0,0.4493
2022-07-18 08:00:00,0.5805,0.834,0.5628,0.8155,1088081858.3,0.13310848216051543,0.40458146744746815,0,0,0,0,0,1.0,0.8155,6.0,0.4493
2022-07-19 08:00:00,0.8155,0.84,0.701,0.7196,501930947.0,0.13325577010650255,-0.11759656652360517,0,0,0,0,0,2.0,0.7196,1.0,0.4493
2022-07-20 08:00:00,0.7196,0.84,0.6672,0.6848,485700511.4,0.13424437585384,-0.048360200111172924,0,0,0,0,0,2.0,0.6848,1.0,0.4493
2022-07-21 08:00:00,0.6848,0.7906,0.6506,0.776,343189660.4,0.134388266457494,0.1331775700934581,0,0,0,0,0,1.0,0.776,6.0,0.4493
2022-07-22 08:00:00,0.7761,0.8771,0.73,0.836,582412979.1,0.13470605979605665,0.07731958762886593,0,0,0,0,0,1.0,0.836,6.0,0.4493
2022-07-23 08:00:00,0.8361,0.9588,0.8072,0.939,662877991.7,0.13512840830115525,0.12320574162679421,0,0,0,0,0,1.0,0.939,6.0,0.4493
2022-07-24 08:00:00,0.939,0.9767,0.8902,0.919,471952347.3,0.13391269809362635,-0.021299254526091493,0,0,0,0,0,2.0,0.919,1.0,0.4493
2022-07-25 08:00:00,0.9189,0.9244,0.7875,0.7948,374471940.9,0.1339873806412857,-0.13514689880304687,0,0,0,0,0,2.0,0.7948,1.0,0.4493
2022-07-26 08:00:00,0.7948,0.8294,0.7447,0.8258,337754729.6,0.13275519612525358,0.03900352289884257,0,0,0,0,0,1.0,0.8258,6.0,0.4493
2022-07-27 08:00:00,0.8258,1.0854,0.8048,1.0517,579625118.6,0.13645131622212223,0.273552918382175,0,0,0,0,0,1.0,1.0517,6.0,0.4493
