Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2023-07-28 08:00:00,0.7638,0.8465,0.7493,0.8151,91695972.0,0.09720000000000006,-0.09090909090909094,1,0,0,0,0,-1.0,0.0,0.0,0.8151
2023-07-29 08:00:00,0.815,0.8185,0.7272,0.741,59338309.0,0.09425000000000006,-0.09090909090909094,0,0,0,1,0,2.0,0.741,1.0,0.8151
2023-07-30 08:00:00,0.7409,0.7533,0.6817,0.7075,32641145.0,0.08670000000000004,-0.045209176788124084,0,0,0,0,0,2.0,0.7075,1.0,0.8151
2023-07-31 08:00:00,0.7076,0.7346,0.7066,0.7257,15182422.0,0.07202500000000003,0.025724381625441772,0,0,0,0,0,1.0,0.7257,6.0,0.8151
2023-08-01 08:00:00,0.7257,0.748,0.6778,0.7428,16758246.0,0.07166000000000003,0.023563455973542702,0,0,0,0,0,1.0,0.7428,6.0,0.8151
2023-08-02 08:00:00,0.7429,0.7472,0.7008,0.7109,10055024.0,0.06745000000000002,-0.04294561120086171,0,0,0,0,0,2.0,0.7109,1.0,0.8151
2023-08-03 08:00:00,0.711,0.7199,0.6969,0.7039,4997141.0,0.06110000000000003,-0.009846673231115544,0,0,0,0,0,2.0,0.7039,1.0,0.8151
2023-08-04 08:00:00,0.7039,0.7179,0.6905,0.7024,4708051.0,0.05688750000000002,-0.002130984514845835,0,1,0,0,0,2.0,0.7024,1.0,0.7024
2023-08-05 08:00:00,0.7024,0.714,0.6938,0.7058,5509211.0,0.05281111111111113,0.004840546697038706,0,0,1,0,0,1.0,0.7058,6.0,0.7024
2023-08-06 08:00:00,0.7058,0.7525,0.7049,0.7369,14554158.0,0.05229000000000002,0.044063474071975195,1,0,0,0,0,1.0,0.7369,6.0,0.7369
2023-08-07 08:00:00,0.7369,0.7511,0.6946,0.7218,10928683.0,0.05267272727272729,-0.020491247116298017,0,0,0,1,0,2.0,0.7218,1.0,0.7369
2023-08-08 08:00:00,0.7221,0.7309,0.7063,0.7272,6226139.0,0.05033333333333334,0.007481296758104605,0,0,0,0,0,1.0,0.7272,6.0,0.7369
2023-08-09 08:00:00,0.7273,0.732,0.6934,0.7029,5901756.0,0.049430769230769236,-0.033415841584158446,0,0,0,0,0,2.0,0.7029,1.0,0.7369
2023-08-10 08:00:00,0.7024,0.7065,0.6884,0.7012,6469024.0,0.04719285714285715,-0.002418551714326256,0,0,0,0,0,2.0,0.7012,1.0,0.7369
2023-08-11 08:00:00,0.7012,0.7064,0.6904,0.6978,3877570.0,0.04511333333333334,-0.004848830576155261,0,0,0,0,0,2.0,0.6978,1.0,0.7369
2023-08-12 08:00:00,0.6976,0.7051,0.6928,0.6972,2846189.0,0.043062500000000004,-0.0008598452278588686,0,0,0,0,0,2.0,0.6972,1.0,0.7369
2023-08-13 08:00:00,0.6972,0.72,0.6937,0.7108,5892116.0,0.0420764705882353,0.019506597819850757,0,0,0,0,0,1.0,0.7108,6.0,0.7369
2023-08-14 08:00:00,0.7109,0.7305,0.7054,0.7149,5547312.0,0.041133333333333334,0.005768148564997189,1,0,0,0,0,1.0,0.7149,6.0,0.7149
2023-08-15 08:00:00,0.7149,0.72,0.5877,0.6276,34565845.0,0.04593157894736842,-0.12211498111623997,0,0,0,1,0,2.0,0.6276,1.0,0.7149
2023-08-16 08:00:00,0.6276,0.636,0.58,0.5973,14418590.0,0.046435000000000004,-0.04827915869980881,0,0,0,0,0,2.0,0.5973,1.0,0.7149
2023-08-17 08:00:00,0.5973,0.6053,0.4627,0.5156,13767889.0,0.05101428571428571,-0.13678218650594354,0,1,0,0,0,2.0,0.5156,1.0,0.5156
2023-08-18 08:00:00,0.5156,0.5489,0.5156,0.5414,12635841.0,0.05020909090909091,0.0500387897595036,0,0,1,0,0,1.0,0.5414,6.0,0.5156
2023-08-19 08:00:00,0.5415,0.5578,0.5333,0.5496,8794498.0,0.04909130434782609,0.015145917990395219,0,0,0,0,0,1.0,0.5496,6.0,0.5156
2023-08-20 08:00:00,0.5497,0.5693,0.5275,0.5547,12888634.0,0.048787500000000004,0.009279475982532759,0,0,0,0,0,1.0,0.5547,6.0,0.5156
