Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2023-03-06 08:00:00,1.0829,1.1315,1.0355,1.0721,22678183.4,0.09599999999999986,-0.07937692379442218,1,0,0,0,0,-1.0,0.0,0.0,1.0721
2023-03-07 08:00:00,1.0717,1.0953,0.9636,0.987,32390716.3,0.1138499999999999,-0.07937692379442218,0,0,0,1,0,2.0,0.987,1.0,1.0721
2023-03-08 08:00:00,0.9869,1.0022,0.8816,0.896,13531161.9,0.11609999999999991,-0.09219858156028371,0,0,0,0,0,2.0,0.896,1.0,1.0721
2023-03-09 08:00:00,0.8961,0.935,0.7864,0.8091,15091648.8,0.12422499999999995,-0.09698660714285712,0,0,0,0,0,2.0,0.8091,1.0,1.0721
2023-03-10 08:00:00,0.8091,0.8299,0.726,0.7986,13897657.4,0.12015999999999996,-0.012977382276603722,0,0,0,0,0,2.0,0.7986,1.0,1.0721
2023-03-11 08:00:00,0.7986,0.83,0.7271,0.7745,12505695.9,0.1172833333333333,-0.030177811169546764,0,1,0,0,0,2.0,0.7745,1.0,0.7745
2023-03-12 08:00:00,0.7743,0.8483,0.7384,0.8458,9102542.8,0.11622857142857142,0.09205939315687539,0,0,1,0,0,1.0,0.8458,6.0,0.7745
2023-03-13 08:00:00,0.8447,0.8867,0.7976,0.8652,13546052.3,0.1128375,0.02293686450697563,0,0,0,0,0,1.0,0.8652,6.0,0.7745
2023-03-14 08:00:00,0.8655,0.9752,0.8473,0.9559,16617041.6,0.11451111111111108,0.10483125288950523,1,0,0,0,0,1.0,0.9559,6.0,0.9559
2023-03-15 08:00:00,0.9554,1.0148,0.8215,0.8616,18204521.7,0.12238999999999996,-0.0986504864525577,0,0,0,1,0,2.0,0.8616,1.0,0.9559
2023-03-16 08:00:00,0.8619,0.8875,0.841,0.8745,8773129.1,0.11549090909090905,0.014972144846796764,0,0,0,0,0,1.0,0.8745,6.0,0.9559
2023-03-17 08:00:00,0.8752,0.9356,0.8632,0.9327,9020998.2,0.11189999999999996,0.06655231560891939,0,0,0,0,0,1.0,0.9327,6.0,0.9559
2023-03-18 08:00:00,0.9331,0.9825,0.8626,0.8731,10120060.3,0.11251538461538457,-0.06390050391336977,0,0,0,0,0,2.0,0.8731,1.0,0.9559
2023-03-19 08:00:00,0.873,0.9316,0.8533,0.9012,9178177.8,0.11007142857142853,0.03218417134348872,0,0,0,0,0,1.0,0.9012,6.0,0.9559
2023-03-20 08:00:00,0.9016,0.9176,0.8229,0.8418,40404005.2,0.10904666666666664,-0.06591211717709722,0,1,0,0,0,2.0,0.8418,1.0,0.8418
2023-03-21 08:00:00,0.8418,0.8763,0.8036,0.8695,11350905.6,0.10677499999999997,0.032905678308386754,0,0,1,0,0,1.0,0.8695,6.0,0.8418
2023-03-22 08:00:00,0.8694,0.9471,0.8184,0.8597,35919459.9,0.10806470588235291,-0.011270845313398503,0,0,0,0,0,2.0,0.8597,1.0,0.8418
2023-03-23 08:00:00,0.8595,0.9276,0.8522,0.9187,14349077.5,0.10624999999999998,0.06862859136908206,1,0,0,0,0,1.0,0.9187,6.0,0.9187
2023-03-24 08:00:00,0.919,0.9784,0.8521,0.863,15913828.9,0.10730526315789472,-0.060629149885708,0,0,0,1,0,2.0,0.863,1.0,0.9187
2023-03-25 08:00:00,0.863,0.8745,0.8265,0.8387,8416763.9,0.10433999999999999,-0.02815758980301275,0,0,0,0,0,2.0,0.8387,1.0,0.9187
2023-03-26 08:00:00,0.8387,0.8859,0.8349,0.8773,6740074.9,0.1018,0.04602360796470717,0,0,0,0,0,1.0,0.8773,6.0,0.9187
2023-03-27 08:00:00,0.8773,0.879,0.7904,0.8103,8186747.8,0.1012,-0.07637068277670123,0,1,0,0,0,2.0,0.8103,1.0,0.8103
2023-03-28 08:00:00,0.8102,0.8426,0.7841,0.8355,7995987.9,0.09934347826086956,0.031099592743428328,0,0,1,0,0,1.0,0.8355,6.0,0.8103
2023-03-29 08:00:00,0.8355,0.8725,0.832,0.8545,7158832.4,0.09689166666666667,0.022740873728306354,0,0,0,0,0,1.0,0.8545,6.0,0.8103
2023-03-30 08:00:00,0.8545,0.8746,0.8045,0.8164,11066940.3,0.09582,-0.04458747805734353,0,0,0,0,1,2.0,0.8164,1.0,0.8103
2023-03-31 08:00:00,0.8163,0.8488,0.7969,0.8424,7859622.8,0.09413076923076923,0.031847133757961776,0,0,0,0,0,1.0,0.8424,6.0,0.8103
2023-04-01 08:00:00,0.8423,0.8601,0.8258,0.8485,9444837.9,0.09191481481481481,0.0072412155745489315,0,0,0,0,0,1.0,0.8485,6.0,0.8103
2023-04-02 08:00:00,0.8487,0.8487,0.7901,0.8039,5241871.5,0.09072500000000001,-0.05256334708308785,0,0,0,0,0,2.0,0.8039,1.0,0.8103
2023-04-03 08:00:00,0.8039,0.8065,0.7529,0.7871,7554913.6,0.0894448275862069,-0.020898121656922397,0,0,0,0,0,2.0,0.7871,1.0,0.8103
2023-04-04 08:00:00,0.7873,0.817,0.754,0.8104,10094432.9,0.08856333333333334,0.029602337695337377,0,0,0,0,0,1.0,0.8104,6.0,0.8103
2023-04-05 08:00:00,0.8108,0.8319,0.7838,0.7903,9039071.6,0.08725806451612904,-0.024802566633761125,0,0,0,0,0,2.0,0.7903,1.0,0.8103
2023-04-06 08:00:00,0.7904,0.81,0.7614,0.8052,10228242.0,0.08605,0.018853599898772666,0,0,0,0,0,1.0,0.8052,6.0,0.8103
2023-04-07 08:00:00,0.8056,0.819,0.7733,0.7867,11191548.3,0.08482727272727274,-0.022975658221560002,0,0,0,0,0,2.0,0.7867,1.0,0.8103
2023-04-08 08:00:00,0.7867,0.8027,0.7664,0.7816,5798252.4,0.08340000000000002,-0.0064827761535528605,0,1,0,0,0,2.0,0.7816,1.0,0.7816
2023-04-09 08:00:00,0.7815,0.8132,0.7607,0.7958,10676134.6,0.08251714285714287,0.018167860798362412,0,0,1,0,0,1.0,0.7958,6.0,0.7816
2023-04-10 08:00:00,0.7959,0.813,0.7744,0.8122,7703453.6,0.08129722222222223,0.020608193013319953,0,0,0,0,0,1.0,0.8122,6.0,0.7816
2023-04-11 08:00:00,0.8123,0.8295,0.799,0.8137,10137990.5,0.07992432432432434,0.0018468357547400949,0,0,0,0,0,1.0,0.8137,6.0,0.7816
2023-04-12 08:00:00,0.8136,0.8137,0.7751,0.8048,11062085.3,0.07883684210526316,-0.010937692024087564,0,0,0,0,0,2.0,0.8048,1.0,0.7816
2023-04-13 08:00:00,0.8045,0.8456,0.7925,0.843,9838295.1,0.07817692307692307,0.04746520874751492,0,0,0,0,0,1.0,0.843,6.0,0.7816
2023-04-14 08:00:00,0.8428,0.8772,0.8319,0.8703,10293357.3,0.07735500000000001,0.03238434163701065,0,0,0,0,0,1.0,0.8703,6.0,0.7816
2023-04-15 08:00:00,0.8702,0.8703,0.8422,0.8539,5121201.8,0.076123625,-0.01884407675514188,0,0,0,0,0,2.0,0.8539,1.0,0.7816
2023-04-16 08:00:00,0.8539,0.9238,0.8351,0.9123,24021732.7,0.076438034375,0.06839208338212899,1,0,0,0,0,1.0,0.9123,6.0,0.9123
2023-04-17 08:00:00,0.9122,0.9425,0.852,0.8653,17114123.4,0.07678958351562501,-0.051518140962402814,0,0,0,1,0,2.0,0.8653,1.0,0.9123
2023-04-18 08:00:00,0.8655,0.8963,0.8536,0.8946,7364669.8,0.07593734392773438,0.0338610886397781,0,0,0,0,0,1.0,0.8946,6.0,0.9123
2023-04-19 08:00:00,0.8943,0.8946,0.7722,0.7931,17889384.3,0.07709891032954103,-0.11345852895148667,0,0,0,0,0,2.0,0.7931,1.0,0.9123
2023-04-20 08:00:00,0.7929,0.8118,0.7437,0.7552,13642368.8,0.0768739375713025,-0.04778716429201868,0,0,0,0,0,2.0,0.7552,1.0,0.9123
2023-04-21 08:00:00,0.7551,0.7642,0.6696,0.6954,11308845.5,0.07731708913201993,-0.07918432203389825,0,1,0,0,0,2.0,0.6954,1.0,0.6954
2023-04-22 08:00:00,0.6953,0.7261,0.6903,0.7246,5887582.5,0.07627916190371943,0.04199022145527764,0,0,1,0,0,1.0,0.7246,6.0,0.6954
2023-04-23 08:00:00,0.7246,0.7282,0.6931,0.7149,6228127.5,0.07524968285612645,-0.013386696108197649,0,0,0,0,0,2.0,0.7149,1.0,0.6954
2023-04-24 08:00:00,0.7147,0.7263,0.6881,0.7084,7039183.2,0.07432344078472328,-0.009092180724576848,0,0,0,0,0,2.0,0.7084,1.0,0.6954
2023-04-25 08:00:00,0.7084,0.7232,0.6863,0.7226,7050204.2,0.07338785476510519,0.020045172219085305,0,0,0,0,0,1.0,0.7226,6.0,0.6954
2023-04-26 08:00:00,0.7225,0.7406,0.6634,0.702,14485768.2,0.07348315839597756,-0.028508164959867188,0,0,0,0,0,2.0,0.702,1.0,0.6954
2023-04-27 08:00:00,0.7021,0.7233,0.6883,0.7172,9703976.1,0.07252107943607812,0.02165242165242165,0,0,0,0,0,1.0,0.7172,6.0,0.6954
2023-04-28 08:00:00,0.7167,0.7269,0.6971,0.7115,7969459.6,0.07145305245017616,-0.007947573898494098,0,0,0,0,0,2.0,0.7115,1.0,0.6954
2023-04-29 08:00:00,0.7115,0.7183,0.7037,0.7122,4291176.2,0.07003172613892177,0.0009838369641603784,0,0,0,0,0,2.0,0.7115,2.0,0.6954
2023-04-30 08:00:00,0.7121,0.7122,0.6892,0.6902,5072244.3,0.06885593298544872,-0.03089019938219606,0,0,0,0,0,2.0,0.6902,1.0,0.6954
2023-05-01 08:00:00,0.6904,0.6905,0.6293,0.6324,20151528.8,0.0686645346608125,-0.08374384236453214,0,1,0,0,0,2.0,0.6324,1.0,0.6324
2023-05-02 08:00:00,0.6323,0.6504,0.6275,0.6476,11088014.0,0.06752042129429218,0.024035420619860748,0,0,1,0,0,1.0,0.6476,6.0,0.6324
2023-05-03 08:00:00,0.6475,0.6687,0.6239,0.6643,11199718.7,0.06695241076193488,0.025787523162446035,0,0,0,0,0,1.0,0.6643,6.0,0.6324
