Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2022-10-20 08:00:00,174.4,180.58,158.0,169.7,213175.7,22.580000000000013,0.10111962286387755,0,1,0,0,0,-1.0,0.0,0.0,169.7
2022-10-21 08:00:00,169.7,188.0,164.62,186.86,738650.7,22.980000000000004,0.10111962286387755,1,0,1,0,0,1.0,186.86,6.0,186.86
2022-10-22 08:00:00,186.73,186.97,173.26,178.24,433179.8,19.890000000000004,-0.04613079310713908,0,0,0,1,0,2.0,178.24,1.0,186.86
2022-10-23 08:00:00,178.24,179.92,170.0,175.11,234559.9,17.3975,-0.01756059245960495,0,0,0,0,0,2.0,175.11,1.0,186.86
2022-10-24 08:00:00,175.12,183.8,171.35,176.66,193126.6,16.408000000000005,0.008851579007481014,0,0,0,0,0,1.0,176.66,6.0,186.86
2022-10-25 08:00:00,176.65,185.5,174.11,174.24,226989.1,15.571666666666667,-0.013698630136986245,0,0,0,0,0,2.0,174.24,1.0,186.86
2022-10-26 08:00:00,174.16,178.66,172.0,173.35,162345.2,14.29857142857143,-0.005107897153351804,0,0,0,0,0,2.0,173.35,1.0,186.86
2022-10-27 08:00:00,173.26,176.77,161.0,164.02,190542.7,14.482500000000002,-0.053821747908854856,0,0,0,0,0,2.0,164.02,1.0,186.86
2022-10-28 08:00:00,164.03,170.57,161.8,166.54,132688.8,13.847777777777777,0.015363980002438549,0,0,0,0,0,1.0,166.54,6.0,186.86
2022-10-29 08:00:00,166.54,170.37,159.46,163.84,94138.3,13.553999999999998,-0.01621232136423678,0,0,0,0,0,2.0,163.84,1.0,186.86
2022-10-30 08:00:00,163.85,174.98,159.51,167.91,223697.5,13.728181818181817,0.02484130859375,0,0,0,0,0,1.0,167.91,6.0,186.86
2022-10-31 08:00:00,167.92,174.5,161.51,166.52,194073.8,13.666666666666666,-0.008278244297540316,0,0,0,0,0,2.0,166.52,1.0,186.86
2022-11-01 08:00:00,166.61,168.0,162.1,162.68,63689.8,13.069230769230769,-0.023060293057890924,0,0,0,0,0,2.0,162.68,1.0,186.86
2022-11-02 08:00:00,162.7,164.56,154.12,158.1,109504.9,12.881428571428572,-0.028153430046717554,0,0,0,0,0,2.0,158.1,1.0,186.86
2022-11-03 08:00:00,158.14,162.3,155.0,156.94,74433.9,12.509333333333334,-0.007337128399746984,0,0,0,0,0,2.0,156.94,1.0,186.86
2022-11-04 08:00:00,156.92,167.6,156.04,164.25,102951.2,12.450000000000001,0.04657831018223524,0,0,0,0,0,1.0,164.25,6.0,186.86
2022-11-05 08:00:00,164.26,168.0,160.29,162.16,71564.1,12.171176470588236,-0.012724505327245117,0,0,0,0,0,2.0,162.16,1.0,186.86
2022-11-06 08:00:00,162.1,164.0,156.06,156.48,60337.1,11.936111111111112,-0.03502713369511601,0,0,0,0,0,2.0,156.48,1.0,186.86
2022-11-07 08:00:00,156.44,159.27,151.27,153.74,100466.0,11.728947368421053,-0.01751022494887511,0,0,0,0,0,2.0,153.74,1.0,186.86
2022-11-08 08:00:00,153.71,155.32,123.72,149.18,293181.7,12.7225,-0.02966046572134773,0,0,0,0,0,2.0,149.18,1.0,186.86
2022-11-09 08:00:00,149.18,150.79,105.55,108.55,403270.7,14.27095238095238,-0.2723555436385575,0,0,0,0,0,2.0,108.55,1.0,186.86
2022-11-10 08:00:00,108.57,137.8,105.83,125.66,708047.0,15.075454545454546,0.15762321510824506,0,0,0,0,0,1.0,125.66,6.0,186.86
2022-11-11 08:00:00,125.62,126.0,111.0,113.85,316160.4,15.07217391304348,-0.09398376571701417,0,0,0,0,0,2.0,113.85,1.0,186.86
2022-11-12 08:00:00,113.9,115.28,107.1,110.25,156387.3,14.785000000000002,-0.03162055335968372,0,0,0,0,0,2.0,110.25,1.0,186.86
2022-11-13 08:00:00,110.28,115.42,101.16,101.81,159922.2,14.764000000000001,-0.07655328798185934,0,1,0,0,1,2.0,101.81,1.0,101.81
2022-11-14 08:00:00,101.77,112.0,94.13,109.13,285060.2,14.883461538461539,0.07189863471171787,0,0,1,0,0,1.0,109.13,6.0,101.81
2022-11-15 08:00:00,109.14,125.67,109.14,119.51,661697.2,14.944814814814817,0.09511591679648146,1,0,0,0,0,1.0,119.51,6.0,119.51
2022-11-16 08:00:00,119.56,123.45,112.0,114.38,213929.3,14.820000000000002,-0.04292527821939596,0,0,0,1,0,2.0,114.38,1.0,119.51
2022-11-17 08:00:00,114.38,122.3,112.02,118.92,190559.7,14.66344827586207,0.03969225389054043,0,0,0,0,0,1.0,118.92,6.0,119.51
2022-11-18 08:00:00,118.9,122.79,115.24,118.74,136590.4,14.426333333333334,-0.0015136226034309086,0,0,0,0,0,1.0,118.92,5.0,119.51
2022-11-19 08:00:00,118.74,118.81,113.17,115.17,90485.6,14.142903225806451,-0.030065689742294066,0,0,0,0,0,2.0,115.17,1.0,119.51
2022-11-20 08:00:00,115.17,117.15,105.42,105.52,104636.1,14.0675,-0.0837891812103847,0,0,0,0,0,2.0,105.52,1.0,119.51
2022-11-21 08:00:00,105.5,110.38,100.17,105.03,208567.7,13.950606060606061,-0.004643669446550369,0,1,0,0,0,2.0,105.03,1.0,105.03
2022-11-22 08:00:00,105.04,110.59,100.0,108.7,168998.9,13.851764705882355,0.03494239741026384,0,0,1,0,0,1.0,108.7,6.0,105.03
2022-11-23 08:00:00,108.69,113.76,107.13,113.1,131453.5,13.645428571428573,0.040478380864765295,0,0,0,0,0,1.0,113.1,6.0,105.03
2022-11-24 08:00:00,113.07,116.16,111.16,113.56,99594.8,13.405277777777778,0.004067197170645409,0,0,0,0,0,1.0,113.56,6.0,105.03
2022-11-25 08:00:00,113.56,119.85,110.07,118.71,124862.7,13.307297297297298,0.04535047551954907,0,0,0,0,0,1.0,118.71,6.0,105.03
2022-11-26 08:00:00,118.72,122.48,117.94,120.94,168657.1,13.076578947368422,0.018785275040013483,0,0,0,0,0,1.0,120.94,6.0,105.03
2022-11-27 08:00:00,121.01,124.46,117.37,117.52,83405.5,12.923076923076923,-0.02827848519927234,0,0,0,0,0,2.0,117.52,1.0,105.03
2022-11-28 08:00:00,117.55,118.06,108.35,112.33,159846.7,12.84275,-0.044162695711368216,0,1,0,0,0,2.0,112.33,1.0,112.33
2022-11-29 08:00:00,112.35,115.99,110.4,113.44,82342.9,12.66143125,0.009881598860500329,0,0,1,0,0,1.0,113.44,6.0,112.33
2022-11-30 08:00:00,113.45,125.0,112.48,123.67,141620.9,12.657895468749999,0.09017983074753166,0,0,0,0,0,1.0,123.67,6.0,112.33
2022-12-01 08:00:00,123.66,125.09,119.5,121.39,81828.9,12.481198082031248,-0.018436160750384123,0,0,0,0,0,2.0,121.39,1.0,112.33
2022-12-02 08:00:00,121.39,133.45,119.97,130.32,186643.9,12.506168129980466,0.07356454403163348,1,0,0,0,0,1.0,130.32,6.0,130.32
2022-12-03 08:00:00,130.26,133.0,126.0,126.44,191248.7,12.368513926730955,-0.029772866789441355,0,0,0,1,0,2.0,126.44,1.0,130.32
2022-12-04 08:00:00,126.46,129.96,125.0,129.08,105487.1,12.183301078562682,0.02087946852261946,0,0,0,0,0,1.0,129.08,6.0,130.32
2022-12-05 08:00:00,129.08,132.72,121.7,125.69,154976.0,12.154218551598614,-0.02626278277037508,0,0,0,0,0,2.0,125.69,1.0,130.32
2022-12-06 08:00:00,125.69,128.5,119.17,121.95,152845.5,12.083613087808649,-0.029755748269552074,0,0,0,0,0,2.0,121.95,1.0,130.32
2022-12-07 08:00:00,121.96,123.17,114.65,117.19,145243.0,11.994522760613433,-0.039032390323903265,0,1,0,0,0,2.0,117.19,1.0,117.19
2022-12-08 08:00:00,117.19,123.65,115.36,121.29,177848.4,11.901909691598098,0.03498592030036707,0,0,1,0,0,1.0,121.29,6.0,117.19
2022-12-09 08:00:00,121.28,124.92,121.2,121.62,117730.9,11.697361949308146,0.0027207519168934713,0,0,0,0,0,1.0,121.62,6.0,117.19
2022-12-10 08:00:00,121.65,122.66,119.01,119.92,71726.1,11.496177900575441,-0.013977964150633126,0,0,0,0,0,2.0,119.92,1.0,117.19
2022-12-11 08:00:00,119.98,120.65,116.56,117.19,55272.9,11.311023453061056,-0.022765176784523056,0,0,0,0,0,2.0,117.19,1.0,117.19
2022-12-12 08:00:00,117.08,122.56,112.81,120.57,119136.9,11.27199786673453,0.028842051369570854,0,0,0,0,0,1.0,120.57,6.0,117.19
2022-12-13 08:00:00,120.61,124.9,115.18,122.47,122501.3,11.233197920066168,0.01575848055071738,0,0,0,0,0,1.0,122.47,6.0,117.19
2022-12-14 08:00:00,122.44,127.37,121.39,123.81,124062.3,11.101867972064515,0.010941455050216486,1,0,0,0,0,1.0,123.81,6.0,123.81
2022-12-15 08:00:00,123.88,124.82,118.86,119.11,92984.2,10.973321272762902,-0.03796139245618291,0,0,0,1,0,2.0,119.11,1.0,123.81
2022-12-16 08:00:00,119.14,121.22,109.72,110.96,107959.2,10.98648824094383,-0.06842414574762834,0,0,0,0,0,2.0,110.96,1.0,123.81
2022-12-17 08:00:00,110.94,112.28,106.14,109.37,126094.9,10.865326034920233,-0.014329488103821064,0,0,0,0,0,2.0,109.37,1.0,123.81
2022-12-18 08:00:00,109.37,111.27,108.0,109.44,77249.9,10.675442884047227,0.0006400292584802791,0,0,0,0,0,2.0,109.37,1.0,123.81
2022-12-19 08:00:00,109.5,111.55,101.67,104.6,129273.9,10.655556811946045,-0.044225146198830445,0,1,0,0,1,2.0,104.6,1.0,104.6
2022-12-20 08:00:00,104.6,110.22,103.46,107.89,102951.5,10.558167891647395,0.03145315487571709,0,0,1,0,0,1.0,107.89,6.0,104.6
2022-12-21 08:00:00,107.9,108.18,102.7,104.81,106976.8,10.43121369435621,-0.02854759477245339,0,0,0,0,0,2.0,104.81,1.0,104.6
2022-12-22 08:00:00,104.84,105.3,101.26,104.84,101564.7,10.271433351997304,0.000286232229748995,0,0,0,0,0,2.0,104.81,1.0,104.6
2022-12-23 08:00:00,104.82,107.26,104.05,105.14,85435.1,10.094897518197373,0.0028615032430370224,0,0,0,0,0,2.0,104.81,5.0,104.6
2022-12-24 08:00:00,105.13,105.86,103.91,105.32,50536.1,9.891275080242439,0.0017120030435608946,0,0,0,0,0,1.0,105.32,6.0,104.6
2022-12-25 08:00:00,105.32,106.11,104.0,105.79,51960.1,9.696743203236379,0.004462590201291361,0,0,0,0,0,1.0,105.79,6.0,104.6
2022-12-26 08:00:00,105.8,109.42,105.48,109.21,59039.5,9.55282462315547,0.03232819737215231,0,0,0,0,0,1.0,109.21,6.0,104.6
2022-12-27 08:00:00,109.24,117.2,109.24,114.55,503304.0,9.513754007576583,0.04889662118853577,1,0,0,0,0,1.0,114.55,6.0,114.55
