Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2020-02-20 08:00:00,2.435,2.465,2.3,2.397,316656.2,0.16500000000000004,0.007926574885273263,0,0,0,0,0,-1.0,0.0,0.0,2.397
2020-02-21 08:00:00,2.391,2.475,2.359,2.416,345033.4,0.14050000000000007,0.007926574885273263,0,0,0,0,0,-1.0,0.0,0.0,2.397
2020-02-22 08:00:00,2.419,2.437,2.344,2.391,315412.3,0.1246666666666667,-0.010347682119205226,0,0,0,0,0,-1.0,0.0,0.0,2.397
2020-02-23 08:00:00,2.393,2.508,2.391,2.5,375696.4,0.12275000000000003,0.04558762024257623,1,0,0,0,0,-1.0,0.0,0.0,2.5
2020-02-24 08:00:00,2.491,2.504,2.278,2.36,501921.1,0.14340000000000003,-0.05600000000000005,0,0,0,1,0,2.0,2.36,1.0,2.5
2020-02-25 08:00:00,2.361,2.621,2.316,2.383,2226704.5,0.17033333333333336,0.009745762711864447,0,0,0,0,0,1.0,2.383,6.0,2.5
2020-02-26 08:00:00,2.382,2.424,2.036,2.1,1055694.0,0.20142857142857146,-0.11875786823331935,0,0,0,0,0,2.0,2.1,1.0,2.5
2020-02-27 08:00:00,2.097,2.225,2.0,2.123,559690.5,0.20437500000000003,0.010952380952381047,0,0,0,0,0,1.0,2.123,6.0,2.5
2020-02-28 08:00:00,2.124,2.175,1.997,2.078,656373.8,0.20144444444444443,-0.021196420160150886,0,0,0,0,0,2.0,2.078,1.0,2.5
2020-02-29 08:00:00,2.078,2.124,2.024,2.03,322000.4,0.1913,-0.023099133782483183,0,1,0,0,0,2.0,2.03,1.0,2.03
2020-03-01 08:00:00,2.031,2.101,1.984,2.03,362847.5,0.18454545454545457,0.0,0,0,0,0,0,2.0,2.03,1.0,2.03
2020-03-02 08:00:00,2.029,2.218,2.016,2.183,547744.5,0.18600000000000003,0.07536945812807883,0,0,1,0,0,1.0,2.183,6.0,2.03
2020-03-03 08:00:00,2.184,2.185,2.094,2.149,352719.5,0.17869230769230773,-0.01557489693082903,0,0,0,0,0,2.0,2.149,1.0,2.03
2020-03-04 08:00:00,2.149,2.18,2.087,2.157,394039.1,0.1725714285714286,0.0037226617031176357,0,0,0,0,0,1.0,2.157,6.0,2.03
2020-03-05 08:00:00,2.156,2.255,2.151,2.196,665387.5,0.16800000000000004,0.018080667593880495,0,0,0,0,0,1.0,2.196,6.0,2.03
2020-03-06 08:00:00,2.196,2.319,2.181,2.316,856845.5,0.16612500000000002,0.05464480874316924,1,0,0,0,0,1.0,2.316,6.0,2.316
2020-03-07 08:00:00,2.319,2.334,2.19,2.213,534722.2,0.16482352941176473,-0.04447322970639023,0,0,0,1,0,2.0,2.213,1.0,2.316
2020-03-08 08:00:00,2.209,2.209,1.867,1.897,925338.7,0.17488888888888893,-0.1427925892453683,0,0,0,0,0,2.0,1.897,1.0,2.316
2020-03-09 08:00:00,1.897,1.97,1.805,1.945,1067786.9,0.17436842105263162,0.02530311017395892,0,0,0,0,0,1.0,1.945,6.0,2.316
