Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2021-08-20 08:00:00,7.614,8.273,7.45,8.26,1819944.0,0.8229999999999995,-0.10544794188861983,1,0,0,0,0,-1.0,0.0,0.0,8.26
2021-08-21 08:00:00,8.252,8.252,7.2,7.389,1817669.8,0.9414999999999996,-0.10544794188861983,0,0,0,1,0,2.0,7.389,1.0,8.26
2021-08-22 08:00:00,7.39,7.927,6.938,7.176,2077319.1,0.957333333333333,-0.028826634185952105,0,0,0,0,0,2.0,7.176,1.0,8.26
2021-08-23 08:00:00,7.176,7.796,7.058,7.232,3721738.9,0.9024999999999999,0.0078037904124861335,0,0,0,0,0,1.0,7.232,6.0,8.26
2021-08-24 08:00:00,7.242,8.182,6.745,6.957,7149932.4,1.0093999999999999,-0.0380254424778762,0,0,0,0,1,2.0,6.957,1.0,8.26
2021-08-25 08:00:00,6.951,7.398,6.635,7.205,4353317.1,0.9683333333333333,0.03564754923099045,0,0,0,0,0,1.0,7.205,6.0,8.26
2021-08-26 08:00:00,7.212,7.5,6.675,6.825,3995160.7,0.9478571428571428,-0.052741151977793166,0,1,0,0,0,2.0,6.825,1.0,6.825
2021-08-27 08:00:00,6.83,9.38,6.694,9.035,51203291.9,1.1651250000000002,0.32380952380952377,0,0,1,0,0,1.0,9.035,6.0,6.825
2021-08-28 08:00:00,9.036,14.185,8.71,11.256,87179416.3,1.6440000000000001,0.2458218040951854,0,0,0,0,0,1.0,11.256,6.0,6.825
2021-08-29 08:00:00,11.263,12.864,10.6,11.514,44815764.7,1.7060000000000002,0.02292110874200426,0,0,0,0,0,1.0,11.514,6.0,6.825
2021-08-30 08:00:00,11.509,13.28,10.68,11.685,35768732.1,1.7872727272727276,0.014851485148514865,0,0,0,0,0,1.0,11.685,6.0,6.825
2021-08-31 08:00:00,11.685,14.5,11.23,12.054,37686501.0,1.9108333333333336,0.03157894736842093,0,0,0,0,0,1.0,12.054,6.0,6.825
2021-09-01 08:00:00,12.048,12.485,11.387,11.603,13399920.0,1.8483076923076924,-0.0374149659863946,0,0,0,0,0,2.0,11.603,1.0,6.825
2021-09-02 08:00:00,11.604,12.7,11.279,11.779,14927225.8,1.8177857142857143,0.015168490907524035,0,0,0,0,0,1.0,11.779,6.0,6.825
2021-09-03 08:00:00,11.784,13.776,11.732,12.73,23276555.9,1.8328666666666669,0.08073690466083705,0,0,0,0,0,1.0,12.73,6.0,6.825
2021-09-04 08:00:00,12.73,13.738,12.032,12.409,11361602.8,1.8249375,-0.025216025137470566,0,0,0,0,0,2.0,12.409,1.0,6.825
2021-09-05 08:00:00,12.406,12.72,12.031,12.485,5806677.1,1.7581176470588236,0.0061245869933113095,0,0,0,0,0,1.0,12.485,6.0,6.825
2021-09-06 08:00:00,12.488,13.091,9.76,12.857,14099560.2,1.8455000000000001,0.02979575490588715,0,0,0,0,0,1.0,12.857,6.0,6.825
2021-09-07 08:00:00,12.856,15.217,9.05,11.787,40107782.7,2.072947368421053,-0.08322314692385457,0,1,0,0,0,2.0,11.787,1.0,11.787
