Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2023-04-05 08:00:00,0.3795,0.3795,0.3402,0.3437,51096506.0,0.0393,-0.035496072155949965,1,0,0,0,0,-1.0,0.0,0.0,0.3437
2023-04-06 08:00:00,0.3437,0.3478,0.3172,0.3315,75256900.0,0.03495000000000001,-0.035496072155949965,0,0,0,1,0,2.0,0.3315,1.0,0.3437
2023-04-07 08:00:00,0.3316,0.3435,0.319,0.3263,76821549.0,0.03146666666666668,-0.015686274509804088,0,0,0,0,0,2.0,0.3263,1.0,0.3437
2023-04-08 08:00:00,0.3263,0.3369,0.3172,0.3232,46143603.0,0.02852500000000001,-0.009500459699662844,0,0,0,0,0,2.0,0.3232,1.0,0.3437
2023-04-09 08:00:00,0.3233,0.3341,0.308,0.3273,49298579.0,0.02804000000000001,0.012685643564356308,0,0,0,0,0,1.0,0.3273,6.0,0.3437
2023-04-10 08:00:00,0.3274,0.3348,0.3101,0.3306,42983851.0,0.027483333333333342,0.010082493125572967,0,0,0,0,0,1.0,0.3306,6.0,0.3437
2023-04-11 08:00:00,0.3307,0.3381,0.32,0.3213,32812839.0,0.02614285714285715,-0.02813067150635218,0,0,0,0,0,2.0,0.3213,1.0,0.3437
2023-04-12 08:00:00,0.3213,0.3213,0.3019,0.3105,51687571.0,0.025300000000000003,-0.03361344537815114,0,1,0,0,0,2.0,0.3105,1.0,0.3105
2023-04-13 08:00:00,0.3103,0.3599,0.305,0.3574,184772468.0,0.028588888888888893,0.15104669887278588,0,0,1,0,0,1.0,0.3574,6.0,0.3105
2023-04-14 08:00:00,0.3575,0.4329,0.3477,0.4141,344463821.0,0.03425,0.15864577504196986,0,0,0,0,0,1.0,0.4141,6.0,0.3105
2023-04-15 08:00:00,0.414,0.4976,0.4043,0.4716,768712294.0,0.03961818181818182,0.138855348949529,1,0,0,0,0,1.0,0.4716,6.0,0.4716
2023-04-16 08:00:00,0.4716,0.4947,0.4356,0.4587,343046014.0,0.04124166666666667,-0.027353689567430117,0,0,0,1,0,2.0,0.4587,1.0,0.4716
2023-04-17 08:00:00,0.4587,0.4588,0.4222,0.4365,194101936.0,0.04088461538461538,-0.04839764551994763,0,0,0,0,0,2.0,0.4365,1.0,0.4716
2023-04-18 08:00:00,0.4365,0.4876,0.4235,0.4539,316007854.0,0.04254285714285714,0.03986254295532654,0,0,0,0,0,1.0,0.4539,6.0,0.4716
