Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2020-07-31 08:00:00,1.1255,1.2599,1.1255,1.1805,10125417.1,0.13440000000000007,-0.031173231681490998,0,0,0,0,0,-1.0,0.0,0.0,1.1805
2020-08-01 08:00:00,1.1808,1.2387,1.1242,1.1437,12050419.9,0.12444999999999995,-0.031173231681490998,0,0,0,0,0,-1.0,0.0,0.0,1.1805
2020-08-02 08:00:00,1.1432,1.1633,0.9,1.0882,14280854.1,0.1707333333333333,-0.04852671155023158,0,0,0,0,0,-1.0,0.0,0.0,1.1805
2020-08-03 08:00:00,1.0882,1.129,1.051,1.0715,9708546.4,0.14755,-0.0153464436684434,0,1,0,0,0,-1.0,0.0,0.0,1.0715
2020-08-04 08:00:00,1.0709,1.2387,1.0679,1.2137,14329527.5,0.15219999999999995,0.13271115258982746,0,0,1,0,0,1.0,1.2137,6.0,1.0715
2020-08-05 08:00:00,1.2157,1.2678,1.148,1.1727,9448169.7,0.14679999999999999,-0.033781000247178006,0,0,0,0,0,2.0,1.1727,1.0,1.0715
2020-08-06 08:00:00,1.1726,1.4042,1.1714,1.3665,17007182.6,0.15908571428571427,0.1652596572013303,0,0,0,0,0,1.0,1.3665,6.0,1.0715
2020-08-07 08:00:00,1.367,1.37,1.212,1.2936,13017706.7,0.15895,-0.05334796926454444,0,0,0,0,0,2.0,1.2936,1.0,1.0715
2020-08-08 08:00:00,1.2932,1.58,1.2792,1.5253,18425573.3,0.17471111111111115,0.17911255411255422,0,0,0,0,0,1.0,1.5253,6.0,1.0715
2020-08-09 08:00:00,1.525,1.8048,1.4651,1.7213,18989979.3,0.19121000000000002,0.1284993116108306,0,0,0,0,0,1.0,1.7213,6.0,1.0715
2020-08-10 08:00:00,1.7203,1.7802,1.4807,1.599,19494401.7,0.20105454545454549,-0.07105094986347538,0,0,0,0,0,2.0,1.599,1.0,1.0715
2020-08-11 08:00:00,1.5992,1.6451,1.35,1.4727,20688639.7,0.2088916666666667,-0.07898686679174494,0,0,0,0,0,2.0,1.4727,1.0,1.0715
2020-08-12 08:00:00,1.4732,1.895,1.4336,1.7857,24126302.7,0.22831538461538467,0.21253480002716119,0,0,0,0,0,1.0,1.7857,6.0,1.0715
2020-08-13 08:00:00,1.788,2.1658,1.7738,1.8813,28372885.6,0.2400071428571429,0.05353642829142635,1,0,0,0,0,1.0,1.8813,6.0,1.8813
2020-08-14 08:00:00,1.8853,1.9708,1.8028,1.851,18217488.8,0.2352066666666667,-0.01610588422899062,0,0,0,1,0,2.0,1.851,1.0,1.8813
2020-08-15 08:00:00,1.8524,2.0814,1.8211,1.8602,18516039.8,0.23677500000000004,0.004970286331712703,0,0,0,0,0,1.0,1.8602,6.0,1.8813
2020-08-16 08:00:00,1.8602,1.9191,1.7246,1.8767,22381867.4,0.23428823529411769,0.00887001397699172,0,0,0,0,0,1.0,1.8767,6.0,1.8813
2020-08-17 08:00:00,1.8794,1.9153,1.66,1.7037,25067938.9,0.2354555555555556,-0.09218308733415037,0,0,0,0,0,2.0,1.7037,1.0,1.8813
2020-08-18 08:00:00,1.7017,1.7825,1.499,1.5704,26420416.7,0.23798421052631583,-0.0782414744379879,0,0,0,0,0,2.0,1.5704,1.0,1.8813
2020-08-19 08:00:00,1.5706,1.6356,1.3811,1.4946,29567677.1,0.23881000000000005,-0.04826795720835464,0,0,0,0,0,2.0,1.4946,1.0,1.8813
2020-08-20 08:00:00,1.4948,1.6913,1.4946,1.6865,25065495.0,0.23680476190476196,0.1283955573397566,0,0,0,0,0,1.0,1.6865,6.0,1.8813
2020-08-21 08:00:00,1.6861,1.757,1.4037,1.4153,25596873.3,0.24210000000000004,-0.16080640379484146,0,1,0,0,1,2.0,1.4153,1.0,1.4153
2020-08-22 08:00:00,1.4156,1.5316,1.35,1.5162,20515306.8,0.23946956521739135,0.0712923055182646,0,0,1,0,0,1.0,1.5162,6.0,1.4153
2020-08-23 08:00:00,1.5161,1.5984,1.4134,1.5654,18614793.1,0.23720000000000008,0.032449544914918915,0,0,0,0,0,1.0,1.5654,6.0,1.4153
2020-08-24 08:00:00,1.5672,1.675,1.5176,1.6176,15957948.5,0.23400800000000008,0.033346109620544295,0,0,0,0,0,1.0,1.6176,6.0,1.4153
2020-08-25 08:00:00,1.6169,1.798,1.47,1.4838,23564948.0,0.237623076923077,-0.08271513353115723,0,0,0,0,1,2.0,1.4838,1.0,1.4153
2020-08-26 08:00:00,1.484,1.6342,1.4632,1.5821,21666875.2,0.23515555555555565,0.06624882059576764,0,0,0,0,0,1.0,1.5821,6.0,1.4153
2020-08-27 08:00:00,1.5843,1.6601,1.3682,1.4579,22758882.2,0.23718214285714295,-0.07850325516718293,0,1,0,0,1,2.0,1.4579,1.0,1.4579
2020-08-28 08:00:00,1.4593,1.5176,1.4245,1.4719,16120515.5,0.23221379310344836,0.009602853419301782,0,0,1,0,0,1.0,1.4719,6.0,1.4579
2020-08-29 08:00:00,1.4716,1.583,1.4651,1.5705,11881374.8,0.2284033333333334,0.06698824648413626,0,0,0,0,0,1.0,1.5705,6.0,1.4579
2020-08-30 08:00:00,1.5693,1.6848,1.523,1.6284,15494388.8,0.2262548387096775,0.036867239732569335,1,0,0,0,0,1.0,1.6284,6.0,1.6284
2020-08-31 08:00:00,1.6279,1.7177,1.5808,1.6039,13841467.1,0.22346250000000006,-0.015045443380004908,0,0,0,1,0,2.0,1.6039,1.0,1.6284
2020-09-01 08:00:00,1.6035,1.6274,1.4841,1.4906,15893921.3,0.2210333333333334,-0.07064031423405459,0,0,0,0,0,2.0,1.4906,1.0,1.6284
2020-09-02 08:00:00,1.4911,1.5008,1.25,1.3974,15360818.2,0.22190882352941182,-0.06252515765463573,0,0,0,0,0,2.0,1.3974,1.0,1.6284
2020-09-03 08:00:00,1.398,1.4082,0.9475,1.0517,23109116.1,0.2287314285714286,-0.24738800629740942,0,0,0,0,0,2.0,1.0517,1.0,1.6284
2020-09-04 08:00:00,1.0513,1.1406,0.9501,1.0845,21284298.1,0.22766944444444448,0.031187601026908762,0,0,0,0,0,1.0,1.0845,6.0,1.6284
2020-09-05 08:00:00,1.0847,1.1848,0.8152,0.9243,23213642.2,0.23150540540540546,-0.14771784232365148,0,0,0,0,1,2.0,0.9243,1.0,1.6284
2020-09-06 08:00:00,0.9259,1.0459,0.8564,0.9959,20045451.6,0.23040000000000005,0.07746402683111553,0,0,0,0,0,1.0,0.9959,6.0,1.6284
2020-09-07 08:00:00,0.995,1.0086,0.8613,0.9822,17792778.9,0.2282692307692308,-0.013756401245105021,0,0,0,0,0,2.0,0.9822,1.0,1.6284
2020-09-08 08:00:00,0.9822,1.0064,0.8815,0.9081,16825309.6,0.22568500000000005,-0.07544288332315208,0,1,0,0,0,2.0,0.9081,1.0,0.9081
2020-09-09 08:00:00,0.9084,1.0553,0.8833,1.0253,15199665.2,0.22434287500000005,0.12906067613698946,0,0,1,0,0,1.0,1.0253,6.0,0.9081
2020-09-10 08:00:00,1.0253,1.1179,1.0237,1.0352,15723682.4,0.22108930312500005,0.009655710523748917,0,0,0,0,0,1.0,1.0352,6.0,0.9081
2020-09-11 08:00:00,1.0352,1.1582,0.9805,1.1338,16837030.8,0.22000457054687506,0.09524729520865538,0,0,0,0,0,1.0,1.1338,6.0,0.9081
2020-09-12 08:00:00,1.1331,1.211,1.1063,1.1941,16937787.1,0.2171219562832032,0.053183983065796525,0,0,0,0,0,1.0,1.1941,6.0,0.9081
2020-09-13 08:00:00,1.1952,1.1953,1.094,1.1325,16105441.5,0.2142264073761231,-0.051586969265555505,0,0,0,0,0,2.0,1.1325,1.0,0.9081
2020-09-14 08:00:00,1.1322,1.1343,1.0457,1.108,15517889.6,0.21108574719172005,-0.02163355408388523,0,0,0,0,0,2.0,1.108,1.0,0.9081
2020-09-15 08:00:00,1.1077,1.14,0.9767,0.9819,14421630.1,0.20989110351192705,-0.11380866425992786,0,1,0,0,0,2.0,0.9819,1.0,0.9819
2020-09-16 08:00:00,0.9816,1.3184,0.9144,1.2039,30424878.4,0.21474382592412888,0.22609227008860366,0,0,1,0,0,1.0,1.2039,6.0,0.9819
2020-09-17 08:00:00,1.2062,1.3926,1.1391,1.2553,33558014.1,0.21571273027602567,0.04269457596145876,1,0,0,0,0,1.0,1.2553,6.0,1.2553
2020-09-18 08:00:00,1.2561,1.2752,1.0697,1.0985,19574616.7,0.21545741201912502,-0.12491037998884735,0,0,0,1,0,2.0,1.0985,1.0,1.2553
2020-09-19 08:00:00,1.0989,1.1052,1.0403,1.0533,9772555.5,0.21169347671864688,-0.041147018661811696,0,0,0,0,0,2.0,1.0533,1.0,1.2553
