Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2021-02-23 08:00:00,0.1666,0.199,0.13257,0.18024,116581094.0,0.06643000000000002,0.008322237017310163,0,0,0,0,0,-1.0,0.0,0.0,0.18024
2021-02-24 08:00:00,0.18023,0.199,0.16504,0.18174,60419538.0,0.05019500000000002,0.008322237017310163,1,0,0,0,0,-1.0,0.0,0.0,0.18174
2021-02-25 08:00:00,0.1819,0.1914,0.16,0.16296,38587384.0,0.043930000000000004,-0.10333443380653695,0,0,0,1,0,2.0,0.16296,1.0,0.18174
2021-02-26 08:00:00,0.16299,0.17205,0.14758,0.15511,28550048.0,0.03906500000000001,-0.04817133038782517,0,0,0,0,0,2.0,0.15511,1.0,0.18174
2021-02-27 08:00:00,0.15527,0.162,0.1356,0.14213,56118596.0,0.03653200000000001,-0.083682547869254,0,0,0,0,0,2.0,0.14213,1.0,0.18174
2021-02-28 08:00:00,0.14217,0.14221,0.116,0.13111,160578453.0,0.03481166666666668,-0.0775346513755013,0,1,0,0,0,2.0,0.13111,1.0,0.13111
2021-03-01 08:00:00,0.13111,0.17737,0.12978,0.17106,375259576.0,0.03663714285714286,0.3047059720845091,1,0,1,0,0,1.0,0.17106,6.0,0.17106
2021-03-02 08:00:00,0.17107,0.18251,0.14941,0.16025,101654159.0,0.036195000000000005,-0.06319420086519345,0,0,0,1,0,2.0,0.16025,1.0,0.17106
2021-03-03 08:00:00,0.16001,0.16932,0.15708,0.15972,68101501.0,0.03353333333333334,-0.0033073322932917204,0,0,0,0,0,2.0,0.15972,1.0,0.17106
2021-03-04 08:00:00,0.15964,0.1629,0.14308,0.149,66156190.0,0.032162,-0.0671174555472076,0,0,0,0,0,2.0,0.149,1.0,0.17106
2021-03-05 08:00:00,0.14931,0.15981,0.13941,0.15463,101811001.0,0.031092727272727272,0.037785234899328835,0,0,0,0,0,1.0,0.15463,6.0,0.17106
2021-03-06 08:00:00,0.15479,0.15717,0.1475,0.15577,51440395.0,0.0293075,0.007372437431287571,0,0,0,0,0,1.0,0.15577,6.0,0.17106
2021-03-07 08:00:00,0.15574,0.16214,0.15321,0.15859,50767382.0,0.02774,0.018103614303139448,0,0,0,0,0,1.0,0.15859,6.0,0.17106
2021-03-08 08:00:00,0.15858,0.15945,0.14987,0.15464,58512847.0,0.02644285714285714,-0.024906992874708433,0,0,0,0,0,2.0,0.15464,1.0,0.17106
2021-03-09 08:00:00,0.15481,0.20599,0.15184,0.17607,402676503.0,0.02829,0.13857992757371962,0,0,0,0,0,1.0,0.17607,6.0,0.17106
2021-03-10 08:00:00,0.1764,0.20112,0.16621,0.18172,296453888.0,0.02870375,0.03208950985403525,0,0,0,0,0,1.0,0.18172,6.0,0.17106
2021-03-11 08:00:00,0.18169,0.19038,0.17429,0.18158,137079866.0,0.027961764705882353,-0.0007704160246533309,0,0,0,0,0,1.0,0.18172,6.0,0.17106
2021-03-12 08:00:00,0.1818,0.19749,0.17809,0.1852,291276044.0,0.027486111111111114,0.019936116312369245,0,0,0,0,0,1.0,0.1852,6.0,0.17106
2021-03-13 08:00:00,0.18528,0.20103,0.18221,0.19187,174626141.0,0.02703,0.0360151187904969,0,0,0,0,0,1.0,0.19187,6.0,0.17106
2021-03-14 08:00:00,0.1919,0.19399,0.177,0.1798,114569131.0,0.026527999999999996,-0.06290717673424728,0,1,0,0,0,2.0,0.1798,1.0,0.1798
2021-03-15 08:00:00,0.17978,0.26869,0.17883,0.21885,837795308.0,0.02954380952380952,0.21718576195773087,0,0,1,0,0,1.0,0.21885,6.0,0.1798
2021-03-16 08:00:00,0.21853,0.27369,0.20333,0.22165,1325951213.0,0.031399090909090904,0.012794151245145269,1,0,0,0,0,1.0,0.22165,6.0,0.22165
2021-03-17 08:00:00,0.22184,0.23888,0.21238,0.22036,375170181.0,0.031186086956521735,-0.005819986465147808,0,0,0,1,0,2.0,0.22036,1.0,0.22165
2021-03-18 08:00:00,0.2204,0.2275,0.2075,0.21014,234814504.0,0.030719999999999997,-0.04637865311308775,0,0,0,0,0,2.0,0.21014,1.0,0.22165
