Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2021-04-12 08:00:00,0.02745,0.027845,0.026025,0.026387,183904380.0,0.0018200000000000022,0.06927653768901343,0,1,0,0,0,-1.0,0.0,0.0,0.026387
2021-04-13 08:00:00,0.026386,0.028674,0.024905,0.028215,317860912.0,0.002794500000000002,0.06927653768901343,0,0,1,0,0,1.0,0.028215,6.0,0.026387
2021-04-14 08:00:00,0.028257,0.0367,0.027058,0.033537,3214698538.0,0.0050770000000000025,0.18862307283359914,0,0,0,0,0,1.0,0.033537,6.0,0.026387
2021-04-15 08:00:00,0.033599,0.034556,0.030358,0.033206,1494394374.0,0.004857250000000003,-0.00986969615648381,0,0,0,0,0,2.0,0.033206,1.0,0.026387
2021-04-16 08:00:00,0.033229,0.045927,0.030476,0.042758,6075557229.0,0.006976000000000003,0.28765885683310244,0,0,0,0,0,1.0,0.042758,6.0,0.026387
2021-04-17 08:00:00,0.042775,0.064289,0.042758,0.053241,13887223758.0,0.009401833333333337,0.24517049441040273,1,0,0,0,0,1.0,0.053241,6.0,0.053241
2021-04-18 08:00:00,0.053215,0.05686,0.031328,0.048185,6506495267.0,0.01170614285714286,-0.09496440712984355,0,0,0,1,0,2.0,0.048185,1.0,0.053241
2021-04-19 08:00:00,0.048222,0.049744,0.04,0.043724,2823824576.0,0.011460875000000002,-0.09258067863442976,0,0,0,0,0,2.0,0.043724,1.0,0.053241
2021-04-20 08:00:00,0.043787,0.05033,0.037333,0.044925,3264330100.0,0.011631555555555558,0.027467752264202838,0,0,0,0,0,1.0,0.044925,6.0,0.053241
2021-04-21 08:00:00,0.044902,0.048115,0.041375,0.04221,2515394189.0,0.011142400000000002,-0.060434056761268784,0,0,0,0,0,2.0,0.04221,1.0,0.053241
2021-04-22 08:00:00,0.042254,0.043053,0.033119,0.034683,2421532098.0,0.011032545454545456,-0.17832267235252308,0,0,0,0,0,2.0,0.034683,1.0,0.053241
2021-04-23 08:00:00,0.034687,0.035255,0.024535,0.03442,3776001692.0,0.011006500000000002,-0.007582965718075152,0,0,0,0,0,2.0,0.03442,1.0,0.053241
2021-04-24 08:00:00,0.03442,0.035277,0.030413,0.031269,1733356022.0,0.010534000000000003,-0.09154561301568853,0,0,0,0,0,2.0,0.031269,1.0,0.053241
2021-04-25 08:00:00,0.031284,0.034384,0.027637,0.030643,1347899722.0,0.010263500000000004,-0.02001982794460966,0,1,0,0,0,2.0,0.030643,1.0,0.030643
2021-04-26 08:00:00,0.030642,0.037,0.029997,0.036755,1286903974.0,0.010046133333333337,0.19945827758378765,0,0,1,0,0,1.0,0.036755,6.0,0.030643
2021-04-27 08:00:00,0.036777,0.04194,0.0357,0.041141,1803553972.0,0.009808250000000003,0.11933070330567253,1,0,0,0,0,1.0,0.041141,6.0,0.041141
2021-04-28 08:00:00,0.04114,0.043134,0.035831,0.039374,1427966213.0,0.009660882352941179,-0.04294985537541618,0,0,0,1,0,2.0,0.039374,1.0,0.041141
2021-04-29 08:00:00,0.039373,0.039506,0.036184,0.037771,782951657.0,0.009308722222222225,-0.040712145070351036,0,0,0,0,0,2.0,0.037771,1.0,0.041141
2021-04-30 08:00:00,0.037775,0.04102,0.036881,0.040819,826360061.0,0.00903663157894737,0.08069683090201485,0,0,0,0,0,1.0,0.040819,6.0,0.041141
