Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2020-08-14 08:00:00,5.46,6.59,5.321,6.157,7461955.2,1.2690000000000001,0.11872665259054727,0,0,0,0,0,-1.0,0.0,0.0,6.157
2020-08-15 08:00:00,6.166,7.483,5.905,6.888,14678852.0,1.4234999999999998,0.11872665259054727,1,0,0,0,0,-1.0,0.0,0.0,6.888
2020-08-16 08:00:00,6.885,6.89,6.237,6.416,5091347.5,1.1666666666666663,-0.06852497096399524,0,0,0,1,0,2.0,6.416,1.0,6.888
2020-08-17 08:00:00,6.418,6.902,6.078,6.163,5135367.3,1.0809999999999997,-0.03943266832917702,0,0,0,0,1,2.0,6.163,1.0,6.888
2020-08-18 08:00:00,6.162,6.694,5.5,6.154,5343290.7,1.1035999999999997,-0.0014603277624534172,0,0,0,0,0,2.0,6.154,1.0,6.888
2020-08-19 08:00:00,6.154,6.394,5.379,6.104,8122611.2,1.0888333333333333,-0.008124796880077945,0,0,0,0,0,2.0,6.104,1.0,6.888
2020-08-20 08:00:00,6.108,6.698,6.078,6.182,6420806.3,1.0218571428571428,0.012778505897772074,0,0,0,0,0,1.0,6.182,6.0,6.888
2020-08-21 08:00:00,6.184,6.274,5.21,5.322,6468394.4,1.0271249999999998,-0.13911355548366233,0,1,0,0,0,2.0,5.322,1.0,5.322
2020-08-22 08:00:00,5.332,6.02,5.1,5.845,2306958.0,1.015222222222222,0.09827132656895898,0,0,1,0,0,1.0,5.845,6.0,5.322
2020-08-23 08:00:00,5.835,5.909,5.35,5.691,2847713.4,0.9695999999999998,-0.026347305389221587,0,0,0,0,0,2.0,5.691,1.0,5.322
2020-08-24 08:00:00,5.694,6.322,5.54,6.244,2682659.1,0.9525454545454544,0.09717097170971711,0,0,0,0,0,1.0,6.244,6.0,5.322
2020-08-25 08:00:00,6.242,6.58,5.481,5.865,3956793.5,0.9647499999999999,-0.060698270339525906,0,0,0,0,0,2.0,5.865,1.0,5.322
2020-08-26 08:00:00,5.867,6.471,5.829,6.132,3493970.0,0.9399230769230768,0.045524296675191644,0,0,0,0,0,1.0,6.132,6.0,5.322
2020-08-27 08:00:00,6.132,6.45,5.878,6.1,3481455.2,0.9136428571428569,-0.005218525766470972,0,0,0,0,0,2.0,6.1,1.0,5.322
2020-08-28 08:00:00,6.101,7.131,6.035,6.875,6453154.4,0.9257999999999998,0.12704918032786883,0,0,0,0,0,1.0,6.875,6.0,5.322
2020-08-29 08:00:00,6.876,7.044,6.499,6.535,2543612.2,0.9019999999999998,-0.04945454545454542,0,0,0,0,0,2.0,6.535,1.0,5.322
2020-08-30 08:00:00,6.533,7.429,6.507,7.305,4206338.4,0.9031764705882351,0.11782708492731442,0,0,0,0,0,1.0,7.305,6.0,5.322
2020-08-31 08:00:00,7.312,7.599,6.968,7.354,4536665.0,0.8880555555555554,0.006707734428473611,1,0,0,0,0,1.0,7.354,6.0,7.354
2020-09-01 08:00:00,7.354,7.894,7.086,7.126,4446993.0,0.8838421052631579,-0.0310035354908893,0,0,0,1,0,2.0,7.126,1.0,7.354
2020-09-02 08:00:00,7.131,7.217,5.887,6.39,3807027.8,0.9061499999999999,-0.10328374964917209,0,0,0,0,0,2.0,6.39,1.0,7.354
2020-09-03 08:00:00,6.393,6.589,5.0,5.207,4150014.0,0.9386666666666665,-0.1851330203442879,0,0,0,0,0,2.0,5.207,1.0,7.354
2020-09-04 08:00:00,5.216,5.802,4.767,5.335,3427379.8,0.9430454545454544,0.024582293067025196,0,0,0,0,0,1.0,5.335,6.0,7.354
2020-09-05 08:00:00,5.332,5.624,3.653,4.49,5048849.9,0.9877391304347825,-0.15838800374882844,0,0,0,0,0,2.0,4.49,1.0,7.354
2020-09-06 08:00:00,4.484,5.218,4.092,4.956,3857021.4,0.9934999999999999,0.1037861915367484,0,0,0,0,0,1.0,4.956,6.0,7.354
2020-09-07 08:00:00,4.958,5.069,4.102,4.648,2574243.4,0.9924399999999999,-0.062146892655367325,0,0,0,0,0,2.0,4.648,1.0,7.354
2020-09-08 08:00:00,4.641,4.702,4.021,4.249,2416915.7,0.9804615384615384,-0.08584337349397586,0,1,0,0,0,2.0,4.249,1.0,4.249
2020-09-09 08:00:00,4.254,5.25,4.184,4.989,3401007.9,0.9836296296296295,0.17415862555895512,0,0,1,0,0,1.0,4.989,6.0,4.249
2020-09-10 08:00:00,4.985,5.795,4.982,5.69,3040451.6,0.9775357142857141,0.1405091200641413,0,0,0,0,0,1.0,5.69,6.0,4.249
2020-09-11 08:00:00,5.685,6.003,5.321,5.97,3392673.8,0.9673448275862068,0.049209138840070166,0,0,0,0,0,1.0,5.97,6.0,4.249
2020-09-12 08:00:00,5.97,6.211,5.604,6.139,3048693.0,0.9553333333333333,0.028308207705192823,1,0,0,0,0,1.0,6.139,6.0,6.139
2020-09-13 08:00:00,6.144,6.283,5.05,5.388,2770146.3,0.9642903225806451,-0.1223326274637564,0,0,0,1,0,2.0,5.388,1.0,6.139
2020-09-14 08:00:00,5.389,5.541,5.111,5.193,1840885.9,0.9475937499999999,-0.036191536748329645,0,0,0,0,0,2.0,5.193,1.0,6.139
2020-09-15 08:00:00,5.192,5.478,4.445,4.493,2380733.6,0.950181818181818,-0.13479684190256103,0,0,0,0,0,2.0,4.493,1.0,6.139
2020-09-16 08:00:00,4.493,4.944,4.129,4.793,2694586.4,0.9462058823529409,0.06677053193857097,0,0,0,0,0,1.0,4.793,6.0,6.139
2020-09-17 08:00:00,4.796,5.042,4.343,4.484,2632481.5,0.9391428571428568,-0.06446901731692056,0,0,0,0,0,2.0,4.484,1.0,6.139
2020-09-18 08:00:00,4.491,4.741,4.36,4.558,2218033.3,0.9236388888888887,0.016503122212310428,0,0,0,0,0,1.0,4.558,6.0,6.139
2020-09-19 08:00:00,4.556,4.568,4.215,4.298,1643086.6,0.908216216216216,-0.057042562527424234,0,0,0,0,0,2.0,4.298,1.0,6.139
2020-09-20 08:00:00,4.293,4.548,4.063,4.174,1468508.8,0.8970789473684209,-0.028850628199162287,0,0,0,0,0,2.0,4.174,1.0,6.139
2020-09-21 08:00:00,4.173,4.234,3.45,3.619,2995981.5,0.8941794871794869,-0.13296597987541925,0,1,0,0,0,2.0,3.619,1.0,3.619
2020-09-22 08:00:00,3.619,4.298,3.574,4.278,3527421.4,0.8899249999999999,0.18209450124343718,0,0,1,0,0,1.0,4.278,6.0,3.619
2020-09-23 08:00:00,4.278,4.398,3.643,3.696,3242965.2,0.8865518749999999,-0.13604488078541366,0,0,0,0,0,2.0,3.696,1.0,3.619
2020-09-24 08:00:00,3.701,4.442,3.661,4.386,3025912.9,0.8839130781249999,0.18668831168831157,0,0,0,0,0,1.0,4.386,6.0,3.619
2020-09-25 08:00:00,4.386,5.183,4.286,4.918,4116380.9,0.8842402511718749,0.1212950296397628,0,0,0,0,0,1.0,4.918,6.0,3.619
2020-09-26 08:00:00,4.922,5.331,4.8,5.211,2132872.1,0.875409244892578,0.05957706384709227,1,0,0,0,0,1.0,5.211,6.0,5.211
