Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2023-02-21 08:00:00,0.648,0.6971,0.5962,0.6498,45495696.0,0.1009000000000001,0.13388734995383178,0,1,0,0,0,-1.0,0.0,0.0,0.6498
2023-02-22 08:00:00,0.6496,0.8428,0.6331,0.7368,527982166.0,0.15530000000000005,0.13388734995383178,0,0,1,0,0,1.0,0.7368,6.0,0.6498
2023-02-23 08:00:00,0.7368,0.889,0.7329,0.8195,571067789.0,0.15556666666666671,0.11224212812160683,0,0,0,0,0,1.0,0.8195,6.0,0.6498
2023-02-24 08:00:00,0.8198,0.8659,0.6914,0.7316,285683967.0,0.16030000000000003,-0.1072605247101891,0,0,0,0,0,2.0,0.7316,1.0,0.6498
2023-02-25 08:00:00,0.7316,0.7799,0.6517,0.7629,302070015.0,0.15388000000000004,0.04278294149808648,0,0,0,0,0,1.0,0.7629,6.0,0.6498
2023-02-26 08:00:00,0.7626,0.8,0.7285,0.781,274990009.0,0.14015000000000002,0.023725258880587186,0,0,0,0,0,1.0,0.781,6.0,0.6498
2023-02-27 08:00:00,0.781,0.985,0.7538,0.91,926791163.0,0.1531571428571429,0.1651728553137004,0,0,0,0,0,1.0,0.91,6.0,0.6498
2023-02-28 08:00:00,0.9099,0.945,0.8431,0.8857,482528035.0,0.14675000000000005,-0.02670329670329674,0,0,0,0,0,2.0,0.8857,1.0,0.6498
2023-03-01 08:00:00,0.8856,1.0346,0.8679,0.9842,625344551.0,0.14896666666666672,0.11121147115276053,1,0,0,0,0,1.0,0.9842,6.0,0.9842
2023-03-02 08:00:00,0.984,1.0298,0.8933,0.9257,402692787.0,0.14772000000000005,-0.05943913838650683,0,0,0,1,0,2.0,0.9257,1.0,0.9842
2023-03-03 08:00:00,0.9257,0.9258,0.8125,0.8472,354951012.0,0.14459090909090913,-0.08480069136869395,0,0,0,0,0,2.0,0.8472,1.0,0.9842
2023-03-04 08:00:00,0.8474,0.8645,0.7124,0.7279,371389223.0,0.1452166666666667,-0.1408168083097261,0,0,0,0,0,2.0,0.7279,1.0,0.9842
2023-03-05 08:00:00,0.7279,0.7646,0.7008,0.7476,412114159.0,0.13895384615384618,0.027064157164445657,0,0,0,0,0,1.0,0.7476,6.0,0.9842
2023-03-06 08:00:00,0.7476,0.77,0.7143,0.7471,351724283.0,0.13300714285714288,-0.0006688068485821708,0,0,0,0,0,1.0,0.7476,6.0,0.9842
2023-03-07 08:00:00,0.7471,0.755,0.6535,0.676,323167407.0,0.1309066666666667,-0.09516798286708594,0,0,0,0,0,2.0,0.676,1.0,0.9842
2023-03-08 08:00:00,0.6759,0.686,0.6046,0.625,352175557.0,0.12781250000000002,-0.07544378698224863,0,0,0,0,0,2.0,0.625,1.0,0.9842
2023-03-09 08:00:00,0.625,0.662,0.5418,0.5757,586024320.0,0.12736470588235296,-0.07888000000000006,0,1,0,0,0,2.0,0.5757,1.0,0.5757
2023-03-10 08:00:00,0.5757,0.6123,0.521,0.6036,497591155.0,0.12536111111111115,0.04846274101094328,0,0,1,0,0,1.0,0.6036,6.0,0.5757
2023-03-11 08:00:00,0.6033,0.6265,0.5607,0.6091,347670464.0,0.1222263157894737,0.009111994698475678,0,0,0,0,0,1.0,0.6091,6.0,0.5757
2023-03-12 08:00:00,0.6091,0.7493,0.5707,0.7454,308643242.0,0.12504500000000002,0.22377277951075358,0,0,0,0,0,1.0,0.7454,6.0,0.5757
2023-03-13 08:00:00,0.7455,0.8485,0.706,0.7973,552066485.0,0.12587619047619047,0.06962704588140611,0,0,0,0,0,1.0,0.7973,6.0,0.5757
2023-03-14 08:00:00,0.7974,1.027,0.7708,0.9663,762184413.0,0.1318,0.2119653831681927,0,0,0,0,0,1.0,0.9663,6.0,0.5757
2023-03-15 08:00:00,0.9662,1.0903,0.801,0.877,1042469783.0,0.13864782608695653,-0.09241436406912973,0,0,0,0,0,2.0,0.877,1.0,0.5757
2023-03-16 08:00:00,0.877,0.9444,0.8511,0.91,487651937.0,0.13675833333333334,0.03762827822120873,0,0,0,0,0,1.0,0.91,6.0,0.5757
2023-03-17 08:00:00,0.91,1.1928,0.894,1.1742,917216129.0,0.14324,0.2903296703296703,1,0,0,0,0,1.0,1.1742,6.0,1.1742
2023-03-18 08:00:00,1.1743,1.298,1.1057,1.144,573408406.0,0.14512692307692307,-0.02571963890308293,0,0,0,1,0,2.0,1.144,1.0,1.1742
2023-03-19 08:00:00,1.1439,1.2632,1.0923,1.1417,469396853.0,0.14608148148148148,-0.0020104895104894327,0,0,0,0,0,2.0,1.1417,1.0,1.1742
2023-03-20 08:00:00,1.1418,1.3089,1.0783,1.1734,601085858.0,0.14909999999999998,0.02776561268284139,0,0,0,0,0,1.0,1.1734,6.0,1.1742
2023-03-21 08:00:00,1.1734,1.2385,1.1001,1.123,468065216.0,0.1487310344827586,-0.04295210499403446,0,0,0,0,0,2.0,1.123,1.0,1.1742
2023-03-22 08:00:00,1.123,1.2455,1.0581,1.1544,578269055.0,0.15002,0.027960819234194245,0,0,0,0,0,1.0,1.1544,6.0,1.1742
2023-03-23 08:00:00,1.1547,1.2162,1.1171,1.1714,273808965.0,0.1483774193548387,0.014726264726264704,0,0,0,0,0,1.0,1.1714,6.0,1.1742
2023-03-24 08:00:00,1.1713,1.184,0.972,1.021,267182637.0,0.15036562499999997,-0.12839337544818175,0,0,0,0,0,2.0,1.021,1.0,1.1742
2023-03-25 08:00:00,1.021,1.0315,0.904,0.9285,262637993.0,0.14967272727272726,-0.09059745347698323,0,0,0,0,0,2.0,0.9285,1.0,1.1742
2023-03-26 08:00:00,0.9284,1.0276,0.9118,1.0053,244263106.0,0.1486764705882353,0.08271405492730222,0,0,0,0,0,1.0,1.0053,6.0,1.1742
2023-03-27 08:00:00,1.0054,1.0238,0.887,0.9109,264608932.0,0.14833714285714286,-0.09390231771610469,0,1,0,0,0,2.0,0.9109,1.0,0.9109
2023-03-28 08:00:00,0.9109,0.966,0.854,0.9453,341450094.0,0.14732777777777778,0.03776484795257429,0,0,1,0,0,1.0,0.9453,6.0,0.9109
2023-03-29 08:00:00,0.9452,1.0589,0.9284,0.9836,312561731.0,0.14687297297297297,0.04051623823124939,0,0,0,0,0,1.0,0.9836,6.0,0.9109
2023-03-30 08:00:00,0.9837,1.047,0.9066,0.9285,239459070.0,0.14670263157894733,-0.05601870679137866,0,0,0,0,0,2.0,0.9285,1.0,0.9109
2023-03-31 08:00:00,0.9284,0.9419,0.8847,0.9297,170153071.0,0.1444076923076923,0.0012924071082389688,0,0,0,0,0,2.0,0.9285,2.0,0.9109
2023-04-01 08:00:00,0.9297,0.9351,0.8809,0.896,82403057.0,0.14215249999999996,-0.03624825212434113,0,0,0,0,0,2.0,0.896,1.0,0.9109
2023-04-02 08:00:00,0.8959,0.938,0.8566,0.872,141829498.0,0.14063368749999997,-0.0267857142857143,0,0,0,0,1,2.0,0.872,1.0,0.9109
2023-04-03 08:00:00,0.872,0.9276,0.8404,0.8756,279935517.0,0.13929784531249997,0.0041284403669725744,0,0,0,0,0,2.0,0.872,4.0,0.9109
2023-04-04 08:00:00,0.8755,0.8874,0.8481,0.8781,107767134.0,0.1367978991796875,0.0028551850159890257,0,0,0,0,0,1.0,0.8781,6.0,0.9109
2023-04-05 08:00:00,0.8781,0.9144,0.8513,0.8626,114903183.0,0.1349554517001953,-0.017651748092472386,0,0,0,0,0,2.0,0.8626,1.0,0.9109
2023-04-06 08:00:00,0.8626,0.8636,0.8056,0.8221,94576084.0,0.1330315654076904,-0.046951078135868296,0,0,0,0,0,2.0,0.8221,1.0,0.9109
2023-04-07 08:00:00,0.8222,0.8346,0.7749,0.7968,83433249.0,0.13119827627249814,-0.03077484490937854,0,1,0,0,0,2.0,0.7968,1.0,0.7968
2023-04-08 08:00:00,0.7967,0.8184,0.7897,0.8038,62785175.0,0.1286358193656857,0.008785140562248994,0,0,1,0,0,1.0,0.8038,6.0,0.7968
2023-04-09 08:00:00,0.8038,0.8861,0.7808,0.874,183433677.0,0.12805242388154353,0.08733515799950231,0,0,0,0,0,1.0,0.874,6.0,0.7968
2023-04-10 08:00:00,0.8743,0.9361,0.8265,0.9182,226469010.0,0.12759111328450495,0.05057208237986277,0,0,0,0,0,1.0,0.9182,6.0,0.7968
2023-04-11 08:00:00,0.9184,1.01,0.9086,0.963,347799316.0,0.12693633545239233,0.048791113047266244,1,0,0,0,0,1.0,0.963,6.0,0.963
