Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2020-05-27 08:00:00,0.404,0.515,0.3,0.3247,471577208.4,0.21500000000000002,-0.03726516784724365,1,0,0,0,0,-1.0,0.0,0.0,0.3247
2020-05-28 08:00:00,0.3246,0.3555,0.2777,0.3126,144093762.2,0.1464,-0.03726516784724365,0,0,0,1,0,2.0,0.3126,1.0,0.3247
2020-05-29 08:00:00,0.3127,0.335,0.29,0.3097,63363644.8,0.11260000000000002,-0.009277031349968046,0,0,0,0,0,2.0,0.3097,1.0,0.3247
2020-05-30 08:00:00,0.3097,0.3112,0.2822,0.289,47451980.3,0.0917,-0.06683887633193408,0,0,0,0,0,2.0,0.289,1.0,0.3247
2020-05-31 08:00:00,0.289,0.291,0.2404,0.2472,53574183.7,0.08348,-0.14463667820069193,0,1,0,0,0,2.0,0.2472,1.0,0.2472
2020-06-01 08:00:00,0.2471,0.291,0.243,0.2717,61129836.9,0.07756666666666666,0.09911003236245963,0,0,1,0,0,1.0,0.2717,6.0,0.2472
2020-06-02 08:00:00,0.2715,0.2835,0.1872,0.2541,44630996.5,0.08024285714285714,-0.06477732793522273,0,0,0,0,0,2.0,0.2541,1.0,0.2472
2020-06-03 08:00:00,0.2541,0.28,0.2481,0.276,32361842.9,0.0742,0.0861865407319955,0,0,0,0,0,1.0,0.276,6.0,0.2472
2020-06-04 08:00:00,0.2765,0.295,0.2691,0.2854,43323931.6,0.06883333333333333,0.034057971014492594,1,0,0,0,0,1.0,0.2854,6.0,0.2854
2020-06-05 08:00:00,0.2854,0.3045,0.2736,0.2787,36294475.5,0.06503999999999999,-0.023475823405746277,0,0,0,1,0,2.0,0.2787,1.0,0.2854
2020-06-06 08:00:00,0.2789,0.2824,0.2701,0.2709,14425831.7,0.06024545454545453,-0.027987082884822545,0,0,0,0,0,2.0,0.2709,1.0,0.2854
2020-06-07 08:00:00,0.2709,0.2712,0.2495,0.2663,26407874.1,0.057033333333333325,-0.016980435585086773,0,0,0,0,0,2.0,0.2663,1.0,0.2854
2020-06-08 08:00:00,0.266,0.2665,0.2537,0.2562,12042694.3,0.053630769230769225,-0.03792714983101764,0,0,0,0,0,2.0,0.2562,1.0,0.2854
2020-06-09 08:00:00,0.2563,0.2596,0.2463,0.2528,15861454.9,0.050749999999999997,-0.013270882123340932,0,0,0,0,0,2.0,0.2528,1.0,0.2854
2020-06-10 08:00:00,0.2528,0.2549,0.235,0.2403,21141706.3,0.04869333333333333,-0.049446202531645556,0,0,0,0,0,2.0,0.2403,1.0,0.2854
2020-06-11 08:00:00,0.2403,0.2506,0.1977,0.205,43762748.7,0.04895624999999999,-0.1468997086974616,0,1,0,0,0,2.0,0.205,1.0,0.205
2020-06-12 08:00:00,0.205,0.259,0.2006,0.2519,89459274.1,0.049511764705882345,0.22878048780487825,0,0,1,0,0,1.0,0.2519,6.0,0.205
2020-06-13 08:00:00,0.2521,0.2696,0.2454,0.2524,79778223.2,0.04810555555555555,0.001984914648670122,0,0,0,0,0,1.0,0.2524,6.0,0.205
