Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2023-03-07 08:00:00,0.1273,0.138,0.11935,0.12552,662211845.0,0.018650000000000014,-0.16379859783301465,1,0,0,0,0,-1.0,0.0,0.0,0.12552
2023-03-08 08:00:00,0.1255,0.13266,0.10132,0.10496,1096957847.0,0.02499500000000001,-0.16379859783301465,0,0,0,1,0,2.0,0.10496,1.0,0.12552
2023-03-09 08:00:00,0.10496,0.1118,0.08649,0.08822,1130504773.0,0.025100000000000008,-0.15948932926829262,0,1,0,0,0,2.0,0.08822,1.0,0.08822
2023-03-10 08:00:00,0.08823,0.10716,0.0791,0.1037,1349733738.0,0.025840000000000005,0.17547041487191106,0,0,1,0,0,1.0,0.1037,6.0,0.08822
2023-03-11 08:00:00,0.1037,0.1435,0.09168,0.10588,7151630187.0,0.031036,0.021022179363548776,0,0,0,0,0,1.0,0.10588,6.0,0.08822
2023-03-12 08:00:00,0.10583,0.114,0.09847,0.1127,2467536978.0,0.02845166666666667,0.0644125425009443,0,0,0,0,0,1.0,0.1127,6.0,0.08822
2023-03-13 08:00:00,0.11269,0.12492,0.10718,0.11664,2028649008.0,0.026921428571428575,0.0349600709849156,1,0,0,0,0,1.0,0.11664,6.0,0.11664
2023-03-14 08:00:00,0.11671,0.12942,0.10685,0.10824,1413433281.0,0.026377500000000005,-0.07201646090534974,0,0,0,1,0,2.0,0.10824,1.0,0.11664
2023-03-15 08:00:00,0.10825,0.14741,0.0936,0.09671,2905070886.0,0.029425555555555562,-0.10652254249815218,0,0,0,0,1,2.0,0.09671,1.0,0.11664
2023-03-16 08:00:00,0.09669,0.101,0.09322,0.09759,850782623.0,0.027261000000000007,0.00909936924826793,0,0,0,0,0,2.0,0.09671,5.0,0.11664
2023-03-17 08:00:00,0.09759,0.10009,0.08939,0.0978,897039576.0,0.02575545454545455,0.0021518598217029616,0,0,0,0,0,1.0,0.0978,6.0,0.11664
2023-03-18 08:00:00,0.09786,0.10374,0.09009,0.09112,584021676.0,0.02474666666666667,-0.06830265848670747,0,0,0,0,0,2.0,0.09112,1.0,0.11664
2023-03-19 08:00:00,0.0911,0.09449,0.0864,0.08746,620687549.0,0.023465384615384617,-0.040166812993854384,0,0,0,0,0,2.0,0.08746,1.0,0.11664
2023-03-20 08:00:00,0.08747,0.08947,0.0801,0.0818,780213888.0,0.022458571428571432,-0.06471529842213586,0,0,0,0,0,2.0,0.0818,1.0,0.11664
2023-03-21 08:00:00,0.08177,0.08566,0.07656,0.08525,677597562.0,0.021568,0.0421760391198045,0,0,0,0,0,1.0,0.08525,6.0,0.11664
2023-03-22 08:00:00,0.08523,0.09349,0.07911,0.08118,2034170688.0,0.021118750000000002,-0.04774193548387107,0,1,0,0,0,2.0,0.08118,1.0,0.08118
2023-03-23 08:00:00,0.08117,0.08499,0.08059,0.08327,770558412.0,0.02013529411764706,0.0257452574525745,0,0,1,0,0,1.0,0.08327,6.0,0.08118
2023-03-24 08:00:00,0.08326,0.09124,0.08321,0.08563,1189820948.0,0.01946277777777778,0.028341539570073238,1,0,0,0,0,1.0,0.08563,6.0,0.08563
2023-03-25 08:00:00,0.08563,0.08973,0.0822,0.08383,723783853.0,0.018834736842105265,-0.021020670325820334,0,0,0,1,0,2.0,0.08383,1.0,0.08563
2023-03-26 08:00:00,0.08383,0.08627,0.08265,0.08504,433579326.0,0.018074000000000003,0.01443397351783382,0,0,0,0,0,1.0,0.08504,6.0,0.08563
2023-03-27 08:00:00,0.08501,0.086,0.07499,0.07596,901770032.0,0.01773761904761905,-0.10677328316086554,0,1,0,0,0,2.0,0.07596,1.0,0.07596
2023-03-28 08:00:00,0.07597,0.07741,0.07345,0.07647,614362788.0,0.017111363636363643,0.006714060031595581,0,0,1,0,0,2.0,0.07596,5.0,0.07596
2023-03-29 08:00:00,0.07648,0.08211,0.0762,0.08076,423090305.0,0.016624347826086964,0.056100431541781015,0,0,0,0,0,1.0,0.08076,6.0,0.07596
2023-03-30 08:00:00,0.08075,0.08503,0.075,0.07741,496003820.0,0.016349583333333337,-0.041480931154036504,0,0,0,0,0,2.0,0.07741,1.0,0.07596
2023-03-31 08:00:00,0.07739,0.07939,0.07504,0.07795,567364070.0,0.015869600000000005,0.006975842914352048,0,0,0,0,0,1.0,0.07795,6.0,0.07596
2023-04-01 08:00:00,0.07796,0.08124,0.07796,0.07937,207759590.0,0.015385769230769238,0.018216805644643896,0,0,0,0,0,1.0,0.07937,6.0,0.07596
2023-04-02 08:00:00,0.07938,0.08158,0.0774,0.07886,495295004.0,0.014970740740740748,-0.006425601612700005,0,0,0,0,0,2.0,0.07886,1.0,0.07596
2023-04-03 08:00:00,0.07886,0.08149,0.0719,0.07491,413565684.0,0.014778571428571434,-0.05008876489982239,0,0,0,0,0,2.0,0.07491,1.0,0.07596
2023-04-04 08:00:00,0.07493,0.07679,0.07381,0.07594,223446994.0,0.01437172413793104,0.01374983313309297,0,0,0,0,0,1.0,0.07594,6.0,0.07596
2023-04-05 08:00:00,0.07592,0.07792,0.07171,0.07292,243099521.0,0.014099666666666672,-0.039768238082696805,0,0,0,0,1,2.0,0.07292,1.0,0.07596
2023-04-06 08:00:00,0.07292,0.07527,0.069,0.07137,714587973.0,0.013847096774193553,-0.021256171146461833,0,0,0,0,0,2.0,0.07137,1.0,0.07596
2023-04-07 08:00:00,0.07137,0.07189,0.06822,0.06923,264828533.0,0.013529062500000005,-0.02998458736163656,0,0,0,0,0,2.0,0.06923,1.0,0.07596
