Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2020-09-18 08:00:00,4.9638,8.764,4.66,6.8914,135791137.0,4.103999999999999,-0.1683692718460691,1,0,0,0,0,-1.0,0.0,0.0,6.8914
2020-09-19 08:00:00,6.8918,7.5227,5.2368,5.7311,106389752.0,3.19495,-0.1683692718460691,0,0,0,1,0,2.0,5.7311,1.0,6.8914
2020-09-20 08:00:00,5.7321,6.09,4.6272,5.2313,90765939.0,2.6175666666666664,-0.08720838931444219,0,0,0,0,0,2.0,5.2313,1.0,6.8914
2020-09-21 08:00:00,5.231,5.6758,4.07,4.2532,110039120.0,2.3646249999999998,-0.18697073385200624,0,0,0,0,0,2.0,4.2532,1.0,6.8914
2020-09-22 08:00:00,4.2637,4.56,3.7029,3.9101,98557117.0,2.0631199999999996,-0.08066867299915348,0,1,0,0,0,2.0,3.9101,1.0,3.9101
2020-09-23 08:00:00,3.912,5.3343,3.901,4.3829,141742645.0,1.9581499999999998,0.12091762359018965,0,0,1,0,0,1.0,4.3829,6.0,3.9101
2020-09-24 08:00:00,4.383,5.3,4.2517,5.1553,95798055.0,1.8281714285714286,0.17623034976841812,0,0,0,0,0,1.0,5.1553,6.0,3.9101
2020-09-25 08:00:00,5.1503,5.5608,4.73,4.9089,64952833.0,1.7035,-0.04779547262041017,0,0,0,0,0,2.0,4.9089,1.0,3.9101
2020-09-26 08:00:00,4.909,4.999,4.6806,4.873,38207202.0,1.5496,-0.007313247367027209,0,0,0,0,0,2.0,4.873,1.0,3.9101
2020-09-27 08:00:00,4.8701,5.2183,4.6807,4.8502,31796723.0,1.4484000000000001,-0.0046788426020931695,0,0,0,0,0,2.0,4.8502,1.0,3.9101
2020-09-28 08:00:00,4.852,4.96,4.1758,4.256,32567949.0,1.388018181818182,-0.12251041194177559,0,0,0,0,0,2.0,4.256,1.0,3.9101
2020-09-29 08:00:00,4.2544,4.4189,4.1229,4.3884,26454732.0,1.297016666666667,0.03110902255639081,0,0,0,0,0,1.0,4.3884,6.0,3.9101
2020-09-30 08:00:00,4.3883,4.3885,3.9511,4.1604,23432442.0,1.230892307692308,-0.05195515449822252,0,0,0,0,0,2.0,4.1604,1.0,3.9101
2020-10-01 08:00:00,4.1628,4.5185,3.9225,4.2392,39670118.0,1.1855428571428575,0.01894048649168356,0,0,0,0,0,1.0,4.2392,6.0,3.9101
2020-10-02 08:00:00,4.2429,4.2429,3.5602,3.894,33521844.0,1.1520200000000003,-0.08143045857709008,0,0,0,0,0,2.0,3.894,1.0,3.9101
2020-10-03 08:00:00,3.8922,4.1217,3.831,3.9012,18960474.0,1.0981875000000003,0.001848998459167861,0,0,0,0,0,2.0,3.894,1.0,3.9101
2020-10-04 08:00:00,3.9035,3.948,3.6054,3.7255,23181609.0,1.0537411764705886,-0.04503742438224134,0,0,0,0,0,2.0,3.7255,1.0,3.9101
2020-10-05 08:00:00,3.7225,3.7958,3.18,3.3233,35146506.0,1.0294111111111115,-0.10795866326667558,0,0,0,0,0,2.0,3.3233,1.0,3.9101
2020-10-06 08:00:00,3.3234,3.3424,2.6211,2.7109,63109461.0,1.0131947368421055,-0.18427466674690818,0,1,0,0,0,2.0,2.7109,1.0,2.7109
2020-10-07 08:00:00,2.7093,2.995,2.456,2.9558,74719910.0,0.9894850000000004,0.09033900180751786,0,0,1,0,0,1.0,2.9558,6.0,2.7109
2020-10-08 08:00:00,2.958,3.4623,2.6352,3.3501,76651161.0,0.9817523809523812,0.13339874145747332,0,0,0,0,0,1.0,3.3501,6.0,2.7109
2020-10-09 08:00:00,3.3495,3.6013,3.175,3.3806,46834530.0,0.9565045454545458,0.009104205844601587,0,0,0,0,0,1.0,3.3806,6.0,2.7109
2020-10-10 08:00:00,3.3819,3.6607,3.2643,3.2959,33319109.0,0.9321521739130437,-0.025054724013488627,0,0,0,0,0,2.0,3.2959,1.0,2.7109
2020-10-11 08:00:00,3.2956,3.4521,3.1813,3.3624,26061619.0,0.9045958333333336,0.020176583027397665,0,0,0,0,0,1.0,3.3624,6.0,2.7109
2020-10-12 08:00:00,3.3612,3.6016,3.281,3.4572,28191393.0,0.8812360000000002,0.028194147037829964,1,0,0,0,0,1.0,3.4572,6.0,3.4572
2020-10-13 08:00:00,3.4567,3.5013,3.293,3.354,17837574.0,0.8553538461538465,-0.02985074626865669,0,0,0,1,0,2.0,3.354,1.0,3.4572
2020-10-14 08:00:00,3.3536,3.4368,2.9706,3.109,29895556.0,0.840940740740741,-0.07304710793082891,0,0,0,0,0,2.0,3.109,1.0,3.4572
2020-10-15 08:00:00,3.109,3.1669,2.9112,3.0771,28135432.0,0.8200392857142861,-0.010260533933740712,0,0,0,0,0,2.0,3.0771,1.0,3.4572
2020-10-16 08:00:00,3.0764,3.3647,2.874,3.0404,40724194.0,0.80868275862069,-0.01192681420818309,0,0,0,0,0,2.0,3.0404,1.0,3.4572
2020-10-17 08:00:00,3.0414,3.119,2.9718,3.053,16255664.0,0.7866333333333337,0.004144191553743015,0,0,0,0,0,2.0,3.0404,3.0,3.4572
